/tmp/tmp.c2UIfSG9PX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 8.55905768473943 minutes:
 Average MSE:        1.2719214886615493
 Average Error:      2.7234932229814666
 Structure           |Error               |MSE                 |weights&biases
 [3, 9, 6, 0, 0]     |3.885140139335243   |2.936325750586609   |112       
 [17, 12, 8, 0, 0]   |0.4533479323157224  |0.1753282433247644  |380       
 [6, 0, 0, 0, 0]     |2.4695768453339477  |2.3199527481284052  |25        
 [19, 2, 0, 0, 0]    |0.29856595511407835 |0.23252339964130614 |100       
 [4, 18, 2, 2, 11]   |2.7602959611953577  |1.7123007025302162  |191       
 [17, 6, 9, 6, 10]   |2.2162778942514954  |0.8943385936300057  |363       
 [1, 5, 7, 7, 0]     |2.561961957502741   |1.9026989050919325  |119       
 [11, 13, 20, 2, 12] |1.1748870059264247  |0.2897235686359005  |560       
 [1, 2, 19, 0, 0]    |4.33262021003367    |3.511953686025336   |84        
 [4, 0, 0, 0, 0]     |0.8120979115751512  |0.7783068955230981  |17        
 [10, 15, 12, 0, 0]  |0.8089004365871565  |0.29757784057501885 |400       
 [2, 12, 16, 6, 5]   |8.02076238436575    |3.0027648405362233  |393       
 [16, 17, 12, 13, 0] |1.444196813480778   |0.2293636207088338  |736       
 [10, 4, 0, 0, 0]    |0.37862893766547046 |0.3107711127027909  |79        
 [16, 10, 8, 0, 0]   |0.4639219365513369  |0.2110755862248233  |315       
 [10, 3, 1, 1, 4]    |1.8898736595680317  |1.5395805051237161  |82        
 [12, 11, 7, 16, 7]  |0.9653958182015863  |0.264419852839923   |518       
 [15, 6, 0, 0, 0]    |0.41211911016116737 |0.28466481770003615 |148       
 [18, 9, 19, 11, 0]  |1.0560806785178154  |0.20952013854723642 |647       
 [1, 13, 8, 5, 0]    |3.8832091523088645  |2.402865330358328   |192       
 [1, 12, 15, 20, 3]  |16.062792580838227  |3.504351835257912   |609       
 [9, 18, 12, 14, 0]  |1.5303911898815576  |0.31522247562774225 |632       
 [14, 0, 0, 0, 0]    |0.420494326194698   |0.36464744632654983 |57        
 [11, 12, 4, 14, 5]  |2.4223687179461413  |0.9368293571626586  |380       
 [2, 14, 18, 0, 0]   |7.363423019684259   |3.170929963729372   |337       
Gen 1 Train time: 8.297129770119986 minutes:
 Average MSE:        0.3016565972255157
 Average Error:      0.5471058226186611
 Structure           |Error               |MSE                 |weights&biases
 [19, 2, 0, 0, 0]    |0.2802615574311054  |0.21826792039215642 |100       
 [10, 4, 0, 0, 0]    |0.29685244308977166 |0.24365058998490646 |79        
 [15, 6, 0, 0, 0]    |0.30066569709794105 |0.20768011903055994 |148       
 [15, 6, 12, 2, 0]   |0.4186438404998879  |0.22185422804645033 |254       
 [15, 9, 6, 7, 0]    |0.48205768396213783 |0.22431779703447483 |306       
 [12, 2, 0, 0, 0]    |0.2806161708362168  |0.23852826038822342 |65        
 [16, 7, 4, 8, 4]    |1.7673547814171104  |0.8776424110372159  |280       
 [17, 12, 8, 0, 0]   |0.5460618143512125  |0.21118450495160973 |380       
 [15, 3, 3, 0, 0]    |0.2967398957532097  |0.22595954599228954 |109       
 [17, 4, 0, 0, 0]    |0.2789450239369815  |0.2025556605283368  |128       
 [16, 8, 4, 0, 0]    |0.37101790199393336 |0.21139962822384412 |225       
 [16, 9, 11, 13, 0]  |0.8911970882942466  |0.2677531842801236  |481       
 [18, 7, 4, 0, 0]    |0.31527487368942636 |0.18008786545519057 |224       
 [4, 7, 4, 8, 4]     |2.5177289894557866  |1.6876842121172664  |160       
 [14, 14, 17, 0, 0]  |0.7292887704132215  |0.19628540972591463 |525       
 [13, 5, 0, 0, 0]    |0.34460768636687844 |0.25850282673414143 |115       
 [13, 7, 4, 0, 0]    |0.30728005167484357 |0.19889152034703889 |174       
