/tmp/tmp.sKAX9ooWjL ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k3.mat
  Evaluating with: datasets/N6dataset100k3.mat
Gen 0 Train time: 8.458532679080964 minutes:
 Average MSE:        0.9590434825257725
 Average Error:      2.024046712540038
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 16, 0, 0]   |0.2711051167334316  |0.21008382763840086 |102       
 [12, 20, 13, 11, 0] |1.726729317649373   |0.27492115027501907 |735       
 [5, 20, 0, 0, 0]    |0.6153557645410994  |0.4166308506446253  |156       
 [17, 17, 0, 0, 0]   |0.506045990547923   |0.1981704572558009  |375       
 [15, 2, 0, 0, 0]    |0.34201016883118046 |0.2800142430874801  |80        
 [3, 16, 14, 2, 0]   |5.987986770596699   |2.533888950736831   |344       
 [18, 10, 17, 0, 0]  |0.6774204104703133  |0.22047671105982017 |449       
 [2, 2, 0, 0, 0]     |1.2804973429867625  |1.2333678926711942  |15        
 [2, 18, 9, 3, 0]    |3.6130728517887896  |1.8627588020823354  |265       
 [18, 4, 7, 0, 0]    |0.28426232005744595 |0.1844535138021348  |173       
 [18, 0, 0, 0, 0]    |0.4779371338697391  |0.39820988070338537 |73        
 [2, 3, 10, 8, 3]    |5.569015475450448   |3.604626947669857   |174       
 [14, 9, 15, 0, 0]   |0.6099907338081204  |0.2587710687986445  |343       
 [8, 11, 17, 16, 0]  |1.8860848845733797  |0.38848651932274814 |632       
 [15, 17, 3, 14, 11] |0.9453983523302963  |0.20884792917611822 |604       
 [15, 5, 0, 0, 0]    |0.27796770508848073 |0.20033779927967874 |131       
 [1, 6, 7, 19, 14]   |10.827158919606212  |3.017889337879729   |511       
 [5, 8, 0, 0, 0]     |1.111427445833809   |0.9283422376498958  |72        
 [1, 9, 0, 0, 0]     |2.6179482791503137  |2.4227200859983706  |31        
 [10, 3, 11, 15, 1]  |7.728176825768301   |3.605184606295836   |305       
 [10, 0, 0, 0, 0]    |0.47536032442880455 |0.42904984208890085 |41        
 [9, 16, 2, 6, 0]    |0.7095290888271729  |0.38360044183152636 |246       
 [12, 3, 20, 0, 0]   |0.3150328717323742  |0.20289264323406261 |176       
 [19, 7, 15, 20, 0]  |0.9938243711229922  |0.19182058883734726 |658       
 [12, 8, 20, 0, 0]   |0.7518293477074678  |0.32054073512457076 |341       
Gen 1 Train time: 8.686502389113109 minutes:
 Average MSE:        0.5385726697248568
 Average Error:      1.0484379779124902
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 16, 0, 0]   |0.2842703562001004  |0.22028578890073086 |102       
 [15, 5, 0, 0, 0]    |0.3148154861547762  |0.2268948533259798  |131       
 [18, 4, 7, 0, 0]    |0.41719460119072876 |0.2707112575221329  |173       
 [17, 5, 4, 0, 0]    |0.31693167187822535 |0.20720035102467063 |170       
 [16, 11, 1, 0, 0]   |4.173619281695579   |2.2395693493625357  |249       
 [11, 9, 9, 3, 0]    |0.4757889248061507  |0.24529812820606725 |265       
 [12, 14, 8, 8, 0]   |0.630927445227017   |0.22133798388975973 |419       
 [15, 4, 19, 4, 5]   |0.5218297358100117  |0.2374225246049652  |315       
 [9, 5, 10, 0, 0]    |0.35650479225510506 |0.24625009904733916 |148       
 [4, 17, 15, 4, 20]  |3.9576830683289024  |0.9956681797992826  |552       
 [18, 4, 7, 12, 0]   |0.41440675647826364 |0.20889839701048674 |274       
 [13, 2, 18, 0, 0]   |0.3067484871370396  |0.21616200542470576 |140       
 [14, 2, 8, 0, 0]    |0.3116268589010679  |0.23968043302617584 |105       
 [13, 2, 5, 0, 0]    |0.2934163517246261  |0.23547213788858273 |88        
 [1, 5, 16, 2, 10]   |5.712317036370932   |3.6060923230115614  |184       
 [12, 10, 5, 3, 0]   |0.639432106063223   |0.34830566716276634 |243       
 [7, 4, 3, 0, 0]     |0.42538594742188307 |0.3553122102344605  |72        
 [12, 5, 8, 8, 0]    |0.7455813107177399  |0.4195422336323439  |230       
 [13, 9, 2, 7, 6]    |1.7938347613042855  |0.9341256257050248  |261       
 [19, 12, 6, 1, 11]  |0.6149058106055462  |0.2173413377221892  |416       
 [7, 3, 10, 0, 0]    |0.49098212739254865 |0.38622022069270656 |96        
 [3, 14, 15, 6, 12]  |1.5236962226215318  |0.4554993944994329  |483       
 [14, 3, 8, 0, 0]    |0.28984658572556116 |0.2104718191237132  |128       
 [14, 4, 10, 0, 0]   |0.45437681009882985 |0.30230209500845884 |163       
 [16, 15, 11, 0, 0]  |0.7448269117025855  |0.21825232729534855 |491       
Increasing Epochs
Gen 2 Train time: 9.771221530437469 minutes:
 Average MSE:        0.45847690977051997
 Average Error:      0.937764328950645
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 16, 0, 0]   |0.27445324406107285 |0.21267834674186442 |102       
 [14, 3, 8, 0, 0]    |0.34493457084349055 |0.2504739064714275  |128       
 [13, 2, 5, 0, 0]    |0.2888500817115267  |0.23180762036649813 |88        
 [14, 4, 3, 0, 0]    |0.2723683648623868  |0.20127163883191854 |121       
 [16, 3, 8, 0, 0]    |0.24341111912792376 |0.17152891655455077 |140       
