/tmp/tmp.PcrwRF7vCu ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k4.mat
  Evaluating with: datasets/N6dataset100k4.mat
Gen 0 Train time: 8.228340681393941 minutes:
 Average MSE:        0.7590087960134734
 Average Error:      1.6646313871230913
 Structure           |Error               |MSE                 |weights&biases
 [7, 2, 19, 2, 5]    |3.59207011132187    |2.4381234584053795  |155       
 [14, 0, 0, 0, 0]    |0.3114227524154981  |0.27006193501815823 |57        
 [11, 10, 2, 16, 0]  |0.5067540854237894  |0.2781125387187619  |240       
 [19, 20, 6, 16, 20] |2.9580081974815964  |0.21108722033048383 |1056      
 [7, 14, 15, 11, 19] |6.781061510516917   |0.9599574241670613  |782       
 [8, 0, 0, 0, 0]     |1.2407130053306197  |1.1424627264061251  |33        
 [18, 8, 13, 8, 2]   |6.8733385328471766  |2.198224406187493   |456       
 [20, 0, 0, 0, 0]    |0.2851998173509492  |0.23291883566997038 |81        
 [6, 16, 7, 0, 0]    |0.6169147686711357  |0.3244822632897283  |257       
 [18, 18, 11, 0, 0]  |0.9965960121328279  |0.21311788948630755 |617       
 [9, 0, 0, 0, 0]     |1.1836152758060234  |1.079041932274045   |37        
 [7, 3, 14, 0, 0]    |0.40877521609615586 |0.30587160153380855 |116       
 [3, 8, 20, 0, 0]    |0.6547039011650913  |0.35751705744750817 |242       
 [10, 16, 5, 7, 5]   |0.758386501162317   |0.2940333368868656  |379       
 [16, 0, 0, 0, 0]    |0.36090338286756385 |0.30677368245420655 |65        
 [11, 0, 0, 0, 0]    |0.4342205974667124  |0.3880183739561288  |45        
 [4, 14, 16, 0, 0]   |3.989235057798493   |1.7093266100845632  |339       
 [7, 0, 0, 0, 0]     |1.8192097555616733  |1.6919846796381304  |29        
 [13, 3, 5, 19, 19]  |1.462874607369248   |0.3143976821081235  |615       
 [4, 0, 0, 0, 0]     |1.5627507554777837  |1.4977254240355649  |17        
 [16, 0, 0, 0, 0]    |0.3148232288258562  |0.2676048100786902  |65        
 [11, 20, 9, 5, 0]   |0.8868406389274004  |0.24290375700454964 |518       
 [4, 8, 17, 4, 19]   |1.070755433556918   |0.4018663983693537  |392       
 [9, 4, 0, 0, 0]     |1.997873698084386   |1.668764386171965   |72        
 [15, 10, 11, 9, 0]  |0.5487378344192726  |0.18084147061386457 |444       
Gen 1 Train time: 7.970084285736084 minutes:
 Average MSE:        0.4069206540217547
 Average Error:      0.7508848623680461
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.271080903247147   |0.2213881093724313  |81        
 [14, 0, 0, 0, 0]    |0.28602450115995637 |0.2480368876285648  |57        
 [16, 0, 0, 0, 0]    |0.3659748656869989  |0.311084524452028   |65        
