/tmp/tmp.3r9YTymYih ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k6.mat
  Evaluating with: datasets/N6dataset100k6.mat
Gen 0 Train time: 8.493652093410493 minutes:
 Average MSE:        0.9186102486966234
 Average Error:      1.8830821442047934
 Structure           |Error               |MSE                 |weights&biases
 [3, 13, 0, 0, 0]    |0.8920824109714321  |0.7395622945118919  |75        
 [14, 17, 13, 0, 0]  |0.8862341548081571  |0.22689360309435574 |545       
 [15, 17, 4, 5, 0]   |0.599521595004754   |0.2097952374994933  |420       
 [13, 1, 4, 6, 0]    |0.3391765343823223  |0.2654750127261927  |98        
 [19, 5, 11, 13, 20] |1.1781949998948442  |0.21523681460210145 |680       
 [1, 1, 5, 5, 16]    |2.7751445283656913  |1.869559474790679   |158       
 [2, 8, 2, 8, 0]     |3.119264948564192   |2.547461519134467   |81        
 [13, 0, 0, 0, 0]    |0.32629605146735424 |0.28580366886752423 |53        
 [8, 17, 12, 0, 0]   |1.7339237027669807  |0.6283781630269025  |406       
 [4, 12, 0, 0, 0]    |2.2818452214417233  |1.8450094940455144  |85        
 [15, 11, 18, 0, 0]  |0.7094551753953459  |0.2268972602174538  |456       
 [15, 6, 19, 0, 0]   |0.3843036996934192  |0.18427572190724287 |294       
 [9, 13, 18, 0, 0]   |0.6856643467502173  |0.23518871102565803 |428       
 [7, 10, 9, 0, 0]    |0.4035067819796204  |0.23869660143843535 |210       
 [1, 0, 0, 0, 0]     |2.9990270107924926  |2.96177249894019    |5         
 [16, 10, 12, 13, 4] |3.0700870172936177  |0.7201511961195919  |580       
 [19, 17, 0, 0, 0]   |0.6450662243319548  |0.22857239445587796 |415       
 [7, 11, 14, 18, 2]  |15.34860574027558   |3.5290356217725973  |588       
 [14, 9, 0, 0, 0]    |0.4170510167228367  |0.2613102912549271  |187       
 [2, 7, 0, 0, 0]     |2.44832975103139    |2.2432059219192544  |35        
 [11, 8, 15, 7, 0]   |0.603291605315875   |0.2309960638439536  |384       
 [14, 18, 5, 0, 0]   |0.5609402814504646  |0.19975956126909825 |413       
 [1, 9, 3, 7, 0]     |2.984441323160699   |2.401065429746239   |87        
 [14, 3, 20, 14, 0]  |0.7598410267014979  |0.23115979763287192 |476       
 [13, 14, 19, 0, 0]  |0.9257584565573678  |0.23999386357307023 |540       
Gen 1 Train time: 8.625810074806214 minutes:
 Average MSE:        0.36586998840712937
 Average Error:      0.7885237796397903
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.36344154023789005 |0.3183395114704456  |53        
 [13, 1, 4, 6, 0]    |0.28309503479151926 |0.2215797684850617  |98        
 [15, 6, 19, 0, 0]   |0.43837312712524945 |0.21020230752445235 |294       
 [14, 3, 20, 14, 0]  |0.7474002847972328  |0.22737505940482877 |476       
 [14, 10, 19, 0, 0]  |0.5817793675588115  |0.20307823163510016 |421       
 [7, 12, 16, 0, 0]   |2.385593734444521   |1.014552916010445   |342       
 [10, 6, 7, 3, 0]    |0.327822110364142   |0.21271880193786283 |173       
 [10, 15, 3, 12, 15] |0.8568199704335439  |0.24425867984699373 |502       
 [14, 4, 11, 3, 0]   |0.3978873786537832  |0.2431476804050497  |197       
 [15, 8, 10, 0, 0]   |0.43755857929413544 |0.2205690046888152  |274       
 [15, 12, 12, 0, 0]  |0.7375919626058385  |0.2673051194732712  |406       
 [10, 2, 19, 3, 0]   |1.5529539514129878  |1.0076882966871856  |173       
 [12, 5, 10, 7, 0]   |0.3783869036296879  |0.20457143435167455 |246       
 [16, 9, 0, 0, 0]    |0.32528540256646704 |0.19194386485153964 |211       
 [9, 7, 10, 0, 0]    |0.35182371041491556 |0.2198906170449583  |188       
 [6, 13, 9, 13, 0]   |0.9874569708652632  |0.3828460392302887  |379       
 [10, 6, 7, 19, 0]   |0.7027365971659544  |0.3181370095471793  |317       
 [14, 3, 10, 0, 0]   |0.3462801119607512  |0.24524262329171256 |138       
 [14, 9, 2, 3, 0]    |0.3271558796268073  |0.1935308155773819  |210       
 [3, 6, 7, 16, 13]   |3.5454223624868324  |1.1655082943674884  |445       
 [14, 9, 2, 14, 0]   |0.4238622992774912  |0.22461967454702464 |254       
 [16, 13, 1, 0, 0]   |1.8430688978929115  |0.9038716231578048  |285       
 [15, 8, 14, 0, 0]   |0.4235504412687025  |0.19318970096265647 |314       
 [9, 7, 18, 0, 0]    |0.538019258541923   |0.2808706817379041  |260       
 [13, 7, 10, 0, 0]   |0.4097286135773932  |0.23171195394110838 |228       
Gen 2 Train time: 8.823357284069061 minutes:
 Average MSE:        0.3859169160342136
 Average Error:      1.158279047309861
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 4, 6, 0]    |0.3354798677869849  |0.262581615005655   |98        
 [16, 9, 0, 0, 0]    |0.30422612430847756 |0.17951724125290908 |211       
 [14, 9, 2, 3, 0]    |0.39720904500009974 |0.23497114134482863 |210       
 [11, 6, 9, 5, 0]    |0.4651025220076922  |0.26567077618973667 |224       
 [14, 2, 7, 3, 0]    |0.2881180139302589  |0.21291013319421284 |121       
 [9, 7, 18, 0, 0]    |0.6955057972398709  |0.3630858641618781  |260       
 [14, 4, 12, 3, 0]   |0.5038083330233432  |0.3017792844914277  |205       
 [15, 8, 6, 0, 0]    |0.41204718080899805 |0.22955389977187352 |234       
 [14, 5, 1, 2, 0]    |0.30661813668998705 |0.22153999088127949 |130       
 [15, 6, 19, 0, 0]   |0.3933981755320663  |0.1886365727183894  |294       
 [15, 9, 1, 7, 0]    |0.38798949097191804 |0.22329153603787288 |221       
 [14, 14, 3, 5, 0]   |0.519495020413158   |0.23168002686347605 |323       
 [13, 6, 13, 2, 0]   |0.4293769760824507  |0.23271982569486763 |245       
 [13, 7, 11, 2, 0]   |0.4521867626168273  |0.2408309622935743  |252       
 [3, 20, 11, 12, 13] |9.322021126844966   |1.8494336633239274  |647       
 [11, 4, 5, 0, 0]    |0.4534739590280959  |0.3427282454069947  |112       
 [15, 7, 15, 0, 0]   |0.35614739102859777 |0.17120208885905908 |293       
 [10, 6, 7, 11, 0]   |1.7794398500741135  |0.9644460574528566  |245       
 [15, 12, 20, 17, 16]|4.254092194827239   |0.23465976769439695 |1159      
 [14, 6, 11, 2, 0]   |2.7903180894628794  |1.5467494500775352  |236       
 [14, 18, 15, 15, 0] |1.9100082749950702  |0.2264134728219786  |853       
 [16, 8, 10, 0, 0]   |0.45091481309208487 |0.22113611948060882 |285       
 [10, 9, 10, 8, 17]  |0.9908203962331731  |0.29252007097163757 |488       
 [12, 4, 6, 16, 0]   |0.4281199457338703  |0.23088122559189678 |247       
 [16, 9, 4, 0, 0]    |0.3310586950143078  |0.17898386927246934 |246       
Increasing Epochs
Gen 3 Train time: 10.199551566441853 minutes:
 Average MSE:        0.2969757919486788
 Average Error:      0.6494208064419333
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 7, 3, 0]    |0.31673209854441137 |0.23405504004444663 |121       
 [16, 9, 0, 0, 0]    |0.45263453521558794 |0.26708982748405874 |211       
 [14, 5, 1, 2, 0]    |0.32398529141045335 |0.23408823522175046 |130       
 [14, 3, 10, 3, 0]   |0.33318204415895636 |0.2211163469470216  |164       
 [11, 4, 11, 3, 0]   |0.39278838553708306 |0.2529700260643281  |176       
 [15, 7, 6, 2, 0]    |0.42587355444957253 |0.24448219438662963 |222       
 [1, 8, 12, 0, 0]    |1.896489368445741   |1.3364334702218783  |140       
 [14, 8, 5, 4, 0]    |0.4321559410783326  |0.23955582939983772 |236       
 [12, 15, 5, 16, 16] |1.9770171649655823  |0.3470068448214384  |696       
 [13, 4, 9, 4, 0]    |0.3281983655271622  |0.20666894190565704 |185       
 [14, 8, 7, 5, 0]    |0.456576324874324   |0.231888321248781   |271       
 [12, 8, 5, 4, 0]    |0.3260971766482941  |0.1909851019658278  |214       
 [16, 9, 7, 0, 0]    |0.4241145537802132  |0.21113623586973299 |279       
 [15, 6, 8, 1, 0]    |0.790151013881378   |0.46976101375196144 |208       
 [15, 8, 11, 10, 0]  |0.5886950992166793  |0.214950633738489   |403       
 [15, 12, 2, 10, 0]  |0.4444456686120515  |0.2078523178398283  |304       
 [14, 12, 3, 4, 0]   |0.4616253129063538  |0.22809302520070376 |282       
 [14, 12, 19, 6, 14] |2.1148117905942323  |0.36566627467765545 |702       
 [14, 5, 1, 3, 0]    |0.2848165717401642  |0.20425012896242783 |133       
