/tmp/tmp.zrGNXCUXgw ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k1.mat
  Evaluating with: datasets/N7dataset100k1.mat
Gen 0 Train time: 8.456381158034008 minutes:
 Average MSE:        0.6548678588156346
 Average Error:      1.0897079739826028
 Structure           |Error               |MSE                 |weights&biases
 [15, 8, 0, 0, 0]    |0.3530921362095768  |0.224018588316665   |182       
 [4, 1, 4, 4, 16]    |3.346393285535546   |2.346402102349006   |142       
 [11, 18, 12, 0, 0]  |0.7752841043114655  |0.22774567557992603 |490       
 [2, 5, 7, 10, 0]    |3.7608102316095366  |2.559045714743432   |154       
 [7, 4, 14, 4, 0]    |1.4801379585100911  |0.925089581440133   |188       
 [17, 8, 20, 0, 0]   |0.4965439804287426  |0.18450416919462762 |396       
 [2, 3, 15, 4, 0]    |1.7108457990449166  |1.193616611551715   |144       
 [3, 19, 0, 0, 0]    |2.088019030391222   |1.6059504855771884  |105       
 [12, 19, 5, 0, 0]   |0.5109537625255284  |0.19321027465632434 |389       
 [10, 3, 17, 3, 6]   |1.7642880801193461  |1.0281357953738104  |216       
 [20, 6, 16, 0, 0]   |0.36502152136849475 |0.16607779356216318 |315       
 [14, 0, 0, 0, 0]    |0.3855485365677124  |0.3343428924871125  |57        
 [3, 0, 0, 0, 0]     |2.4706801505220573  |2.391673852057942   |13        
 [17, 9, 5, 0, 0]    |0.36441729234070647 |0.18600984799900952 |269       
 [4, 15, 9, 4, 19]   |0.9313376894159     |0.35482401295151067 |386       
 [16, 19, 1, 20, 0]  |0.6297866737376604  |0.20344204006881536 |452       
 [15, 5, 12, 0, 0]   |0.4079823755121482  |0.24134416280132762 |210       
 [18, 3, 7, 0, 0]    |0.252502776620742   |0.17484891272721872 |147       
 [7, 12, 12, 0, 0]   |0.5073787734519447  |0.24820569366558934 |286       
 [15, 11, 13, 9, 13] |1.0762221594464474  |0.21351608881936546 |647       
 [17, 0, 0, 0, 0]    |0.4207776445723492  |0.3541089145365547  |69        
 [20, 15, 0, 0, 0]   |0.6862934065734839  |0.2582182719754265  |391       
 [19, 9, 17, 10, 16] |1.3774494502705603  |0.1959753416945975  |780       
 [8, 15, 0, 0, 0]    |0.5074965154140735  |0.3276643773443865  |175       
 [8, 20, 7, 0, 0]    |0.5734360150648222  |0.23372526891701634 |359       
Gen 1 Train time: 8.72301394144694 minutes:
 Average MSE:        0.6283684673731288
 Average Error:      2.1373727536717966
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 7, 0, 0]    |0.2622697859519502  |0.18161220850167825 |147       
 [15, 8, 0, 0, 0]    |0.4337169010904792  |0.2751708065616572  |182       
 [17, 9, 5, 0, 0]    |0.3288508892040638  |0.16785565669040073 |269       
 [18, 3, 20, 0, 0]   |0.3739895931903039  |0.22013213315979924 |212       
 [14, 0, 0, 0, 0]    |0.478742505315285   |0.4151595423201089  |57        
 [17, 14, 3, 10, 0]  |0.49280569080119907 |0.18174688185669113 |399       
 [20, 3, 7, 0, 0]    |0.2638185468586202  |0.17728552072126932 |159       
 [13, 9, 4, 0, 0]    |0.3463851023778467  |0.20490596544836365 |210       
 [15, 11, 6, 0, 0]   |0.43252371432722736 |0.2043097359154918  |300       
