/tmp/tmp.QBuvUKH7pk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k5.mat
  Evaluating with: datasets/N7dataset100k5.mat
Gen 0 Train time: 8.203520341714222 minutes:
 Average MSE:        0.6789957479897747
 Average Error:      1.1235088405569507
 Structure           |Error               |MSE                 |weights&biases
 [19, 11, 0, 0, 0]   |0.44109173288307363 |0.21416631046218013 |289       
 [15, 19, 4, 10, 0]  |0.5406659999622407  |0.15882480079203112 |490       
 [6, 3, 0, 0, 0]     |0.48895882337014207 |0.43912243971389336 |43        
 [18, 20, 2, 6, 0]   |0.7144853148354146  |0.2041923504771379  |501       
 [6, 7, 10, 5, 0]    |0.5894043609528475  |0.3504130036497091  |208       
 [11, 17, 0, 0, 0]   |0.39792998344842645 |0.21035068548720287 |255       
 [19, 13, 0, 0, 0]   |0.35921047047556587 |0.15702554285106501 |331       
 [9, 0, 0, 0, 0]     |0.6686130316499433  |0.6095405427442275  |37        
 [19, 15, 7, 3, 9]   |0.7384925382044876  |0.19192621435514098 |539       
 [16, 9, 17, 0, 0]   |0.4650514122643084  |0.17585291993697633 |389       
 [11, 20, 9, 0, 0]   |0.8361470075671071  |0.2569301977703312  |472       
 [1, 2, 4, 7, 0]     |4.11562434381793    |3.5246831528667135  |62        
 [18, 0, 0, 0, 0]    |0.2634709637322386  |0.2195199611026993  |73        
 [18, 0, 0, 0, 0]    |0.30411659073988034 |0.253385273368305   |73        
 [17, 20, 6, 1, 18]  |0.8558473170918923  |0.19144335956196318 |599       
 [5, 9, 20, 0, 0]    |2.0404600195926754  |0.9882449194598731  |290       
 [20, 11, 0, 0, 0]   |0.34151398063233607 |0.16011440917837733 |303       
 [8, 3, 1, 16, 20]   |2.7491659758703966  |0.8969973099916408  |448       
 [3, 12, 1, 13, 0]   |1.3321729904635005  |1.0118814668693168  |110       
 [20, 6, 4, 6, 2]    |5.313962205055043   |2.767204860140334   |261       
 [17, 5, 5, 0, 0]    |0.3208625540097251  |0.2061311982512611  |177       
 [7, 16, 0, 0, 0]    |0.6706999558945445  |0.4428901971442231  |166       
 [7, 0, 0, 0, 0]     |0.5953330214795721  |0.5536988511339178  |29        
 [4, 0, 0, 0, 0]     |2.5159939167200087  |2.4113045810931597  |17        
 [12, 0, 0, 0, 0]    |0.4284465032104668  |0.3790491513426872  |49        
Gen 1 Train time: 8.259956713517507 minutes:
 Average MSE:        0.6151307150384612
 Average Error:      1.8482075106433107
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5544910111802801  |0.4619933957117016  |73        
 [18, 0, 0, 0, 0]    |1.046349959448461   |0.8718027183874891  |73        
 [17, 5, 5, 0, 0]    |0.2816515482245558  |0.18094093685700352 |177       
 [13, 8, 0, 0, 0]    |0.32804345398909446 |0.2198941031796599  |160       
 [12, 4, 5, 3, 13]   |0.35933945483914087 |0.2195911697872135  |197       
 [15, 9, 0, 0, 0]    |0.30074765356864686 |0.18286927492276525 |199       
 [13, 8, 8, 0, 0]    |0.3497787204401117  |0.19584053423375494 |232       
 [19, 6, 0, 0, 0]    |0.2629474879703648  |0.16599444878282046 |184       
 [8, 16, 13, 7, 12]  |1.5897670011235716  |0.35829001073218925 |596       
 [10, 6, 0, 0, 0]    |0.6168238093958484  |0.47679347133568084 |103       
 [20, 14, 7, 11, 1]  |13.938192271633111  |3.4285338393184874  |561       
 [11, 5, 8, 4, 7]    |0.38512497727513306 |0.22219778261167727 |220       
 [17, 5, 9, 0, 0]    |0.3352193851310382  |0.20079514283820682 |205       
 [14, 6, 11, 0, 0]   |0.36017307784029273 |0.20728293333148096 |221       
 [18, 3, 3, 0, 0]    |0.28300467056596895 |0.20601797067553593 |127       
 [18, 12, 12, 2, 5]  |0.7200123085263788  |0.2141696176762708  |485       
 [19, 17, 1, 3, 0]   |0.5977621376893076  |0.20658106702606888 |425       
 [19, 6, 12, 0, 0]   |0.407854242338212   |0.2055953386533358  |274       
 [5, 18, 16, 19, 4]  |17.88125602839093   |2.2172174635950825  |835       
 [10, 8, 0, 0, 0]    |0.36957301913837515 |0.2690368440459041  |127       
 [12, 2, 0, 0, 0]    |0.3586170788379363  |0.304830287241876   |65        
 [14, 2, 0, 0, 0]    |0.2843064997481124  |0.23569836677913386 |75        
 [9, 17, 0, 0, 0]    |0.6748917941094225  |0.3942764736550902  |215       
 [12, 9, 0, 0, 0]    |0.3201794542161437  |0.21301905739237115 |163       
 [2, 0, 0, 0, 0]     |3.599080720462333   |3.5190056271907304  |9         
Gen 2 Train time: 8.421304214000703 minutes:
 Average MSE:        0.4344027224396918
 Average Error:      0.9204798615318726
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 0, 0, 0]    |0.281327509793647   |0.1775974559639189  |184       
