/tmp/tmp.xL2VeZhOwh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.685488084952036 minutes:
 Average MSE:        0.8709179645604698
 Average Error:      1.7978182765162916
 Structure           |Error               |MSE                 |weights&biases
 [12, 16, 5, 0, 0]   |0.5734881054527751  |0.24820057664613399 |335       
 [8, 0, 0, 0, 0]     |1.09533946258309    |1.0086011054824346  |33        
 [16, 13, 11, 20, 0] |1.0098623036193086  |0.18264954597825905 |684       
 [9, 1, 19, 0, 0]    |0.28465515002092395 |0.22447816630825254 |95        
 [16, 12, 16, 0, 0]  |0.9827670014574992  |0.2982321064478607  |477       
 [10, 7, 4, 10, 13]  |0.7858279465860007  |0.3308740770079752  |346       
 [1, 1, 4, 0, 0]     |3.031372072554496   |2.897984067861283   |18        
 [8, 12, 7, 8, 11]   |2.323659215917203   |0.8591112892554555  |398       
 [12, 6, 14, 0, 0]   |0.42459718961379156 |0.24072156420905194 |227       
 [9, 18, 7, 2, 0]    |2.2583855687761205  |0.9204894016306937  |359       
 [12, 13, 0, 0, 0]   |0.3659120491690798  |0.211641329880386   |219       
 [5, 17, 16, 8, 0]   |4.021825082031274   |1.0168766281381787  |550       
 [7, 0, 0, 0, 0]     |1.2896908686453035  |1.1994973007075374  |29        
 [2, 5, 0, 0, 0]     |2.5298523571705966  |2.364723127313156   |27        
 [9, 20, 4, 0, 0]    |1.9254864804725902  |0.8738720175490264  |316       
 [19, 7, 0, 0, 0]    |0.322170020774917   |0.19297862298267726 |205       
 [10, 16, 11, 0, 0]  |0.6758060362279948  |0.2455267999922132  |405       
 [8, 0, 0, 0, 0]     |0.5277391621294284  |0.48594825669374425 |33        
 [16, 20, 0, 0, 0]   |0.4953053747511975  |0.17815865812045947 |409       
 [8, 17, 6, 8, 10]   |2.6935671971310864  |0.8921387677398471  |442       
 [5, 18, 13, 14, 14] |7.641674093864203   |1.0577211140777125  |791       
 [2, 18, 13, 10, 0]  |5.042636943579912   |1.604687684180704   |458       
 [14, 7, 8, 0, 0]    |0.3432196469616404  |0.19802051023337602 |220       
 [1, 0, 0, 0, 0]     |2.9574359111595236  |2.9206980522445405  |5         
 [4, 3, 9, 0, 0]     |1.3431816722573333  |1.1191183433307859  |73        
Gen 1 Train time: 8.922147059440613 minutes:
 Average MSE:        0.3814232660751735
 Average Error:      0.8377007630516903
 Structure           |Error               |MSE                 |weights&biases
 [9, 1, 19, 0, 0]    |0.5570733048747946  |0.4393062762728164  |95        
 [19, 7, 0, 0, 0]    |0.2695508689135476  |0.16145995018904152 |205       
 [14, 7, 8, 0, 0]    |0.456208245146122   |0.2632092605310697  |220       
 [3, 4, 14, 13, 10]  |8.756292755933506   |2.907438968102009   |441       
 [13, 18, 6, 0, 0]   |0.5199509944365152  |0.18562612416868593 |412       
 [12, 4, 14, 10, 0]  |0.5920500936341744  |0.266691150438473   |319       
 [14, 7, 8, 18, 0]   |0.5580834580066822  |0.20945491587527681 |392       
 [13, 12, 7, 0, 0]   |0.41067827435623466 |0.19110253577193423 |306       
 [15, 14, 4, 10, 0]  |0.5484663618180768  |0.2068773178643824  |390       
 [12, 10, 0, 0, 0]   |0.3114997933096296  |0.20011629542781728 |177       
 [16, 1, 10, 18, 0]  |0.46303252440556414 |0.21763020143609202 |302       
 [16, 7, 7, 0, 0]    |0.519303141739416   |0.2914847826374291  |231       
 [9, 1, 19, 14, 0]   |1.1314117665223766  |0.4486403133372625  |370       
 [15, 12, 6, 0, 0]   |0.3736791891999503  |0.16706745389778724 |322       
