/tmp/tmp.Y4VKPi54GP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k0.mat
  Evaluating with: datasets/N8dataset100k0.mat
Gen 0 Train time: 8.025855084260305 minutes:
 Average MSE:        0.7306657944695316
 Average Error:      1.6289970293329514
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 4, 0, 0]    |0.24833938272098657 |0.16563660949780573 |162       
 [1, 7, 18, 12, 0]   |5.366864016083784   |1.9645117788101996  |402       
 [15, 9, 0, 0, 0]    |0.3424472798845541  |0.208224686140295   |199       
 [2, 0, 0, 0, 0]     |2.001724556557808   |1.9571886616946794  |9         
 [18, 18, 0, 0, 0]   |0.41287985940966815 |0.1462996116183402  |415       
 [14, 7, 4, 0, 0]    |0.25212560119077854 |0.15916276864534    |184       
 [6, 0, 0, 0, 0]     |1.8648062815052935  |1.7518233804626966  |25        
 [7, 7, 20, 14, 17]  |1.682268086072194   |0.22540487129044035 |804       
 [7, 0, 0, 0, 0]     |0.7717593117351668  |0.7177869005109905  |29        
 [20, 4, 0, 0, 0]    |0.28712527819256545 |0.19783208788091913 |149       
 [4, 3, 18, 19, 1]   |11.74820531656416   |3.520843142013264   |482       
 [9, 2, 5, 3, 0]     |1.0262062903028617  |0.831826652035008   |84        
 [15, 13, 0, 0, 0]   |0.3115561654741039  |0.15982502586278455 |267       
 [18, 0, 0, 0, 0]    |0.2308624309180633  |0.19235103230089537 |73        
 [10, 0, 0, 0, 0]    |0.39420494034933906 |0.35580076568396884 |41        
 [14, 14, 9, 8, 17]  |1.0731402525412335  |0.21774930951999022 |638       
 [10, 7, 7, 0, 0]    |0.3612146455613807  |0.23556158051935508 |171       
 [15, 7, 9, 0, 0]    |0.33292669302797184 |0.1831713996653051  |239       
 [11, 4, 5, 15, 0]   |0.4630222244101269  |0.27253718235932733 |212       
 [15, 0, 0, 0, 0]    |0.2349129959623802  |0.20168664198944414 |61        
 [11, 19, 0, 0, 0]   |0.4310086937977275  |0.21349816998321142 |281       
 [1, 6, 19, 12, 1]   |9.641529109163262   |3.5204179463704532  |403       
 [14, 0, 0, 0, 0]    |0.40424481756837155 |0.3505560746824349  |57        
 [15, 0, 0, 0, 0]    |0.35872266287476207 |0.3079845326748484  |61        
 [11, 11, 13, 0, 0]  |0.4828288414552387  |0.20896404952629544 |335       
Gen 1 Train time: 8.02192436059316 minutes:
 Average MSE:        0.4639073542166006
 Average Error:      0.6574153513542571
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.21202233904903028 |0.17665375706541805 |73        
 [15, 0, 0, 0, 0]    |0.24946614791080024 |0.214181380029859   |61        
 [16, 5, 4, 0, 0]    |0.2224086326971172  |0.14834140054371703 |162       
 [17, 0, 0, 0, 0]    |0.34125471919756367 |0.28718573753684384 |69        
 [15, 20, 7, 0, 0]   |0.6315100354072578  |0.17210656226851273 |520       
 [15, 6, 4, 0, 0]    |0.23235256348597397 |0.15039360464947685 |174       
 [16, 5, 4, 9, 0]    |0.3470428111318038  |0.20427112332332653 |212       
 [11, 9, 10, 0, 0]   |0.40322978249641367 |0.21475687607938437 |252       
 [18, 5, 2, 0, 0]    |0.22494802668527727 |0.1492868141773557  |164       
 [16, 0, 0, 0, 0]    |0.23978543729069668 |0.20382147989882538 |65        
 [16, 5, 5, 0, 0]    |0.30860477153787125 |0.20226149738102656 |169       
