/tmp/tmp.uaSrFVvamn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k4.mat
  Evaluating with: datasets/N9dataset100k4.mat
Gen 0 Train time: 8.581462224324545 minutes:
 Average MSE:        1.046023272537597
 Average Error:      4.1295483280025405
 Structure           |Error               |MSE                 |weights&biases
 [16, 10, 1, 2, 12]  |0.45049308187360704 |0.2225924943968233  |282       
 [3, 0, 0, 0, 0]     |2.3689060529803556  |2.2931542408262535  |13        
 [7, 9, 12, 0, 0]    |0.9983420462436066  |0.5674178319172395  |226       
 [19, 6, 10, 1, 1]   |5.489811243574357   |2.8516388755758313  |262       
 [2, 11, 17, 0, 0]   |3.0312734872280203  |1.5785123044895708  |261       
 [7, 10, 3, 9, 0]    |0.3435028181672935  |0.21902706702488142 |180       
 [1, 12, 12, 1, 0]   |5.775872653197935   |3.5208039336378065  |198       
 [12, 19, 8, 17, 13] |1.3709634015880903  |0.16621281486313166 |844       
 [8, 16, 19, 19, 0]  |1.8672549257193856  |0.2012855762730464  |891       
 [10, 8, 6, 6, 0]    |0.40803137957615615 |0.23482582806297359 |221       
 [1, 0, 0, 0, 0]     |2.989712740349393   |2.952573932222788   |5         
 [8, 2, 0, 0, 0]     |0.23842906943536343 |0.21305958392099283 |45        
 [4, 17, 0, 0, 0]    |0.6884812427955368  |0.5164549557568627  |115       
 [19, 16, 0, 0, 0]   |0.4559405050044502  |0.17026606971797265 |394       
 [16, 20, 8, 0, 0]   |0.6340652653183899  |0.15441625202515927 |565       
 [18, 4, 13, 1, 0]   |2.3918429116563265  |1.4113746542538597  |211       
 [17, 18, 20, 20, 2] |60.10360255289405   |2.846441968937693   |1220      
 [1, 4, 15, 0, 0]    |2.4422171385413294  |1.8925143522589791  |102       
 [10, 20, 4, 6, 12]  |2.832571648399748   |0.8946568954113763  |461       
 [5, 14, 18, 2, 9]   |1.5267041028201604  |0.5031390179946407  |444       
 [7, 14, 17, 11, 8]  |1.9450340328957123  |0.34568734989468164 |691       
 [10, 17, 0, 0, 0]   |0.4977893282554359  |0.2766289152443385  |235       
 [12, 6, 9, 12, 4]   |3.653133612473775   |1.5077000187500222  |354       
 [14, 0, 0, 0, 0]    |0.24083030394336175 |0.2088450422761043  |57        
 [4, 2, 15, 0, 0]    |0.4939026551316883  |0.4013518377069015  |83        
Gen 1 Train time: 8.53929107983907 minutes:
 Average MSE:        0.44474225611271445
 Average Error:      1.1232244590374096
 Structure           |Error               |MSE                 |weights&biases
 [8, 2, 0, 0, 0]     |0.3720503354838219  |0.33246319277917646 |45        
 [14, 0, 0, 0, 0]    |0.2934673850559262  |0.2544912639111921  |57        
 [7, 10, 3, 9, 0]    |1.352124813498608   |0.8621528455930523  |180       
 [11, 19, 6, 11, 1]  |11.464057390630737  |3.522661094243989   |472       
