/tmp/tmp.XHMikoezmO ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k0.mat
  Evaluating with: datasets/N10dataset100k0.mat
Gen 0 Train time: 8.254437557856242 minutes:
 Average MSE:        0.9023384592654067
 Average Error:      1.9679703497301733
 Structure           |Error               |MSE                 |weights&biases
 [3, 0, 0, 0, 0]     |2.431120106935344   |2.3533788417496986  |13        
 [19, 0, 0, 0, 0]    |0.19555394023511943 |0.16131133420227706 |77        
 [14, 12, 1, 0, 0]   |0.287150625711145   |0.15877798510257096 |237       
 [14, 11, 2, 0, 0]   |1.4542182077858639  |0.8101534879114987  |234       
 [16, 15, 19, 0, 0]  |0.7810890613755616  |0.16290857899310213 |627       
 [20, 0, 0, 0, 0]    |0.19676105397880192 |0.16069209308624477 |81        
 [8, 7, 0, 0, 0]     |1.242664516968261   |0.9799613746136719  |95        
 [20, 1, 15, 7, 18]  |0.4463701102388013  |0.17005951286677923 |386       
 [19, 9, 14, 17, 13] |4.654372420135453   |0.5157191643455478  |880       
 [14, 9, 18, 6, 10]  |0.6119517332759205  |0.1539539315999661  |552       
 [16, 7, 6, 0, 0]    |0.237094038690624   |0.1361091109073218  |222       
 [9, 19, 1, 18, 15]  |3.7319243192810947  |0.8886285177608808  |574       
 [17, 3, 9, 12, 20]  |0.701407023196437   |0.18092604394302986 |542       
 [11, 11, 0, 0, 0]   |0.2368228595676947  |0.1521417167753999  |177       
 [16, 3, 0, 0, 0]    |0.21245853423328426 |0.16422654331582293 |103       
 [15, 1, 3, 0, 0]    |0.18982922784646197 |0.1589555919326479  |71        
 [11, 0, 0, 0, 0]    |0.4023984117735388  |0.3595821532415143  |45        
 [5, 13, 17, 0, 0]   |2.7208692620230375  |1.1370661709028291  |349       
 [3, 0, 0, 0, 0]     |3.6010251590635773  |3.4858731963808927  |13        
 [4, 8, 17, 10, 16]  |12.03309329637372   |2.8367545334507667  |578       
 [5, 9, 17, 13, 0]   |3.6059543969284227  |1.0672513144288398  |487       
 [1, 0, 0, 0, 0]     |3.529854373499543   |3.4860058182443865  |5         
 [8, 7, 11, 6, 8]    |3.192630634351787   |1.4635210746640683  |312       
 [4, 15, 0, 0, 0]    |1.2980705589052268  |1.0033846916922144  |103       
 [6, 15, 18, 0, 0]   |1.2045748708796042  |0.41111869952319324 |430       
Gen 1 Train time: 8.001445241769154 minutes:
 Average MSE:        0.4745113586179334
 Average Error:      0.9249436791930684
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 3, 0, 0]    |0.18867317323794816 |0.15798755689037608 |71        
 [19, 0, 0, 0, 0]    |0.21378423700771365 |0.1763494024291555  |77        
 [20, 0, 0, 0, 0]    |0.2060424538939176  |0.168272086936507   |81        
 [18, 2, 0, 0, 0]    |0.1934939578092588  |0.15258873355200508 |95        
 [15, 8, 1, 0, 0]    |1.2873589182487588  |0.8126886309879291  |184       
 [18, 18, 0, 0, 0]   |0.42230289744728783 |0.149638565490151   |415       
 [18, 4, 3, 0, 0]    |0.21067234511924807 |0.14515527910349474 |149       
 [20, 13, 0, 0, 0]   |0.3676325991664072  |0.1544057793067563  |347       
 [18, 1, 2, 0, 0]    |0.3036604508618229  |0.24861614961409978 |80        
