/tmp/tmp.gvWwrI1C6b ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k0.mat
  Evaluating with: datasets/N2dataset100k0.mat
Gen 0 Train time: 8.308733248710633 minutes:
 Average MSE:        0.7874900045236558
 Average Error:      2.2044482475917775
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |2.200570953971918   |2.151610972777763   |9         
 [2, 15, 13, 13, 0]  |7.3732129400078374  |2.3639963596795903  |455       
 [18, 8, 0, 0, 0]    |0.7329254806555617  |0.4281801564147991  |215       
 [7, 2, 20, 0, 0]    |0.6809141061851588  |0.506962060405967   |118       
 [1, 0, 0, 0, 0]     |3.408284034623276   |3.3659456503716667  |5         
 [8, 7, 3, 0, 0]     |0.5626015511072092  |0.422027996007591   |115       
 [17, 17, 5, 6, 20]  |2.2447873288247226  |0.4487051832648906  |644       
 [8, 17, 16, 13, 17] |6.464442354081355   |0.6134336027697135  |942       
 [17, 16, 14, 14, 0] |3.3716469184755558  |0.45402697102275946 |802       
 [6, 0, 0, 0, 0]     |0.7428513753768236  |0.6978442857579449  |25        
 [14, 18, 9, 0, 0]   |1.3875920339473722  |0.4045701616318424  |493       
 [15, 3, 0, 0, 0]    |0.5876226387676254  |0.4610861818975029  |97        
 [18, 0, 0, 0, 0]    |0.5217524176582553  |0.434716102325339   |73        
 [17, 15, 0, 0, 0]   |0.7331116401869443  |0.3157017681061121  |337       
 [14, 3, 0, 0, 0]    |0.5328787987155625  |0.4244499111175945  |91        
 [16, 15, 4, 11, 11] |2.1716902598376984  |0.5275591885917317  |566       
 [14, 19, 0, 0, 0]   |1.1040353533099019  |0.46369511163198895 |347       
 [3, 13, 15, 17, 10] |9.4830498485343     |1.513622793766181   |734       
 [12, 16, 0, 0, 0]   |0.6503748277075241  |0.3386776786694423  |261       
 [13, 6, 17, 6, 0]   |1.2270344229371888  |0.5026305960837367  |357       
 [15, 15, 14, 14, 16]|5.167423960065207   |0.4503970722243267  |976       
 [10, 11, 11, 0, 0]  |1.0968088272357872  |0.5246126477105779  |295       
 [12, 5, 20, 0, 0]   |0.813706867779824   |0.44434451127566127 |242       
 [11, 6, 4, 1, 9]    |0.7680516055077968  |0.5071754127769313  |166       
 [4, 3, 1, 11, 0]    |1.0838356442940336  |0.9212777368097397  |65        
Gen 1 Train time: 8.470644275347391 minutes:
 Average MSE:        0.6082440498244545
 Average Error:      1.5406391496279783
