/tmp/tmp.vndvSx6Wna ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k3.mat
  Evaluating with: datasets/N2dataset100k3.mat
Gen 0 Train time: 8.366546674569447 minutes:
 Average MSE:        0.7626174490308172
 Average Error:      2.596058874257315
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 8, 18, 0]   |0.8488201686187744  |0.4365257425041153  |266       
 [6, 2, 0, 0, 0]     |0.6431774363172087  |0.5892913049738571  |35        
 [18, 19, 20, 15, 9] |12.056834057779088  |0.4865729893548448  |1284      
 [10, 16, 0, 0, 0]   |0.8137539646376903  |0.4659871532299279  |223       
 [18, 2, 20, 0, 0]   |0.588220365000391   |0.38168728515397327 |173       
 [19, 2, 0, 0, 0]    |0.64872956673718    |0.505231094576489   |100       
 [6, 20, 19, 14, 0]  |11.420900905256802  |1.357228956937254   |852       
 [3, 8, 13, 13, 0]   |3.532257143241951   |1.4578125866821194  |354       
 [19, 0, 0, 0, 0]    |0.47002337449299225 |0.3877196110421538  |77        
 [19, 17, 15, 11, 0] |3.5995977123072884  |0.424570203615182   |855       
 [3, 2, 9, 0, 0]     |1.728852188626117   |1.5105256661593214  |54        
 [18, 18, 18, 6, 12] |4.432390498439058   |0.41330851897848336 |949       
 [4, 20, 15, 0, 0]   |1.9743337064564788  |0.6522880485343142  |443       
 [20, 0, 0, 0, 0]    |0.4737742624393042  |0.3869250359370696  |81        
 [19, 19, 0, 0, 0]   |1.1442967111795606  |0.3650540778970684  |457       
 [11, 1, 5, 0, 0]    |0.6088495186682157  |0.5227331693336665  |61        
 [11, 18, 8, 15, 7]  |2.8991418761288186  |0.5623756637387638  |656       
 [12, 0, 0, 0, 0]    |0.5340782018247973  |0.47250213885599573 |49        
 [5, 14, 0, 0, 0]    |1.6600609407494384  |1.2483894904824218  |114       
 [19, 15, 19, 4, 0]  |3.5859013678785874  |0.5554425309054969  |746       
 [9, 6, 9, 0, 0]     |0.8041387009714794  |0.5390302910542413  |160       
 [11, 0, 0, 0, 0]    |0.6472051012815232  |0.5783407615402673  |45        
 [2, 15, 19, 0, 0]   |7.076011438183959   |2.771005893622227   |375       
 [11, 10, 17, 0, 0]  |1.095828431611312   |0.44776382396306547 |358       
 [4, 0, 0, 0, 0]     |1.6142942176048762  |1.5471241866981102  |17        
Gen 1 Train time: 8.159597480297089 minutes:
 Average MSE:        0.5511887956845802
 Average Error:      1.4533063849893195
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.4732664109617874  |0.39039477339899    |77        
 [20, 0, 0, 0, 0]    |0.39157904297714147 |0.31979731126813615 |81        
 [12, 0, 0, 0, 0]    |0.6131173058110524  |0.5424285008740777  |49        
 [7, 13, 12, 0, 0]   |1.0895069080412214  |0.5069845323424913  |306       
 [9, 1, 0, 0, 0]     |0.5461211695721276  |0.49538779169207    |39        
 [12, 16, 0, 0, 0]   |0.9060817390140359  |0.47183508183383377 |261       
 [15, 10, 0, 0, 0]   |0.5883403958275611  |0.3428543374695326  |216       
 [18, 14, 10, 17, 20]|5.439037275605521   |0.4060017024390854  |1038      
 [16, 0, 0, 0, 0]    |0.5439948910145337  |0.4624044103627655  |65        
 [12, 1, 3, 7, 0]    |0.6188491074720917  |0.492927189625232   |91        
 [19, 8, 20, 12, 13] |2.9103793144261223  |0.3635943053296203  |832       
 [3, 8, 1, 13, 12]   |5.355955188723568   |2.8171030261748067  |257       
 [19, 1, 10, 0, 0]   |0.6772498421277345  |0.5169986420231837  |108       
 [15, 0, 0, 0, 0]    |0.4060367223389828  |0.3486064392370368  |61        
 [8, 4, 5, 0, 0]     |0.4950131541709275  |0.3942890762333385  |91        
 [20, 20, 0, 0, 0]   |1.1092874759881228  |0.3170226348585538  |501       
 [16, 1, 3, 0, 0]    |0.6126761136347496  |0.5079263382168112  |75        
 [15, 2, 13, 0, 0]   |0.6005618834065319  |0.43392238831602026 |130       
 [4, 11, 14, 19, 18] |7.479887624629706   |0.7903477570586738  |899       
 [19, 2, 10, 0, 0]   |0.725751532066055   |0.5139920065696189  |138       
 [16, 7, 17, 5, 13]  |2.0318281691133917  |0.6043728100336353  |485       
 [20, 18, 0, 0, 0]   |0.9732811611466408  |0.31049661625849245 |457       
 [10, 3, 5, 0, 0]    |0.5558425694913517  |0.44496031826843385 |89        
 [12, 1, 0, 0, 0]    |0.6348050426973555  |0.5588146994248436  |51        
 [20, 2, 0, 0, 0]    |0.5542095844746798  |0.42625720280522666 |105       
Gen 2 Train time: 8.144141141573588 minutes:
 Average MSE:        0.8140881819562185
 Average Error:      1.9921964831205983
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.4928962787961983  |0.402541728215765   |81        
 [15, 0, 0, 0, 0]    |0.500550620650371   |0.42975218723476943 |61        
 [19, 0, 0, 0, 0]    |0.44127337915310194 |0.3640039032378982  |77        
 [13, 1, 2, 0, 0]    |0.6980642658383357  |0.6008294816643576  |60        
 [13, 1, 4, 0, 0]    |0.6134761398807664  |0.5201625566130594  |66        
 [4, 6, 9, 15, 9]    |7.362790962188838   |2.6483559935200134  |409       
 [18, 0, 0, 0, 0]    |0.5560798532042032  |0.4633171944876623  |73        
 [19, 18, 7, 1, 0]   |4.591080624632743   |1.1321465432455684  |560       
 [2, 2, 12, 0, 0]    |2.583232509939381   |2.2178572465657562  |61        
 [16, 1, 7, 0, 0]    |0.5137790343786071  |0.41334941598664265 |87        
 [15, 10, 0, 0, 0]   |0.7017075063535926  |0.40891882300526633 |216       
 [18, 2, 0, 0, 0]    |0.6061217106967962  |0.47798569661162504 |95        
 [11, 2, 3, 0, 0]    |0.5849161655840616  |0.49101198176094474 |70        
 [9, 1, 18, 19, 1]   |12.597528565874205  |4.028929263240833   |456       
 [18, 2, 6, 20, 20]  |3.7286404707028984  |0.6626844678436807  |691       
 [16, 0, 0, 0, 0]    |0.4417428103189782  |0.37548849651251753 |65        
 [12, 8, 6, 0, 0]    |0.7669506302156515  |0.46401757650639175 |201       
 [18, 1, 2, 0, 0]    |0.840531539899649   |0.6881690206478354  |80        
 [20, 18, 0, 0, 0]   |1.1007868407188     |0.3511735384484311  |457       
 [9, 10, 0, 0, 0]    |0.7946139484056373  |0.5627617714102846  |138       
 [11, 1, 0, 0, 0]    |0.5535093717220402  |0.49214760602938973 |47        
 [8, 6, 20, 16, 10]  |3.849607773351719   |0.6129151722507639  |735       
 [11, 6, 4, 4, 8]    |0.801092831532578   |0.4834639902645458  |202       
 [20, 12, 9, 18, 9]  |3.4023645714957733  |0.47211657266969365 |790       
 [14, 1, 0, 0, 0]    |0.6815736724800227  |0.5881043209317669  |59        
Increasing Epochs
Gen 3 Train time: 9.12464420000712 minutes:
 Average MSE:        0.458743118401688
 Average Error:      1.0894565692637999
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.41047012429037594 |0.338594473319458   |77        
 [16, 0, 0, 0, 0]    |0.5371332419592678  |0.45657189826030964 |65        
 [20, 0, 0, 0, 0]    |0.41942321911481295 |0.3425372735388533  |81        
 [14, 1, 0, 0, 0]    |0.5196011769211359  |0.4483443384728278  |59        
 [11, 18, 14, 16, 16]|7.524158076468427   |0.5532855313542271  |1044      
 [14, 2, 5, 0, 0]    |0.5572334790219263  |0.4416352541264608  |93        
