/tmp/tmp.qnTCDFw98V ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k5.mat
  Evaluating with: datasets/N2dataset100k5.mat
Gen 0 Train time: 8.592737452189128 minutes:
 Average MSE:        0.9943065484398705
 Average Error:      2.4166700881236847
 Structure           |Error               |MSE                 |weights&biases
 [19, 15, 12, 12, 3] |8.0126097160583     |1.2349327501344054  |748       
 [18, 20, 2, 0, 0]   |1.8312100428680078  |0.5529304654021641  |479       
 [12, 13, 11, 3, 15] |1.8153418860686368  |0.559212249421616   |471       
 [5, 2, 17, 6, 0]    |1.389448141665678   |0.8576206997896827  |193       
 [10, 0, 0, 0, 0]    |0.673603954579557   |0.6079802109906703  |41        
 [4, 12, 4, 9, 0]    |1.4290573252539545  |0.9134880487122518  |179       
 [16, 6, 0, 0, 0]    |0.8213363193347505  |0.5547029091157901  |157       
 [11, 12, 12, 12, 0] |1.8298617816471472  |0.5216493995365703  |502       
 [4, 14, 14, 15, 1]  |15.477501915139577  |4.0628613043159705  |535       
 [8, 0, 0, 0, 0]     |0.8852468215683029  |0.8151453986264752  |33        
 [6, 3, 6, 0, 0]     |0.6776329714738124  |0.5688437554083918  |70        
 [13, 20, 12, 0, 0]  |1.9923231147356881  |0.462689698224206   |584       
 [15, 13, 4, 10, 11] |1.8138322409625527  |0.5301697011915942  |492       
 [2, 5, 5, 7, 16]    |4.1390438282402915  |2.28294163414362    |238       
 [16, 9, 12, 14, 11] |2.558567383518186   |0.4674081061474869  |680       
 [18, 10, 4, 16, 12] |2.295991957675238   |0.5318812524140608  |585       
 [18, 1, 3, 6, 20]   |1.1562179622926558  |0.5975927967742323  |264       
 [12, 15, 1, 0, 0]   |0.9835409630801356  |0.52776931629037    |249       
 [3, 0, 0, 0, 0]     |3.5709265155933894  |3.4567370337922823  |13        
 [16, 12, 4, 3, 0]   |1.1204532170112897  |0.4996903169735731  |323       
 [15, 14, 8, 18, 0]  |1.7910494852698007  |0.430762559232332   |570       
 [15, 0, 0, 0, 0]    |0.47042061984061734 |0.40388380706464205 |61        
 [4, 9, 0, 0, 0]     |0.8846745385360737  |0.7482370386046096  |67        
 [3, 0, 0, 0, 0]     |1.7722835037662166  |1.7156102191113836  |13        
