/tmp/tmp.CC55CH4LNh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k6.mat
  Evaluating with: datasets/N2dataset100k6.mat
Gen 0 Train time: 8.44023095369339 minutes:
 Average MSE:        1.256810769266184
 Average Error:      2.795883018885456
 Structure           |Error               |MSE                 |weights&biases
 [19, 3, 6, 16, 8]   |2.9258194960000727  |1.0817440621753094  |398       
 [7, 16, 7, 16, 2]   |11.74591923264704   |3.978901916765166   |433       
 [10, 1, 13, 14, 0]  |1.006191787631245   |0.5021646109792407  |278       
 [17, 0, 0, 0, 0]    |0.4739373311804135  |0.3988458894322074  |69        
 [1, 11, 0, 0, 0]    |3.1608782433471427  |2.8816121565021566  |37        
 [10, 0, 0, 0, 0]    |0.6415836404099544  |0.579079375072963   |41        
 [16, 9, 10, 6, 0]   |1.0991814213512099  |0.43152308967732933 |374       
 [1, 12, 14, 13, 0]  |7.962452524882618   |2.8003294151874507  |418       
 [18, 7, 5, 0, 0]    |0.7805317525037551  |0.43592727169139345 |233       
 [18, 20, 4, 6, 7]   |2.162429970750785   |0.4765095928609383  |605       
 [14, 16, 11, 5, 1]  |15.214651551020335  |3.973943320364544   |537       
 [20, 0, 0, 0, 0]    |0.4923263171686837  |0.4020762482589742  |81        
 [17, 0, 0, 0, 0]    |0.5077202168489011  |0.4272761568865036  |69        
 [10, 8, 7, 0, 0]    |0.727391048793946   |0.45348592229381585 |189       
 [1, 10, 8, 2, 0]    |4.924826332926155   |3.540574533771133   |132       
 [5, 11, 11, 3, 17]  |1.314745045110704   |0.5690100199750273  |335       
 [8, 0, 0, 0, 0]     |0.7827051032015248  |0.7207238114968546  |33        
 [6, 6, 12, 16, 17]  |2.7187247001802133  |0.523437790329594   |659       
 [4, 16, 2, 3, 0]    |1.1750431261574497  |0.8301115829280203  |139       
 [11, 7, 15, 6, 0]   |1.2276661998939726  |0.5247228652834343  |340       
