/tmp/tmp.RhNruKYaCO ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.231973445415496 minutes:
 Average MSE:        0.850187088002352
 Average Error:      1.798534653318722
 Structure           |Error               |MSE                 |weights&biases
 [19, 16, 14, 17, 0] |3.506968244681792   |0.38088869573231654 |888       
 [19, 16, 14, 20, 0] |4.528447241344714   |0.4362146276101278  |936       
 [1, 8, 0, 0, 0]     |2.9653333943698668  |2.7648585308711917  |28        
 [17, 17, 4, 0, 0]   |1.4428104434898221  |0.4875282255627538  |434       
 [17, 13, 2, 15, 0]  |1.2193845273655457  |0.47871313009154415 |374       
 [12, 6, 19, 0, 0]   |0.7948285858807422  |0.4077386788400082  |267       
 [9, 1, 0, 0, 0]     |0.6665671972607441  |0.6046446654395089  |39        
 [12, 2, 9, 20, 7]   |3.810738488006257   |1.2558630170365788  |444       
 [20, 7, 2, 19, 2]   |8.820372542409325   |3.9336356794066014  |323       
 [8, 6, 19, 6, 0]    |1.204596240513158   |0.5174431787854203  |338       
 [11, 0, 0, 0, 0]    |0.566819278840326   |0.5065082038616773  |45        
 [18, 3, 0, 0, 0]    |0.7413951244363003  |0.5561475932653911  |115       
 [9, 13, 0, 0, 0]    |0.6937029771578955  |0.4523896572807371  |171       
 [19, 0, 0, 0, 0]    |0.4637242794585147  |0.38252352333838874 |77        
 [14, 20, 0, 0, 0]   |1.1882160981928458  |0.47948297320594707 |363       
 [2, 12, 1, 0, 0]    |3.3874116827072323  |2.9375212525078966  |57        
 [10, 12, 6, 0, 0]   |0.7843555183064899  |0.42299585705110215 |247       
 [18, 3, 15, 6, 0]   |0.8645166070642744  |0.43579437492627926 |274       
 [9, 16, 19, 0, 0]   |1.9477713580299272  |0.5177233905930118  |530       
 [16, 0, 0, 0, 0]    |0.5559439898014535  |0.47256133659534016 |65        
 [9, 12, 0, 0, 0]    |0.77263377304215    |0.5179119063143036  |160       
 [14, 8, 19, 0, 0]   |0.9514050269848715  |0.3936412130940042  |353       
 [6, 0, 0, 0, 0]     |0.7913234402343855  |0.7433795766666806  |25        
 [8, 13, 2, 3, 0]    |1.2214527710717615  |0.7749482285512115  |182       
 [17, 9, 17, 0, 0]   |1.0726475023176554  |0.3936196834307826  |401       
Gen 1 Train time: 8.035679944356282 minutes:
 Average MSE:        0.6710110871652539
 Average Error:      1.3095713330650331
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.4622542930759821  |0.38131093992360093 |77        
 [16, 0, 0, 0, 0]    |0.5175229957117878  |0.43990287341666934 |65        
 [11, 0, 0, 0, 0]    |0.735772439011251   |0.657484299576016   |45        
 [17, 13, 11, 0, 0]  |1.39887995814022    |0.45301587340977206 |451       
 [14, 7, 1, 8, 0]    |0.7440220902333478  |0.4744094301612577  |180       
 [14, 7, 1, 2, 0]    |1.7675443014872994  |1.1789110612570686  |162       
 [13, 6, 3, 11, 0]   |0.775297995640671   |0.4702420047698186  |200       
 [15, 6, 3, 0, 0]    |0.6801791202640998  |0.44914967120486393 |166       
 [18, 5, 9, 0, 0]    |0.6693436296856309  |0.3929952695473601  |213       
 [19, 12, 0, 0, 0]   |0.9720223063732866  |0.44781435176150824 |310       
 [14, 8, 8, 3, 0]    |1.2088019493981301  |0.6232109242139581  |265       
 [14, 8, 11, 3, 0]   |0.9698355004107804  |0.4569739878507777  |301       
 [16, 6, 10, 0, 0]   |0.7054356941922865  |0.39596095894506184 |231       
 [14, 1, 5, 10, 4]   |5.010216120331424   |3.226761658991312   |176       
 [17, 16, 0, 0, 0]   |1.01473032270635    |0.4167048445116066  |356       
 [16, 7, 0, 0, 0]    |0.6866233449550235  |0.4433173508812011  |175       
 [17, 10, 0, 0, 0]   |0.6155803994890253  |0.33615271370161276 |242       
 [15, 15, 0, 0, 0]   |0.841520085390565   |0.3965134181153129  |301       
 [15, 0, 0, 0, 0]    |0.454645086050779   |0.39033958222246673 |61        
 [13, 6, 3, 0, 0]    |0.5882933458955795  |0.4063544104955928  |148       
 [18, 0, 0, 0, 0]    |0.4969070284134393  |0.41401530553413624 |73        
 [8, 1, 0, 0, 0]     |0.6003741077294973  |0.5500740875523225  |35        
 [14, 1, 1, 3, 0]    |1.4810105311250215  |1.2463566882857884  |69        
 [11, 12, 0, 0, 0]   |0.6768986792158505  |0.4209531733452466  |190       
 [17, 10, 20, 8, 3]  |8.665572001698504   |1.7063522994570133  |650       
Gen 2 Train time: 8.171265983581543 minutes:
 Average MSE:        0.7531404594281317
 Average Error:      1.4295870156753199
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.5680915949982263  |0.4877400914676012  |61        
 [19, 0, 0, 0, 0]    |0.521119035452085   |0.4298681314521671  |77        
 [18, 0, 0, 0, 0]    |0.4941817537462306  |0.411744648530931   |73        
 [16, 7, 11, 2, 0]   |1.3211225522503864  |0.6527779807100735  |282       
