/tmp/tmp.Qq0N0p8ZwY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k2.mat
  Evaluating with: datasets/N3dataset100k2.mat
Gen 0 Train time: 8.214054481188457 minutes:
 Average MSE:        1.0044707466197835
 Average Error:      2.0632512552634155
 Structure           |Error               |MSE                 |weights&biases
 [6, 3, 5, 12, 0]    |0.6604155727248137  |0.4607563104587438  |144       
 [16, 15, 0, 0, 0]   |0.7833699392943144  |0.3528718812405206  |319       
 [2, 0, 0, 0, 0]     |3.1900834672477525  |3.119108056851498   |9         
 [2, 8, 5, 0, 0]     |2.336618230848744   |1.9082845241264814  |81        
 [7, 14, 13, 8, 0]   |1.306222050203928   |0.42512970836357467 |449       
 [17, 9, 12, 0, 0]   |0.7140648565593098  |0.3006581165309028  |346       
 [4, 2, 8, 0, 0]     |0.8311405781369912  |0.7243675635228846  |55        
 [6, 9, 10, 15, 0]   |1.3041519620196114  |0.5275840931762141  |362       
 [16, 12, 20, 15, 3] |15.710946988434932  |1.745180048156429   |879       
 [20, 7, 18, 19, 0]  |1.9446024568576545  |0.3119406180089028  |732       
 [6, 10, 0, 0, 0]    |0.81686727896688    |0.6377693084266117  |99        
 [1, 16, 0, 0, 0]    |2.228247599694819   |1.9566140362517284  |52        
 [4, 0, 0, 0, 0]     |2.660599590569827   |2.549893280171058   |17        
 [14, 1, 17, 6, 0]   |0.6901953503349203  |0.41239213222785764 |206       
 [14, 3, 6, 14, 0]   |0.7320128167711878  |0.4181323557932042  |224       
 [17, 4, 0, 0, 0]    |0.5182402951590203  |0.3763196913025079  |128       
 [6, 10, 19, 11, 0]  |4.352518625561117   |1.15980822935493    |529       
 [15, 2, 1, 19, 0]   |0.4599999728812743  |0.3257813433891545  |138       
 [1, 17, 5, 0, 0]    |4.373112190202618   |3.1360841237528723  |133       
 [20, 0, 0, 0, 0]    |0.4168292553720371  |0.3404188184137787  |81        
 [8, 10, 13, 9, 0]   |1.2739310315715553  |0.4769266470638126  |393       
 [2, 14, 1, 0, 0]    |2.3302141481785186  |1.9807195196226108  |65        
 [12, 19, 0, 0, 0]   |0.7068673691565068  |0.33140561616367303 |303       
 [5, 0, 0, 0, 0]     |0.8051277171425136  |0.763948913412467   |21        
 [16, 0, 0, 0, 0]    |0.4349020376945433  |0.3696737297121744  |65        
Gen 1 Train time: 8.582125123341878 minutes:
 Average MSE:        0.4527791085012076
 Average Error:      1.0101497535860624
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.35628298389895835 |0.2909714969299997  |81        
 [16, 0, 0, 0, 0]    |0.41042908658917976 |0.348871327497316   |65        
 [15, 2, 1, 19, 0]   |0.5235679140288355  |0.3708014531379006  |138       
 [18, 1, 1, 5, 0]    |0.5178019565388562  |0.4124408682784688  |91        
 [11, 2, 3, 6, 0]    |0.5196386781127988  |0.40774163255484225 |97        
 [18, 0, 0, 0, 0]    |0.40608024699004686 |0.33833982599473067 |73        
 [18, 18, 14, 7, 15] |2.8368998576186124  |0.296772880902593   |903       
 [16, 10, 0, 0, 0]   |0.5770392387408122  |0.3255155616472696  |229       
 [11, 19, 5, 8, 0]   |1.2938433446674924  |0.4550341198763137  |418       
 [18, 1, 1, 10, 0]   |0.48815005155179797 |0.3745116240315601  |106       
