/tmp/tmp.P9gkfVlyKl ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.685811758041382 minutes:
 Average MSE:        0.6089518736125774
 Average Error:      1.722920988451509
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.39947968673874995 |0.3464238125324127  |57        
 [5, 5, 7, 0, 0]     |0.5679053464544377  |0.4478483905855007  |95        
 [19, 9, 18, 15, 0]  |1.9044807943193938  |0.31638654240375386 |718       
 [6, 9, 18, 0, 0]    |0.7523777216619852  |0.37361971947740547 |280       
 [3, 20, 0, 0, 0]    |0.9469188891242795  |0.7192531911339575  |110       
 [12, 18, 3, 19, 19] |2.6420245533123072  |0.3548874789383405  |803       
 [6, 12, 19, 16, 6]  |3.920072453244065   |0.5605202753735148  |778       
 [6, 1, 3, 0, 0]     |1.245069118453709   |1.14075582283701    |35        
 [11, 17, 10, 4, 0]  |1.1482402657855906  |0.3581621603569153  |466       
 [13, 18, 15, 13, 0] |2.6905614741778985  |0.3659530978634805  |798       
 [11, 0, 0, 0, 0]    |0.3901419227298758  |0.3486297871472325  |45        
 [19, 11, 16, 20, 13]|5.571358729583412   |0.35974456583548337 |1096      
 [20, 16, 12, 1, 19] |2.1012741455031456  |0.3926030991311432  |671       
 [4, 3, 16, 12, 7]   |3.406822533940995   |1.2722411733853214  |394       
 [13, 1, 1, 0, 0]    |1.1708410200113308  |1.0153387606086752  |57        
 [17, 5, 17, 3, 0]   |0.7175293965572928  |0.3380906036189304  |301       
 [10, 0, 0, 0, 0]    |0.6677333388968654  |0.602681521549876   |41        
 [17, 9, 2, 0, 0]    |0.5509991245182403  |0.30543384858528666 |236       
 [12, 17, 6, 9, 18]  |1.9624540140093094  |0.4093010779059523  |627       
 [3, 11, 20, 0, 0]   |0.9924423078043862  |0.45267248947518823 |314       
 [4, 0, 0, 0, 0]     |2.0392570474061564  |1.9544045109804582  |17        
 [1, 11, 9, 15, 0]   |2.956776275809156   |1.4001782904433573  |299       
 [7, 6, 19, 0, 0]    |0.7199450534223117  |0.41330048475533543 |222       
 [9, 19, 17, 0, 0]   |1.8344912608460602  |0.435729866899616   |575       
 [10, 3, 19, 16, 0]  |1.773828236976776   |0.5396362684902879  |476       
Gen 1 Train time: 8.276416742801667 minutes:
 Average MSE:        0.6336276525729586
 Average Error:      1.3092790098809481
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.5635311252095073  |0.5035699185002924  |45        
 [14, 0, 0, 0, 0]    |0.5557806952252144  |0.48196610181520283 |57        
 [17, 9, 2, 0, 0]    |0.6099415305468255  |0.3381072324748312  |236       
 [6, 3, 4, 0, 0]     |0.45830036909576566 |0.3944627832792736  |60        
 [14, 13, 6, 2, 0]   |0.8619273666581604  |0.37024724259121855 |338       
 [4, 6, 6, 8, 0]     |1.8139915919637932  |1.2498577147078989  |149       
 [12, 5, 3, 0, 0]    |0.4650068611453293  |0.3419115782923397  |123       
 [13, 0, 0, 0, 0]    |0.42004961725175355 |0.36792269222099855 |53        
 [6, 8, 11, 13, 20]  |2.754839187272476   |0.5702725181874108  |630       
 [8, 3, 4, 0, 0]     |0.6038152035100343  |0.5043488526891665  |72        
 [8, 6, 5, 8, 0]     |0.7189612202668186  |0.4700351224905308  |170       
 [14, 5, 1, 0, 0]    |0.5432090694608529  |0.39742024500312195 |125       
 [11, 4, 0, 0, 0]    |0.4307543772113984  |0.3474212557587688  |86        
 [12, 14, 3, 5, 9]   |1.062718777004635   |0.44634213973241554 |347       
 [5, 0, 0, 0, 0]     |1.3369746839499923  |1.2685942060081643  |21        
 [13, 2, 0, 0, 0]    |0.40976724267665154 |0.3439819887461547  |70        
 [15, 4, 1, 5, 20]   |0.7094553772698927  |0.3657673960379337  |265       
 [10, 5, 9, 0, 0]    |0.5768474051958616  |0.39745342965606834 |149       
 [9, 12, 5, 10, 10]  |0.9612111251253515  |0.3598524470048749  |393       
 [7, 4, 2, 0, 0]     |1.2250334391456579  |1.0386981403487703  |66        
