/tmp/tmp.VOx1pUDU06 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.278408881028493 minutes:
 Average MSE:        0.7572695454028278
 Average Error:      1.5889028174926116
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |0.6331186875479707  |0.5888420048588789  |29        
 [12, 0, 0, 0, 0]    |0.5415987199352731  |0.4791555856365681  |49        
 [12, 11, 10, 15, 0] |1.0519011379707408  |0.3168265342606459  |480       
 [1, 13, 9, 7, 0]    |6.546611536282908   |3.656284957890269   |233       
 [2, 10, 15, 0, 0]   |3.5502320587208405  |2.0637257588239786  |217       
 [13, 15, 0, 0, 0]   |0.6727595588362673  |0.34684846979679546 |265       
 [16, 10, 4, 5, 0]   |0.7071351942799713  |0.3399239343487612  |293       
 [1, 10, 0, 0, 0]    |3.3658752288474116  |3.091597745458914   |34        
 [9, 2, 0, 0, 0]     |0.501790848859473   |0.4428288698637798  |50        
 [6, 7, 7, 0, 0]     |0.7172579101887195  |0.5169444817246303  |131       
 [17, 16, 3, 14, 8]  |1.893217674680291   |0.4496786128160613  |575       
 [11, 7, 3, 4, 20]   |0.6733506989270386  |0.33605212836741727 |278       
 [19, 8, 10, 0, 0]   |0.6792870594580785  |0.3067532891770154  |318       
 [10, 0, 0, 0, 0]    |0.5098044139920818  |0.4601383247168476  |41        
 [18, 0, 0, 0, 0]    |0.3522638251018966  |0.2935008096863554  |73        
 [5, 6, 0, 0, 0]     |0.5767475590019334  |0.49889949603387507 |58        
 [8, 19, 0, 0, 0]    |0.6185903204195865  |0.36138476167731165 |215       
 [19, 2, 0, 0, 0]    |0.46680535973820614 |0.3635483797060438  |100       
 [12, 16, 19, 6, 0]  |1.7261859043275618  |0.3044995392548388  |694       
 [4, 0, 0, 0, 0]     |1.936518583515756   |1.8559409467456303  |17        
 [17, 14, 20, 14, 0] |3.8162270571876395  |0.39033975719080766 |912       
 [11, 19, 2, 0, 0]   |0.7451701723777513  |0.34849107203026114 |304       
 [15, 1, 8, 6, 0]    |0.5460306302362332  |0.3867100059501507  |138       
 [12, 13, 16, 20, 17]|6.472261610389145   |0.3706583985407636  |1144      
 [9, 3, 0, 0, 0]     |0.42182868649251876 |0.3621647705140957  |61        
Gen 1 Train time: 8.353439056873322 minutes:
 Average MSE:        0.7810185389769313
 Average Error:      1.7983769882907226
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.3773608151013984  |0.3144112363627632  |73        
 [9, 3, 0, 0, 0]     |0.5174702083853092  |0.4442786497666762  |61        
 [19, 2, 0, 0, 0]    |0.433649088758161   |0.33772624990305694 |100       
 [14, 6, 9, 11, 0]   |0.7198362582430707  |0.3258782244793218  |317       
 [7, 4, 20, 2, 1]    |6.017724428140414   |3.649934367368835   |200       
 [12, 15, 2, 3, 0]   |0.8603904181090796  |0.43155124377725207 |276       
 [15, 0, 0, 0, 0]    |0.37506420681775005 |0.32201471056807995 |61        
 [14, 2, 6, 0, 0]    |0.43504543264390444 |0.34136437954537274 |97        
 [13, 0, 0, 0, 0]    |0.5710647820282745  |0.5001973181432849  |53        
 [11, 1, 9, 0, 0]    |0.5351856411024934  |0.44590845781753624 |73        
 [15, 1, 0, 0, 0]    |0.4320827785631871  |0.36911829928605766 |63        
