/tmp/tmp.7VoqxE89GI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k7.mat
  Evaluating with: datasets/N3dataset100k7.mat
Gen 0 Train time: 8.41253728866577 minutes:
 Average MSE:        0.9359934507965102
 Average Error:      1.9904437014684027
 Structure           |Error               |MSE                 |weights&biases
 [7, 18, 0, 0, 0]    |0.6044584723315782  |0.38158474797102604 |184       
 [11, 19, 3, 11, 0]  |0.9376325160724744  |0.3653508403408967  |377       
 [3, 0, 0, 0, 0]     |2.7660515048161125  |2.6775999540516637  |13        
 [1, 16, 13, 16, 7]  |14.517203894155733  |3.1830327000176664  |607       
 [8, 0, 0, 0, 0]     |0.7116501084016899  |0.6552955595683109  |33        
 [5, 18, 8, 7, 0]    |1.0815277436159743  |0.4553789356590293  |346       
 [3, 0, 0, 0, 0]     |2.4560230999360337  |2.377485498042358   |13        
 [12, 0, 0, 0, 0]    |0.5658764737500953  |0.5006342577953055  |49        
 [15, 5, 0, 0, 0]    |0.6226696457021815  |0.4487725164278512  |131       
 [16, 1, 1, 14, 12]  |3.5386444293998585  |1.7224431590505678  |288       
 [2, 10, 3, 0, 0]    |2.9145570955389917  |2.428364215855444   |73        
 [13, 0, 0, 0, 0]    |0.5465613446580624  |0.4787346854550286  |53        
 [14, 7, 8, 7, 0]    |0.6523641715023752  |0.3223387306768277  |282       
 [14, 6, 13, 8, 20]  |1.3592994510640146  |0.355926673564727   |536       
 [18, 7, 8, 15, 5]   |1.0050295276156882  |0.30882420550263945 |472       
 [17, 15, 12, 14, 12]|3.0064414861557585  |0.32652693054575915 |888       
 [14, 12, 0, 0, 0]   |0.4649695171859257  |0.2583904592965164  |235       
 [13, 5, 11, 6, 0]   |0.7300267898897511  |0.3868671033851322  |254       
 [17, 12, 0, 0, 0]   |0.7284752669310184  |0.3617501117334679  |280       
 [2, 8, 20, 6, 0]    |5.690953228328959   |2.4142236394053507  |343       
 [19, 0, 0, 0, 0]    |0.4565903579031241  |0.3766387919808368  |77        
 [14, 3, 11, 4, 0]   |0.5814927986828182  |0.3670868937885145  |184       
 [17, 1, 13, 4, 4]   |2.4161663774125492  |1.556099146450197   |176       
 [17, 7, 14, 0, 0]   |0.6171354002588603  |0.2886135076203914  |304       
 [7, 2, 12, 14, 0]   |0.7892918354004318  |0.40187300572724666 |270       
Gen 1 Train time: 8.167131125926971 minutes:
 Average MSE:        0.4165971785657189
 Average Error:      0.6913849923578482
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.5165460540767041  |0.4260959050983645  |77        
 [14, 12, 0, 0, 0]   |0.6101584424889127  |0.3390740992066253  |235       
 [13, 0, 0, 0, 0]    |0.6542477444260277  |0.573057518975123   |53        
 [12, 0, 0, 0, 0]    |0.6889265556442665  |0.609497391850858   |49        
 [12, 13, 7, 0, 0]   |0.9579681300679374  |0.4402375687872683  |311       
 [9, 9, 4, 4, 0]     |0.5232814861705025  |0.3319948755658042  |182       
 [16, 12, 0, 0, 0]   |0.5538592325931281  |0.28554812010409125 |265       
 [18, 7, 6, 3, 0]    |0.5816040770074269  |0.30362395214871596 |260       
 [13, 3, 1, 3, 0]    |0.5564638361367037  |0.4388256511208078  |95        
 [17, 16, 14, 0, 0]  |1.2605134091173968  |0.28694035862828343 |592       
 [14, 6, 10, 7, 0]   |0.7579917308889327  |0.3698777244149618  |287       
 [11, 15, 0, 0, 0]   |0.6331779446416473  |0.3571841573936142  |229       
 [12, 11, 11, 2, 15] |1.0697897428789136  |0.3975089327482718  |396       
 [18, 4, 7, 0, 0]    |0.5448197905611964  |0.35352530978304564 |173       
 [14, 4, 4, 4, 0]    |0.5269260310756804  |0.36487695246074026 |147       
 [12, 12, 7, 9, 0]   |0.9008206323714127  |0.3616967529116526  |365       
 [14, 0, 0, 0, 0]    |0.4051405738398865  |0.3513328633727719  |57        
 [4, 17, 0, 0, 0]    |1.8657261346148226  |1.3995493971548576  |115       
 [17, 6, 0, 0, 0]    |0.4984028256430237  |0.32911546178927087 |166       
 [11, 4, 4, 4, 0]    |0.5068237089434726  |0.3698743040027249  |126       
 [12, 3, 0, 0, 0]    |0.4643040700025569  |0.38109155987072363 |79        
 [13, 7, 7, 0, 0]    |0.5324728268391195  |0.32215470061733004 |201       
 [14, 6, 0, 0, 0]    |0.4552337973359366  |0.3216008329367751  |139       
 [13, 6, 16, 0, 0]   |0.6034760516837046  |0.3214063972307556  |252       
 [15, 6, 4, 4, 0]    |0.6159499798968924  |0.3792386759695344  |194       
Gen 2 Train time: 8.3459059993426 minutes:
 Average MSE:        0.4967605917028182
 Average Error:      1.3824533543228261
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.43752447841299813 |0.37941578237796236 |57        
 [14, 6, 0, 0, 0]    |0.49962000890947234 |0.35295756149360313 |139       
 [12, 3, 0, 0, 0]    |0.5650241855979258  |0.4637606305131312  |79        
 [15, 2, 2, 2, 0]    |0.502285136514963   |0.39908241899911245 |92        
 [14, 6, 14, 0, 0]   |0.5103513769882115  |0.27660748039975436 |245       
 [13, 2, 0, 0, 0]    |0.4725477095995337  |0.3966834924717371  |70        
 [13, 3, 2, 0, 0]    |0.41417258787402017 |0.3290740383016739  |92        
 [11, 6, 3, 4, 0]    |0.6118269290421245  |0.42366771071562537 |147       
 [15, 3, 0, 0, 0]    |0.5044506581552959  |0.39582414389668746 |97        
 [19, 2, 4, 0, 0]    |0.44593002797735926 |0.33534573746801527 |114       
 [17, 2, 2, 2, 19]   |0.5497218602931215  |0.35404089949434864 |176       
 [15, 5, 0, 0, 0]    |0.39464755780952526 |0.28443168675833536 |131       
 [13, 4, 4, 19, 0]   |0.6682826548530735  |0.37604590362506274 |230       
 [13, 4, 4, 4, 0]    |0.49391276926569766 |0.3480544458615241  |140       
 [13, 5, 4, 0, 0]    |0.45510515343102914 |0.3223147326279408  |138       
 [13, 0, 0, 0, 0]    |0.626413561208818   |0.5486774762267194  |53        
 [14, 5, 10, 2, 0]   |0.5381514135245133  |0.32477737848598665 |202       
 [19, 17, 11, 8, 12] |2.472753242551671   |0.32476033578214974 |812       
 [13, 18, 9, 2, 0]   |1.3438262390571565  |0.3997247664158061  |485       
 [14, 3, 2, 2, 0]    |1.3942824729905814  |1.075063711857506   |104       
 [16, 15, 0, 0, 0]   |0.7686899551174947  |0.34625922817175225 |319       
 [3, 13, 17, 16, 7]  |18.053973968802932  |3.0294037713389934  |714       
 [11, 11, 6, 7, 0]   |0.7121660166162906  |0.34148749266391654 |294       
 [15, 8, 0, 0, 0]    |0.4591990972658021  |0.29133793414394893 |182       
 [20, 10, 4, 0, 0]   |0.6664747962110424  |0.3002160324791647  |319       
Gen 3 Train time: 8.481062956651051 minutes:
 Average MSE:        0.716789397619128
 Average Error:      1.1742844034291966
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.5159679941940012  |0.37187015096833975 |131       
 [13, 3, 2, 0, 0]    |0.41216488220764746 |0.32747884868580446 |92        
 [14, 0, 0, 0, 0]    |0.5272404495894791  |0.45721635600344934 |57        
 [15, 1, 1, 1, 0]    |2.6288756062542453  |2.223441517530875   |67        
 [8, 5, 0, 0, 0]     |0.4977490172639128  |0.4126484288574625  |75        
 [16, 7, 17, 5, 0]   |1.3785744148722177  |0.5084186444825617  |399       
 [11, 1, 1, 1, 0]    |2.379330819942212   |2.094509254886568   |51        
 [14, 5, 4, 11, 0]   |0.5051675841686704  |0.30033250895673713 |208       
 [15, 4, 4, 2, 0]    |0.48504339163118687 |0.34009954501560336 |142       
 [16, 3, 3, 10, 0]   |0.4692954255341645  |0.31300916627324765 |162       
 [17, 2, 0, 0, 0]    |0.43823163299429707 |0.34993506651935313 |90        
 [14, 3, 2, 1, 0]    |1.1804555931482097  |0.9193397403248454  |100       
 [15, 7, 7, 4, 0]    |0.5812382259245212  |0.3111144031182028  |250       
 [15, 3, 2, 1, 10]   |0.4802684655247414  |0.34269651196444106 |135       
 [13, 3, 1, 0, 0]    |0.5043699028767564  |0.40577950995508305 |87        
 [14, 5, 2, 18, 0]   |0.5385882889743988  |0.3250410352557597  |202       
 [14, 3, 2, 1, 0]    |0.42829601188074534 |0.3335572694390842  |100       
 [17, 6, 2, 2, 0]    |1.5826475427933642  |1.0041075175035064  |182       
 [15, 5, 1, 1, 0]    |3.2693072666826004  |2.3328206560636877  |135       
 [15, 5, 5, 1, 0]    |0.631203058032702   |0.4199466226666109  |163       
 [15, 7, 0, 0, 0]    |0.552613578988029   |0.365826429689048   |165       
 [14, 2, 1, 1, 15]   |1.3964543609618587  |1.026788966927667   |123       
 [14, 3, 5, 1, 0]    |1.3493413617884846  |1.012190296534095   |115       
 [13, 3, 2, 10, 18]  |0.8486856990354407  |0.36638654735736453 |336       
 [7, 2, 14, 16, 20]  |5.775999510466025   |1.0551799454988036  |680       
Increasing Epochs
Gen 4 Train time: 9.980922377109527 minutes:
 Average MSE:        0.561316817220585
 Average Error:      2.038811581013479
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 2, 0, 0]    |0.5130529210147085  |0.4076377856086748  |92        
 [14, 3, 2, 1, 0]    |1.3122168020310185  |1.021955472981212   |100       
 [17, 2, 0, 0, 0]    |0.4313256451423997  |0.3444205232130578  |90        
 [14, 3, 4, 1, 0]    |0.48994601945495364 |0.3721493382630209  |110       
 [14, 4, 3, 6, 0]    |0.4346376508942889  |0.30021914686025886 |148       
 [14, 2, 1, 1, 0]    |0.5271792407346662  |0.4326982513462164  |79        
 [1, 14, 18, 20, 9]  |27.809740346082506  |3.0814070635823656  |880       
 [15, 12, 3, 2, 18]  |0.9096312106443558  |0.3726125926672131  |357       
 [11, 4, 1, 1, 0]    |2.070615269533281   |1.6534198755331437  |90        
 [12, 5, 2, 1, 0]    |1.3504205077165499  |1.0054307243567222  |118       
 [9, 8, 18, 7, 11]   |1.339419990630361   |0.38183628995773977 |502       
 [14, 16, 1, 5, 9]   |0.8958167664194606  |0.352565313035982   |373       
 [15, 3, 1, 0, 0]    |0.44273756640318684 |0.34566745273058    |99        
 [16, 1, 0, 0, 0]    |0.44315583517789175 |0.37481084320856983 |67        
 [19, 16, 10, 14, 17]|3.5416748993344878  |0.31024274195835744 |974       
 [11, 5, 2, 6, 0]    |0.5404247694821096  |0.3904716785365356  |130       
 [15, 6, 1, 9, 0]    |0.5707935087652625  |0.36761180856266834 |176       
 [15, 17, 6, 8, 0]   |1.1142983248846607  |0.3273337133924828  |490       
 [15, 4, 0, 0, 0]    |0.3708154586783168  |0.27885851064807426 |114       
