/tmp/tmp.mGcDeh8hIW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.392814711729686 minutes:
 Average MSE:        0.8747034314585511
 Average Error:      1.9789420721630528
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.37717621259024947 |0.3174157680479559  |69        
 [17, 0, 0, 0, 0]    |0.34310743466763394 |0.2887449055974913  |69        
 [8, 12, 0, 0, 0]    |0.5908035143416536  |0.41116043827228843 |145       
 [5, 10, 8, 4, 17]   |0.9391406180263709  |0.44140605919699194 |302       
 [14, 15, 20, 4, 0]  |1.7729652967824538  |0.32714671261838735 |676       
 [13, 13, 15, 0, 0]  |0.6372077788099928  |0.20842844351467166 |447       
 [2, 5, 3, 16, 0]    |2.5607422221218124  |1.8970444966168292  |120       
 [1, 1, 19, 0, 0]    |3.609383211629895   |3.0834123891231267  |63        
 [2, 5, 14, 19, 9]   |10.705130671612284  |2.5111055857218436  |580       
 [16, 6, 6, 10, 0]   |0.5547182570206721  |0.2803279982310456  |273       
 [18, 15, 10, 20, 6] |2.605793097190323   |0.3096654000093871  |852       
 [1, 12, 7, 13, 0]   |4.737262638445748   |2.625993935443858   |236       
 [18, 8, 7, 0, 0]    |0.5402347845344869  |0.2702922635729731  |277       
 [14, 10, 17, 14, 8] |2.189323280454689   |0.3274540600895776  |760       
 [11, 1, 0, 0, 0]    |1.1016438975304856  |0.9795162188126074  |47        
 [15, 17, 0, 0, 0]   |0.792007051779647   |0.3427736427145486  |335       
 [4, 20, 0, 0, 0]    |1.7314054671465602  |1.24164049791864    |133       
 [13, 0, 0, 0, 0]    |0.5419290887212539  |0.47467727888844713 |53        
 [13, 6, 4, 0, 0]    |0.45517217326616133 |0.3081774489901242  |156       
 [16, 0, 0, 0, 0]    |0.3612076271366626  |0.30703229497829937 |65        
 [17, 0, 0, 0, 0]    |0.3450318269812107  |0.2903643938999075  |69        
 [8, 8, 19, 6, 0]    |2.5210651672692403  |0.9414646271219688  |394       
 [9, 18, 5, 0, 0]    |0.8516271100699783  |0.39431448129052454 |308       
 [1, 16, 8, 12, 9]   |8.252764116882068   |2.9908217687924474  |406       
 [18, 0, 0, 0, 0]    |0.35670925906478507 |0.29720467699983155 |73        
Gen 1 Train time: 8.327307124932608 minutes:
 Average MSE:        0.2967227251306221
 Average Error:      0.5880623930199076
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3747730399234488  |0.3153933581707639  |69        
 [17, 0, 0, 0, 0]    |0.3685289103826408  |0.3101385591992825  |69        
 [18, 0, 0, 0, 0]    |0.32615464981411296 |0.27174704577094105 |73        
 [15, 7, 8, 0, 0]    |0.446218852029761   |0.251089520590597   |230       
 [17, 0, 0, 0, 0]    |0.41782944371629926 |0.3516278316690639  |69        
 [18, 12, 0, 0, 0]   |0.5817517698202527  |0.2782566375262296  |295       
 [12, 1, 2, 14, 0]   |0.4133279926997513  |0.31395242100326437 |110       
 [18, 19, 0, 0, 0]   |0.646622544377526   |0.21794935749154692 |435       
 [17, 8, 14, 0, 0]   |0.6290514236195083  |0.2715681193545857  |336       
 [15, 3, 2, 0, 0]    |0.3735147571810883  |0.2879991458455121  |104       
 [15, 10, 10, 5, 0]  |0.6204969602245614  |0.24238338441906274 |376       
 [17, 11, 13, 0, 0]  |0.632342013079482   |0.2218342336549403  |419       
 [17, 17, 0, 0, 0]   |0.6602045289876163  |0.2585398083090564  |375       
 [14, 12, 2, 0, 0]   |0.505549452581775   |0.2699254642947312  |251       
 [7, 7, 6, 17, 0]    |0.9276351710370747  |0.48185272657178724 |262       
 [17, 19, 0, 0, 0]   |0.8218596570073234  |0.2926770102586266  |413       
 [13, 3, 3, 5, 0]    |0.3570289196150863  |0.26515559001506117 |119       
 [16, 3, 2, 0, 0]    |0.4093727611923515  |0.3109481374093424  |110       
 [16, 7, 8, 11, 0]   |0.6041245994224032  |0.25692403745366016 |342       
 [13, 6, 0, 0, 0]    |0.48117971559714534 |0.34766550653665035 |130       
 [18, 17, 15, 0, 0]  |1.4249271895822229  |0.27161238542783706 |663       
 [18, 4, 4, 16, 0]   |0.48263107579324743 |0.2602785864061294  |247       
 [4, 4, 17, 7, 8]    |1.2299074419133824  |0.558187091191425   |316       
 [16, 12, 3, 5, 0]   |0.5954049825485948  |0.2695467425226012  |317       
 [18, 2, 20, 0, 0]   |0.3711219733510357  |0.2408154271728553  |173       
Gen 2 Train time: 8.506605315208436 minutes:
 Average MSE:        0.47295542254370615
 Average Error:      1.026577662796962
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.3761317043449795  |0.3133871601548278  |73        
 [13, 3, 3, 5, 0]    |0.39261614042777804 |0.2915852432256713  |119       
 [17, 0, 0, 0, 0]    |0.3578596679774448  |0.30115976981784776 |69        
 [14, 3, 3, 3, 0]    |0.4107714955011296  |0.3081347193625992  |115       
 [16, 8, 15, 7, 1]   |10.658124991395637  |3.5389232396195687  |441       
 [16, 18, 1, 0, 0]   |4.01418987042513    |1.5719793398074917  |375       
 [16, 6, 1, 0, 0]    |0.3854252106856151  |0.2590049486252468  |159       
 [16, 11, 2, 18, 0]  |0.6516593938647486  |0.2841556136194481  |332       
 [18, 4, 10, 4, 5]   |0.5317942296664203  |0.2811129731393274  |255       
 [17, 3, 11, 0, 0]   |0.37992978661711563 |0.25403866087053134 |161       
 [17, 12, 4, 6, 0]   |0.6455265747015067  |0.2650892014556904  |356       
 [18, 9, 0, 0, 0]    |0.45418059998648364 |0.2523948979372516  |235       
 [18, 6, 0, 0, 0]    |0.36890339625194124 |0.2381819341843106  |175       
 [18, 5, 17, 0, 0]   |0.6962582913386125  |0.35539174913483834 |269       
 [15, 1, 1, 7, 0]    |0.38521822345576556 |0.31147216861018173 |85        
 [17, 6, 7, 0, 0]    |0.4571383193168374  |0.26639655667506984 |216       
 [17, 7, 2, 3, 0]    |0.47309453298999593 |0.28267426477215996 |206       
 [14, 9, 1, 0, 0]    |0.5119707408921341  |0.3191839162797929  |189       
 [15, 5, 13, 0, 0]   |0.5039905976702461  |0.2929663079522553  |217       
 [6, 8, 3, 3, 0]     |0.47189134232918895 |0.3522174540881061  |117       
 [14, 3, 3, 15, 0]   |0.49502588744453296 |0.31961273477222224 |175       
 [18, 9, 0, 0, 0]    |0.40291352447775625 |0.2239050234447002  |235       
 [15, 2, 11, 7, 0]   |0.5631886166649096  |0.3398874701743152  |202       
 [17, 5, 14, 0, 0]   |0.5569816161091309  |0.3056779920111471  |240       
 [15, 5, 6, 8, 0]    |0.5196568153890111  |0.29535222385805443 |226       
Increasing Epochs
Gen 3 Train time: 10.11587988138199 minutes:
 Average MSE:        0.4476058602864048
 Average Error:      0.8099332004456388
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.36507197894575194 |0.3072293498947147  |69        
 [18, 6, 0, 0, 0]    |0.40285112836737813 |0.26010023740021126 |175       
 [18, 0, 0, 0, 0]    |0.3114252258011474  |0.25947471586942894 |73        
 [17, 6, 1, 9, 0]    |0.43563166607121306 |0.268217195621801   |194       
 [18, 11, 11, 7, 11] |1.0778586908768386  |0.25346649846639857 |579       
 [14, 3, 3, 9, 0]    |0.37904796426972864 |0.26379248486534    |145       
 [17, 6, 7, 0, 0]    |0.4094660159891891  |0.23861560522424002 |216       
 [16, 1, 6, 4, 0]    |0.944697892336072   |0.717566183887863   |110       
 [9, 20, 1, 2, 13]   |0.764147928136558   |0.35647403127022737 |305       
 [18, 6, 9, 0, 0]    |0.360477053902776   |0.1973400344388047  |241       
 [18, 5, 9, 2, 3]    |0.52694391354729    |0.29209938880404407 |236       
 [18, 6, 4, 0, 0]    |0.4193116961045214  |0.25369038026932184 |201       
 [16, 2, 4, 2, 0]    |0.3948981501673811  |0.30221173590393735 |107       
 [17, 2, 5, 2, 3]    |2.0121082752106614  |1.4647477824636304  |127       
 [17, 6, 11, 0, 0]   |0.421373692745489   |0.22667563416116326 |248       
 [17, 3, 7, 0, 0]    |0.488076850708088   |0.3430831626259557  |141       
 [16, 4, 2, 5, 0]    |0.44251167257362534 |0.3064231049419897  |147       
 [15, 3, 4, 6, 0]    |0.48073687606900184 |0.33372592932064304 |146       
 [15, 20, 2, 11, 0]  |0.9769786896278618  |0.31559660756563374 |452       
 [18, 7, 5, 2, 3]    |0.5023432291572709  |0.2675438851404914  |252       
 [5, 1, 15, 3, 10]   |2.386668528571886   |1.6403316917152826  |150       
 [20, 1, 3, 14, 8]   |1.584098414886895   |0.8025311745610967  |272       
 [11, 7, 2, 2, 0]    |1.3271288033043132  |0.9305474725941574  |142       
 [18, 3, 7, 13, 0]   |0.6103480066507336  |0.3210283051239108  |257       
 [14, 6, 14, 17, 19] |2.224127667119298   |0.2676339150298345  |847       
Gen 4 Train time: 10.22634748617808 minutes:
 Average MSE:        0.5917440190784741
 Average Error:      1.2339344988446532
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.29828407720227    |0.248525712653264   |73        
 [18, 6, 9, 0, 0]    |0.373122196159942   |0.2042625078153924  |241       
 [17, 0, 0, 0, 0]    |0.3357428237456792  |0.2825471562322466  |69        
 [18, 4, 4, 0, 0]    |0.33709486681358164 |0.22880369174748144 |155       
 [16, 2, 2, 5, 0]    |0.3642968648627996  |0.27740238292485236 |109       
 [17, 1, 2, 1, 0]    |0.3941582273537063  |0.3243270502245533  |78        
 [17, 6, 6, 5, 0]    |0.5872773258970713  |0.32069712901774494 |242       
 [4, 17, 1, 19, 9]   |2.6347768057666756  |1.1177284707550827  |343       
 [18, 6, 7, 0, 0]    |0.33111621410218706 |0.18866433178535322 |225       
 [13, 10, 2, 15, 10] |0.9389740055288156  |0.331056082871647   |417       
 [17, 5, 4, 3, 0]    |0.48660888877318526 |0.3071882332408106  |184       
 [20, 5, 16, 17, 7]  |1.920792714940111   |0.347405696840837   |684       
 [18, 9, 11, 4, 3]   |0.8503826853446718  |0.31127801950064826 |402       
 [16, 5, 6, 3, 0]    |0.510413997174432   |0.3142604672495516  |194       
 [18, 12, 11, 1, 2]  |2.8401943733482287  |0.9360115069322399  |444       
 [17, 4, 7, 5, 2]    |2.570322215600435   |1.5091268925916028  |213       
 [18, 19, 3, 1, 2]   |5.090525046505268   |1.5104097593127734  |486       
 [18, 5, 4, 10, 0]   |0.47795368333372096 |0.26627079865993547 |234       
 [17, 4, 4, 1, 0]    |0.48344444986541085 |0.33226618728349655 |150       
 [16, 3, 4, 5, 0]    |0.36900943839301165 |0.25616511627479255 |146       
 [17, 4, 8, 1, 0]    |2.489751262243074   |1.6115280218628798  |174       
 [18, 7, 3, 6, 2]    |2.9908791553065726  |1.592917715918715   |252       
 [17, 4, 7, 2, 2]    |2.1540429334087308  |1.3632158587257757  |183       
 [17, 5, 2, 3, 0]    |0.4679859995031433  |0.3090300062779076  |166       
 [18, 7, 5, 1, 2]    |0.551212219943607   |0.3025116802622713  |240       
Gen 5 Train time: 10.246885720888773 minutes:
