/tmp/tmp.6Laj1LFqGq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.742922925949097 minutes:
 Average MSE:        0.3985902824664779
 Average Error:      0.8822656798503048
 Structure           |Error               |MSE                 |weights&biases
 [9, 19, 4, 0, 0]    |0.7637546724573955  |0.3589728031050211  |302       
 [8, 8, 13, 16, 0]   |0.9888937005545221  |0.3178523110064509  |454       
 [19, 1, 0, 0, 0]    |0.39997212953244593 |0.3282891807248115  |79        
 [7, 0, 0, 0, 0]     |1.390533203196938   |1.2932873018872688  |29        
 [15, 15, 13, 0, 0]  |0.8497157618389829  |0.23922436941787426 |507       
 [7, 20, 1, 8, 0]    |0.7652393201667833  |0.4338455615129587  |227       
 [12, 4, 10, 0, 0]   |0.36807824700341696 |0.2536094647138599  |149       
 [10, 10, 4, 7, 19]  |0.9088441617867269  |0.3419531161216184  |391       
 [7, 8, 0, 0, 0]     |0.3992444958148802  |0.315631060265966   |94        
 [13, 0, 0, 0, 0]    |0.5561175896682511  |0.48710502849849063 |53        
 [17, 5, 18, 0, 0]   |0.5063996545682273  |0.259129047030704   |268       
 [19, 14, 17, 11, 0] |2.0126277514608923  |0.27102104813670486 |802       
 [15, 8, 5, 17, 0]   |0.6246776560302678  |0.2683348836576387  |338       
 [9, 0, 0, 0, 0]     |0.48660165300525793 |0.4436100130162462  |37        
 [4, 10, 8, 18, 16]  |5.546674157653448   |1.1396241297138414  |633       
 [10, 0, 0, 0, 0]    |0.32186598165662317 |0.290509202192044   |41        
 [14, 3, 8, 7, 10]   |0.6173589695369561  |0.3119836095710594  |273       
 [19, 4, 0, 0, 0]    |0.31816872566819737 |0.22309146089805365 |142       
 [11, 10, 7, 0, 0]   |0.5952043912250448  |0.32829246123988526 |238       
 [15, 7, 9, 0, 0]    |0.49273405416250077 |0.27109507364169955 |239       
 [10, 15, 4, 19, 0]  |0.8373391282150072  |0.32872750639369563 |374       
 [11, 11, 12, 2, 0]  |0.8006576226289378  |0.34392837320777747 |338       
 [12, 0, 0, 0, 0]    |0.3705399589143227  |0.32781888966901707 |49        
 [18, 6, 18, 0, 0]   |0.532127268998223   |0.2433212746884672  |313       
 [10, 0, 0, 0, 0]    |0.6032717405133797  |0.5444998913507934  |41        
Gen 1 Train time: 8.942743225892384 minutes:
 Average MSE:        0.502085224384913
 Average Error:      0.9394395441967179
 Structure           |Error               |MSE                 |weights&biases
 [19, 4, 0, 0, 0]    |0.3844128215466628  |0.269540061697396   |142       
 [10, 0, 0, 0, 0]    |0.4576872207643834  |0.41309848488307593 |41        
 [12, 4, 10, 0, 0]   |0.4124706391512202  |0.28419625135943866 |149       
 [9, 10, 2, 0, 0]    |1.5024706954431903  |1.0274817270860486  |152       
 [12, 20, 9, 0, 0]   |1.0641980092180772  |0.30873297708551817 |495       
 [17, 6, 5, 0, 0]    |0.42596078571705404 |0.25835827637267644 |200       
 [9, 10, 1, 4, 0]    |0.628409908231256   |0.4308209926933941  |151       
 [17, 4, 4, 4, 5]    |0.45936429593553335 |0.2828293093011074  |194       
 [12, 4, 5, 0, 0]    |0.3267437297775378  |0.24266360984507723 |119       
 [9, 4, 0, 0, 0]     |0.37479729575523096 |0.3130570164618448  |72        
 [8, 15, 7, 6, 3]    |5.365099056545196   |2.270306488608655   |344       
 [5, 6, 4, 14, 19]   |1.4947043963247952  |0.48043105783455653 |454       
 [15, 7, 2, 4, 10]   |0.4577941482829409  |0.24750223819505518 |246       
 [15, 5, 14, 0, 0]   |0.41309947464137675 |0.23596616418633803 |224       
 [14, 3, 9, 0, 0]    |0.5439064275601243  |0.3900508923827578  |133       
 [10, 15, 3, 0, 0]   |0.5253281890151937  |0.28330475448858283 |247       
 [19, 7, 2, 4, 10]   |0.6446771827616545  |0.3153709924620834  |286       
 [12, 8, 11, 1, 0]   |4.359297845925217   |2.315929224511855   |253       
 [10, 6, 5, 8, 0]    |0.607320236588597   |0.3795765254418596  |188       
 [13, 4, 5, 0, 0]    |0.40961626671351986 |0.29893339416715337 |126       
 [14, 3, 8, 7, 10]   |0.6883985816026913  |0.3478836218628046  |273       
 [20, 1, 18, 8, 17]  |0.8580858020722821  |0.2856319508417363  |440       
 [14, 2, 0, 0, 0]    |0.3294706477047596  |0.2731407605330022  |75        
 [9, 4, 11, 0, 0]    |0.39556747608343035 |0.2829644813648331  |134       
 [12, 1, 0, 0, 0]    |0.35710747155602407 |0.31435935595597436 |51        
Increasing Epochs
Gen 2 Train time: 10.088862264156342 minutes:
 Average MSE:        0.39953009774948955
 Average Error:      0.565769369735085
 Structure           |Error               |MSE                 |weights&biases
 [12, 4, 5, 0, 0]    |0.3296600164032019  |0.24482945596677141 |119       
 [14, 2, 0, 0, 0]    |0.32009378921605763 |0.2653670718088112  |75        
 [12, 1, 0, 0, 0]    |0.36368688703229024 |0.32015117207976923 |51        
 [16, 4, 3, 0, 0]    |0.42907442376779914 |0.30616690237556776 |135       
