/tmp/tmp.m7WkDHyta1 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.591542017459869 minutes:
 Average MSE:        0.9088987749362609
 Average Error:      2.8937295835108956
 Structure           |Error               |MSE                 |weights&biases
 [6, 6, 0, 0, 0]     |0.3734088892419036  |0.3158205072086019  |67        
 [19, 19, 7, 0, 0]   |1.1538538256985944  |0.2672976339763521  |585       
 [2, 16, 0, 0, 0]    |2.323612124525234   |1.9457021706611237  |71        
 [16, 19, 10, 18, 12]|3.428456800527678   |0.274476466912404   |1010      
 [18, 12, 13, 13, 1] |18.595848881585585  |3.670905556983327   |649       
 [1, 19, 17, 0, 0]   |5.204277603074227   |1.9193390911082673  |399       
 [12, 0, 0, 0, 0]    |0.4293067067988192  |0.37981017853675614 |49        
 [18, 1, 7, 17, 19]  |4.156366128102982   |0.9628488524607853  |585       
 [8, 12, 3, 0, 0]    |0.49630460844998847 |0.320438339105107   |175       
 [10, 0, 0, 0, 0]    |0.5386254835011134  |0.48615159230820987 |41        
 [7, 18, 3, 7, 0]    |0.6705340888856759  |0.3518041196438868  |258       
 [9, 13, 8, 17, 14]  |2.012073454072549   |0.35939463211073314 |689       
 [2, 1, 14, 0, 0]    |2.358828542587548   |2.0712765655711327  |52        
 [5, 9, 12, 0, 0]    |0.9680613768190424  |0.5842304382658693  |202       
 [7, 15, 1, 3, 17]   |1.8444965447101     |0.9897591629056374  |249       
 [10, 18, 13, 20, 16]|4.3884525196695705  |0.2749892325982486  |1108      
 [10, 19, 11, 0, 0]  |1.2114671108964863  |0.37318989518380774 |471       
 [2, 13, 6, 17, 0]   |2.637999509014953   |1.356653313589483   |266       
 [14, 2, 8, 19, 8]   |2.6982776021331873  |0.9072054344366322  |436       
 [20, 5, 0, 0, 0]    |0.3828036709935119  |0.24964059147629372 |171       
 [19, 5, 0, 0, 0]    |0.34009121812121484 |0.22626658193594892 |163       
 [15, 19, 19, 0, 0]  |1.5757396955193474  |0.2422523833126625  |749       
 [9, 18, 17, 0, 0]   |1.317116467048126   |0.3346884608185253  |548       
 [14, 11, 0, 0, 0]   |0.44326807259652773 |0.2563835888730063  |219       
 [1, 17, 14, 11, 4]  |12.793968663198415  |3.6019445834237205  |507       
Gen 1 Train time: 8.302303628126781 minutes:
 Average MSE:        0.6041953183824883
 Average Error:      1.471950093278856
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.35365888162932413 |0.23529330383660918 |163       
 [6, 6, 0, 0, 0]     |0.5181142764592215  |0.43820894011273737 |67        
 [20, 5, 0, 0, 0]    |0.5238251565408533  |0.341605976686773   |171       
 [11, 8, 11, 20, 10] |1.5983051078395378  |0.2854877266384255  |689       
 [4, 11, 5, 8, 14]   |3.7473386496773715  |1.700710142316486   |316       
 [13, 17, 0, 0, 0]   |0.47820419020761173 |0.22872898188042812 |295       
 [7, 12, 2, 8, 0]    |0.6516187511174755  |0.41966620838036517 |176       
 [7, 12, 2, 4, 0]    |0.48170332844822444 |0.3228953973009345  |160       
 [19, 15, 7, 16, 14] |2.2689996459281176  |0.27099336270933094 |850       
 [7, 8, 3, 7, 0]     |0.5334967070663854  |0.36850449085273257 |148       
 [6, 5, 6, 0, 0]     |0.41904170783574163 |0.329629882332505   |96        
 [14, 11, 10, 13, 1] |12.121613085709809  |3.596603991927844   |486       
 [17, 8, 0, 0, 0]    |0.3679514133693447  |0.22095319694601598 |204       
 [7, 9, 2, 0, 0]     |0.4681206796453553  |0.3502776498087362  |116       
 [1, 8, 0, 0, 0]     |2.6778295152941975  |2.4967916908220507  |28        
 [8, 12, 9, 0, 0]    |0.7126102422238925  |0.3729463688649953  |259       
 [11, 0, 0, 0, 0]    |0.62456816425205    |0.5581124546640674  |45        
 [9, 3, 0, 0, 0]     |0.33306107912283067 |0.28595255171162076 |61        
 [14, 9, 2, 0, 0]    |0.5127898736721407  |0.31102278037232145 |200       
 [11, 3, 7, 0, 0]    |0.3734610372267889  |0.28723872979555554 |105       
 [15, 20, 11, 16, 15]|4.466603591499987   |0.31636087638611393 |1059      
 [11, 15, 2, 4, 0]   |0.7060485154449352  |0.36675129714924043 |262       
 [8, 15, 3, 4, 0]    |0.6496508059063714  |0.36739405701170846 |228       
 [15, 12, 9, 0, 0]   |0.7772487761101814  |0.31286146048484403 |364       
 [16, 4, 0, 0, 0]    |0.43288914974364834 |0.31989144056976354 |121       
