/tmp/tmp.4JuI9bYWl4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k5.mat
  Evaluating with: datasets/N5dataset100k5.mat
Gen 0 Train time: 8.605348002910613 minutes:
 Average MSE:        0.5016167400807933
 Average Error:      1.5346712563885672
 Structure           |Error               |MSE                 |weights&biases
 [9, 10, 19, 10, 0]  |1.8163917448606388  |0.46271312167324996 |547       
 [5, 17, 20, 15, 20] |7.551119649500879   |0.4445004775004671  |1133      
 [16, 0, 0, 0, 0]    |0.28492228566798045 |0.24218852728158075 |65        
 [19, 11, 19, 11, 20]|2.0875703521759195  |0.17746193900795607 |986       
 [12, 0, 0, 0, 0]    |0.40827616456742233 |0.361204333640476   |49        
 [13, 9, 6, 8, 0]    |0.481134042912015   |0.23302503794311255 |290       
 [8, 4, 9, 4, 0]     |0.6743238387104852  |0.4634555447788893  |150       
 [8, 4, 11, 10, 0]   |0.5513679994032987  |0.29809208884230615 |246       
 [4, 13, 15, 19, 0]  |5.652606714755854   |1.2270547726334793  |611       
 [8, 13, 0, 0, 0]    |1.5198443791158096  |1.031596856132682   |155       
 [14, 17, 0, 0, 0]   |0.4390371621451744  |0.19975349099281225 |315       
 [15, 20, 12, 0, 0]  |0.879042804142364   |0.18196849958748856 |630       
 [20, 16, 0, 0, 0]   |0.6933089368740853  |0.2468980988418148  |413       
 [5, 11, 0, 0, 0]    |1.4011614788283395  |1.1104901788397614  |93        
 [4, 2, 10, 0, 0]    |1.1234109273622768  |0.9597039073999927  |63        
 [11, 18, 0, 0, 0]   |0.6591726716352442  |0.33730431031822633 |268       
 [17, 18, 0, 0, 0]   |0.6116529377796857  |0.22841520023798334 |394       
 [6, 6, 17, 3, 0]    |2.9146770357286385  |1.6116508393865066  |237       
 [18, 7, 6, 7, 17]   |0.7542701405510576  |0.25233323635302185 |438       
 [11, 16, 7, 13, 19] |1.95020546344882    |0.3112791231883817  |734       
 [5, 1, 16, 0, 0]    |1.1864355831851943  |0.9959616799952202  |70        
 [15, 20, 1, 11, 12] |1.1120216415969948  |0.2708147306887221  |565       
 [14, 0, 0, 0, 0]    |0.3193981588484697  |0.2769781082172536  |57        
 [17, 0, 0, 0, 0]    |0.39151405418286234 |0.32948189748388945 |69        
 [12, 20, 8, 18, 15] |2.9039152417346745  |0.2860925010545605  |927       
Gen 1 Train time: 8.227808034420013 minutes:
 Average MSE:        0.5311493923519336
 Average Error:      1.2116473154859817
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.4574189021628506  |0.38881342681166015 |65        
 [14, 0, 0, 0, 0]    |0.39574078126400014 |0.3431814802380345  |57        
 [17, 0, 0, 0, 0]    |0.27352979402671307 |0.23019126540015744 |69        
 [14, 9, 0, 0, 0]    |0.39271481512314954 |0.2460620370292837  |187       
 [12, 9, 0, 0, 0]    |0.3358272076068142  |0.22342968691183657 |163       
 [7, 0, 0, 0, 0]     |1.2961903374933557  |1.2055422340545963  |29        
 [17, 4, 3, 4, 9]    |0.4527094375417024  |0.2684730405992357  |209       
 [10, 1, 5, 0, 0]    |0.3231790272998759  |0.2802568302827293  |57        
 [3, 14, 18, 13, 3]  |11.542857374498517  |2.4014358673986225  |628       
 [14, 9, 15, 0, 0]   |0.8148582252608877  |0.3456802246056011  |343       
 [16, 18, 0, 0, 0]   |0.5045680752338942  |0.19858212980745155 |373       
 [15, 0, 0, 0, 0]    |0.38500331903026674 |0.33054802375616676 |61        
 [12, 7, 0, 0, 0]    |0.6466569527205871  |0.46142334557146436 |135       
 [10, 0, 0, 0, 0]    |0.6952766729534734  |0.627541533040716   |41        
 [14, 9, 8, 18, 0]   |0.766221863861852   |0.2563315611717735  |438       
 [3, 10, 3, 2, 7]    |3.993021837068363   |2.9655078425925545  |119       
 [17, 4, 14, 8, 20]  |0.8763917226611606  |0.24245428156444065 |514       
 [13, 0, 0, 0, 0]    |0.5171097671166587  |0.45293796227245675 |53        
 [20, 20, 4, 7, 20]  |1.4457598822536986  |0.20569414498467214 |780       
 [12, 2, 5, 2, 0]    |0.3858851911552302  |0.30659875108125273 |92        
 [10, 9, 8, 0, 0]    |0.4928121105722913  |0.2857530530457109  |218       
 [16, 6, 0, 0, 0]    |0.45626535335137086 |0.30814626466018635 |157       
 [17, 7, 0, 0, 0]    |0.3548532852839274  |0.22345374232311968 |185       
 [17, 4, 13, 4, 9]   |0.4769807217682807  |0.22587371829381403 |299       
 [11, 8, 14, 18, 15] |2.0093502298406243  |0.254822361300796   |826       
Gen 2 Train time: 8.490178151925404 minutes:
 Average MSE:        0.637493624305541
 Average Error:      0.9171656928280487
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.28569983091362067 |0.24043306081747953 |69        
 [10, 1, 5, 0, 0]    |0.2837939089739452  |0.24610254584615437 |57        
 [12, 9, 0, 0, 0]    |0.45931436294396466 |0.30558710545820994 |163       
 [17, 2, 7, 2, 5]    |2.2098003767055454  |1.5378759085293785  |145       
 [17, 3, 0, 0, 0]    |0.34052608108625576 |0.2593015626883452  |109       
 [16, 7, 7, 2, 5]    |0.48939176971428194 |0.2554849065609406  |260       
 [15, 1, 3, 1, 0]    |2.634974252517113   |2.1954200843437897  |73        
 [14, 1, 3, 0, 0]    |0.28443584209211487 |0.24056918436037272 |67        
 [15, 5, 7, 11, 0]   |0.4137125636294657  |0.2122301803311101  |267       
 [4, 4, 11, 9, 8]    |3.7434516341025383  |1.840446274382281   |284       
 [13, 1, 3, 1, 0]    |1.958003961913974   |1.6643348723519555  |65        
 [16, 7, 9, 2, 5]    |0.5030132722456591  |0.24978899860922157 |280       
 [14, 1, 3, 1, 0]    |1.907263985304259   |1.605073815784975   |69        
 [12, 5, 10, 0, 0]   |0.3901614473359743  |0.25380356990246355 |172       
 [14, 5, 4, 0, 0]    |0.2986048390472494  |0.20729047920255841 |146       
 [14, 3, 10, 4, 9]   |0.44957499435546966 |0.25552050977039514 |226       
 [10, 1, 5, 5, 0]    |0.38799700740871906 |0.3121543030865975  |87        
 [9, 1, 3, 1, 11]    |0.3626322475129087  |0.29615685469796493 |81        
 [17, 4, 2, 0, 0]    |0.30585050532034536 |0.2176953128889695  |136       
 [15, 5, 0, 0, 0]    |0.37735001665265366 |0.2719649459647807  |131       
 [13, 5, 4, 0, 0]    |0.3807079982412592  |0.26962515308244317 |138       
 [15, 1, 3, 10, 6]   |1.5209615179107319  |0.9698078813532665  |180       
 [13, 10, 3, 0, 0]   |0.4031904140022988  |0.234958509133785   |216       
 [14, 2, 7, 2, 5]    |2.1722437571896336  |1.569505533347738   |130       
 [14, 4, 3, 15, 0]   |0.36648573358123954 |0.22620905514335093 |193       
Increasing Epochs
Gen 3 Train time: 9.967032579580943 minutes:
 Average MSE:        0.4451089309217297
 Average Error:      0.9857909588245966
 Structure           |Error               |MSE                 |weights&biases
 [10, 1, 5, 0, 0]    |0.3179628959346078  |0.2757334660812153  |57        
 [14, 1, 3, 0, 0]    |0.29585010625535446 |0.2502231020931988  |67        
 [17, 0, 0, 0, 0]    |0.34766645226273235 |0.29258158464348505 |69        
 [14, 3, 4, 0, 0]    |0.2860240696183265  |0.21834490963340697 |108       
 [15, 4, 2, 0, 0]    |0.3386299655969701  |0.24961206291095941 |122       
 [13, 5, 2, 0, 0]    |0.3100294302484258  |0.2273901419556585  |124       
 [16, 3, 2, 0, 0]    |0.3296717609144359  |0.2504094794050923  |110       
 [13, 4, 6, 4, 3]    |2.3133344607793385  |1.504845105873819   |172       
 [17, 5, 5, 1, 3]    |1.5165065976039769  |0.9501925779341098  |187       
 [17, 3, 3, 0, 0]    |0.25434698960427593 |0.18795441040108518 |121       
 [14, 1, 20, 0, 0]   |0.46728510259097167 |0.34790851923122645 |118       
 [14, 2, 7, 2, 5]    |0.3427203541075043  |0.24762483049256895 |130       
 [16, 2, 2, 8, 0]    |0.3737448342800035  |0.27618565518248384 |121       
 [15, 14, 10, 8, 10] |1.070159611005212   |0.23405662786299808 |608       
 [15, 5, 9, 3, 7]    |0.4965800283992708  |0.2691434894973028  |245       
