/tmp/tmp.DrgVxsHV79 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k7.mat
  Evaluating with: datasets/N5dataset100k7.mat
Gen 0 Train time: 8.865779383977253 minutes:
 Average MSE:        0.6821892643238172
 Average Error:      2.0394926045611252
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 5, 2, 0]    |2.1256301271846496  |1.410674965603389   |164       
 [13, 3, 14, 0, 0]   |0.5235477785360773  |0.35803412161968023 |152       
 [8, 14, 14, 0, 0]   |0.6645561622476281  |0.2602439323789109  |375       
 [17, 0, 0, 0, 0]    |0.31436637174096527 |0.2645576258622925  |69        
 [1, 10, 18, 0, 0]   |5.547383750476861   |3.044468752140623   |240       
 [6, 20, 10, 0, 0]   |1.0207300352105964  |0.39574630858228205 |379       
 [14, 14, 0, 0, 0]   |0.41005771316335765 |0.2103552806019347  |267       
 [10, 3, 11, 3, 14]  |0.5001229791098669  |0.29290667016037525 |214       
 [16, 13, 5, 2, 0]   |0.6903551409273475  |0.28491935125677204 |354       
 [15, 0, 0, 0, 0]    |0.31912057604710725 |0.27398380880973194 |61        
 [8, 20, 19, 0, 0]   |5.348902001893346   |1.1268107604658812  |623       
 [17, 3, 16, 8, 11]  |0.6912959260261256  |0.24434178167296458 |416       
 [17, 13, 18, 17, 19]|5.137340337722771   |0.24208545423665223 |1222      
 [15, 15, 7, 15, 0]  |0.9880427113061999  |0.2606623591864451  |533       
 [15, 0, 0, 0, 0]    |0.2882892156401072  |0.24751327011952698 |61        
 [13, 20, 6, 14, 18] |2.506886826038451   |0.3131859031348144  |832       
 [18, 4, 15, 3, 19]  |0.5254920978479639  |0.21960602660320694 |349       
 [12, 18, 13, 4, 4]  |4.1299180974928875  |0.9261283710141669  |598       
 [18, 3, 9, 11, 7]   |0.716139503771389   |0.2992786220019016  |349       
 [10, 9, 18, 2, 7]   |4.782467105422204   |1.8681647730644073  |376       
 [3, 19, 7, 0, 0]    |1.7806696856324662  |0.9945046762688848  |233       
 [11, 15, 16, 1, 16] |1.1925826578896623  |0.31305426156650584 |535       
 [13, 8, 0, 0, 0]    |0.44214485945950754 |0.29637856254731837 |160       
 [10, 13, 2, 0, 0]   |0.4337852245680873  |0.26048610950722234 |204       
 [2, 16, 10, 11, 14] |9.907488228672504   |2.6466398596895373  |528       
Gen 1 Train time: 8.405472958087921 minutes:
 Average MSE:        0.475477465075269
 Average Error:      0.8493072862228821
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.34647751700319723 |0.29747135377902295 |61        
 [17, 0, 0, 0, 0]    |0.39664887104044977 |0.3338031451719226  |69        
 [15, 0, 0, 0, 0]    |0.3797225998623952  |0.32601421534810465 |61        
 [13, 13, 4, 1, 0]   |2.9654316012596715  |1.4579372397266959  |284       
 [19, 10, 20, 6, 6]  |1.1093893769315772  |0.2173621881631212  |652       
 [13, 8, 8, 1, 8]    |1.7402074300231758  |0.9153070637356283  |257       
 [11, 7, 3, 1, 0]    |0.4570840879569267  |0.316513968177948   |147       
 [14, 7, 1, 0, 0]    |1.3347996021102067  |0.901478730390054   |157       
 [14, 4, 13, 0, 0]   |0.4335995858918131  |0.27578497750570496 |181       
 [14, 2, 7, 18, 0]   |0.5274441241638151  |0.2781172907776007  |256       
 [12, 14, 1, 0, 0]   |4.0667289112245335  |2.2599415926561655  |235       
 [14, 2, 7, 0, 0]    |0.2663277568672228  |0.20689837257386018 |101       
 [17, 2, 8, 2, 10]   |0.38273963448476905 |0.25022360859778375 |170       
 [14, 2, 6, 6, 7]    |0.40379660654962757 |0.2517436485421251  |189       
 [11, 10, 4, 0, 0]   |0.3726447797457372  |0.22489320223033388 |202       
 [16, 0, 0, 0, 0]    |0.39396874005068777 |0.33487976808891184 |65        
 [16, 12, 0, 0, 0]   |0.5755331338830045  |0.29672233442506535 |265       
 [16, 7, 0, 0, 0]    |0.40137813302396935 |0.25914920012730425 |175       
 [14, 3, 14, 6, 13]  |0.638030642037509   |0.27407075705113415 |338       
 [13, 3, 11, 16, 9]  |0.8979370282575477  |0.27045343557281687 |480       
 [16, 1, 0, 0, 0]    |0.2823276115872315  |0.23878609229548736 |67        
 [16, 7, 3, 1, 0]    |1.5949445982392616  |0.9746654461585369  |197       
 [12, 7, 7, 0, 0]    |0.4062696669409493  |0.2520221910618772  |191       
 [14, 9, 7, 0, 0]    |0.39415265264393234 |0.2083539419466643  |255       
 [10, 8, 7, 2, 7]    |0.46509746379283756 |0.264342862777857   |226       
Gen 2 Train time: 8.566826804478962 minutes:
 Average MSE:        0.46806647685135105
 Average Error:      1.0336598303611875
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 7, 0, 0]    |0.3701388525973248  |0.28754466725344663 |101       
 [16, 1, 0, 0, 0]    |1.1472952809000414  |0.9703555217110912  |67        
 [15, 0, 0, 0, 0]    |0.3286858883147177  |0.28219619273055907 |61        
 [12, 9, 6, 0, 0]    |0.3753912216439245  |0.2165818941459615  |220       
 [15, 5, 4, 0, 0]    |0.3253113156689726  |0.22135829171150384 |154       
 [13, 5, 2, 17, 0]   |0.3958293563747181  |0.2461603616396041  |190       
 [15, 2, 4, 0, 0]    |0.28987507759708675 |0.2291667863821245  |94        
 [15, 1, 4, 0, 0]    |0.32273091695508327 |0.26822304761289434 |74        
 [15, 4, 4, 0, 0]    |0.3036539984430584  |0.2172152701595606  |134       
 [15, 1, 4, 9, 0]    |0.3325657495287462  |0.24391933673630822 |124       
 [10, 8, 7, 2, 7]    |0.5432598401681444  |0.30876724248544457 |226       
 [13, 5, 2, 0, 0]    |0.4636680178505902  |0.3400758963910648  |124       
 [16, 1, 4, 9, 0]    |0.31288974336761627 |0.2272045858566288  |128       
 [16, 1, 4, 4, 0]    |0.35820468331512845 |0.28036843125024224 |98        
 [14, 18, 7, 0, 0]   |0.6665373127663391  |0.21477610666818187 |453       
 [13, 5, 4, 1, 4]    |2.2932715358887314  |1.5722055089613671  |151       
 [15, 2, 7, 0, 0]    |0.28973431207508465 |0.22228588813616637 |106       
 [15, 19, 4, 1, 0]   |0.7513380633360223  |0.25261224924324494 |436       
