/tmp/tmp.42P9rTq3Wf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k0.mat
  Evaluating with: datasets/N6dataset100k0.mat
Gen 0 Train time: 8.288686609268188 minutes:
 Average MSE:        0.7022777611738591
 Average Error:      2.122634294780303
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 20, 0, 0]   |0.3870843699527941  |0.20719133281830587 |250       
 [16, 5, 12, 0, 0]   |0.3659876563134264  |0.2122149353171479  |218       
 [3, 4, 11, 9, 0]    |2.806465659988507   |1.7107398186551297  |198       
 [19, 6, 12, 4, 16]  |0.7746729962585479  |0.27794993290300496 |410       
 [20, 15, 19, 0, 0]  |1.1943601956705712  |0.20806820193513298 |699       
 [14, 7, 2, 14, 0]   |0.4042212533615303  |0.23321537547869758 |220       
 [12, 0, 0, 0, 0]    |0.2890717674915181  |0.2557434996521958  |49        
 [19, 14, 2, 0, 0]   |0.39750767810822135 |0.1576242836934585  |370       
 [8, 2, 5, 0, 0]     |0.25986648346346564 |0.22199791145681003 |63        
 [20, 19, 2, 0, 0]   |0.6439093284167414  |0.1835629979780408  |502       
 [15, 13, 5, 16, 0]  |0.6513256784158734  |0.2189864358581443  |436       
 [6, 0, 0, 0, 0]     |0.6352665172760624  |0.5967776646971557  |25        
 [8, 16, 7, 0, 0]    |0.45661029224370253 |0.21840044357554528 |295       
 [17, 0, 0, 0, 0]    |0.34261245045094196 |0.2883283475271031  |69        
 [2, 13, 10, 5, 0]   |2.35851422545076    |1.275109242447458   |246       
 [1, 16, 12, 0, 0]   |4.4109668697164235  |2.349244789324026   |252       
 [15, 14, 11, 14, 18]|2.762371343216796   |0.2977769666267318  |891       
 [11, 8, 20, 0, 0]   |0.5438629458846532  |0.23833977399172607 |330       
 [5, 10, 17, 19, 17] |25.264315594357615  |2.2804959683666914  |962       
 [6, 6, 6, 17, 0]    |1.8196803944019204  |1.0011615522763442  |239       
 [1, 0, 0, 0, 0]     |3.6262402530579987  |3.5811943731773943  |5         
 [12, 0, 0, 0, 0]    |0.24829980884011296 |0.21967230707718613 |49        
 [20, 0, 0, 0, 0]    |0.29725166209414566 |0.24276141436211002 |81        
 [18, 8, 0, 0, 0]    |0.31040820842452793 |0.18134263133650458 |215       
 [11, 19, 0, 0, 0]   |1.8149837366507073  |0.899043828814434   |281       
Gen 1 Train time: 7.881310518582662 minutes:
 Average MSE:        0.2819178327483716
 Average Error:      0.39370691686938614
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.39729766785604426 |0.3514915927725172  |49        
 [8, 2, 5, 0, 0]     |0.28740002240028123 |0.24551917536711784 |63        
 [12, 0, 0, 0, 0]    |0.378376440964921   |0.33475187161316505 |49        
 [16, 4, 10, 0, 0]   |0.3045818289065382  |0.19567199903346277 |177       
 [15, 0, 0, 0, 0]    |0.2564852189086307  |0.22020766586235774 |61        
 [16, 3, 2, 5, 0]    |0.2759336388297141  |0.2003689461324365  |128       
 [19, 8, 10, 0, 0]   |0.4510177813608816  |0.2036711666789946  |318       
 [16, 0, 0, 0, 0]    |0.23520592091312884 |0.19992881729244197 |65        
 [20, 7, 1, 0, 0]    |0.4332567573572138  |0.25184920747540873 |217       
 [16, 10, 1, 0, 0]   |0.4123969377712334  |0.23147834492961508 |231       
 [16, 8, 1, 7, 0]    |0.3690358921142543  |0.2155933313531706  |215       
 [10, 1, 3, 0, 0]    |0.33310237438955614 |0.29322782697387195 |51        
 [13, 0, 0, 0, 0]    |0.4119873406933875  |0.36086092052795005 |53        
 [8, 7, 1, 0, 0]     |0.39639979537594056 |0.31104054897912425 |97        
 [17, 7, 6, 0, 0]    |0.4300317186295636  |0.2407740568320052  |232       
 [14, 10, 3, 8, 0]   |0.4039801948891145  |0.2077563199492376  |266       
 [4, 3, 6, 0, 0]     |0.550584505855176   |0.47626787180608876 |58        
 [17, 3, 10, 0, 0]   |0.3191800946106005  |0.21610307725908165 |156       
 [20, 6, 20, 0, 0]   |0.46982794303275605 |0.1973278480976771  |347       
 [16, 8, 10, 0, 0]   |0.4283752978806341  |0.21008236656738064 |285       
 [20, 4, 1, 7, 0]    |0.2986946428697232  |0.19478994839122593 |171       
 [12, 4, 10, 0, 0]   |0.29283957894241663 |0.20176929624947104 |149       
 [14, 1, 3, 0, 0]    |0.2530371580234291  |0.21401291156143856 |67        
 [13, 4, 1, 7, 0]    |0.2968778368335688  |0.2188355928688473  |122       
 [9, 0, 0, 0, 0]     |1.1567663323259452  |1.0545651141352022  |37        
Gen 2 Train time: 8.495812161763508 minutes:
 Average MSE:        0.28837909352151914
 Average Error:      0.9351031975536105
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.2371218405948355  |0.20155737984947217 |65        
 [14, 1, 3, 0, 0]    |0.3026509678289341  |0.2559751117895507  |67        
 [15, 0, 0, 0, 0]    |0.2528139527638085  |0.21705566766163967 |61        
 [15, 2, 1, 4, 0]    |0.28509424247741505 |0.2259513704156849  |93        
 [16, 14, 1, 3, 0]   |0.6287881455034066  |0.2889617679024912  |311       
 [14, 1, 3, 11, 0]   |0.2570022440379095  |0.19086852047317213 |119       
 [10, 4, 8, 0, 0]    |0.39527245730284444 |0.29063706586830107 |123       
 [15, 1, 2, 0, 0]    |0.2517138207208562  |0.21236209439323614 |68        
 [9, 17, 15, 19, 9]  |10.1830679725422    |0.9214805013947529  |961       
 [14, 4, 6, 3, 0]    |0.30287704806388577 |0.2045529653449627  |157       
 [20, 10, 1, 4, 12]  |0.6068202811674219  |0.24548422046221274 |362       
 [13, 4, 6, 4, 0]    |0.3538722990268009  |0.23839670429746224 |158       
 [11, 3, 3, 4, 0]    |0.2874062427794811  |0.22271583914682772 |102       
 [16, 4, 5, 0, 0]    |0.2627522210019917  |0.18194627708139907 |147       
 [16, 4, 19, 0, 0]   |0.2926616253876763  |0.16427093041784427 |231       
 [15, 7, 3, 0, 0]    |0.29598922028505675 |0.18638660455708594 |185       
 [16, 2, 1, 4, 0]    |0.2777317479904132  |0.21738189956594328 |98        
 [11, 6, 1, 18, 14]  |2.3167413362407023  |0.7926778372097351  |429       
 [13, 3, 8, 0, 0]    |0.2530538338567447  |0.18653189591522196 |122       
 [9, 15, 20, 5, 8]   |1.4455148776325306  |0.2783058959174391  |659       
 [16, 2, 1, 3, 0]    |0.27045415523929167 |0.21327930597461883 |95        
 [15, 7, 3, 7, 0]    |0.3642688636401421  |0.2117470138846526  |217       
 [5, 6, 15, 12, 20]  |2.5283619903609136  |0.5247001399441368  |629       
 [10, 3, 8, 0, 0]    |0.40186582678519917 |0.3098592830229891  |104       
 [16, 2, 9, 3, 0]    |0.3236827256098019  |0.22639104554714645 |143       
Increasing Epochs
Gen 3 Train time: 9.779624271392823 minutes:
 Average MSE:        0.41000351139945046
 Average Error:      1.0666691236581596
