/tmp/tmp.Y5dnHootuf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 7.798484690984091 minutes:
 Average MSE:        0.7293400309415157
 Average Error:      1.246810386249406
 Structure           |Error               |MSE                 |weights&biases
 [13, 12, 0, 0, 0]   |0.3617316139319001  |0.2087009860666372  |220       
 [17, 20, 16, 0, 0]  |1.8209337241011807  |0.269644569829618   |764       
 [17, 17, 0, 0, 0]   |0.5784518973987826  |0.2265250177832337  |375       
 [9, 18, 10, 0, 0]   |0.6021274171163374  |0.21712409995163587 |408       
 [9, 0, 0, 0, 0]     |0.6593952843374515  |0.6011371906799245  |37        
 [5, 10, 11, 17, 19] |7.724107136170371   |1.1495220359014073  |762       
 [17, 0, 0, 0, 0]    |0.2685034321754362  |0.2259612889216481  |69        
 [15, 9, 0, 0, 0]    |0.3945840180218779  |0.23992637154624372 |199       
 [2, 0, 0, 0, 0]     |3.5891578638532184  |3.5093035418646763  |9         
 [6, 0, 0, 0, 0]     |0.5292855820726353  |0.4972177897578677  |25        
 [10, 0, 0, 0, 0]    |0.8867576930601538  |0.8003681178814064  |41        
 [6, 11, 0, 0, 0]    |0.4421065833457169  |0.3383398933391715  |107       
 [15, 0, 0, 0, 0]    |0.28116629185727343 |0.24139782055480152 |61        
 [11, 12, 0, 0, 0]   |0.32054943784475054 |0.19934490525391313 |190       
 [3, 0, 0, 0, 0]     |3.116081814659041   |3.0164371521010267  |13        
 [10, 17, 7, 0, 0]   |0.5774567073879819  |0.24011872151815528 |351       
 [9, 10, 3, 0, 0]    |1.5240685021649365  |1.0114484426866457  |164       
 [1, 8, 8, 0, 0]     |3.0665145546719392  |2.3882039364783667  |100       
 [14, 1, 1, 0, 0]    |0.27716087850311977 |0.23795893729562118 |61        
 [8, 0, 0, 0, 0]     |1.4385463625459805  |1.3246299445196403  |33        
 [15, 11, 0, 0, 0]   |0.36313562759606205 |0.2028113819637743  |233       
 [12, 11, 0, 0, 0]   |0.2999079044922269  |0.18604255586202345 |191       
 [19, 10, 13, 7, 0]  |0.8126626766889679  |0.22936534186836793 |506       
 [11, 9, 8, 2, 20]   |0.7594459010219363  |0.3412410400092566  |320       
