/tmp/tmp.thk4JbDyca ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k3.mat
  Evaluating with: datasets/N6dataset100k3.mat
Gen 0 Train time: 8.295834549268086 minutes:
 Average MSE:        0.9368880288151488
 Average Error:      1.7299991175403162
 Structure           |Error               |MSE                 |weights&biases
 [15, 16, 14, 4, 6]  |1.4293541447236913  |0.29148191834761217 |636       
 [16, 0, 0, 0, 0]    |0.3296788421111787  |0.28023232040138046 |65        
 [12, 8, 10, 13, 0]  |1.0562209947360148  |0.40139770453127754 |387       
 [18, 0, 0, 0, 0]    |0.3867525013708476  |0.3222362451430608  |73        
 [4, 14, 1, 0, 0]    |2.9378015349297466  |2.2936891970950763  |99        
 [6, 6, 9, 13, 0]    |2.322477332430342   |1.1914063685966858  |267       
 [5, 13, 1, 18, 11]  |4.044930524605322   |1.6281825206867253  |364       
 [18, 15, 0, 0, 0]   |0.4861497096355699  |0.2001398997938991  |355       
 [19, 20, 4, 0, 0]   |0.8097479813804334  |0.2067939868649164  |546       
 [17, 17, 15, 17, 17]|4.900881141429699   |0.23036621751764663 |1223      
 [2, 0, 0, 0, 0]     |2.47247390662849    |2.4174644211342473  |9         
 [4, 0, 0, 0, 0]     |0.7656576882731504  |0.7337990282937967  |17        
 [14, 12, 0, 0, 0]   |0.4859944703393106  |0.2700743377040089  |235       
 [4, 6, 10, 0, 0]    |2.3707635669550937  |1.7431818337885936  |123       
 [9, 0, 0, 0, 0]     |0.43860037583779393 |0.3998496865612412  |37        
 [10, 3, 16, 15, 18] |1.6610152431676097  |0.2966889509129315  |689       
 [7, 3, 7, 4, 4]     |3.1827875624012574  |2.299651074666682   |130       
 [2, 7, 9, 8, 2]     |5.9426296761372805  |3.6043870978954176  |200       
 [12, 0, 0, 0, 0]    |0.2938683300997859  |0.25998704691516145 |49        
 [3, 8, 3, 15, 10]   |3.6597490199970855  |1.7330702928712274  |299       
 [18, 11, 0, 0, 0]   |0.464943991106724   |0.23378852071630116 |275       
 [16, 4, 7, 0, 0]    |0.31711700210102484 |0.2131019729904598  |159       
 [17, 9, 0, 0, 0]    |0.40194925962602573 |0.23017177104556702 |223       
 [4, 1, 1, 0, 0]     |1.7815468168529054  |1.6904283953340875  |21        
 [20, 0, 0, 0, 0]    |0.30688632163151663 |0.2506299105707159  |81        
Gen 1 Train time: 8.02278863588969 minutes:
 Average MSE:        0.4059038359535954
 Average Error:      0.7811273969624511
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.3773069662003821  |0.3338057009737894  |49        
 [20, 0, 0, 0, 0]    |0.2742818237740099  |0.22400225789859105 |81        
 [16, 4, 7, 0, 0]    |0.2678237799553693  |0.17997702912210875 |159       
 [16, 6, 0, 0, 0]    |0.28739674056758496 |0.1940980866307715  |157       
 [17, 2, 13, 17, 0]  |0.6255525159978735  |0.24072020521165313 |382       
 [19, 5, 0, 0, 0]    |0.27079363339549917 |0.18016210526370516 |163       
 [11, 15, 0, 0, 0]   |0.44714060733806005 |0.252238004213656   |229       
 [14, 3, 0, 0, 0]    |1.1046311825980097  |0.8798635044246048  |91        
 [14, 0, 0, 0, 0]    |0.39907168409548516 |0.34606999771805513 |57        
 [13, 6, 0, 0, 0]    |0.2879295208144725  |0.20803695470951075 |130       
 [19, 0, 0, 0, 0]    |0.2733648589698302  |0.2254971189607423  |77        
 [4, 4, 7, 3, 0]     |2.156815856492598   |1.7008582788487505  |95        
 [18, 5, 0, 0, 0]    |0.28779722058939233 |0.19534283380806486 |155       
 [11, 10, 0, 0, 0]   |0.37978284291362807 |0.25204297869711173 |164       
 [17, 0, 0, 0, 0]    |0.3001965924086286  |0.25263293061453085 |69        
 [12, 1, 5, 7, 0]    |0.28200785563654546 |0.2147414888859065  |109       
 [17, 8, 8, 4, 17]   |0.5762636095062879  |0.20883933230912008 |406       
 [19, 12, 0, 0, 0]   |0.36118887351180584 |0.16640107968164616 |310       
 [18, 0, 0, 0, 0]    |0.2796432438936893  |0.23299445659052678 |73        
 [17, 16, 7, 7, 3]   |5.724387600844439   |1.4765902940314006  |542       
 [14, 12, 0, 0, 0]   |0.4105287817970204  |0.22813693492202614 |235       
 [11, 5, 5, 7, 0]    |1.4006718502395092  |0.908874747832227   |173       
 [17, 5, 0, 0, 0]    |0.2654935540792511  |0.1838445497039687  |147       
 [7, 8, 14, 0, 0]    |0.46592760154395274 |0.26481467999190983 |226       
 [8, 18, 3, 16, 10]  |2.0221861268979566  |0.5970103477955095  |488       
Gen 2 Train time: 8.184093455473581 minutes:
 Average MSE:        0.2964701093639308
 Average Error:      0.6828450083242913
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 0, 0, 0]    |0.3390190244496435  |0.23475824152182093 |147       
 [16, 4, 7, 0, 0]    |0.2738795414234681  |0.18404648836983567 |159       
 [19, 5, 0, 0, 0]    |0.3077347502986558  |0.20473945336680854 |163       
 [18, 7, 0, 0, 0]    |0.31895618571829026 |0.1958900915415407  |195       
 [18, 5, 3, 7, 0]    |0.4548623964390652  |0.2738265694578705  |203       
 [18, 5, 0, 0, 0]    |0.2879041959694722  |0.19541544352211873 |155       
 [18, 6, 19, 0, 0]   |0.4284732140623206  |0.19204471300393192 |321       
 [17, 3, 19, 4, 0]   |0.46254810763346055 |0.23787624704668664 |266       
 [13, 3, 0, 0, 0]    |0.24839705492209418 |0.20084400130112567 |85        
 [14, 4, 3, 4, 0]    |0.305804046021317   |0.21657664956510048 |138       
 [14, 7, 4, 0, 0]    |0.35326471619300953 |0.22301023786729263 |184       
 [13, 6, 0, 0, 0]    |0.3179273334170505  |0.22971119486430225 |130       
 [19, 3, 0, 0, 0]    |0.29376010606116776 |0.21707946148680826 |121       
 [18, 0, 0, 0, 0]    |0.28184340881377634 |0.23482760021605312 |73        
 [19, 1, 7, 9, 0]    |0.34127942422141017 |0.22145104906372054 |173       
 [14, 4, 3, 2, 0]    |0.3054730221227917  |0.22181894086645548 |128       
 [18, 6, 0, 0, 0]    |0.35366367017512973 |0.22834242749965253 |175       
 [19, 5, 20, 0, 0]   |0.5089625202274061  |0.24162196573581113 |298       
 [19, 5, 6, 0, 0]    |0.31056880912558216 |0.18836950468510627 |200       
 [16, 17, 0, 0, 0]   |0.4414774277343195  |0.18174905054298987 |355       
 [16, 11, 13, 10, 2] |9.012566931209932   |2.2448078539044127  |556       
 [16, 1, 3, 4, 0]    |0.26413378896692674 |0.20986317089074769 |92        
 [18, 3, 0, 0, 0]    |0.25956116290931763 |0.194706319611879   |115       
 [16, 5, 0, 0, 0]    |0.3234293750641755  |0.2284873333780669  |139       
 [17, 3, 0, 0, 0]    |0.27563499492749804 |0.20988872478813225 |109       
Gen 3 Train time: 8.388828976949055 minutes:
 Average MSE:        0.34658724209336633
 Average Error:      0.5795514742880612
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 0, 0, 0]    |0.28289814980648387 |0.22874021749428425 |85        
 [18, 3, 0, 0, 0]    |0.24901974250444436 |0.18679881470047782 |115       
 [16, 1, 3, 4, 0]    |0.302638502876561   |0.24045645994672965 |92        
 [20, 4, 0, 0, 0]    |0.40058522290307275 |0.2760070848516822  |149       
 [17, 4, 0, 0, 0]    |0.3193897260529877  |0.23192454202460694 |128       
 [18, 2, 4, 5, 0]    |0.32872822025690446 |0.2345646707060683  |135       
 [17, 5, 4, 0, 0]    |0.3186092774835272  |0.20829711888078145 |170       
 [16, 2, 2, 2, 0]    |0.2759581618550142  |0.21653436545609112 |97        
 [18, 5, 0, 0, 0]    |0.3347974088397869  |0.2272442883931443  |155       
 [15, 6, 6, 0, 0]    |0.3449332451936062  |0.2145088306638884  |190       
 [17, 4, 4, 0, 0]    |0.32989742094599034 |0.22787147423611825 |148       
 [11, 4, 4, 0, 0]    |0.33707823335603465 |0.2586084262380997  |106       
 [14, 4, 2, 1, 0]    |0.33409225074776217 |0.24936486736146518 |117       
 [18, 4, 0, 0, 0]    |0.31639940613975115 |0.22576742104698413 |135       
 [16, 5, 2, 2, 15]   |0.39726373708642077 |0.23383140992206278 |212       
 [15, 3, 4, 0, 0]    |0.2692510933939449  |0.20248066022332592 |114       
 [7, 6, 9, 13, 12]   |1.0233554267227198  |0.33810014592316734 |443       
 [7, 5, 4, 0, 0]     |1.2106896404209977  |0.9667553137601249  |90        
 [16, 7, 2, 18, 0]   |0.5159945704633075  |0.27208002785264906 |256       
 [15, 20, 8, 5, 18]  |1.3431414660277963  |0.2305036106667493  |705       
 [16, 4, 2, 4, 0]    |0.31469801479186726 |0.22010693485764668 |143       
 [16, 5, 11, 1, 0]   |2.692911912382598   |1.5811036303895896  |213       
 [17, 12, 10, 0, 0]  |0.5004083046357591  |0.18044470267224313 |408       
 [7, 13, 0, 0, 0]    |1.4349725941418643  |1.01373927906525    |139       
 [19, 5, 3, 0, 0]    |0.31107512817232885 |0.1988467550009278  |179       
Increasing Epochs
Gen 4 Train time: 9.737340501944225 minutes:
 Average MSE:        0.42682927884333777
 Average Error:      0.6577380086480431
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 0, 0, 0]    |0.4582904770840951  |0.34378044506369837 |115       
 [15, 3, 4, 0, 0]    |1.2010449515595367  |0.9032029236511041  |114       
 [16, 2, 2, 2, 0]    |0.2756319102096322  |0.2162783676173719  |97        
 [15, 4, 2, 3, 0]    |0.27981699347427763 |0.2011670776262246  |132       
 [15, 3, 2, 2, 0]    |0.41018145010181545 |0.3115623949613324  |110       
 [16, 4, 2, 0, 0]    |0.3412986747137066  |0.24721489357321813 |129       
 [17, 3, 20, 1, 0]   |2.80000543306819    |1.6646607643872215  |208       
 [17, 9, 6, 2, 8]    |0.4928715631344936  |0.22146146890605775 |320       
 [15, 3, 1, 1, 0]    |0.28840429349649804 |0.2240486672122873  |101       
 [16, 9, 8, 0, 0]    |0.3713482790020242  |0.17985309515997108 |290       
 [18, 20, 4, 0, 0]   |0.7691140489616584  |0.20804185109548068 |523       
 [17, 5, 1, 9, 0]    |0.4205378470329964  |0.2715196412440124  |175       
 [15, 6, 6, 0, 0]    |0.4214347992654241  |0.26208400393750264 |190       
 [16, 4, 1, 1, 0]    |0.2949500632891879  |0.215790076061171   |125       
 [18, 4, 2, 0, 0]    |0.2561371986016626  |0.17914817074560468 |143       
 [16, 4, 5, 1, 0]    |2.304266699740582   |1.5876619958846867  |149       
 [18, 3, 1, 1, 0]    |1.2126048611076898  |0.9005683846249258  |119       
 [17, 3, 1, 5, 0]    |0.3551628508322488  |0.25984269249011804 |125       
 [16, 4, 3, 1, 0]    |0.31607505468714764 |0.22441111403728664 |137       
 [15, 19, 4, 1, 0]   |0.7054133771097851  |0.23717161226567757 |436       
 [13, 4, 3, 1, 0]    |1.2258664785040991  |0.9172712245804497  |116       
 [15, 3, 4, 3, 0]    |0.2986699689709859  |0.21687891037111057 |128       
 [18, 4, 0, 0, 0]    |0.31948530289953114 |0.22796936877366553 |135       
 [18, 3, 4, 3, 0]    |0.36717210284832247 |0.25488964409313025 |146       
 [17, 3, 1, 1, 0]    |0.2576655365054896  |0.19425318272013542 |113       
Increasing Epochs
Gen 5 Train time: 11.248769104480743 minutes:
 Average MSE:        0.4765681942246752
 Average Error:      0.6907014679432946
 Structure           |Error               |MSE                 |weights&biases
 [18, 4, 2, 0, 0]    |0.3081939069062264  |0.21555781416605707 |143       
 [17, 3, 1, 1, 0]    |0.37452506883569237 |0.282353191724812   |113       
 [16, 2, 2, 2, 0]    |0.2640592778535665  |0.20719774254351062 |97        
 [16, 3, 2, 6, 0]    |0.3177200113529813  |0.22841645674791927 |132       
 [16, 4, 2, 4, 0]    |0.3177308890601301  |0.22222819596390905 |143       
 [17, 4, 2, 2, 0]    |0.3008756198854186  |0.21096599437257257 |142       
 [17, 4, 2, 1, 0]    |0.3383530019753805  |0.2396284826558952  |138       
 [16, 3, 2, 1, 0]    |0.2872579587492406  |0.21710489482643552 |112       
 [11, 12, 20, 2, 10] |0.9547646400944049  |0.26020371929040187 |520       
 [2, 4, 3, 14, 0]    |3.9413934494802616  |3.039017669497544   |104       
 [17, 7, 5, 7, 0]    |0.38881670897138954 |0.19945886955140457 |267       
 [17, 4, 1, 0, 0]    |0.3237185193755821  |0.23389548512936922 |130       
 [18, 4, 0, 0, 0]    |0.21562673901362955 |0.15386088542269902 |135       
 [16, 14, 2, 2, 0]   |0.43635539518507294 |0.1936315328527427  |325       
 [15, 5, 4, 11, 20]  |0.6370309708245644  |0.19920177867640265 |465       
 [17, 3, 1, 9, 0]    |0.3152971641955256  |0.22385881714059958 |137       
 [17, 4, 2, 2, 13]   |0.3330609857191586  |0.2060926064215976  |192       
 [17, 4, 2, 9, 0]    |0.36482045932341417 |0.23850859330284066 |170       
 [13, 3, 18, 2, 0]   |0.43161161307274054 |0.26574206025979763 |194       
 [17, 6, 5, 1, 0]    |0.36375961397968937 |0.21953095515193058 |202       
 [17, 4, 1, 2, 0]    |0.29158173982374214 |0.20805872623958885 |135       
 [16, 4, 4, 2, 0]    |0.396973474523627   |0.2735185553592456  |149       
 [1, 14, 1, 1, 0]    |3.4186604106767358  |3.0169572234108     |50        
 [11, 3, 3, 3, 0]    |0.30125923036304314 |0.23638719668934707 |97        
 [18, 7, 4, 1, 2]    |1.6440898493411442  |0.9228274082194577  |231       
Gen 6 Train time: 11.206230131785075 minutes:
 Average MSE:        0.3212267674498564
 Average Error:      0.4571180326798807
 Structure           |Error               |MSE                 |weights&biases
 [18, 4, 0, 0, 0]    |0.4039401973909598  |0.2882323255116538  |135       
 [16, 2, 2, 2, 0]    |0.31765376129587275 |0.24925139077089647 |97        
 [16, 3, 2, 1, 0]    |0.30276801130403014 |0.2288271403764693  |112       
 [16, 8, 2, 2, 0]    |0.3965947483114734  |0.23402196400489594 |211       
 [14, 3, 2, 2, 0]    |0.2939810628881583  |0.2266745647361324  |104       
 [17, 3, 2, 6, 0]    |0.2807183746311144  |0.1988104665061541  |138       
 [14, 3, 2, 6, 0]    |0.3337525838404936  |0.2472499953086403  |120       
 [17, 4, 1, 2, 0]    |0.26782828133536923 |0.19110939902910143 |135       
 [17, 5, 4, 2, 0]    |0.2972813175838632  |0.190505085118613   |178       
 [3, 4, 1, 1, 0]     |1.9100035446476127  |1.7543617190091596  |34        
 [14, 3, 3, 3, 0]    |0.25176018708775494 |0.18885452239162853 |115       
 [17, 4, 2, 6, 0]    |0.3335476898108525  |0.2247044207631442  |158       
 [17, 5, 4, 3, 0]    |0.3823237442217822  |0.2413547270161842  |184       
 [12, 3, 1, 1, 7]    |1.1784354860517903  |0.9109089785138329  |103       
 [14, 8, 11, 3, 5]   |0.48760720219495635 |0.2174589654651684  |323       
 [12, 5, 18, 10, 10] |0.8478708079354763  |0.23107175154785226 |520       
 [17, 6, 4, 8, 0]    |0.35161539370305867 |0.1949100064622712  |236       
 [16, 4, 2, 3, 0]    |0.27144601453567835 |0.1917635836418835  |139       
 [17, 1, 2, 2, 0]    |0.6000904019738671  |0.4888620355722578  |82        
 [17, 4, 2, 2, 0]    |0.314948227590502   |0.2208333331720694  |142       
 [11, 3, 11, 3, 0]   |0.3635603125897177  |0.24800408183769118 |153       
 [18, 2, 1, 5, 0]    |0.2486618482092316  |0.18840500623714868 |111       
 [18, 4, 2, 1, 0]    |0.3148406372452008  |0.2191084027993851  |145       
 [14, 4, 3, 6, 0]    |0.35075746731196744 |0.2422802243997856  |148       
 [17, 4, 2, 9, 0]    |0.3259635133062369  |0.21310509605438863 |170       
Result:  [18, 2, 1, 5]
Fold 0
Fold 0 Train time: 20.17745914061864 minutes, MSE: 0.0582267612024839
Fold 1
Fold 1 Train time: 20.118864222367606 minutes, MSE: 0.010532099101434267
Fold 2
Fold 2 Train time: 20.190064326922098 minutes, MSE: 0.0533358159574334
Fold 3
Fold 3 Train time: 19.862673425674437 minutes, MSE: 0.016533584091138892
Fold 4
Fold 4 Train time: 19.02199684381485 minutes, MSE: 0.009783606122167806
Total Time: 164.4610223253568 minutes
CellsPerSensor: 6
 Resulting Network Architecture: [18, 2, 1, 5]
 MSE after 5-Fold CV: 0.029682373294931653
 Weights and Biases: 111
 Objective Function Value: 0.039175571552825986
~/workspace/SolarCellResearch
