/tmp/tmp.2uNOX6oyJf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k3.mat
  Evaluating with: datasets/N7dataset100k3.mat
Gen 0 Train time: 8.765219243367513 minutes:
 Average MSE:        0.6496099414852913
 Average Error:      1.6274256265520364
 Structure           |Error               |MSE                 |weights&biases
 [14, 8, 14, 5, 0]   |0.6097014703165492  |0.24237095985790616 |369       
 [14, 0, 0, 0, 0]    |0.26980225008534814 |0.23396915339406038 |57        
 [14, 10, 10, 1, 0]  |3.3164819430838426  |1.5089356962601812  |315       
 [7, 5, 9, 20, 6]    |4.703730633706316   |1.534732265127796   |448       
 [2, 1, 13, 11, 8]   |7.26176794302106    |3.482057370487486   |294       
 [10, 19, 10, 17, 6] |2.0740532310155495  |0.3253039754672417  |741       
 [15, 16, 0, 0, 0]   |0.40483737369724376 |0.18281696115702029 |318       
 [11, 16, 6, 16, 0]  |0.7839637880124503  |0.25072653182154603 |456       
 [11, 16, 13, 0, 0]  |0.6957044412219686  |0.22028560671118352 |460       
 [9, 15, 4, 0, 0]    |0.43752034325924877 |0.23654139009571976 |246       
 [19, 9, 13, 13, 11] |1.2467595640212081  |0.20868023735372782 |715       
 [13, 0, 0, 0, 0]    |0.27953327126662936 |0.24484401248274584 |53        
 [5, 4, 0, 0, 0]     |0.7855929745872644  |0.7037610030844095  |44        
 [18, 9, 0, 0, 0]    |0.38317898852688514 |0.2129382490221305  |235       
 [8, 18, 6, 19, 12]  |5.525598833395012   |0.9944073252257984  |686       
 [18, 13, 2, 0, 0]   |0.41381671413243226 |0.18044448286537    |332       
 [7, 11, 5, 13, 11]  |1.2615403689613482  |0.44925415228756266 |413       
 [7, 16, 20, 9, 0]   |1.440422283029551   |0.25793086958798034 |688       
 [18, 9, 16, 0, 0]   |0.6170498093786692  |0.22586777212990222 |402       
 [19, 12, 9, 11, 4]  |0.698460216772486   |0.16507141886305016 |577       
 [14, 0, 0, 0, 0]    |0.6000418883461929  |0.5203488576278413  |57        
 [15, 20, 14, 2, 17] |1.5840717214010593  |0.23811502375509255 |758       
 [2, 2, 18, 0, 0]    |3.6242294319824526  |2.93040809594525    |85        
 [20, 18, 5, 0, 0]   |0.6523778837483194  |0.1695459481029491  |539       
 [4, 3, 11, 15, 0]   |1.0154032968318218  |0.5208911784183313  |267       
Gen 1 Train time: 8.630355366071065 minutes:
 Average MSE:        0.4931429626139516
 Average Error:      2.43329280397477
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.4189832659687585  |0.3633370737048291  |57        
 [13, 0, 0, 0, 0]    |0.32374686061948954 |0.2835708251242829  |53        
 [18, 9, 0, 0, 0]    |0.29373628112762223 |0.16323360948900148 |235       
 [15, 16, 0, 0, 0]   |0.4876732998576734  |0.22022411098850375 |318       
 [17, 15, 18, 0, 0]  |0.8214067029822507  |0.1708897073112213  |628       
 [10, 7, 5, 1, 0]    |1.3491881540397261  |0.9157636644671132  |155       
 [16, 7, 1, 0, 0]    |0.470807086554525   |0.30245981553125706 |177       
 [16, 5, 0, 0, 0]    |0.2625864830426606  |0.1855047497761687  |139       
 [16, 5, 8, 0, 0]    |0.2955625685454166  |0.18380594462881278 |190       
 [6, 1, 8, 8, 9]     |3.717050038432328   |2.232072114302576   |204       
 [9, 2, 6, 8, 0]     |0.6303926452009505  |0.45547592969246853 |130       
 [13, 12, 10, 11, 0] |0.6740658819095307  |0.2081643378938065  |470       
 [14, 17, 19, 18, 0] |2.319042866413659   |0.18198237140159865 |1018      
 [11, 20, 8, 11, 19] |1.9635602492458797  |0.2738319393486722  |788       
 [14, 8, 0, 0, 0]    |0.3147174551850442  |0.2052390235872111  |171       
 [20, 15, 19, 17, 2] |38.77311927849857   |2.753099049958929   |1058      
 [18, 10, 8, 18, 9]  |1.0030477895091612  |0.18554518427733174 |675       
 [14, 15, 20, 7, 20] |2.2546513029822575  |0.22889207566438655 |915       
 [19, 9, 7, 7, 6]    |0.5818013050630753  |0.20461475949416666 |418       
 [15, 12, 7, 11, 0]  |0.5326746782220696  |0.18271195164343873 |428       
 [18, 11, 1, 0, 0]   |0.3600163930343919  |0.18012473202830387 |277       
 [10, 8, 10, 5, 0]   |0.42009127244324895 |0.21442756799757562 |269       
 [14, 5, 0, 0, 0]    |0.29072923828939756 |0.2137682280094161  |123       
 [2, 8, 0, 0, 0]     |1.7918791561835508  |1.625417778359133   |39        
 [14, 12, 10, 0, 0]  |0.4817898460180146  |0.19441752066858503 |363       
Gen 2 Train time: 8.470523941516877 minutes:
 Average MSE:        0.34103867015009437
 Average Error:      0.638212399251966
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.2640559140440249  |0.18654283226641305 |139       
 [14, 5, 0, 0, 0]    |0.38615197709507654 |0.28393093302772054 |123       
 [18, 9, 0, 0, 0]    |0.32841305824953265 |0.182504009023323   |235       
 [16, 5, 4, 0, 0]    |0.34835502704611854 |0.23234472498573772 |162       
 [16, 6, 5, 0, 0]    |0.2927616725589378  |0.18160951747344584 |191       
 [14, 8, 3, 1, 0]    |0.35450570610977905 |0.21772318058499068 |195       
 [14, 9, 5, 0, 0]    |0.329124114615591   |0.18381593941821067 |233       
 [3, 5, 0, 0, 0]     |2.292543434995717   |2.100471559222403   |35        
 [16, 6, 5, 16, 0]   |0.42344660850430477 |0.20102462925022127 |298       
 [16, 7, 0, 0, 0]    |0.5017883416445914  |0.32397890336152607 |175       
 [15, 9, 5, 0, 0]    |0.3282443266402129  |0.1779065174336945  |245       
 [14, 6, 4, 6, 14]   |0.5241068661052933  |0.24572072000508408 |303       
 [16, 5, 8, 0, 0]    |0.2907881831435855  |0.18083682569360926 |190       
 [17, 10, 13, 0, 0]  |0.46806384223125014 |0.17743506333937226 |388       
 [15, 16, 19, 5, 0]  |1.4811169381439924  |0.23878218344828275 |730       
 [15, 12, 0, 0, 0]   |0.3582106864428229  |0.1917363637361535  |250       
 [15, 3, 4, 0, 0]    |0.27058097041830287 |0.20348074670213498 |114       
 [15, 9, 4, 6, 0]    |0.515887834813854   |0.2653074567106569  |266       
 [14, 19, 7, 7, 9]   |1.0509614292480989  |0.23158817142628138 |605       
 [16, 6, 1, 0, 0]    |2.2742029236124024  |1.528259685830666   |159       
 [15, 3, 0, 0, 0]    |0.27599465286832614 |0.2165629986313494  |97        
 [16, 5, 7, 15, 9]   |0.6663364068059989  |0.21686925454461656 |449       
 [13, 15, 13, 14, 6] |1.3275887909406896  |0.20359233501840812 |750       
 [16, 5, 15, 0, 0]   |0.3167953306815816  |0.17429615991621045 |239       
 [17, 7, 0, 0, 0]    |0.28528494433906615 |0.1796460427018473  |185       
Increasing Epochs
Gen 3 Train time: 9.569172135988872 minutes:
 Average MSE:        0.2232616214933285
 Average Error:      0.38316269197064456
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.2952359508097086  |0.20857003203392815 |139       
 [15, 3, 4, 0, 0]    |0.2197348024850908  |0.1652437036388424  |114       
 [15, 3, 0, 0, 0]    |0.22741681829761956 |0.17844573290783955 |97        
 [16, 9, 8, 1, 0]    |1.76583987059345    |0.8509741086987033  |292       
 [15, 7, 7, 0, 0]    |0.2916697809446204  |0.16785865318106774 |221       
 [15, 5, 0, 0, 0]    |0.24767020664976735 |0.1785016864875137  |131       
 [15, 7, 3, 15, 0]   |0.3501587447258736  |0.1841750396802549  |257       
 [16, 5, 10, 0, 0]   |0.3035722557005134  |0.182293797398225   |204       
 [16, 5, 3, 0, 0]    |0.2669927410561414  |0.1812217593251207  |155       
 [16, 5, 8, 0, 0]    |0.2989569659403041  |0.18591686964439708 |190       
 [17, 7, 0, 0, 0]    |0.3228290560972974  |0.20328784798444927 |185       
 [18, 8, 0, 0, 0]    |0.27910542550315753 |0.16305532813686355 |215       
 [20, 6, 10, 3, 7]   |0.45437899214473043 |0.20162945552157624 |325       
 [15, 4, 3, 0, 0]    |0.4901018223864592  |0.3558869663939884  |128       
 [16, 6, 3, 0, 0]    |0.32255830857304635 |0.20825929661726067 |175       
 [16, 7, 3, 0, 0]    |0.33152682697957203 |0.2036104750226225  |195       
 [16, 6, 5, 19, 0]   |0.4115249148828613  |0.18537291719781254 |319       
 [16, 8, 5, 0, 0]    |0.3323278707833133  |0.18467952843110141 |235       
 [14, 9, 5, 0, 0]    |0.4113553728880821  |0.22974212749638873 |233       
 [15, 6, 2, 3, 7]    |0.3406421598038568  |0.20660991391176958 |200       
 [17, 7, 3, 0, 0]    |0.25904215766418215 |0.15516527192770835 |205       
 [16, 5, 8, 4, 0]    |0.37518554841726787 |0.2153836161481259  |222       
 [16, 8, 3, 0, 0]    |0.3639397252424323  |0.21261611527065574 |215       
 [16, 8, 3, 10, 0]   |0.37865909753158883 |0.1966914626391587  |262       
 [16, 4, 0, 0, 0]    |0.23864188316518006 |0.1763488316378407  |121       
Gen 4 Train time: 9.615940658251445 minutes:
 Average MSE:        0.2492245108574323
 Average Error:      0.40577623634751114
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 4, 0, 0]    |0.2516133049925254  |0.18921679193078939 |114       
 [15, 3, 0, 0, 0]    |0.30950309532952835 |0.2428558586684823  |97        
 [16, 4, 0, 0, 0]    |0.29046225070404447 |0.2146424502990582  |121       
 [16, 6, 8, 0, 0]    |0.32947679413986247 |0.19248263155439574 |215       
 [16, 7, 6, 2, 0]    |0.3371214870733941  |0.18875376994649265 |232       
 [16, 4, 4, 0, 0]    |0.252731594291355   |0.17765225812120483 |141       
 [16, 6, 2, 0, 0]    |0.28677988212246736 |0.18889946838725188 |167       
 [15, 7, 3, 0, 0]    |0.31821852968933934 |0.20038456535283017 |185       
 [16, 6, 3, 2, 4]    |1.4015835596167916  |0.8586470822761937  |196       
 [10, 6, 2, 8, 0]    |0.33718054977080336 |0.2358317301516885  |143       
 [16, 7, 7, 0, 0]    |0.29270887893453673 |0.16429745382725275 |231       
 [18, 8, 0, 0, 0]    |0.3538114310568976  |0.20669909546026743 |215       
 [15, 8, 4, 0, 0]    |1.4617041757528568  |0.8560752470148565  |214       
 [16, 6, 7, 12, 0]   |0.4623849162870727  |0.21409025883090785 |308       
 [16, 6, 5, 4, 4]    |0.35282172948507934 |0.1965590536708468  |234       
 [17, 7, 3, 10, 0]   |0.34039836710394744 |0.1812933793956983  |252       
 [17, 7, 2, 0, 0]    |0.2743082186567277  |0.16804845489082149 |196       
 [16, 5, 7, 0, 0]    |0.28717766407932793 |0.18174435610029638 |183       
 [16, 6, 3, 0, 0]    |0.25320863542724087 |0.1634837823424154  |175       
 [16, 6, 4, 0, 0]    |0.3294884654251453  |0.20852133184921456 |183       
 [16, 8, 6, 0, 0]    |0.41598612442150346 |0.22546206191611518 |245       
 [16, 5, 3, 0, 0]    |0.2704912673462855  |0.18359638976202752 |155       
 [17, 7, 3, 3, 0]    |0.3147237253293753  |0.18294676182640654 |217       
 [16, 7, 2, 8, 0]    |0.3172285000982272  |0.1848643540354639  |216       
 [11, 6, 2, 0, 0]    |0.3032927615534438  |0.22356418382482984 |122       
Increasing Epochs
Gen 5 Train time: 11.039543867111206 minutes:
 Average MSE:        0.3426568447565075
 Average Error:      0.7272470473300697
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 4, 0, 0]    |0.21894003337582732 |0.16464602593978353 |114       
 [16, 4, 4, 0, 0]    |0.2528559767972261  |0.17773969013816626 |141       
 [16, 6, 3, 0, 0]    |0.3444520673568932  |0.22239496971401912 |175       
 [16, 5, 5, 1, 0]    |0.35965912197682043 |0.23454716541017623 |171       
 [14, 7, 2, 0, 0]    |0.3045125537908916  |0.20108190524846856 |166       
 [13, 5, 8, 4, 8]    |0.4040568165006359  |0.22064509440045105 |242       
 [14, 5, 1, 0, 0]    |1.1558317919547985  |0.8456246034275339  |125       
 [15, 6, 4, 0, 0]    |0.3073211323241393  |0.19891811039982865 |174       
 [16, 5, 10, 0, 0]   |0.40114855869380583 |0.24088793594254315 |204       
 [9, 7, 5, 1, 0]     |0.33801313581927045 |0.2352349396907496  |145       
 [16, 6, 3, 4, 0]    |0.2931391168127881  |0.18138961697247352 |192       
 [16, 5, 6, 0, 0]    |0.2822241536758415  |0.1817626338766075  |176       
 [16, 5, 3, 0, 0]    |0.3157228522831525  |0.2142974019577077  |155       
 [15, 7, 3, 0, 0]    |0.3001837530753625  |0.1890279329261918  |185       
 [16, 6, 4, 0, 0]    |0.39441274111094876 |0.24960955755654196 |183       
 [16, 8, 5, 0, 0]    |0.3409077446076089  |0.18944749161196392 |235       
 [16, 7, 4, 0, 0]    |0.3021862895985497  |0.18146153088161213 |204       
 [14, 7, 3, 2, 0]    |1.4512323597733436  |0.9207314216789099  |182       
 [17, 8, 5, 5, 0]    |0.44447132384952454 |0.22293617942903024 |276       
 [17, 7, 3, 2, 2]    |2.67499311055201    |1.5510727756442801  |218       
 [11, 19, 17, 17, 9] |5.032810038307177   |0.33907921845223354 |1079      
 [17, 6, 0, 0, 0]    |0.24784333196179803 |0.16366093539851195 |166       
 [17, 7, 4, 1, 0]    |1.4676726027798974  |0.85528364432717    |216       
 [13, 5, 3, 4, 0]    |0.2999976463450075  |0.20721867344090056 |148       
 [13, 5, 3, 0, 0]    |0.24658792992842135 |0.1777216644468343  |131       
Gen 6 Train time: 11.063064221541087 minutes:
 Average MSE:        0.6418511980996713
 Average Error:      0.95544796673109
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 4, 0, 0]    |0.23439592615295599 |0.17626907762141628 |114       
 [13, 5, 3, 0, 0]    |0.31205199064452294 |0.22490313774640489 |131       
 [17, 6, 0, 0, 0]    |0.33070950446808106 |0.21838080701225843 |166       
 [17, 6, 4, 1, 0]    |0.3413526565697914  |0.21016987375806231 |194       
 [6, 5, 4, 2, 1]     |3.560193215491205   |2.8286931411121556  |92        
 [17, 6, 2, 0, 0]    |0.27964853374395326 |0.18010384083360376 |176       
 [14, 6, 4, 0, 0]    |0.4455266002233957  |0.2949355782926849  |165       
 [16, 7, 4, 2, 0]    |0.3935386047321032  |0.23163877850560183 |212       
 [16, 5, 5, 0, 0]    |0.2506660902557146  |0.16428812330125164 |169       
 [15, 5, 4, 2, 0]    |0.2702924275838349  |0.18027878134906133 |162       
 [16, 4, 5, 1, 0]    |0.30347911995217514 |0.20910004269334054 |149       
 [17, 7, 4, 1, 1]    |3.9499092504618516  |2.2903224238183557  |218       
 [16, 7, 4, 0, 0]    |0.23999038045692458 |0.14411316242185684 |204       
 [12, 5, 4, 2, 0]    |0.2610259482582869  |0.18486388933975162 |138       
 [17, 8, 4, 1, 1]    |3.9931277440620123  |2.191474970351122   |240       
 [5, 4, 4, 2, 0]     |1.8869077167234065  |1.5760778074611204  |72        
 [15, 6, 3, 2, 0]    |0.2792326754553648  |0.18118985360319487 |173       
 [9, 7, 5, 1, 0]     |1.4904489850674074  |1.0372545914959148  |145       
 [16, 4, 17, 0, 0]   |0.30576526364749596 |0.17685279065429368 |219       
 [15, 7, 4, 2, 0]    |0.3295925188883677  |0.19891092276817207 |202       
 [16, 5, 4, 0, 0]    |0.24739802185616902 |0.16500874363032275 |162       
 [16, 4, 4, 0, 0]    |0.25615295343601635 |0.18005722921157047 |141       
 [14, 6, 3, 2, 0]    |0.5559091297795261  |0.3689292330312461  |164       
 [9, 5, 4, 2, 3]     |3.014468233749019   |2.2109525506780274  |124       
 [13, 7, 4, 3, 0]    |0.3544156766176704  |0.2215106018009922  |188       
Result:  [15, 3, 4]
Fold 0
Fold 0 Train time: 19.03974426984787 minutes, MSE: 0.00798861184067354
Fold 1
Fold 1 Train time: 18.978415950139365 minutes, MSE: 0.012170288692062653
Fold 2
Fold 2 Train time: 18.943084613482156 minutes, MSE: 0.008946252356080408
Fold 3
Fold 3 Train time: 18.903915711243947 minutes, MSE: 0.008761645997637757
Fold 4
Fold 4 Train time: 19.035928265253702 minutes, MSE: 0.016467490275069965
Total Time: 162.05998313824335 minutes
CellsPerSensor: 7
 Resulting Network Architecture: [15, 3, 4]
 MSE after 5-Fold CV: 0.010866857832304866
 Weights and Biases: 114
 Objective Function Value: 0.01445033491039344
~/workspace/SolarCellResearch
