/tmp/tmp.ZMEEJBz4bE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.540749669075012 minutes:
 Average MSE:        0.6565351599046106
 Average Error:      1.730569848419886
 Structure           |Error               |MSE                 |weights&biases
 [3, 17, 9, 0, 0]    |1.8860885555446003  |1.012077488166359   |249       
 [11, 19, 19, 7, 5]  |1.863999368521447   |0.23579897860295293 |827       
 [19, 15, 13, 0, 0]  |0.6351331937995544  |0.14935630064938493 |579       
 [5, 6, 17, 0, 0]    |2.239817905061801   |1.3998912712038327  |188       
 [9, 3, 0, 0, 0]     |0.297427770457133   |0.25535925763559253 |61        
 [12, 7, 9, 13, 11]  |0.830410636120134   |0.24090925342100605 |495       
 [18, 13, 0, 0, 0]   |0.42133173002177876 |0.1916978588479072  |315       
 [18, 10, 0, 0, 0]   |0.3287063021472661  |0.17375819580482146 |255       
 [19, 13, 0, 0, 0]   |0.41631428887527266 |0.1819879501862725  |331       
 [12, 8, 8, 0, 0]    |0.37687672373783365 |0.21689603584245742 |221       
 [14, 0, 0, 0, 0]    |0.3982540744988428  |0.345360976851577   |57        
 [18, 1, 0, 0, 0]    |0.2588398749977577  |0.21458579331931613 |75        
 [12, 17, 0, 0, 0]   |0.5293230857651087  |0.2661603624717173  |275       
 [11, 19, 12, 0, 0]  |0.7669767666980968  |0.21218457013919237 |514       
 [18, 15, 4, 18, 15] |1.4773148494167154  |0.20295442125696414 |794       
 [2, 20, 17, 2, 0]   |9.072611236166702   |2.858394549348913   |462       
 [12, 5, 14, 0, 0]   |0.3707136269418473  |0.2248491807135017  |200       
 [12, 12, 14, 0, 0]  |0.6458067958658862  |0.2442031306070176  |389       
 [1, 16, 0, 0, 0]    |3.2951233454553384  |2.893432753964007   |52        
 [19, 5, 1, 6, 0]    |0.2815309413640011  |0.17861673366294226 |182       
 [12, 3, 0, 0, 0]    |0.3473736012313517  |0.28511735326902804 |79        
 [8, 6, 16, 18, 0]   |2.1157796329578864  |0.5838701687568263  |515       
 [10, 14, 4, 4, 14]  |0.49466184512952593 |0.20672189508839253 |349       
 [5, 4, 20, 17, 2]   |13.169961950383701  |3.457129521346604   |535       
 [18, 19, 7, 0, 0]   |0.7438681093375705  |0.18206499645867855 |563       
Gen 1 Train time: 8.434054291248321 minutes:
 Average MSE:        0.5158801264868224
 Average Error:      1.024362885920527
 Structure           |Error               |MSE                 |weights&biases
