/tmp/tmp.Qeyh0qU51v ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 9.075797299544016 minutes:
 Average MSE:        0.868106582187674
 Average Error:      2.145966223403679
 Structure           |Error               |MSE                 |weights&biases
 [19, 15, 20, 0, 0]  |1.279528213607481   |0.22346319074820173 |698       
 [5, 15, 0, 0, 0]    |0.5443648826139182  |0.40226849436646483 |121       
 [6, 8, 0, 0, 0]     |0.6276688324922798  |0.5100520047314869  |83        
 [1, 7, 7, 7, 0]     |2.56300679251344    |1.8197171876229734  |137       
 [9, 5, 9, 0, 0]     |0.3192437814430931  |0.22440557471075895 |141       
 [15, 11, 2, 0, 0]   |0.29004358814661024 |0.15602733490346965 |248       
 [2, 7, 5, 9, 0]     |1.8047149835870202  |1.300700122785121   |131       
 [12, 17, 0, 0, 0]   |0.36647683844636764 |0.18427612696578863 |275       
 [11, 1, 20, 0, 0]   |0.23312362597821149 |0.1788538329304298  |106       
 [14, 7, 14, 0, 0]   |0.38314064548079596 |0.19313745593986126 |274       
 [10, 6, 0, 0, 0]    |0.39245204600001277 |0.3033582207671438  |103       
 [16, 3, 6, 17, 0]   |0.31365543351309627 |0.16374249442365754 |260       
 [8, 20, 7, 0, 0]    |0.6811590908235163  |0.27763183248962836 |359       
 [18, 6, 9, 17, 0]   |0.41153529050044724 |0.14437221298255717 |419       
 [8, 16, 2, 1, 16]   |3.0891533522081573  |1.6370519901902836  |254       
 [2, 20, 1, 10, 15]  |6.205690508181086   |3.020633854646527   |288       
 [6, 0, 0, 0, 0]     |1.482872897723579   |1.3930301706136015  |25        
 [14, 8, 19, 7, 0]   |0.7447181301218825  |0.2237447286917497  |481       
 [1, 12, 19, 19, 0]  |15.875892176264868  |2.9440958064216805  |674       
 [8, 20, 4, 18, 0]   |2.869370322106761   |1.0635289808537534  |397       
 [12, 16, 1, 0, 0]   |0.6449377785815146  |0.3341713364493591  |263       
 [12, 17, 17, 12, 19]|2.690805128002341   |0.19688026102774064 |1046      
 [5, 9, 15, 13, 8]   |3.603549049057174   |0.9156868924553032  |548       
 [1, 11, 8, 5, 1]    |5.43120876364502    |3.515429532231998   |174       
