/tmp/tmp.noRra6HZrM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k7.mat
  Evaluating with: datasets/N8dataset100k7.mat
Gen 0 Train time: 7.997184069951375 minutes:
 Average MSE:        1.0393412413491778
 Average Error:      1.6721913109589455
 Structure           |Error               |MSE                 |weights&biases
 [6, 14, 0, 0, 0]    |0.5952468805920651  |0.42900829090181203 |131       
 [19, 0, 0, 0, 0]    |0.29674334343733016 |0.2447818979661942  |77        
 [14, 0, 0, 0, 0]    |0.23396110394056527 |0.20288815752573486 |57        
 [1, 7, 13, 10, 0]   |6.970680144162931   |3.5314650093783584  |272       
 [10, 4, 0, 0, 0]    |0.3505903382698153  |0.28775758714782057 |79        
 [5, 16, 0, 0, 0]    |0.5666284112626306  |0.4114566752169545  |128       
 [9, 19, 0, 0, 0]    |0.7125547862822724  |0.3940023218159442  |237       
 [3, 0, 0, 0, 0]     |3.646794948715917   |3.5301793802884136  |13        
 [7, 18, 15, 0, 0]   |1.041002369730149   |0.3247122303485216  |466       
 [6, 8, 7, 18, 15]   |1.3670588691643308  |0.3190720375372512  |582       
 [5, 0, 0, 0, 0]     |3.7215949645964415  |3.531251463376845   |21        
 [8, 19, 16, 7, 0]   |1.2284048480308591  |0.24677370317049055 |642       
 [18, 16, 18, 0, 0]  |0.9163982541118395  |0.1661599777096665  |683       
 [10, 0, 0, 0, 0]    |0.3444858111074451  |0.3109253660054936  |41        
 [7, 1, 18, 19, 0]   |0.7258422217705812  |0.23801475458899715 |446       
 [3, 6, 2, 7, 0]     |3.0678591907344095  |2.536994179429912   |76        
 [4, 3, 17, 12, 0]   |3.8063925078862773  |1.6933044103437802  |324       
 [13, 0, 0, 0, 0]    |0.40261044047114697 |0.35264766611046844 |53        
 [5, 1, 3, 11, 6]    |3.2840995716718924  |2.257126426092116   |150       
 [16, 0, 0, 0, 0]    |0.33673236643088017 |0.28622792956592286 |65        
 [2, 4, 18, 6, 7]    |4.893760816869559   |2.4362527267953284  |279       
 [5, 3, 20, 12, 0]   |1.177499541600849   |0.4576700165664288  |378       
 [15, 4, 0, 0, 0]    |0.2090055423963201  |0.15717514711378677 |114       
 [6, 6, 0, 0, 0]     |1.4229532056211942  |1.2035005488106107  |67        
 [11, 0, 0, 0, 0]    |0.4858822951159356  |0.43418312992259694 |45        
Gen 1 Train time: 7.663433452447255 minutes:
 Average MSE:        0.327278003734234
 Average Error:      0.4219031033703031
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.2825927110786795  |0.2125137468979259  |114       
 [14, 0, 0, 0, 0]    |0.2476314057474496  |0.21474287311608387 |57        
 [19, 0, 0, 0, 0]    |0.23353083260777643 |0.19263825694351158 |77        
 [11, 3, 9, 10, 0]   |0.33516759064921164 |0.19531832770322882 |216       
 [18, 0, 0, 0, 0]    |0.22863937251497268 |0.19049881417688444 |73        
 [10, 15, 10, 0, 0]  |0.4765228351669042  |0.19085531819627985 |366       
 [6, 4, 0, 0, 0]     |0.35476601697911725 |0.3122981889084484  |51        
 [16, 2, 17, 0, 0]   |0.2781594354444404  |0.19069865470852454 |151       
 [15, 2, 0, 0, 0]    |0.2519941791549488  |0.2063153840707991  |80        
 [13, 2, 0, 0, 0]    |0.2291919627037446  |0.19239680219553273 |70        
 [4, 19, 0, 0, 0]    |1.4766259396897263  |1.074934484061179   |127       
 [11, 11, 8, 0, 0]   |0.3957834159560088  |0.20151566740399018 |270       
 [17, 2, 14, 0, 0]   |0.26593931195821313 |0.18553956212486397 |144       
 [13, 2, 6, 0, 0]    |0.18320205341426796 |0.14556018748524654 |92        
 [9, 7, 0, 0, 0]     |0.27815094756254577 |0.21393322704445375 |105       
 [7, 2, 0, 0, 0]     |0.34046285243246216 |0.30806352833214695 |40        
