/tmp/tmp.xtORIaJ0uz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k4.mat
  Evaluating with: datasets/N9dataset100k4.mat
Gen 0 Train time: 8.254827801386515 minutes:
 Average MSE:        0.7201389664702975
 Average Error:      1.24826816181464
 Structure           |Error               |MSE                 |weights&biases
 [19, 10, 9, 17, 16] |1.1434031190705616  |0.14320315504444978 |831       
 [14, 3, 0, 0, 0]    |0.21767623195958968 |0.1733839993829021  |91        
 [7, 0, 0, 0, 0]     |1.8445166316494443  |1.7155217382423422  |29        
 [6, 10, 2, 15, 15]  |2.800432804251976   |1.00227656563241    |411       
 [4, 7, 0, 0, 0]     |1.9992897758276087  |1.7424497152318783  |55        
 [12, 11, 12, 4, 0]  |0.5244667467123642  |0.20283280639139237 |380       
 [17, 16, 15, 18, 0] |1.4331867512311396  |0.15067960196080138 |901       
 [3, 0, 0, 0, 0]     |2.55884283070847    |2.477017305715687   |13        
 [9, 19, 12, 17, 13] |3.3377356885972564  |0.32965541717047786 |926       
 [10, 5, 14, 6, 0]   |0.4052470012504518  |0.20840780492560373 |266       
 [6, 15, 1, 0, 0]    |2.3948538843708302  |1.6834112158464307  |141       
 [18, 18, 4, 0, 0]   |0.7301649108053846  |0.22157705649544174 |477       
 [7, 1, 11, 19, 0]   |0.6577895010488838  |0.31149552523995633 |299       
 [17, 3, 0, 0, 0]    |0.5456213914410922  |0.4154761919719955  |109       
 [11, 0, 0, 0, 0]    |0.3753996103015134  |0.33545609587100295 |45        
 [16, 19, 15, 16, 0] |2.010508569997683   |0.1898326679172599  |944       
 [19, 0, 0, 0, 0]    |0.3384057175866735  |0.2791489536848602  |77        
 [17, 0, 0, 0, 0]    |0.5607091046940614  |0.4718693946675157  |69        
 [9, 20, 4, 0, 0]    |0.44131642919018277 |0.20028916446055875 |316       
 [2, 9, 1, 6, 0]     |2.220259447095969   |1.9014638884443642  |62        
 [20, 2, 12, 10, 0]  |0.34402680480007986 |0.17126628632843927 |279       
 [10, 6, 17, 0, 0]   |0.5211694841299708  |0.2910733491325789  |233       
 [11, 14, 2, 0, 0]   |0.330769445235402   |0.18427359684900332 |234       
 [15, 17, 1, 0, 0]   |0.40647290380033446 |0.1750404813982607  |337       
 [1, 0, 0, 0, 0]     |3.064439259609071   |3.0263721837518247  |5         
Gen 1 Train time: 8.40136794646581 minutes:
 Average MSE:        0.36487226642052023
 Average Error:      0.6079353971255707
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.2063092697161837  |0.16432995909171383 |91        
 [11, 14, 2, 0, 0]   |0.3444469836867729  |0.19189343369542344 |234       
 [19, 0, 0, 0, 0]    |0.19491624287904516 |0.1607853012765179  |77        
 [13, 7, 6, 2, 0]    |1.385737747560152   |0.8363004567322605  |202       
 [9, 13, 19, 2, 16]  |0.7855321945772182  |0.2098433800022823  |528       
 [17, 9, 1, 0, 0]    |0.25534275612797974 |0.1454899168611795  |225       
 [14, 4, 7, 3, 0]    |0.32839125975181366 |0.2173927798084331  |165       
 [15, 4, 13, 8, 0]   |0.35856782992710057 |0.17150593063330033 |295       
 [16, 10, 1, 0, 0]   |1.5802238156749613  |0.886979412232475   |231       
 [13, 7, 1, 0, 0]    |0.31168705732573615 |0.21583185663897558 |147       
 [16, 3, 20, 0, 0]   |0.2584085856034007  |0.1567327299014391  |200       
