/tmp/tmp.0owdUIyS08 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.334453737735748 minutes:
 Average MSE:        0.407246624220365
 Average Error:      1.188546943425542
 Structure           |Error               |MSE                 |weights&biases
 [16, 13, 7, 0, 0]   |0.4614320008916802  |0.18069936787791568 |375       
 [20, 16, 5, 0, 0]   |0.5224360865207881  |0.1546249726616933  |487       
 [6, 17, 0, 0, 0]    |0.45515574523249175 |0.3089377059154742  |155       
 [18, 12, 17, 12, 0] |0.8827411399074788  |0.1416036556744816  |732       
 [17, 13, 3, 0, 0]   |0.3692073868775695  |0.1613956026179284  |331       
 [15, 4, 16, 0, 0]   |0.2500645128645267  |0.1494136951294746  |206       
 [10, 3, 1, 7, 0]    |0.260552117159708   |0.20857587982689005 |89        
 [17, 0, 0, 0, 0]    |0.19466925962538387 |0.16382552901459285 |69        
 [10, 17, 0, 0, 0]   |0.3731526615904011  |0.2073664703862867  |235       
 [14, 8, 14, 0, 0]   |0.49374895365486116 |0.23148780571299604 |303       
 [13, 3, 7, 6, 19]   |0.50701835335564    |0.23358527242681304 |310       
 [11, 16, 7, 0, 0]   |2.1099271621441313  |0.8751617317501988  |352       
 [17, 4, 0, 0, 0]    |0.19179783066759296 |0.13927381005209544 |128       
 [17, 15, 8, 10, 0]  |0.6713694893677099  |0.1697487903273708  |550       
 [8, 1, 0, 0, 0]     |0.20772164683077218 |0.19031849287675218 |35        
 [2, 1, 0, 0, 0]     |1.887736792112155   |1.8365313323705883  |11        
 [10, 16, 2, 17, 0]  |0.6151886931825957  |0.2841291927947515  |309       
 [17, 20, 0, 0, 0]   |0.4580044441691413  |0.1555362599653377  |432       
 [16, 18, 9, 2, 0]   |0.6952354900039103  |0.1766641765380949  |548       
 [18, 13, 0, 0, 0]   |0.3507423621859694  |0.1595810499124574  |315       
 [12, 13, 5, 3, 0]   |0.4450503994888901  |0.21180955236664487 |297       
 [13, 14, 0, 0, 0]   |0.4289509913543196  |0.22960092039695015 |250       
 [8, 11, 9, 0, 0]    |0.5574830351931688  |0.3051892490048507  |241       
 [10, 8, 20, 20, 16] |13.842739060751612  |0.9514775751865592  |1071      
 [5, 0, 0, 0, 0]     |2.481547970506056   |2.3546275147219253  |21        
Gen 1 Train time: 8.58552029132843 minutes:
 Average MSE:        0.5058377144129367
 Average Error:      1.1991889772289117
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 0, 0, 0]    |0.1687792151510924  |0.12255886456001905 |128       
 [17, 0, 0, 0, 0]    |0.2969481724907175  |0.24989919590707146 |69        
 [8, 1, 0, 0, 0]     |1.6709962177571323  |1.5309982691663238  |35        
 [15, 2, 4, 3, 10]   |0.4964392191605321  |0.33695893131170723 |155       
 [16, 4, 8, 0, 0]    |0.2518505816031212  |0.16672337160389591 |165       
 [17, 2, 0, 0, 0]    |0.20717362354895827 |0.16543149850299277 |90        
 [14, 11, 17, 0, 0]  |0.3961329316598387  |0.13553770142729843 |429       
 [17, 4, 14, 0, 0]   |0.23804808825163473 |0.14152447987061906 |208       
 [19, 4, 9, 3, 12]   |0.32651194357962465 |0.16500347407673893 |273       
 [17, 11, 5, 1, 0]   |3.1693448252384044  |1.4347991679833665  |317       
 [1, 19, 6, 16, 2]   |7.587886834728869   |3.4957681545518646  |310       
 [9, 6, 9, 10, 15]   |2.381378335372277   |0.8107297204409007  |431       
 [17, 13, 5, 0, 0]   |0.42302720030159907 |0.17156058684663716 |361       
 [16, 2, 8, 0, 0]    |0.26547642358213025 |0.1991435729445381  |115       
 [15, 14, 12, 7, 0]  |0.731995639298822   |0.18600518630813195 |548       
 [6, 12, 8, 12, 11]  |2.878590183635169   |0.8911884719855049  |469       
 [12, 8, 13, 0, 0]   |0.37271261555303287 |0.18929519123144406 |271       
 [14, 9, 8, 0, 0]    |0.3226503237262732  |0.16593052019839735 |266       
 [13, 3, 0, 0, 0]    |0.2052949664946208  |0.1659933630480926  |85        
 [16, 2, 19, 18, 10] |4.987730566030489   |0.8667376093274388  |700       
 [19, 2, 11, 17, 12] |0.6440709762437143  |0.15763920853304808 |563       
 [9, 9, 0, 0, 0]     |0.47435149712873126 |0.3453120848851279  |127       
 [12, 3, 8, 0, 0]    |0.2140652896987311  |0.1601772573647116  |116       
 [16, 14, 6, 0, 0]   |0.4788210044119124  |0.18379607254174327 |383       
 [11, 8, 8, 11, 18]  |0.7894477560753675  |0.20723090570580358 |535       
Gen 2 Train time: 8.546041146914165 minutes:
 Average MSE:        0.2937902236495084
 Average Error:      0.7091878074521241
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 0, 0, 0]    |0.22946602484730566 |0.16662653298399863 |128       
 [13, 3, 0, 0, 0]    |0.2322428187899038  |0.18778232702415038 |85        
 [17, 2, 0, 0, 0]    |0.25357051487501775 |0.20248016872686753 |90        
 [18, 3, 5, 2, 6]    |0.29555070494068136 |0.1941906507753729  |168       
 [17, 4, 4, 0, 0]    |0.20514006419016967 |0.14169728492530081 |148       
 [15, 12, 19, 5, 6]  |4.038734757422282   |0.8423425353096368  |627       
 [10, 4, 7, 0, 0]    |0.26940782257522916 |0.2010847177456215  |117       
 [17, 2, 9, 0, 0]    |0.21581721503040166 |0.15829047946485103 |124       
 [15, 2, 4, 0, 0]    |0.24175314260206743 |0.19112298734733332 |94        
 [15, 8, 13, 10, 0]  |0.5337856007253813  |0.17723814169062246 |441       
 [16, 4, 5, 2, 6]    |0.33062762298146836 |0.2118742071333859  |178       
 [1, 14, 12, 9, 10]  |7.215200219318797   |2.4077433565629356  |439       
 [15, 2, 0, 0, 0]    |0.1899268806679909  |0.15549897803905618 |80        
 [17, 4, 4, 11, 0]   |0.24048298611567717 |0.14225900047567913 |210       
 [15, 4, 8, 0, 0]    |0.23155852139729768 |0.15599635378334126 |158       
 [14, 4, 8, 0, 0]    |0.20787475073852815 |0.1425133583923497  |151       
 [12, 6, 11, 0, 0]   |0.3412502279928434  |0.2054321922179699  |203       
 [15, 5, 7, 0, 0]    |0.2830578014236767  |0.18275585238311573 |175       
 [16, 6, 4, 12, 0]   |0.26010156886325414 |0.13887471617397387 |251       
 [13, 3, 18, 0, 0]   |0.2678192995732686  |0.17421889011483965 |172       
 [13, 6, 0, 0, 0]    |0.18146126436363477 |0.1311107271292015  |130       
 [15, 6, 11, 10, 9]  |0.5414893124950265  |0.17711926680170356 |447       
 [18, 4, 9, 2, 6]    |0.3093457008114318  |0.17847694342517434 |220       
 [6, 4, 5, 2, 6]     |0.43286928060281604 |0.33044353254053516 |108       
 [17, 1, 4, 0, 0]    |0.1811610829589497  |0.14758239007069401 |82        
Increasing Epochs
Gen 3 Train time: 9.923199796676636 minutes:
 Average MSE:        0.27428934440907904
 Average Error:      0.8220901498879938
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 4, 0, 0]    |0.1900819580954274  |0.1548497570606669  |82        
 [13, 6, 0, 0, 0]    |0.28356703604115907 |0.20488494013094477 |130       
 [15, 2, 0, 0, 0]    |0.2038510576602741  |0.1668991299539393  |80        
 [11, 3, 4, 0, 0]    |0.3095804474573202  |0.24720500830545533 |90        
 [18, 17, 12, 20, 15]|2.963954147742871   |0.15358889448564503 |1184      
 [17, 2, 7, 0, 0]    |0.2078473522851932  |0.1555246013326775  |116       
 [17, 2, 1, 0, 0]    |0.2347961400853284  |0.18655342303587344 |92        
 [15, 4, 12, 1, 3]   |1.68548256552731    |1.0429486187271049  |192       
 [17, 4, 7, 6, 0]    |0.31965882382971    |0.18768297786467425 |213       
 [16, 2, 4, 0, 0]    |0.22813478224988992 |0.17811628161625404 |99        
 [15, 4, 8, 0, 0]    |0.20787185193484545 |0.14003911737020147 |158       
 [16, 5, 5, 1, 3]    |0.2795579015711341  |0.17870018052839504 |179       
 [14, 7, 7, 5, 0]    |0.2423076061186282  |0.13002256582450572 |249       
 [16, 4, 4, 3, 0]    |0.24147235132417438 |0.16389975308781507 |155       
 [7, 4, 18, 0, 0]    |0.5669693147705841  |0.3781553854202987  |162       
 [17, 13, 12, 20, 15]|2.1930290001303336  |0.16126338698373738 |1044      
 [16, 2, 7, 0, 0]    |0.2037340397844765  |0.15436430362254808 |111       
 [14, 4, 10, 19, 0]  |0.454569537799125   |0.17536173547859657 |381       
 [8, 7, 5, 1, 3]     |0.45589157093088667 |0.3188609129657214  |143       
 [17, 4, 0, 0, 0]    |0.27721128761950176 |0.20129670957085918 |128       
 [16, 3, 2, 6, 0]    |0.19218685442437577 |0.13816769089931033 |132       
 [14, 3, 9, 0, 0]    |0.28135150747800697 |0.20176523204057886 |133       
 [13, 3, 2, 0, 0]    |0.20514348250829884 |0.16299339018739836 |92        
 [15, 4, 2, 6, 0]    |0.2549564979084775  |0.17787711276872314 |144       
 [13, 18, 9, 15, 3]  |7.869046631922514   |1.496212500965052   |664       
Increasing Epochs
Gen 4 Train time: 11.110167841116587 minutes:
 Average MSE:        0.34175902678394204
 Average Error:      0.5207636870120556
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 4, 0, 0]    |0.1709495128819881  |0.13926356191115014 |82        
