/tmp/tmp.RTHlLLf3NJ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k1.mat
  Evaluating with: datasets/N10dataset100k1.mat
Gen 0 Train time: 8.345833726723988 minutes:
 Average MSE:        0.6604768118479547
 Average Error:      1.07184521219251
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 17, 10, 8]  |0.7018756375772459  |0.1961257889792274  |510       
 [12, 1, 0, 0, 0]    |0.23590016800230312 |0.20766136468661403 |51        
 [14, 2, 15, 0, 0]   |0.2600517906634573  |0.18649059447418098 |133       
 [9, 18, 15, 0, 0]   |0.4965757041178673  |0.13945416032316152 |508       
 [2, 2, 8, 0, 0]     |2.577652858085588   |2.3033837557519643  |45        
 [12, 3, 5, 0, 0]    |0.2188908968947836  |0.17004675318668222 |101       
 [3, 0, 0, 0, 0]     |1.8389423209846993  |1.7801374506580765  |13        
 [20, 10, 9, 4, 16]  |0.5040550850675566  |0.14226415242551876 |506       
 [12, 16, 13, 4, 0]  |0.5899465995842325  |0.15838551407066573 |526       
 [2, 18, 14, 0, 0]   |4.804684253036458   |2.0484662207001234  |341       
 [8, 1, 19, 0, 0]    |0.30914438703377956 |0.24624043575250393 |91        
 [16, 2, 0, 0, 0]    |0.20765882069498462 |0.16790468174807655 |85        
 [16, 10, 20, 0, 0]  |0.5052816207250679  |0.16039121725099567 |459       
 [20, 0, 0, 0, 0]    |0.24464855953054776 |0.1998011715556976  |81        
 [19, 0, 0, 0, 0]    |0.279255422451117   |0.23035621130747339 |77        
 [11, 10, 4, 9, 0]   |0.431015634231823   |0.22955539289765664 |252       
 [4, 7, 13, 0, 0]    |3.3761512837448096  |2.234989180838089   |165       
 [16, 1, 19, 1, 18]  |0.31442666739870767 |0.20149224150103154 |178       
 [13, 11, 2, 3, 17]  |0.6107823333639093  |0.279986293213047   |312       
 [4, 2, 3, 1, 16]    |2.277240921035521   |1.8458956148700323  |84        
 [20, 11, 0, 0, 0]   |0.3095237470210796  |0.14511620223920402 |303       
 [20, 15, 18, 19, 0] |1.8966116299439377  |0.13946647090363554 |1044      
 [8, 5, 8, 13, 0]    |0.78614478280013    |0.42290221305140346 |248       
 [1, 11, 2, 0, 0]    |2.0455329582628874  |1.7961731444480606  |52        
 [10, 0, 0, 0, 0]    |0.9741362225602604  |0.879234069365744   |41        
Gen 1 Train time: 8.508862936496735 minutes:
 Average MSE:        0.3406053733918404
 Average Error:      0.7767645921263988
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 0, 0, 0]    |0.18557924277651405 |0.15005201124207382 |85        
 [12, 3, 5, 0, 0]    |0.3071674639990951  |0.23862495278979315 |101       
 [12, 1, 0, 0, 0]    |0.3140407743407511  |0.2764480259556436  |51        
 [15, 2, 8, 0, 0]    |0.1961422009596462  |0.14898414803693694 |110       
 [12, 4, 4, 7, 0]    |0.2827085921301334  |0.19381743462204368 |151       
 [17, 16, 3, 13, 9]  |0.6101579244904287  |0.1438423367780874  |578       
 [1, 8, 19, 9, 6]    |8.888482794643263   |2.980992714431417   |437       
 [17, 7, 5, 0, 0]    |1.4178498064528298  |0.811915915286168   |223       
 [14, 3, 4, 7, 0]    |0.24739333702792682 |0.17173962601431386 |146       
 [12, 4, 9, 2, 10]   |0.315771808658521   |0.1944198174082396  |194       
 [15, 7, 8, 16, 0]   |0.36486211049915374 |0.14040337120730517 |382       
 [18, 7, 0, 0, 0]    |0.24212648029358663 |0.14870436916759847 |195       
 [20, 7, 0, 0, 0]    |0.2547012920582508  |0.14879826387671338 |215       
 [16, 7, 3, 0, 0]    |0.23691117633196515 |0.14550133873205984 |195       
 [14, 6, 2, 5, 0]    |0.24820995521278547 |0.1634937856906438  |167       
 [16, 15, 14, 0, 0]  |0.617545991064639   |0.15929431759469495 |542       
 [14, 20, 10, 17, 0] |1.30624113106806    |0.19684348608288377 |757       
 [16, 1, 0, 0, 0]    |0.23434425308305784 |0.19820288965366945 |67        
 [18, 4, 0, 0, 0]    |0.1925109036362995  |0.13736653544221472 |135       
 [14, 1, 10, 0, 0]   |0.1657198795195866  |0.1329933185105454  |88        
 [20, 0, 0, 0, 0]    |0.22072364151692425 |0.18026201441670323 |81        
 [14, 7, 9, 2, 9]    |0.4647570083906998  |0.23311099333950697 |276       
 [18, 1, 0, 0, 0]    |0.2847446621637314  |0.23606161618017424 |75        
 [15, 2, 8, 1, 0]    |1.1077154755824108  |0.8371933466040827  |112       
 [17, 12, 16, 4, 15] |0.7127068972597155  |0.1460677057324987  |634       
Gen 2 Train time: 8.645706880092622 minutes:
 Average MSE:        0.3798151912536676
 Average Error:      0.867259143204014
 Structure           |Error               |MSE                 |weights&biases
 [14, 1, 10, 0, 0]   |0.2314412157926747  |0.1857359262969119  |88        
 [16, 2, 0, 0, 0]    |0.24078566676475616 |0.19468973488498306 |85        
 [18, 4, 0, 0, 0]    |0.24942467025330328 |0.1779774659997628  |135       
 [16, 2, 5, 1, 5]    |2.047456717319539   |1.5205899692844447  |119       
 [15, 4, 1, 3, 0]    |0.20405139051739968 |0.1496608712883206  |124       
 [20, 20, 5, 1, 5]   |0.9415856277558988  |0.20645145338354348 |607       
 [17, 7, 1, 3, 0]    |0.26992744445934835 |0.16577860587854326 |195       
 [18, 3, 0, 0, 0]    |0.19213010267904973 |0.14412381559701856 |115       
 [14, 2, 7, 4, 0]    |0.20183600496284104 |0.14583203453548968 |130       
 [16, 1, 5, 0, 0]    |0.21273038796049096 |0.1737340322851849  |81        
 [15, 4, 5, 8, 5]    |0.3127830204447239  |0.17468943229597295 |233       
 [20, 18, 18, 20, 19]|7.765639085655475   |0.14989934500676733 |1579      
 [14, 3, 6, 4, 0]    |0.2560373187629344  |0.17863117589160155 |144       
 [16, 11, 3, 9, 5]   |0.5776658548026122  |0.23310653845000995 |363       
 [17, 5, 11, 0, 0]   |0.29070463214947423 |0.16814181191960081 |219       
 [16, 5, 6, 0, 0]    |0.23091568918903874 |0.14871811403725554 |176       
 [17, 10, 2, 16, 17] |0.6917142792601263  |0.15128613524877346 |608       
 [16, 3, 5, 5, 0]    |0.2085575080415058  |0.14155874941857458 |155       
 [16, 4, 1, 3, 0]    |0.2629869274355328  |0.18954080390377906 |131       
 [1, 7, 2, 5, 0]     |3.1389514446665863  |2.742551823221339   |54        
 [17, 1, 0, 0, 0]    |0.2550401259156943  |0.21356065470748228 |71        
 [16, 5, 1, 3, 0]    |0.1942561036231592  |0.13384433027038453 |149       
 [14, 3, 9, 1, 5]    |2.210171863421955   |1.5228297454993938  |149       
 [19, 7, 6, 0, 0]    |0.26197470384710847 |0.13952557934018    |252       
 [18, 7, 0, 0, 0]    |0.23271079441911885 |0.14292163269637373 |195       
Increasing Epochs
Gen 3 Train time: 10.07533898750941 minutes:
 Average MSE:        0.2509573266522596
 Average Error:      0.4846833235334122
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 0, 0, 0]    |0.2336369191373913  |0.1752595963926722  |115       
 [16, 5, 1, 3, 0]    |0.2089504853172013  |0.14396890108125499 |149       
 [14, 2, 7, 4, 0]    |0.20624274260789513 |0.1490160230243655  |130       
 [17, 6, 3, 3, 0]    |0.2636052631689486  |0.16149154186322706 |196       
 [16, 5, 4, 2, 0]    |0.20213847430654971 |0.13215202691386815 |170       
 [16, 4, 5, 15, 3]   |1.7994704710397595  |0.8869137306184136  |283       
 [16, 3, 3, 2, 0]    |0.22131739272772172 |0.16313822333901531 |122       
 [17, 2, 3, 3, 0]    |0.2329478661082516  |0.17605820981142178 |112       
 [15, 3, 4, 1, 0]    |0.2382962303048272  |0.1783083874284134  |116       
 [15, 4, 6, 9, 0]    |0.3464876589522443  |0.20394435799151006 |212       
 [15, 3, 6, 5, 0]    |0.2158307982939377  |0.14540090066577438 |158       
 [16, 5, 6, 0, 0]    |0.218755562477268   |0.14088654954988922 |176       
 [18, 12, 8, 2, 15]  |0.5611822610742845  |0.17548362589490002 |465       
 [19, 6, 3, 15, 6]   |0.415854146553435   |0.1686515225840079  |361       
 [17, 3, 0, 0, 0]    |0.20777762684921355 |0.15821714202275686 |109       
 [17, 4, 1, 2, 0]    |0.21387830188336035 |0.15261328465574525 |135       
 [14, 3, 7, 4, 0]    |0.24932932650817985 |0.17050670458385148 |152       
 [19, 5, 3, 0, 0]    |0.20269429897592267 |0.1295671044012942  |179       
 [18, 3, 5, 0, 0]    |0.20305424182002293 |0.14416711455426612 |137       
 [17, 2, 3, 0, 0]    |0.1739223463105483  |0.13545085950027108 |100       
 [17, 4, 3, 4, 3]    |1.5696064507571845  |1.0184938512784663  |173       
 [16, 4, 3, 2, 0]    |0.20693148469477507 |0.14509486163169744 |142       
 [17, 4, 3, 4, 18]   |0.3418119499296911  |0.17710817991402467 |263       
 [13, 4, 1, 2, 16]   |0.2274947926541825  |0.14910150993233898 |169       
 [8, 8, 10, 15, 9]   |3.1558659958825097  |0.8929389566730436  |505       
Increasing Epochs
Gen 4 Train time: 11.29644851287206 minutes:
 Average MSE:        0.27816165726175074
 Average Error:      0.5447723404017976
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 3, 0, 0]    |0.18811104562161282 |0.14650102963449285 |100       
 [16, 5, 4, 2, 0]    |0.2185418483427403  |0.142876057232913   |170       
 [19, 5, 3, 0, 0]    |0.21011124826603264 |0.13430819799823318 |179       
 [17, 5, 4, 1, 0]    |0.26863076714562656 |0.17474675715073157 |172       
 [16, 4, 4, 4, 0]    |0.23366730492408    |0.15624078796422863 |161       
 [16, 3, 5, 4, 0]    |0.20113680961390326 |0.1389320995551925  |148       
 [16, 5, 1, 3, 15]   |0.2838547832803626  |0.1633610498356441  |221       
 [15, 4, 7, 2, 0]    |0.3011684252363801  |0.20037080210927466 |163       
 [10, 4, 2, 0, 0]    |1.022602318477692   |0.8227117940703206  |87        
 [16, 3, 4, 2, 0]    |0.3295234393700129  |0.23928312819174563 |128       
 [15, 3, 2, 1, 8]    |0.21985704475344744 |0.15925035737580315 |129       
 [16, 2, 5, 2, 0]    |0.30450017520741385 |0.2301362816921832  |112       
 [18, 5, 3, 2, 9]    |0.2665863666255374  |0.15691406024428733 |212       
 [17, 12, 5, 10, 3]  |6.319782322907752   |2.162326585620327   |429       
 [17, 3, 2, 3, 0]    |0.19477688077964642 |0.14214600055781643 |126       
 [14, 4, 4, 3, 8]    |0.24684306296171551 |0.15818302711604143 |178       
 [19, 15, 2, 1, 6]   |0.3852656765344339  |0.13788681469046069 |411       
 [16, 5, 5, 1, 0]    |0.2066290951309759  |0.13475056127552773 |171       
 [16, 5, 1, 3, 0]    |0.230288329990871   |0.15867088200485632 |149       
 [16, 3, 5, 3, 0]    |0.24056313399289586 |0.16909869972681044 |141       
 [16, 5, 5, 4, 0]    |0.20954897938028236 |0.1296654282104462  |192       
 [9, 3, 7, 5, 0]     |0.2602704195376938  |0.18758295339087253 |131       
 [15, 3, 6, 5, 0]    |0.2482238312476352  |0.16722344037741116 |158       
 [15, 4, 6, 3, 0]    |0.26808619200579953 |0.1779154683827422  |164       
 [16, 4, 19, 4, 0]   |0.7607390087103925  |0.36295916713540566 |296       
Result:  [17, 2, 3]
Fold 0
Fold 0 Train time: 19.108597377936047 minutes, MSE: 0.007780956234438676
Fold 1
Fold 1 Train time: 18.848097733656566 minutes, MSE: 0.006092889394780774
Fold 2
Fold 2 Train time: 19.00218133131663 minutes, MSE: 0.009248560092883343
Fold 3
Fold 3 Train time: 18.972181979815165 minutes, MSE: 0.006156769194171413
Fold 4
Fold 4 Train time: 19.001208261648813 minutes, MSE: 0.01004872936999284
Total Time: 141.80986057519914 minutes
CellsPerSensor: 10
 Resulting Network Architecture: [17, 2, 3]
 MSE after 5-Fold CV: 0.00786558085725341
 Weights and Biases: 100
 Objective Function Value: 0.010099605737725932
~/workspace/SolarCellResearch
