/tmp/tmp.7qHJ2CXtdb ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k4.mat
  Evaluating with: datasets/N10dataset100k4.mat
Gen 0 Train time: 8.309087951978048 minutes:
 Average MSE:        0.8422232085042748
 Average Error:      1.716160623242426
 Structure           |Error               |MSE                 |weights&biases
 [1, 9, 0, 0, 0]     |3.3199983502443766  |3.072416194268397   |31        
 [5, 12, 4, 0, 0]    |0.3379962449302035  |0.2358119783887088  |144       
 [5, 5, 14, 0, 0]    |1.4350124050916675  |1.0011741826507088  |144       
 [3, 13, 20, 3, 0]   |4.900658541989648   |1.7671526737574421  |408       
 [16, 5, 1, 10, 0]   |0.24984984227439078 |0.1633442776984547  |170       
 [18, 2, 2, 2, 0]    |0.2322019933915059  |0.17770194029386474 |107       
 [18, 18, 5, 17, 16] |1.609859766607032   |0.17052848542301272 |898       
 [2, 8, 0, 0, 0]     |1.2587108909021858  |1.141779596479162   |39        
 [4, 7, 18, 3, 15]   |1.447174223131779   |0.6437871263900903  |324       
 [10, 12, 0, 0, 0]   |0.4564907881358754  |0.294732604687835   |175       
 [19, 18, 0, 0, 0]   |0.468369497321139   |0.15747355014849856 |436       
 [2, 12, 17, 19, 14] |6.096425615489751   |0.6425585324717062  |900       
 [6, 13, 10, 0, 0]   |1.0023856154504667  |0.523291177231908   |260       
 [10, 16, 8, 10, 0]  |0.5601986941115202  |0.18508062329002725 |443       
 [13, 0, 0, 0, 0]    |0.5006780273015269  |0.43854535315591303 |53        
 [3, 12, 4, 0, 0]    |2.3713697776494307  |1.783303875054557   |114       
 [20, 0, 0, 0, 0]    |0.24487332030216735 |0.19998473063969763 |81        
 [11, 17, 0, 0, 0]   |0.5815732178907865  |0.30742675880863957 |255       
 [14, 0, 0, 0, 0]    |0.39023939947694186 |0.3384107504208875  |57        
 [2, 1, 1, 11, 6]    |4.664868278672002   |3.5256316010528557  |112       
 [17, 0, 0, 0, 0]    |1.0488410043370677  |0.8826608408455243  |69        
 [20, 16, 18, 0, 0]  |0.8421358545605245  |0.13885654483975668 |721       
 [3, 2, 13, 0, 0]    |1.675763891979177   |1.4067317642734518  |70        
 [9, 5, 9, 16, 15]   |6.876038418586127   |1.6871533068257125  |562       
 [11, 18, 0, 0, 0]   |0.33230192123335556 |0.17004174351005602 |268       
Gen 1 Train time: 8.51682344675064 minutes:
 Average MSE:        0.30586447292204044
 Average Error:      0.6186605963440066
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 2, 2, 0]    |1.5352059780881522  |1.1748782905452204  |107       
 [20, 0, 0, 0, 0]    |0.26300431016444836 |0.2147920649763459  |81        
 [16, 5, 1, 10, 0]   |0.22398590984070102 |0.14643522014866844 |170       
 [7, 9, 3, 20, 8]    |3.966661409862596   |1.534070693347735   |380       
 [17, 0, 0, 0, 0]    |0.5113577623040253  |0.43033736341519296 |69        
 [18, 3, 1, 5, 0]    |0.2565349237938418  |0.18489069460381774 |131       
 [17, 19, 15, 0, 0]  |0.8652631850408474  |0.1470148674554109  |709       
 [15, 8, 4, 5, 0]    |0.24266828483119482 |0.13317917842633925 |240       
 [13, 9, 0, 0, 0]    |0.4248126546408976  |0.27427966447681656 |175       
 [15, 3, 1, 5, 0]    |0.23085489318268115 |0.17404072875030105 |113       
 [15, 6, 0, 0, 0]    |0.25444804892044887 |0.17575600275304712 |148       
 [12, 7, 3, 3, 0]    |0.31765646844132833 |0.20923761309279704 |167       
 [19, 10, 1, 1, 0]   |1.9453208681946612  |0.9855326074307967  |272       
 [19, 1, 1, 1, 0]    |0.21429229480325054 |0.17413675636706577 |83        
 [17, 4, 16, 6, 0]   |0.3690330090695727  |0.1691669497275472  |312       
 [18, 15, 1, 5, 0]   |0.4552408252677212  |0.1800665608848489  |371       
 [12, 10, 19, 0, 0]  |0.3534010203466778  |0.1316442814019682  |395       
 [11, 9, 3, 5, 0]    |0.2702701560136899  |0.16516121154629831 |197       
 [17, 4, 2, 6, 0]    |0.2310127742435626  |0.15562869481939304 |158       
 [19, 18, 0, 0, 0]   |0.3614248441884062  |0.12151699385152834 |436       
 [17, 15, 0, 0, 0]   |0.2680684798346408  |0.11543902513365237 |337       
 [15, 2, 1, 5, 0]    |0.2124117837780055  |0.16708902713862367 |96        
 [14, 12, 1, 5, 0]   |0.3210509613010633  |0.17141711725509515 |251       
 [15, 6, 5, 0, 0]    |0.23327474723762467 |0.14800068935854752 |182       
 [19, 10, 10, 16, 13]|1.1392593152101278  |0.1628995261439533  |778       
Gen 2 Train time: 8.726914000511169 minutes:
 Average MSE:        0.21907530824591656
 Average Error:      0.36750071043615906
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 1, 5, 0]    |0.22596688293258899 |0.17775184579313874 |96        
 [19, 1, 1, 1, 0]    |0.2349515153177288  |0.1909247125218412  |83        
 [16, 5, 1, 10, 0]   |0.24795711259279624 |0.16210686822120973 |170       
 [15, 8, 6, 5, 0]    |0.2682524767276511  |0.13726709335402393 |268       
 [14, 8, 4, 5, 0]    |0.23358387190990296 |0.13176779004217518 |229       
 [18, 5, 1, 10, 0]   |0.23467655977177457 |0.14740858555778666 |186       
 [17, 4, 1, 1, 0]    |0.24819848532424013 |0.17843578170145186 |132       
 [16, 4, 1, 8, 0]    |0.44844418379897993 |0.3113084504989606  |146       
 [17, 5, 9, 5, 0]    |0.3029884603091692  |0.1617730973839186  |251       
 [14, 6, 1, 3, 0]    |1.196720986524878   |0.8245523099375097  |149       
 [11, 9, 3, 5, 18]   |0.4340655355063396  |0.19601585056128912 |318       
 [18, 17, 0, 0, 0]   |0.48686247542721567 |0.1813595802760441  |395       
 [20, 1, 1, 1, 0]    |1.0024495041760737  |0.8064982986478455  |87        
 [16, 3, 3, 0, 0]    |0.17171424431530852 |0.1288091336963591  |115       
 [14, 5, 2, 4, 0]    |0.24506185477412656 |0.1701211188421443  |146       
 [14, 8, 10, 5, 0]   |0.40087004572792934 |0.183302409392723   |313       
 [17, 20, 8, 3, 0]   |0.6437867890099493  |0.14010156142021984 |610       
 [14, 19, 2, 19, 0]  |0.4403202312707106  |0.14511147795796236 |444       
 [19, 2, 1, 3, 0]    |0.19816989280657468 |0.15052432623835435 |110       
 [15, 6, 3, 5, 0]    |0.2430226506748476  |0.15188970791585418 |188       
 [16, 3, 3, 20, 0]   |0.2439170808041272  |0.1435708059507462  |212       
 [15, 3, 1, 5, 0]    |0.21544309886454968 |0.162421828767294   |113       
 [15, 8, 4, 5, 0]    |0.345208726952062   |0.1894545662324972  |240       
 [17, 3, 9, 8, 0]    |0.25473719060251315 |0.14334185741823963 |230       
 [17, 3, 1, 5, 0]    |0.22014790478193916 |0.16106364781832383 |125       
Gen 3 Train time: 8.85019291639328 minutes:
 Average MSE:        0.29769723713995744
 Average Error:      0.5030755903113089
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 3, 0, 0]    |0.18703583619560551 |0.14030242002691123 |115       
 [19, 2, 1, 3, 0]    |0.24067472136781198 |0.18280980911592665 |110       
 [15, 3, 1, 5, 0]    |0.377861009441626   |0.28486814614540107 |113       
 [15, 5, 15, 5, 10]  |0.36208678964712415 |0.1450217793415222  |366       
 [15, 5, 3, 5, 0]    |0.23679524494956972 |0.15519708453480419 |169       
 [18, 3, 1, 1, 0]    |1.1077424419749984  |0.8226899409248695  |119       
