/tmp/tmp.U0yhuFzlDf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k7.mat
  Evaluating with: datasets/N10dataset100k7.mat
Gen 0 Train time: 8.845029203097026 minutes:
 Average MSE:        0.9588233270284495
 Average Error:      3.3991095319720133
 Structure           |Error               |MSE                 |weights&biases
 [6, 18, 0, 0, 0]    |1.5962338921340988  |1.0619926875464611  |163       
 [2, 4, 1, 6, 0]     |3.2627737701086192  |2.9375552368800326  |42        
 [9, 6, 0, 0, 0]     |0.23281525944868253 |0.18405695746887946 |94        
 [13, 7, 15, 5, 0]   |0.45219144040695103 |0.1918292456759079  |343       
 [17, 0, 0, 0, 0]    |0.2535780903902516  |0.21340074382897728 |69        
 [8, 5, 17, 14, 3]   |11.305508311164497  |3.4739423330992323  |472       
 [10, 5, 15, 18, 4]  |10.983193746188594  |2.8189550403282     |544       
 [12, 18, 18, 11, 18]|4.248759906057623   |0.3031969009365435  |1056      
 [12, 7, 16, 0, 0]   |0.37065773878122826 |0.1877815088183762  |272       
 [16, 19, 14, 7, 0]  |1.09919508865304    |0.16276923367157575 |764       
 [19, 15, 9, 3, 0]   |0.6143257495119142  |0.16126118605066597 |535       
 [2, 8, 15, 17, 20]  |16.31267155974916   |2.1105365454388045  |818       
 [17, 15, 0, 0, 0]   |0.3363726944583069  |0.14485304633278645 |337       
 [4, 8, 20, 0, 0]    |0.8602847088375509  |0.4570365616242261  |253       
 [4, 7, 7, 13, 4]    |4.453434181779332   |2.2788604714242764  |268       
 [5, 15, 19, 0, 0]   |1.1730511744952352  |0.40136188420760915 |429       
 [8, 13, 17, 12, 1]  |16.0565679835337    |3.4942472942050644  |610       
 [17, 19, 14, 11, 0] |1.3891594701377237  |0.1659114389143718  |850       
 [8, 15, 8, 12, 0]   |0.4830243548781888  |0.17417613834944023 |408       
 [12, 20, 0, 0, 0]   |0.36735912786853475 |0.16630773869082557 |317       
 [3, 6, 7, 4, 0]     |2.460590929050627   |1.8274134215276536  |119       
 [6, 16, 17, 19, 0]  |3.0918875999694744  |0.4387970726695693  |781       
 [18, 5, 10, 0, 0]   |0.23429947788880456 |0.13517903934019282 |220       
 [9, 15, 20, 18, 6]  |3.081910480885334   |0.25552109495787734 |996       
 [14, 0, 0, 0, 0]    |0.25789156292285764 |0.2236403537236801  |57        
Gen 1 Train time: 8.160521682103475 minutes:
 Average MSE:        0.6852523493127886
 Average Error:      2.9673143291755637
 Structure           |Error               |MSE                 |weights&biases
 [9, 6, 0, 0, 0]     |0.4045680726478936  |0.31983972492590523 |94        
 [18, 5, 10, 0, 0]   |0.2819732543539576  |0.16268441563188457 |220       
 [17, 0, 0, 0, 0]    |0.2957149005918546  |0.24886132571822478 |69        
