/tmp/tmp.t0Fetz7Bbw ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k3.mat
  Evaluating with: datasets/N2dataset100k3.mat
Gen 0 Train time: 8.063413027922312 minutes:
 Average MSE:        1.343052657665726
 Average Error:      2.747190784459803
 Structure           |Error               |MSE                 |weights&biases
 [2, 13, 12, 19, 0]  |9.498112256935869   |2.8607764358814265  |480       
 [17, 12, 0, 0, 0]   |0.7290597694175498  |0.36204036707830894 |280       
 [1, 5, 9, 12, 0]    |4.305048606909146   |2.611143971643558   |200       
 [3, 0, 0, 0, 0]     |2.9473206220779105  |2.853072529022188   |13        
 [7, 4, 11, 2, 0]    |1.7333619657253243  |1.2368438535244501  |135       
 [3, 5, 0, 0, 0]     |1.00418513708316    |0.9200533732269147  |35        
 [1, 0, 0, 0, 0]     |4.077682575762183   |4.027028789283442   |5         
 [10, 0, 0, 0, 0]    |0.598460120628172   |0.5401570283774881  |41        
 [2, 0, 0, 0, 0]     |2.868086004625029   |2.804274639399015   |9         
 [14, 0, 0, 0, 0]    |0.554670761334803   |0.48100358095935086 |57        
 [3, 9, 20, 4, 0]    |3.3561509688683326  |1.4561482612285779  |334       
 [5, 7, 17, 6, 1]    |8.743342791958222   |4.028091082825207   |310       
 [15, 17, 19, 1, 5]  |4.763961055033528   |0.8382653990030107  |695       
 [18, 17, 0, 0, 0]   |1.0735114047753034  |0.39989029267609116 |395       
 [6, 15, 19, 11, 0]  |3.294983531326965   |0.6343852684664484  |659       
 [10, 11, 3, 0, 0]   |0.6730044588352584  |0.4174863941656949  |191       
 [11, 0, 0, 0, 0]    |0.7107345356297118  |0.6351104955371132  |45        
 [10, 0, 0, 0, 0]    |0.5803483546116864  |0.5238097441175706  |41        
 [19, 1, 8, 5, 20]   |1.2205526675810416  |0.6076256841857182  |279       
 [17, 7, 1, 0, 0]    |0.8809013442618006  |0.5519434735939905  |187       
 [9, 0, 0, 0, 0]     |0.69729899597007    |0.6356920794824257  |37        
 [19, 11, 12, 12, 2] |11.947005176997648  |2.6260495223226648  |606       
 [4, 15, 7, 0, 0]    |0.9072318135444423  |0.5407180617420876  |207       
 [14, 0, 0, 0, 0]    |0.5434187701573628  |0.47124599424926855 |57        
 [18, 10, 0, 0, 0]   |0.9713359214445566  |0.5134601196511428  |255       
Gen 1 Train time: 8.236345911026001 minutes:
 Average MSE:        0.6732919299932063
 Average Error:      2.1352780823220026
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5229317159297561  |0.45347987579897736 |57        
 [14, 0, 0, 0, 0]    |0.6044311927585528  |0.5241552077862399  |57        
 [10, 0, 0, 0, 0]    |0.5727493040215405  |0.5169510070960378  |41        
 [12, 19, 2, 5, 8]   |1.343660366402227   |0.5005226165159523  |395       
 [12, 18, 0, 0, 0]   |0.7787289704038829  |0.37810164645643435 |289       
 [8, 13, 12, 7, 11]  |1.910748461514033   |0.5474385998169988  |500       
 [14, 5, 11, 0, 0]   |0.7715239775875047  |0.47383907057878777 |195       
 [11, 16, 4, 0, 0]   |1.2146882626675852  |0.5766541820227244  |298       
 [14, 5, 0, 0, 0]    |0.5201417164356468  |0.3824512927920374  |123       
 [18, 0, 0, 0, 0]    |0.47926894522286834 |0.3993195254714221  |73        
 [10, 16, 20, 14, 6] |5.046311156712304   |0.48488550520854606 |937       
 [14, 6, 0, 0, 0]    |0.6708140764012892  |0.47389795524599077 |139       
 [10, 9, 0, 0, 0]    |0.555842694929248   |0.3926761912608031  |139       
 [4, 16, 12, 17, 8]  |14.771577550713728  |2.766837299100734   |670       
 [3, 3, 0, 0, 0]     |1.4589454056801299  |1.3705523720276198  |25        
 [19, 14, 0, 0, 0]   |0.9093829915715038  |0.3771965250777353  |352       
 [13, 7, 6, 1, 0]    |0.7580923130259858  |0.4667553120186524  |194       
 [12, 0, 0, 0, 0]    |0.6169901774053764  |0.545854853242664   |49        
 [13, 16, 0, 0, 0]   |0.7967820144677332  |0.3956702387099905  |280       
 [2, 14, 11, 16, 18] |14.035528401958935  |2.26277482308039    |730       
 [16, 4, 1, 0, 0]    |0.6636541376085097  |0.4879735173607477  |123       
 [14, 19, 0, 0, 0]   |1.239763447796669   |0.5207009436789021  |347       
 [12, 3, 2, 0, 0]    |0.5870084705436145  |0.47344665722853685 |86        
 [6, 16, 8, 7, 14]   |1.7492139918984573  |0.5594319078363567  |456       
 [14, 6, 7, 0, 0]    |0.8031723143929871  |0.5007311244168747  |189       
Gen 2 Train time: 8.053322072823843 minutes:
 Average MSE:        0.6196908749679205
 Average Error:      1.3039355628470977
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5161747360638129  |0.43006886367212793 |73        
 [14, 5, 0, 0, 0]    |0.5715340472146777  |0.42023919313720837 |123       
 [14, 0, 0, 0, 0]    |0.5353686948450375  |0.4642650691273046  |57        
 [3, 18, 4, 17, 9]   |3.5625842578805185  |1.265523912667101   |414       
 [12, 3, 0, 0, 0]    |0.4918766703931332  |0.4037226026967729  |79        
 [19, 8, 2, 0, 0]    |0.9630560881835295  |0.5311856870731425  |238       
 [18, 18, 1, 10, 7]  |4.166686897667501   |1.1355546512326513  |520       
 [17, 7, 5, 0, 0]    |0.732640679326494   |0.41953853294195165 |223       
 [13, 12, 4, 0, 0]   |0.9251737398351532  |0.47817728207047505 |264       
 [14, 3, 6, 0, 0]    |0.5089741636380476  |0.3789473420325691  |118       
 [15, 0, 0, 0, 0]    |0.4601554937572557  |0.3950705917681881  |61        
 [5, 3, 0, 0, 0]     |1.1315907826658531  |1.0316138441519827  |37        
 [13, 13, 0, 0, 0]   |0.7066386670581466  |0.39268959144438176 |235       
 [12, 3, 11, 0, 0]   |0.6024658004358034  |0.4342111345710455  |131       
 [14, 5, 6, 0, 0]    |0.6802024117364186  |0.455953311948709   |160       
 [13, 8, 0, 0, 0]    |0.8371616013322329  |0.5611662031442919  |160       
 [16, 3, 4, 0, 0]    |0.6224062378730052  |0.4610898816822817  |120       
 [17, 19, 7, 7, 2]   |8.643571512648922   |1.890451835537855   |608       
 [16, 0, 0, 0, 0]    |0.432044629263936   |0.3672448865698125  |65        
 [17, 7, 8, 0, 0]    |0.677821339044636   |0.3628116182176867  |250       
 [15, 12, 0, 0, 0]   |0.6338661479003939  |0.33928409981499436 |250       
 [10, 9, 19, 0, 0]   |0.9578424278881239  |0.41042092695352955 |339       
 [10, 0, 0, 0, 0]    |0.6435944248206532  |0.5808942651459236  |41        
 [7, 2, 17, 1, 14]   |2.1136213671873976  |1.4563055217310805  |149       
 [12, 0, 0, 0, 0]    |0.4813362525167592  |0.4258410248649446  |49        
Gen 3 Train time: 8.111068844795227 minutes:
 Average MSE:        0.6021690860056368
 Average Error:      1.271211038164207
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5261374919353706  |0.4472253338159007  |65        
 [15, 0, 0, 0, 0]    |0.49997606127378263 |0.42925889417189345 |61        
 [12, 0, 0, 0, 0]    |0.5847574420121157  |0.5173383619077654  |49        
 [16, 5, 6, 0, 0]    |0.6892984398208943  |0.44393330024044186 |176       
 [19, 2, 3, 0, 0]    |0.6245936718356028  |0.474423941469048   |110       
 [18, 6, 3, 0, 0]    |0.8254159954888075  |0.5094784198423423  |193       
 [13, 2, 3, 0, 0]    |0.4854350775628718  |0.39744062662351853 |80        
 [17, 4, 4, 0, 0]    |0.5832930205499771  |0.4029005141150292  |148       
 [15, 6, 0, 0, 0]    |0.6031756818309836  |0.41663415084625444 |148       
 [14, 2, 3, 0, 0]    |0.682757952457241   |0.552050986009814   |85        
 [16, 5, 7, 0, 0]    |0.6631570361393566  |0.4196881011374038  |183       
 [14, 2, 0, 0, 0]    |0.5563193936433489  |0.4612049763388006  |75        
