/tmp/tmp.vldRohmtjQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k5.mat
  Evaluating with: datasets/N2dataset100k5.mat
Gen 0 Train time: 8.343523689111073 minutes:
 Average MSE:        0.6619550062175332
 Average Error:      1.655868157138798
 Structure           |Error               |MSE                 |weights&biases
 [7, 19, 19, 1, 13]  |2.8136479448692726  |0.6077338998329305  |613       
 [19, 18, 0, 0, 0]   |1.2862996231677708  |0.43247514915776025 |436       
 [19, 6, 10, 0, 0]   |0.8195964098020521  |0.43001153586818147 |258       
 [13, 0, 0, 0, 0]    |0.5787068140420931  |0.5068909964067222  |53        
 [2, 11, 13, 14, 0]  |5.599742197950606   |2.0293601789728295  |406       
 [8, 0, 0, 0, 0]     |0.9027751903399183  |0.8312857210783505  |33        
 [8, 16, 0, 0, 0]    |0.7596050752608101  |0.47832894267514614 |185       
 [14, 16, 19, 0, 0]  |2.046187522722765   |0.42890420500918724 |625       
 [14, 18, 7, 0, 0]   |1.238570036322131   |0.39910031312889166 |453       
 [20, 3, 15, 8, 7]   |1.3654440793789677  |0.5254394644529881  |382       
 [18, 4, 14, 14, 5]  |1.7067503604918957  |0.5001191987518759  |491       
 [6, 13, 0, 0, 0]    |0.6800565037176494  |0.5000338961480448  |123       
 [9, 17, 3, 0, 0]    |1.0383914270585435  |0.5489064849874739  |255       
 [14, 20, 19, 14, 0] |6.5130400599385885  |0.4886085263739333  |1036      
 [18, 10, 0, 0, 0]   |0.8070041300552251  |0.42659231274066906 |255       
 [6, 13, 2, 0, 0]    |0.8835004751651354  |0.6225922621096949  |140       
 [4, 13, 0, 0, 0]    |0.9615465283359222  |0.7658933691326355  |91        
 [6, 8, 1, 0, 0]     |1.6613028879538743  |1.343263588589727   |85        
 [5, 0, 0, 0, 0]     |1.7102418640730794  |1.6227703827762696  |21        
 [15, 9, 0, 0, 0]    |0.6631764434280629  |0.4032436958909364  |199       
 [12, 13, 2, 10, 0]  |1.0902494554580353  |0.5495840982956695  |274       
 [18, 0, 0, 0, 0]    |0.6737434634298687  |0.5613527076768553  |73        
