/tmp/tmp.VaVtMqKaBo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.279579850037893 minutes:
 Average MSE:        0.8526562262075389
 Average Error:      1.6344844118151507
 Structure           |Error               |MSE                 |weights&biases
 [2, 13, 0, 0, 0]    |1.8379633668925743  |1.5859095523022915  |59        
 [1, 0, 0, 0, 0]     |3.9993967944130167  |3.949715489528687   |5         
 [16, 2, 9, 0, 0]    |0.5396565893466482  |0.4007881532621921  |119       
 [10, 1, 13, 0, 0]   |0.6054471954743355  |0.4944605404708259  |81        
 [18, 1, 10, 4, 19]  |0.9718809793495982  |0.5176158411561496  |252       
 [20, 6, 10, 15, 0]  |1.2766104023470515  |0.4281457698109496  |437       
 [11, 19, 13, 0, 0]  |1.5896961736919413  |0.4172969969652821  |535       
 [1, 15, 18, 0, 0]   |5.162665660558      |2.206600391981426   |340       
 [19, 9, 19, 16, 11] |5.105580103419391   |0.47966567869147936 |946       
 [6, 9, 0, 0, 0]     |0.6171514285059384  |0.4915749502641863  |91        
 [14, 13, 2, 15, 0]  |1.0185370247867669  |0.45084454354424625 |326       
 [9, 15, 0, 0, 0]    |0.6643937091702422  |0.410089287039795   |193       
 [7, 0, 0, 0, 0]     |1.069591338863852   |0.9947902672017754  |29        
 [16, 4, 0, 0, 0]    |0.5126691053141396  |0.3788463137310552  |121       
 [6, 0, 0, 0, 0]     |0.9217587605970851  |0.8659122204676611  |25        
 [14, 5, 20, 17, 0]  |1.8716525565389543  |0.40527953531387306 |612       
 [14, 16, 3, 0, 0]   |1.2089065414127174  |0.5205945611526746  |337       
 [11, 18, 7, 0, 0]   |1.380775639711728   |0.5208180132855402  |390       
 [12, 0, 0, 0, 0]    |0.4815402511139767  |0.42602150362850305 |49        
 [7, 11, 0, 0, 0]    |0.6711082481658451  |0.495927847605223   |121       
 [9, 9, 0, 0, 0]     |0.6353112817641918  |0.4624854450443522  |127       
 [2, 6, 4, 11, 0]    |3.8007105259692318  |2.8226835043959873  |119       
