/tmp/tmp.c7X34wvLKq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.013202007611593 minutes:
 Average MSE:        0.5500463131823421
 Average Error:      0.9983532646241623
 Structure           |Error               |MSE                 |weights&biases
 [20, 5, 0, 0, 0]    |0.5352795631082133  |0.3490758236270187  |171       
 [6, 17, 18, 0, 0]   |1.6819329974184725  |0.5065884836465847  |480       
 [18, 19, 0, 0, 0]   |0.9010633083087347  |0.30371067450818373 |435       
 [19, 1, 0, 0, 0]    |0.5462679984502437  |0.44836592458841673 |79        
 [5, 1, 1, 7, 5]     |3.35902498291108    |2.7295881805601967  |83        
 [20, 6, 14, 15, 0]  |1.2773078087294572  |0.3437827329228082  |525       
 [20, 0, 0, 0, 0]    |0.4683776634972155  |0.38251770652906253 |81        
 [18, 0, 0, 0, 0]    |0.37798745209525947 |0.31493334068336565 |73        
 [10, 0, 0, 0, 0]    |0.429543582507856   |0.3876966519381838  |41        
 [2, 3, 0, 0, 0]     |1.5632823416951562  |1.490762413503798   |19        
 [15, 19, 0, 0, 0]   |0.6530902554890573  |0.2596190427662013  |369       
 [14, 10, 0, 0, 0]   |0.518134739929683   |0.311916437724035   |203       
 [15, 11, 20, 20, 0] |3.623343713180659   |0.379992895375852   |902       
 [10, 10, 5, 2, 6]   |0.6989704512951707  |0.39135241395764797 |232       
 [19, 0, 0, 0, 0]    |0.41485889574439916 |0.34221474595577595 |77        
 [20, 0, 0, 0, 0]    |0.3712992926020194  |0.30323511326631    |81        
 [14, 3, 10, 13, 0]  |0.6975388794544678  |0.3429409425872127  |284       
 [3, 15, 2, 0, 0]    |0.9485391680179972  |0.7313726296970722  |104       
 [11, 11, 1, 0, 0]   |0.6135203688862197  |0.39217707695490706 |179       
 [15, 0, 0, 0, 0]    |0.39344265910549725 |0.33779369423687855 |61        
 [13, 4, 14, 0, 0]   |0.5060139127170162  |0.32264871586065236 |180       
 [10, 0, 0, 0, 0]    |0.485769955319269   |0.43844534747762715 |41        
 [18, 9, 15, 0, 0]   |1.0632149896947924  |0.4000352250913896  |391       
 [10, 3, 1, 8, 18]   |1.7771567012695917  |0.9185258126520545  |264       
 [3, 17, 7, 0, 0]    |1.0538699341765276  |0.6218658034473183  |211       
Gen 1 Train time: 7.869666278362274 minutes:
 Average MSE:        0.6578755285671012
 Average Error:      1.03928953648515
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.41986561093739755 |0.34289856896037013 |81        
