/tmp/tmp.v2uhUcm6cP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.353871719042461 minutes:
 Average MSE:        0.5676839591424089
 Average Error:      1.0485985474618202
 Structure           |Error               |MSE                 |weights&biases
 [8, 5, 7, 17, 0]    |0.7130618763297099  |0.3676267656504368  |265       
 [15, 4, 15, 10, 0]  |0.7685896649115701  |0.3164158189734178  |355       
 [10, 4, 5, 19, 0]   |0.8170916829596092  |0.45634600633700406 |233       
 [19, 0, 0, 0, 0]    |0.39675415956382304 |0.3272802519478435  |77        
 [16, 20, 4, 0, 0]   |0.9225765459744326  |0.2799666108622853  |477       
 [9, 11, 0, 0, 0]    |0.5112984869025661  |0.35228959230280876 |149       
 [19, 0, 0, 0, 0]    |0.454304722581301   |0.3747533843903795  |77        
 [7, 7, 11, 0, 0]    |0.6629691331929563  |0.4259101603502227  |177       
 [16, 6, 6, 20, 10]  |1.5738999085303118  |0.39497079933763396 |553       
 [2, 0, 0, 0, 0]     |2.574233140611299   |2.516959638056785   |9         
 [8, 0, 0, 0, 0]     |0.606008717337799   |0.5580197583655766  |33        
 [9, 16, 8, 6, 12]   |1.0951247862299276  |0.33483021946414376 |474       
 [7, 0, 0, 0, 0]     |0.7309022813895469  |0.6797871760762699  |29        
 [6, 5, 14, 12, 0]   |1.1911598988800416  |0.5220079493102446  |330       
 [11, 10, 10, 4, 0]  |0.800159322716338   |0.3667978435350857  |312       
 [16, 13, 11, 16, 13]|2.938120658763034   |0.3509084714018388  |850       
 [13, 1, 13, 10, 18] |1.202980044222034   |0.4044617324675032  |436       
 [6, 19, 6, 0, 0]    |2.1132886888143165  |1.0546883858032368  |278       
 [13, 19, 1, 5, 0]   |0.8550205718454639  |0.36453607920691916 |341       
 [5, 16, 5, 10, 0]   |0.850584459812442   |0.43634085392319316 |267       
 [9, 0, 0, 0, 0]     |0.6651148160948521  |0.606351397293645   |37        
 [8, 11, 4, 8, 0]    |0.5836492403090636  |0.33673631852502933 |220       
 [7, 15, 15, 0, 0]   |1.025697510572438   |0.38017366377526407 |397       
 [5, 0, 0, 0, 0]     |1.530129925804698   |1.4518703918765803  |21        
 [17, 0, 0, 0, 0]    |0.6322434421959308  |0.5320697093268727  |69        
Gen 1 Train time: 8.829928874969482 minutes:
 Average MSE:        0.7290119819899978
 Average Error:      2.2496454904118814
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.43207069593195724 |0.3564126621365483  |77        
 [19, 0, 0, 0, 0]    |0.32646284925385916 |0.2692973494540679  |77        
 [9, 11, 0, 0, 0]    |0.5576107376256436  |0.38419918003637765 |149       
 [1, 2, 10, 19, 19]  |18.394783944919435  |3.6585509114190513  |646       
 [11, 7, 4, 17, 17]  |1.738816877505609   |0.4309362664387987  |558       
 [7, 14, 18, 7, 10]  |4.901685433654115   |1.0223246594460162  |627       
 [12, 7, 5, 19, 3]   |6.884136492887059   |2.905831865329786   |345       
 [8, 8, 6, 19, 0]    |0.8512870016273258  |0.39911489144431767 |303       
 [7, 16, 6, 20, 20]  |4.2897565207276624  |0.5359201924147594  |832       
 [13, 4, 6, 0, 0]    |0.53695532370273    |0.3860299260025151  |132       
 [8, 2, 3, 8, 5]     |0.6230331999226743  |0.44567937696679766 |134       
 [11, 10, 1, 3, 0]   |0.521056847585109   |0.33726168698090575 |174       
 [9, 5, 6, 18, 0]    |0.6943770807077823  |0.3643136443446998  |258       
 [12, 13, 11, 9, 0]  |1.218195228233534   |0.3696755471459842  |477       
 [13, 7, 12, 19, 10] |1.8379614644447164  |0.3266575376609405  |691       
 [14, 6, 2, 4, 0]    |0.41939386132331824 |0.2790275385844403  |163       
 [8, 6, 2, 4, 0]     |1.5471010994160785  |1.1780763794530915  |109       
 [14, 0, 0, 0, 0]    |0.38697089671066603 |0.3355763455008033  |57        
 [11, 3, 10, 14, 9]  |1.1237169081689902  |0.40520663127267353 |408       
 [9, 11, 4, 0, 0]    |0.6950623751631053  |0.4322489044250187  |190       
 [10, 11, 5, 2, 0]   |1.8844087326635333  |1.0710228238478365  |226       
 [11, 8, 17, 15, 9]  |2.9348914451604333  |0.5024146351791587  |706       
 [17, 0, 0, 0, 0]    |0.39295732097798136 |0.3306964906182887  |69        
 [8, 9, 8, 4, 0]     |0.5825917426447808  |0.33112192834931886 |226       
 [4, 5, 11, 15, 0]   |2.4658531793389526  |1.1677021752977501  |299       
Gen 2 Train time: 8.541151293118794 minutes:
 Average MSE:        0.5344997198128077
 Average Error:      3.105982654404203
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.539952047453642   |0.4454033760469117  |77        
 [14, 0, 0, 0, 0]    |0.35005849843540904 |0.3035663731174215  |57        
 [17, 0, 0, 0, 0]    |0.45345693953254257 |0.38161044608283023 |69        
 [18, 3, 9, 8, 19]   |0.9154457539857921  |0.3219547827611895  |418       
 [14, 5, 4, 2, 0]    |0.47424543338874725 |0.32270060686649343 |154       
 [13, 20, 20, 19, 2] |57.38382718192169   |2.9959533872680963  |1181      
 [11, 5, 4, 9, 0]    |0.6336210480374229  |0.412176254356463   |172       
 [12, 6, 0, 0, 0]    |0.5698686683806538  |0.4211149883793893  |121       
 [15, 5, 1, 2, 0]    |0.412792468087322   |0.2923480276576487  |138       
 [13, 3, 3, 9, 0]    |0.5159004282027926  |0.36445889649098695 |139       
 [14, 2, 3, 0, 0]    |0.4401418355201237  |0.3558812217544559  |85        
 [11, 4, 3, 10, 0]   |0.5425722923505217  |0.37571141459523416 |147       
 [16, 2, 3, 0, 0]    |0.39164621800999116 |0.30885098988717596 |95        
 [13, 7, 6, 5, 0]    |0.5950715399303808  |0.3382149477660668  |226       
 [14, 6, 2, 0, 0]    |0.4882438074490951  |0.3364046956457941  |149       
 [15, 4, 9, 8, 5]    |0.7674520465327664  |0.3763712402658404  |285       
 [11, 7, 4, 12, 0]   |0.6266641793193064  |0.35975052243264305 |222       
 [19, 2, 0, 0, 0]    |0.3479402239112854  |0.270976118844149   |100       
 [14, 5, 1, 2, 0]    |1.4342791855660832  |1.0363059443309688  |130       
 [8, 0, 0, 0, 0]     |0.7140916166651261  |0.6575437283029049  |33        
 [19, 19, 0, 0, 0]   |1.0593142050846769  |0.33794291861752235 |457       
 [14, 8, 11, 13, 20] |2.3417140733439683  |0.3890229931293584  |718       
 [2, 3, 19, 9, 18]   |3.9284764714687386  |1.2131880956473682  |470       
 [14, 19, 4, 2, 0]   |1.031888684384946   |0.3610968035469394  |420       
 [16, 9, 3, 0, 0]    |0.6909015131420347  |0.38394422152634017 |235       
Increasing Epochs
Gen 3 Train time: 9.863547698656719 minutes:
 Average MSE:        0.6528778277057177
 Average Error:      1.7155210201232995
 Structure           |Error               |MSE                 |weights&biases
 [19, 2, 0, 0, 0]    |0.40742640615874215 |0.31730400416039667 |100       
 [14, 0, 0, 0, 0]    |0.35573536800017835 |0.30848928375132995 |57        
 [16, 2, 3, 0, 0]    |0.43339999307828    |0.3417778870927517  |95        
 [14, 1, 7, 0, 0]    |0.48111799241010195 |0.3948920934688921  |79        
 [17, 1, 0, 0, 0]    |0.41678767663970245 |0.34900174542184825 |71        
 [15, 6, 3, 10, 0]   |0.5735204617727206  |0.33673410557616806 |213       
 [16, 3, 2, 5, 0]    |0.4539337474821253  |0.3296235536293972  |128       
 [17, 3, 2, 1, 0]    |1.3108037295170467  |0.9759347815935613  |118       
 [16, 4, 6, 19, 0]   |0.6029595947237789  |0.2855308808630512  |299       
