/tmp/tmp.Ehj7VhkUm8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.449434173107147 minutes:
 Average MSE:        0.9890794558957917
 Average Error:      1.8440194438992206
 Structure           |Error               |MSE                 |weights&biases
 [12, 10, 0, 0, 0]   |0.3562411945182372  |0.22885943957885208 |177       
 [7, 18, 17, 6, 0]   |1.3300012179135647  |0.2945459850081166  |603       
 [6, 17, 13, 6, 0]   |1.1867438958209733  |0.37389260875251684 |462       
 [1, 0, 0, 0, 0]     |3.5833945198474986  |3.538880878212821   |5         
 [19, 8, 0, 0, 0]    |0.42679030794754624 |0.24257060205976327 |226       
 [1, 1, 0, 0, 0]     |1.8957918357006331  |1.8629040857068204  |7         
 [6, 0, 0, 0, 0]     |1.3072334293696468  |1.2280321596963035  |25        
 [4, 12, 15, 7, 0]   |2.863595144060616   |1.0882575931186902  |387       
 [12, 10, 7, 14, 10] |1.2004673351789803  |0.33045358342838604 |516       
 [3, 0, 0, 0, 0]     |3.0779710482162668  |2.9795450746041436  |13        
 [13, 2, 19, 0, 0]   |0.6668209391491742  |0.46522518297283044 |144       
 [9, 10, 1, 4, 15]   |0.7717219266094618  |0.4267183895666807  |237       
 [16, 11, 7, 8, 16]  |1.0980271253405125  |0.2818204951059754  |544       
 [4, 1, 7, 0, 0]     |1.307344592254214   |1.1858953408541122  |39        
 [20, 8, 0, 0, 0]    |0.5670349793750438  |0.3135381345065025  |237       
 [13, 18, 9, 5, 14]  |1.2976537981045424  |0.2816916807662452  |611       
 [8, 5, 0, 0, 0]     |0.3619441193851308  |0.30006221412443657 |75        
 [15, 14, 3, 18, 4]  |5.118595029261919   |1.5926192581638203  |467       
 [4, 3, 20, 15, 15]  |5.711136629232227   |1.0485602819989963  |678       
 [12, 0, 0, 0, 0]    |0.5154852059829695  |0.45605280564414113 |49        
 [13, 8, 0, 0, 0]    |0.48538797564772795 |0.32536529018133076 |160       
 [7, 16, 16, 4, 10]  |1.7498933022630523  |0.44244231524562316 |550       
 [6, 10, 8, 0, 0]    |2.6494466310742673  |1.668376169394146   |185       
 [17, 2, 9, 19, 0]   |0.5553781605479393  |0.24706445452381037 |324       
