/tmp/tmp.SIX7SnMvkY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k3.mat
  Evaluating with: datasets/N4dataset100k3.mat
Gen 0 Train time: 8.261286262671153 minutes:
 Average MSE:        1.0275845326181283
 Average Error:      2.415098028752612
 Structure           |Error               |MSE                 |weights&biases
 [5, 4, 12, 0, 0]    |0.5724456301823887  |0.4326451001592263  |112       
 [4, 1, 13, 5, 11]   |1.928309409422474   |1.19619258328366    |191       
 [19, 3, 0, 0, 0]    |0.386968101451717   |0.2859572329342091  |121       
 [19, 12, 19, 15, 0] |2.238970655225945   |0.2608046110535689  |860       
 [6, 0, 0, 0, 0]     |1.159767732639629   |1.0895009578712342  |25        
 [14, 2, 18, 0, 0]   |0.5013537357966811  |0.3489092680318865  |145       
 [13, 0, 0, 0, 0]    |0.4085161301887892  |0.3578204770620721  |53        
 [1, 5, 2, 0, 0]     |2.587754650214087   |2.412806443292493   |28        
 [14, 0, 0, 0, 0]    |0.3667746739987878  |0.3180624325213479  |57        
 [20, 8, 11, 18, 0]  |1.0036421839139997  |0.24626072839896462 |562       
 [2, 15, 3, 0, 0]    |1.6553632642579361  |1.2795653881456959  |103       
 [16, 17, 0, 0, 0]   |0.5908678357888763  |0.2432506429652536  |355       
 [13, 15, 3, 9, 0]   |0.9267613746493643  |0.3931519253450738  |343       
 [13, 16, 10, 0, 0]  |0.9339936045374463  |0.30780596196223176 |444       
 [15, 0, 0, 0, 0]    |0.35846010503202536 |0.30775911130378875 |61        
 [16, 17, 0, 0, 0]   |0.834168944184277   |0.3434137377668581  |355       
 [4, 13, 11, 11, 3]  |7.92944839470754    |2.8952847745920876  |403       
 [4, 20, 20, 9, 0]   |10.195122057581957  |1.6395296079167903  |731       
 [7, 2, 12, 20, 1]   |8.555186399668116   |3.5132365108923387  |356       
 [16, 0, 0, 0, 0]    |0.3561622030544809  |0.3027436033264342  |65        
 [16, 1, 1, 0, 0]    |0.3633447080590608  |0.30577575076299646 |69        
 [3, 16, 15, 2, 2]   |8.830485440125278   |3.510329786515418   |369       
 [5, 13, 4, 10, 16]  |1.5016626073393073  |0.5635906432645732  |392       
 [5, 0, 0, 0, 0]     |1.2662149226165587  |1.2014535007100586  |21        
 [2, 19, 12, 5, 0]   |4.925705954178572   |1.9337625353749481  |374       
Gen 1 Train time: 8.120584698518117 minutes:
 Average MSE:        0.4903124775845383
 Average Error:      1.2124958913176327
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.3007794352954526  |0.2556673596100437  |65        
 [15, 0, 0, 0, 0]    |0.4125018286215188  |0.35415711373628145 |61        
 [16, 1, 1, 0, 0]    |0.3986977282589387  |0.33552737794673376 |69        
 [15, 2, 19, 10, 16] |1.0943996443000379  |0.29308457576428554 |527       
 [2, 1, 11, 0, 0]    |1.611866319430621   |1.4475792988098266  |43        
 [16, 1, 1, 6, 0]    |1.1317818903068981  |0.9128289957747431  |86        
 [12, 4, 6, 0, 0]    |0.3522357129790494  |0.257701152688636   |125       
 [16, 9, 0, 0, 0]    |0.42352400649085215 |0.24991233551174125 |211       
 [15, 2, 10, 0, 0]   |0.3081821754876674  |0.22945136434453048 |118       
 [10, 0, 0, 0, 0]    |0.5956624241548399  |0.5376318886710179  |41        
 [15, 1, 9, 0, 0]    |0.38728891446668834 |0.3100305879785898  |89        
 [17, 2, 17, 0, 0]   |0.38760003864477605 |0.2624272707201999  |156       
 [16, 9, 1, 0, 0]    |0.5180470411474416  |0.3041637023864272  |213       
 [15, 2, 4, 0, 0]    |0.3444958244204885  |0.2723483566056573  |94        
 [8, 12, 18, 12, 4]  |5.140733932810436   |1.0097430148734592  |651       
 [17, 2, 0, 0, 0]    |0.4514906068178897  |0.3605225721615979  |90        
 [17, 9, 0, 0, 0]    |0.4682776887252682  |0.2681540079344901  |223       
 [15, 1, 1, 0, 0]    |0.32298290289658627 |0.2745406643298057  |65        
 [14, 1, 9, 0, 0]    |0.4616439610132017  |0.3732669871447226  |85        
 [15, 11, 0, 0, 0]   |0.4903755067740663  |0.27387490142020166 |233       
 [2, 1, 9, 0, 0]     |0.8171494194026842  |0.744953623438525   |37        
 [15, 10, 15, 0, 0]  |0.7994375226155975  |0.30457226535777915 |386       
 [2, 14, 16, 7, 13]  |6.539299886624199   |1.7600286877300693  |525       
 [6, 14, 17, 18, 11] |6.112266902328469   |0.6189676431054     |916       
 [15, 11, 0, 0, 0]   |0.441675968927151   |0.2466761915686951  |233       
Gen 2 Train time: 8.142866881688436 minutes:
 Average MSE:        0.5115834846740053
 Average Error:      0.7369785536520987
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.34678294675923355 |0.2947710845611261  |65        
 [15, 2, 10, 0, 0]   |0.43241638393012893 |0.321947656773767   |118       
 [15, 1, 1, 0, 0]    |0.40655725592644143 |0.3455802091353603  |65        
 [15, 1, 5, 3, 15]   |0.4961161947361268  |0.32842554568346083 |165       
 [14, 19, 4, 0, 0]   |0.8036586478153738  |0.28691173119167745 |412       
 [16, 2, 9, 0, 0]    |0.3301267335085624  |0.24517607396504282 |119       
 [16, 5, 1, 0, 0]    |0.36223081433040166 |0.25462238825864103 |141       
 [1, 2, 4, 0, 0]     |2.6085031902757443  |2.456595790343061   |24        
 [15, 1, 5, 0, 0]    |0.324586460644912   |0.2677495271518054  |77        
 [14, 2, 10, 0, 0]   |0.3339847981019457  |0.25179001775451865 |113       
