/tmp/tmp.oRgbbb2Res ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.391876403490702 minutes:
 Average MSE:        0.9569550402359873
 Average Error:      2.272892569919294
 Structure           |Error               |MSE                 |weights&biases
 [11, 20, 9, 7, 0]   |1.050746461430851   |0.27239578653408203 |540       
 [4, 0, 0, 0, 0]     |1.9913661660885973  |1.9085063469403143  |17        
 [16, 17, 9, 17, 1]  |20.498749578906253  |3.6614670049592646  |689       
 [19, 2, 0, 0, 0]    |0.41889415343309355 |0.3262350947177265  |100       
 [10, 0, 0, 0, 0]    |0.46960519196008743 |0.42385538527370314 |41        
 [9, 3, 10, 1, 4]    |2.2212964955491614  |1.6414681132908544  |121       
 [13, 0, 0, 0, 0]    |0.3558698104590857  |0.31170741114093153 |53        
 [6, 3, 14, 14, 4]   |5.872684610310731   |2.3287039623063857  |370       
 [15, 1, 15, 11, 0]  |0.6083034191443583  |0.3028306693087134  |279       
 [8, 13, 0, 0, 0]    |0.4046932772467146  |0.2746862233017683  |155       
 [15, 0, 0, 0, 0]    |0.3537445515992911  |0.30371053096418815 |61        
 [2, 0, 0, 0, 0]     |2.5569491760553515  |2.500060220328602   |9         
 [5, 20, 0, 0, 0]    |0.8754884623402994  |0.5927554819713272  |156       
 [12, 4, 10, 12, 7]  |0.8826018623840389  |0.3508554119893005  |369       
 [16, 18, 2, 9, 0]   |0.8428019366301124  |0.2883664248026018  |429       
 [2, 8, 13, 3, 11]   |5.6709414055133065  |3.073617284880786   |245       
 [9, 12, 2, 16, 0]   |0.703709363826832   |0.3881397423375456  |238       
 [10, 16, 18, 0, 0]  |1.1714851717601982  |0.3106067368850172  |531       
 [4, 6, 0, 0, 0]     |0.46033370065406404 |0.4072599432131364  |49        
 [12, 17, 10, 20, 0] |1.436595567105986   |0.26375783854529616 |678       
 [10, 5, 12, 12, 5]  |4.637444796786007   |1.775644621791661   |384       
 [20, 6, 9, 14, 4]   |0.8035543604344292  |0.25828014713833436 |454       
 [9, 15, 13, 0, 0]   |0.718177426408105   |0.26486404338660846 |399       
 [14, 0, 0, 0, 0]    |0.3585422499852591  |0.3109233768751591  |57        
 [5, 0, 0, 0, 0]     |1.4577350519701417  |1.383178203016372   |21        
Gen 1 Train time: 8.388230868180592 minutes:
 Average MSE:        0.6428759272434219
 Average Error:      1.0921351503355639
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3345193597807447  |0.28720457154035745 |61        
 [13, 0, 0, 0, 0]    |0.43823310828973694 |0.38384966537346205 |53        
 [14, 0, 0, 0, 0]    |0.36181523424514345 |0.31376166809072525 |57        
 [9, 15, 9, 11, 0]   |0.8568933503882205  |0.28310375773807095 |443       
 [10, 4, 2, 2, 7]    |0.5596147328819794  |0.4156105192778677  |119       
 [12, 8, 7, 0, 0]    |0.5152018507435165  |0.3040094441070716  |211       
 [5, 12, 9, 14, 7]   |2.261487377941408   |0.7214607726865291  |457       
 [12, 6, 1, 8, 0]    |0.5687264370588383  |0.39480798787201116 |146       
 [14, 1, 8, 6, 0]    |0.3739188331179309  |0.2674783825337629  |134       
 [7, 3, 0, 0, 0]     |0.4194623351647404  |0.3711008048216285  |49        
 [12, 11, 0, 0, 0]   |0.49829296197165585 |0.3091072119963668  |191       
 [17, 1, 0, 0, 0]    |0.3909773764773854  |0.32738920668477467 |71        
 [13, 7, 0, 0, 0]    |0.4048891971056366  |0.2817762855036076  |145       
 [15, 1, 0, 0, 0]    |0.3590150934658056  |0.30669827008331885 |63        
 [18, 3, 5, 7, 2]    |4.1756781940745515  |2.583840316020392   |192       
 [14, 16, 0, 0, 0]   |0.6043604598671349  |0.2861942590758749  |299       
 [13, 8, 6, 14, 11]  |1.0810091452422346  |0.32559369757111806 |480       
 [16, 18, 2, 9, 13]  |1.146567335976685   |0.2806274060466546  |563       
 [12, 7, 0, 0, 0]    |0.6351630272716857  |0.45322183237027147 |135       
 [4, 0, 0, 0, 0]     |3.200319449436035   |3.0671556469607424  |17        
 [12, 10, 5, 4, 0]   |0.5778060033464582  |0.30927726675807365 |250       
 [14, 16, 4, 14, 19] |1.7530201364106346  |0.2861726705104621  |725       
 [17, 3, 5, 7, 2]    |4.685077296044544   |2.9428615201725377  |186       
 [12, 8, 7, 12, 0]   |0.6642761721221243  |0.30450819046760513 |312       
 [11, 8, 7, 0, 0]    |0.4370542899642657  |0.26508682682226264 |200       
Gen 2 Train time: 8.330812180042267 minutes:
 Average MSE:        0.531194478205742
 Average Error:      0.7837961688959467
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.4202182550988709  |0.3607821203179727  |61        
 [15, 1, 0, 0, 0]    |0.32512843846265826 |0.27774968642338027 |63        
 [14, 0, 0, 0, 0]    |0.4107611945232811  |0.3562069956768093  |57        
 [14, 5, 7, 10, 6]   |0.6345817973997008  |0.29089611059289633 |312       
 [10, 5, 0, 0, 0]    |0.35630016721887664 |0.2838010719731409  |91        
 [8, 15, 2, 13, 13]  |1.090998752643981   |0.37609765955267266 |426       
 [12, 2, 1, 1, 4]    |1.1986002485448326  |0.981330884130567   |80        
 [14, 4, 4, 6, 0]    |0.44354931012003196 |0.29806422386341885 |159       
 [14, 6, 20, 0, 0]   |0.8506170317349447  |0.40889647466327095 |293       
 [13, 4, 4, 0, 0]    |0.37133399365484354 |0.2750909884580175  |120       
 [15, 14, 19, 0, 0]  |1.2536457555632983  |0.2985123154314221  |574       
 [13, 5, 8, 3, 0]    |0.4500483066666878  |0.28128121250346844 |188       
 [11, 2, 13, 0, 0]   |0.3804913329770997  |0.2890106096581141  |110       
 [11, 2, 5, 0, 0]    |0.42252806450318586 |0.34767073547455024 |78        
 [14, 4, 1, 2, 0]    |0.3909258097426945  |0.29398178130785324 |114       
 [17, 4, 4, 0, 0]    |0.31302400490473264 |0.21621642650129452 |148       
 [15, 1, 5, 0, 0]    |0.46556051695060874 |0.38403822521248954 |77        
 [15, 8, 14, 0, 0]   |0.5196155846474766  |0.23700690551257758 |314       
 [2, 5, 8, 3, 0]     |3.948084872974767   |3.0747715907051165  |100       
 [12, 7, 1, 4, 4]    |0.7582544671564193  |0.49820868625568576 |168       
 [12, 3, 5, 4, 4]    |2.2527580630448476  |1.5716959689520216  |144       
 [16, 1, 0, 0, 0]    |0.3699595849858365  |0.31290316632290543 |67        
 [15, 1, 4, 3, 0]    |1.2366080751132107  |0.9924012259905481  |88        
 [11, 2, 0, 0, 0]    |0.36699422812356725 |0.3158748594479116  |60        
 [14, 6, 0, 0, 0]    |0.364316365642215   |0.25737203021544197 |139       
Gen 3 Train time: 8.260979239145914 minutes:
 Average MSE:        0.5341099165807939
 Average Error:      0.7473140320971972
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 4, 0, 0]    |0.3225432957505474  |0.2227917274918207  |148       
 [15, 1, 0, 0, 0]    |0.4566823133972448  |0.3901331115203473  |63        
 [10, 5, 0, 0, 0]    |0.584933337667233   |0.46591251853331456 |91        
 [12, 13, 9, 0, 0]   |0.6425926068148091  |0.2739678987021635  |341       
 [15, 6, 3, 2, 2]    |3.6917424639997187  |2.359851183148282   |179       
 [16, 2, 0, 0, 0]    |0.8897585649617648  |0.7194234667352061  |85        
 [14, 4, 3, 4, 0]    |0.542039180649779   |0.3838831801131831  |138       
 [13, 4, 3, 14, 0]   |0.4853775875091805  |0.30871765427929143 |181       
 [1, 2, 2, 0, 0]     |1.4969096234693082  |1.438214957594792   |16        
 [15, 3, 1, 1, 0]    |0.4209850344608997  |0.32704483953332236 |101       
 [14, 6, 9, 0, 0]    |0.597684252873948   |0.35801060514760574 |205       
 [16, 2, 2, 0, 0]    |0.45517694690444244 |0.3625586439581618  |91        
 [12, 5, 4, 5, 3]    |2.0758033643022284  |1.3503289673358574  |172       
 [13, 2, 3, 0, 0]    |0.38634742254603555 |0.31631451621085294 |80        
 [11, 2, 18, 0, 0]   |0.37197637789510973 |0.268763107937917   |130       
 [15, 3, 2, 3, 0]    |0.373424439472163   |0.2808205013942921  |114       
 [12, 3, 2, 0, 0]    |0.3724883817141516  |0.30042731583705373 |86        
 [14, 5, 2, 0, 0]    |0.331548346075917   |0.23835797477407855 |132       
 [14, 3, 2, 0, 0]    |0.37163661515978635 |0.29088166526241144 |98        
 [13, 2, 3, 15, 0]   |0.38201467025263036 |0.26124509073875724 |152       
 [8, 8, 1, 7, 7]     |1.6980932136800435  |1.0746617732544541  |183       
 [13, 2, 6, 2, 0]    |0.4271328515387014  |0.3309922934785008  |102       
 [8, 1, 0, 0, 0]     |0.5187407882289305  |0.4752800996703976  |35        
 [14, 10, 2, 0, 0]   |0.4545312940361497  |0.2642159510079948  |217       
 [13, 1, 0, 0, 0]    |0.3326878290691997  |0.2899488708597905  |55        
Increasing Epochs
Gen 4 Train time: 9.805277339617412 minutes:
 Average MSE:        0.448523950094822
 Average Error:      1.3650939733621035
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 4, 0, 0]    |0.2921156647117851  |0.2017743181333808  |148       
 [14, 5, 2, 0, 0]    |0.35643088508072357 |0.2562466226126796  |132       
 [13, 1, 0, 0, 0]    |0.30252027808215076 |0.2636568139192867  |55        
 [14, 4, 8, 1, 0]    |0.3904885365858206  |0.26637327461371824 |153       
 [13, 2, 2, 0, 0]    |0.3086582637467914  |0.2552477704725085  |76        
 [10, 2, 1, 0, 0]    |0.3277965953017903  |0.2842611277850876  |57        
 [13, 2, 3, 15, 2]   |4.973673900421912   |3.24351877579715    |171       
 [18, 12, 9, 5, 8]   |0.9015735291805616  |0.2544594782948492  |506       
 [13, 3, 2, 0, 0]    |0.3543314844406143  |0.28152827081295534 |92        
 [14, 2, 1, 0, 0]    |0.370082497361886   |0.30527894934041977 |77        
 [13, 8, 1, 2, 0]    |0.43946382196782846 |0.2894710805052285  |167       
 [14, 3, 1, 0, 0]    |0.3934011574645988  |0.31178998874130015 |93        
 [15, 2, 17, 0, 0]   |0.4062072277954979  |0.2819876970980629  |146       
 [15, 2, 3, 8, 0]    |0.39790832859368613 |0.2896640052187998  |127       
 [11, 2, 6, 0, 0]    |0.35835791751040075 |0.291935315814631   |82        
 [13, 6, 3, 4, 4]    |0.4958508206252427  |0.31224093476842596 |185       
 [16, 3, 2, 2, 0]    |0.36154517222988153 |0.27053108041353796 |116       
 [11, 3, 1, 0, 0]    |0.29441571374181635 |0.24407919954183122 |75        
 [9, 12, 6, 19, 15]  |1.9620233833249816  |0.3638463118050333  |674       
 [17, 11, 19, 20, 4] |18.21429402071062   |1.6277629869693087  |966       
 [14, 3, 3, 0, 0]    |0.3407902673900165  |0.2634246151189418  |103       
 [12, 2, 11, 20, 0]  |0.6809153945839773  |0.27962182392354357 |356       
 [13, 9, 6, 0, 0]    |0.501822929845267   |0.28096983872542936 |232       
 [14, 2, 9, 0, 0]    |0.3327963031599866  |0.2534155421840662  |109       
 [14, 3, 17, 0, 0]   |0.3698852401947511  |0.24001292976037308 |173       
Gen 5 Train time: 9.740707616011301 minutes:
 Average MSE:        0.6589050127950654
 Average Error:      1.0000902739082924
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 4, 0, 0]    |0.41760542505864856 |0.2884544037484136  |148       
 [11, 3, 1, 0, 0]    |0.3142834567804987  |0.2605501370334248  |75        
 [13, 1, 0, 0, 0]    |0.3472119757273562  |0.3026071635767703  |55        
 [11, 15, 1, 0, 0]   |1.77653064363236    |0.9971664079932643  |231       
 [12, 6, 1, 1, 0]    |2.2706893119277147  |1.6612717890884123  |125       
 [14, 2, 9, 0, 0]    |0.3318086524558676  |0.2526634724155734  |109       
 [14, 3, 5, 0, 0]    |0.3180154835939053  |0.2397508051725147  |113       
 [15, 3, 2, 0, 0]    |0.29036331622168277 |0.22388509543191087 |104       
 [18, 3, 2, 0, 0]    |0.2978136230899127  |0.2195253827918328  |122       
 [13, 3, 9, 0, 0]    |0.3630578268189181  |0.26429400111850265 |127       
