/tmp/tmp.cgVbOKj3UY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k6.mat
  Evaluating with: datasets/N4dataset100k6.mat
Gen 0 Train time: 8.189395272731781 minutes:
 Average MSE:        0.555340083590173
 Average Error:      1.0500933915439492
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 5, 0, 0]    |0.4553137447308218  |0.24616123059790912 |246       
 [5, 7, 15, 0, 0]    |0.6614901232778578  |0.4082970824297396  |193       
 [6, 2, 2, 0, 0]     |0.42375458235079805 |0.382471626887507   |41        
 [3, 17, 8, 0, 0]    |2.3800468496438696  |1.3392639502832617  |230       
 [19, 0, 0, 0, 0]    |0.38281805409917125 |0.315784437732166   |77        
 [8, 7, 0, 0, 0]     |0.372426412811461   |0.2936943112623531  |95        
 [15, 5, 14, 11, 0]  |0.8619592349746619  |0.32839198738551795 |386       
 [11, 15, 2, 4, 0]   |0.5907099448177514  |0.30683959212681416 |262       
 [8, 16, 8, 11, 0]   |0.9321138678208453  |0.3302846911477739  |415       
 [11, 1, 1, 6, 0]    |0.4896033728520927  |0.4151316173414978  |66        
 [4, 0, 0, 0, 0]     |2.1017675528379796  |2.014313983381213   |17        
 [10, 19, 0, 0, 0]   |0.5779882206263122  |0.3024915940818001  |259       
 [10, 5, 7, 0, 0]    |0.3850485022869109  |0.2747521191646065  |135       
 [18, 18, 0, 0, 0]   |0.8437519794989775  |0.2989745905247119  |415       
 [10, 0, 0, 0, 0]    |0.4679223391073155  |0.42233647905954186 |41        
 [18, 3, 16, 4, 6]   |1.7637441738885347  |0.8758494364007665  |280       
 [8, 13, 0, 0, 0]    |0.6730018891424171  |0.45680113210970485 |155       
 [8, 6, 18, 13, 0]   |3.57268022782543    |1.1171894124765183  |465       
 [11, 14, 0, 0, 0]   |0.45438145609166675 |0.2647899994485675  |216       
 [16, 9, 6, 0, 0]    |0.5884482537143235  |0.301114019009131   |268       
 [1, 12, 18, 0, 0]   |3.7869931037575553  |1.8805651208854184  |280       
 [12, 9, 0, 0, 0]    |0.6423333496636137  |0.4273517331460561  |163       
 [18, 7, 8, 13, 13]  |1.0066170527467837  |0.24575879213583635 |564       
 [16, 0, 0, 0, 0]    |0.397005212147722   |0.3374608182289114  |65        
 [18, 14, 18, 2, 0]  |1.4404152878838599  |0.2974323325070014  |631       
Gen 1 Train time: 8.369659185409546 minutes:
 Average MSE:        0.5335778156408248
 Average Error:      0.9217619376520365
 Structure           |Error               |MSE                 |weights&biases
 [8, 7, 0, 0, 0]     |0.46451068384962496 |0.366311681111308   |95        
 [19, 0, 0, 0, 0]    |0.34321505408988706 |0.28311614804069024 |77        
 [10, 5, 7, 0, 0]    |0.45750507022286435 |0.32645364629576196 |135       
 [1, 16, 10, 2, 14]  |7.297019898043212   |3.5875374916301483  |284       
 [11, 7, 7, 0, 0]    |0.6460077689153737  |0.41088424393304035 |181       
 [17, 9, 0, 0, 0]    |0.49759947246456265 |0.2849448011300488  |223       
 [9, 6, 4, 0, 0]     |0.40211199658386    |0.29789189382402814 |120       
 [11, 1, 4, 0, 0]    |1.2244924615303296  |1.059213276969782   |58        
 [10, 11, 0, 0, 0]   |0.408281193869299   |0.2716341536717031  |163       
 [8, 7, 8, 0, 0]     |1.5063538786246915  |1.009739201265667   |160       
 [14, 7, 7, 6, 0]    |0.7485955872876879  |0.39276006383613615 |258       
 [10, 7, 9, 19, 0]   |0.9385681833436796  |0.35490690114736073 |389       
 [13, 10, 8, 8, 0]   |0.6272248641642855  |0.26277682856826734 |348       
 [4, 18, 8, 2, 17]   |1.3522252804665376  |0.5765181776641991  |341       
 [18, 4, 3, 2, 0]    |0.4043789013596812  |0.27378751506758736 |156       
 [12, 7, 0, 0, 0]    |0.33800085296569504 |0.2411811760861539  |135       
 [12, 7, 10, 6, 0]   |0.7239662400638746  |0.35951099525684366 |280       
 [15, 10, 0, 0, 0]   |0.4936809146261619  |0.28769169022878865 |216       
 [7, 5, 1, 0, 0]     |1.15571848006632    |0.9726044664327558  |69        
 [7, 9, 5, 6, 0]     |0.5153450793436691  |0.3237063356224994  |186       
 [15, 3, 4, 0, 0]    |0.3660429209316757  |0.2752694942333228  |114       
 [17, 8, 7, 7, 7]    |0.7019396698922962  |0.27282960969265585 |378       
 [12, 13, 7, 6, 0]   |0.7019847354248703  |0.2868362970244876  |358       
 [13, 3, 4, 0, 0]    |0.33543376075748665 |0.25993315518410665 |102       
 [14, 4, 0, 0, 0]    |0.3938454924132871  |0.30140614710327407 |107       
Gen 2 Train time: 8.452166958649952 minutes:
 Average MSE:        0.43953160795433427
 Average Error:      0.8150165098894249
