/tmp/tmp.C9ebjTukQq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.453077467282613 minutes:
 Average MSE:        0.8118228925068024
 Average Error:      1.6464773155028987
 Structure           |Error               |MSE                 |weights&biases
 [20, 5, 9, 14, 0]   |0.7646289752722579  |0.3001825280677373  |374       
 [19, 16, 1, 10, 7]  |3.14548435023664    |0.9034521642653759  |499       
 [20, 9, 2, 10, 0]   |0.5682529047721598  |0.2617962617921793  |310       
 [1, 7, 5, 2, 14]    |5.034307911836196   |3.6739819037027432  |126       
 [17, 9, 10, 4, 0]   |0.6631747314023507  |0.2682819559941951  |362       
 [12, 8, 20, 11, 0]  |1.3797598382955996  |0.33770229818941855 |563       
 [15, 11, 4, 0, 0]   |0.5363274926890574  |0.2703574489169175  |274       
 [10, 16, 0, 0, 0]   |0.551903251214747   |0.316041255794565   |223       
 [17, 15, 7, 7, 0]   |0.8071954480983697  |0.23300637877287556 |497       
 [16, 17, 1, 0, 0]   |0.7206561799115251  |0.2952026760694231  |357       
 [16, 0, 0, 0, 0]    |0.4330642706765823  |0.36811159817682204 |65        
 [12, 2, 5, 2, 0]    |0.3884987245785428  |0.30867529120734016 |92        
 [16, 20, 0, 0, 0]   |0.7115242206934429  |0.2559314048280333  |409       
 [9, 20, 10, 1, 1]   |11.187184459956535  |3.6138326262961824  |452       
 [11, 8, 8, 8, 0]    |0.7580626478796014  |0.37456525414062547 |282       
 [6, 16, 1, 13, 17]  |1.277097737971497   |0.43696163097920976 |429       
 [7, 0, 0, 0, 0]     |0.662385062487971   |0.61606165771949    |29        
 [8, 0, 0, 0, 0]     |1.3282093444845302  |1.223030356269644   |33        
 [7, 4, 0, 0, 0]     |0.5981700807154265  |0.5174304548906955  |58        
 [16, 20, 0, 0, 0]   |0.57936432424672    |0.20839420654886176 |409       
 [13, 6, 5, 4, 1]    |5.886399706500605   |3.669827123001421   |189       
 [18, 3, 10, 19, 0]  |1.0919711611540672  |0.422310044447524   |380       
 [8, 2, 0, 0, 0]     |0.6388374322418348  |0.5708634346849196  |45        
 [8, 0, 0, 0, 0]     |0.667488993181691   |0.6146314995652237  |33        
 [18, 14, 8, 4, 0]   |0.7819836370745121  |0.23494085834863343 |481       
Gen 1 Train time: 8.57939463853836 minutes:
 Average MSE:        0.49473414111944436
 Average Error:      0.9819872374118382
 Structure           |Error               |MSE                 |weights&biases
 [12, 2, 5, 2, 0]    |0.4029304328212329  |0.3201417683476818  |92        
 [16, 0, 0, 0, 0]    |0.422700038799786   |0.3593018343187182  |65        
 [15, 11, 4, 0, 0]   |0.5595273005214854  |0.28205224537325796 |274       
 [12, 9, 0, 0, 0]    |0.422586615883457   |0.2811517147548039  |163       
 [16, 6, 4, 6, 0]    |0.5325613222597765  |0.3111260234283314  |215       
 [12, 1, 0, 0, 0]    |0.3295455416163817  |0.2900967705024231  |51        
 [16, 10, 0, 0, 0]   |0.43674821592954394 |0.24637551705665892 |229       
 [18, 5, 1, 5, 0]    |0.3553243428335173  |0.23172029380143547 |171       
 [12, 5, 5, 2, 0]    |0.4679524159581232  |0.32485099992838795 |146       
 [14, 1, 3, 1, 0]    |1.138576861581195   |0.9581787953129497  |69        
 [14, 1, 13, 18, 17] |1.732659243003957   |0.31970945876114326 |676       
 [6, 8, 7, 20, 15]   |4.813329047040673   |1.0013899193359204  |628       
 [13, 2, 5, 10, 19]  |0.8119083988827621  |0.3211433268410543  |371       
 [15, 11, 8, 6, 0]   |0.7240648836154147  |0.2814292282686671  |378       
 [17, 7, 4, 2, 0]    |0.42963103474639414 |0.24663925959702704 |222       
 [18, 5, 1, 8, 14]   |0.6805866081658832  |0.3119849923970736  |312       
 [18, 13, 5, 7, 0]   |0.590787031356715   |0.2062224827674795  |421       
 [16, 16, 0, 0, 0]   |0.5439026226136935  |0.2342221978536693  |337       
 [13, 9, 4, 2, 0]    |1.6196560426191247  |0.9391442481494314  |218       
 [18, 10, 3, 8, 0]   |0.525951020210308   |0.23750961121536815 |318       
 [10, 3, 3, 1, 0]    |0.4737455980929718  |0.3869016261528874  |81        
 [2, 1, 3, 6, 17]    |3.0713769394033497  |1.9780786118506257  |176       
 [10, 2, 3, 1, 0]    |0.3773660628804826  |0.3191673921426638  |67        
 [12, 2, 0, 0, 0]    |0.3576590720031067  |0.3040159660177249  |65        
 [14, 7, 5, 1, 0]    |2.7286042424566235  |1.6757992438107259  |195       
Gen 2 Train time: 8.65182435909907 minutes:
 Average MSE:        0.6757751028384688
 Average Error:      1.9169280877045267
 Structure           |Error               |MSE                 |weights&biases
 [12, 1, 0, 0, 0]    |2.1316267039594634  |1.8764569525119181  |51        
 [18, 5, 1, 5, 0]    |0.4650450170086518  |0.3032732492032726  |171       
 [12, 2, 0, 0, 0]    |0.32699852968053283 |0.2779540117085003  |65        
 [16, 8, 0, 0, 0]    |0.4637245684727006  |0.286228594646549   |193       
 [14, 6, 3, 5, 0]    |0.41077563090148533 |0.2625777307177367  |179       
 [5, 9, 13, 8, 10]   |4.686090027488656   |1.6729667576671172  |412       
 [10, 3, 3, 1, 0]    |1.3045158208620697  |1.065380437233431   |81        
 [16, 5, 0, 0, 0]    |0.40403323646625194 |0.2854300935960632  |139       
 [11, 3, 4, 2, 0]    |0.39063136265196235 |0.30574894032729594 |98        
 [12, 2, 19, 0, 0]   |0.4471451773378955  |0.31588661104924803 |139       
 [17, 13, 2, 4, 5]   |0.6490211815460202  |0.2665242818599976  |356       
 [11, 18, 9, 7, 11]  |1.1693891286028641  |0.26753135626228514 |590       
 [17, 6, 19, 6, 0]   |0.7574593194816274  |0.26572709734040534 |419       
 [11, 2, 2, 1, 0]    |0.3619869177513696  |0.30539562657499947 |68        
 [3, 19, 17, 17, 14] |21.895997118023576  |1.8063420619208201  |998       
 [12, 17, 3, 1, 0]   |3.534392015577381   |1.6000602657352119  |317       
 [6, 18, 2, 0, 0]    |1.6503936058674107  |1.039265078924505   |185       
 [17, 5, 2, 4, 0]    |0.3887049849459769  |0.2541235744870318  |170       
 [5, 8, 1, 3, 0]     |2.220306504596036   |1.8087667355799688  |82        
 [15, 11, 6, 3, 0]   |0.7034360327086404  |0.3176585123396168  |318       
 [15, 6, 0, 0, 0]    |0.33413753606153984 |0.23080026731228265 |148       
 [4, 8, 7, 3, 8]     |0.7884731678999675  |0.5027526886514203  |180       
