/tmp/tmp.U9MsevbHsI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k0.mat
  Evaluating with: datasets/N5dataset100k0.mat
Gen 0 Train time: 8.096013299624126 minutes:
 Average MSE:        0.9371993864167194
 Average Error:      1.763081542267104
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.4198191721996256  |0.36772084472368943 |53        
 [14, 5, 18, 0, 0]   |0.4924875081125941  |0.2675935155413128  |244       
 [6, 11, 10, 20, 0]  |1.3939290852891115  |0.4458050365384588  |456       
 [9, 6, 2, 0, 0]     |0.423329777019632   |0.32640909588885736 |104       
 [16, 0, 0, 0, 0]    |0.37573268393008225 |0.31937882696414377 |65        
 [12, 15, 0, 0, 0]   |0.6269199549024945  |0.3380922775924133  |247       
 [16, 18, 0, 0, 0]   |0.6115410590317182  |0.24068333279097892 |373       
 [1, 15, 0, 0, 0]    |3.4305692760606283  |3.0350448958485297  |49        
 [3, 12, 15, 0, 0]   |1.173553261466893   |0.6005172703819822  |268       
 [7, 13, 6, 17, 0]   |0.6709943651987793  |0.2825232192711298  |346       
 [19, 16, 10, 17, 0] |1.4690219685987962  |0.22415821754767604 |752       
 [20, 14, 8, 0, 0]   |0.7216561587312431  |0.21573456602347735 |483       
 [2, 19, 6, 1, 0]    |3.9106451806673808  |2.4198422890437     |192       
 [9, 0, 0, 0, 0]     |0.3856920624314119  |0.3516158643908526  |37        
 [16, 16, 4, 4, 0]   |0.741846172624363   |0.26418296362923777 |413       
 [5, 9, 14, 0, 0]    |2.9309342646085295  |1.6741762174894526  |224       
 [9, 1, 1, 11, 2]    |4.512218827642427   |3.6211404297032646  |88        
 [19, 0, 0, 0, 0]    |0.29879526810930357 |0.24647451896948686 |77        
 [20, 1, 0, 0, 0]    |0.9115205484543257  |0.7407136678222617  |83        
 [10, 8, 2, 0, 0]    |0.36976487944326225 |0.26122114376311484 |139       
 [6, 14, 6, 0, 0]    |0.5110972801611542  |0.30008325241877976 |213       
 [20, 12, 13, 11, 2] |11.720123001904833  |2.239622397554896   |662       
 [1, 10, 1, 0, 0]    |2.688348107994114   |2.4569651727607242  |36        
 [8, 11, 4, 0, 0]    |2.956404969741664   |1.9040324759848342  |176       
 [14, 0, 0, 0, 0]    |0.33009372235323287 |0.28625316777472665 |57        
Gen 1 Train time: 8.063579018910726 minutes:
 Average MSE:        0.4086961528676008
 Average Error:      0.7825060843773355
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.3380959197765564  |0.2788934032315027  |77        
 [14, 0, 0, 0, 0]    |0.29812603983923325 |0.25853119135902003 |57        
 [10, 8, 2, 0, 0]    |0.47472018904118823 |0.3353670336011705  |139       
 [14, 4, 6, 9, 0]    |0.5365437432543222  |0.3213876713113823  |205       
 [18, 9, 0, 0, 0]    |0.5357518200618122  |0.2977252351778611  |235       
 [11, 8, 0, 0, 0]    |0.3978105655062542  |0.28173753931606477 |138       
 [1, 4, 7, 10, 20]   |7.701021443772212   |3.0766857889799395  |367       
