/tmp/tmp.eS7ZCUyeNy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k1.mat
  Evaluating with: datasets/N5dataset100k1.mat
Gen 0 Train time: 8.419195008277892 minutes:
 Average MSE:        1.3808754924125657
 Average Error:      3.1321738070156355
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 8, 9, 0]    |0.42086897411003726 |0.24464827329446467 |217       
 [18, 10, 3, 7, 0]   |0.6953410477560003  |0.3179526401676839  |313       
 [2, 0, 0, 0, 0]     |3.030676984609367   |2.9632481712351786  |9         
 [1, 20, 0, 0, 0]    |2.8109287726634298  |2.395315494851557   |64        
 [4, 5, 15, 14, 0]   |1.2955146578828336  |0.518875159826434   |366       
 [2, 20, 1, 5, 0]    |3.7717976430378126  |2.9155302762407316  |103       
 [1, 2, 1, 18, 14]   |7.9857621999591295  |3.5259864147252555  |327       
 [5, 13, 0, 0, 0]    |0.6196126086647218  |0.47418353814309644 |107       
 [16, 18, 0, 0, 0]   |0.5887158245994263  |0.2317000381883274  |373       
 [16, 5, 1, 5, 0]    |0.3402674519453876  |0.23095708909049645 |155       
 [12, 13, 15, 20, 1] |23.43914789804052   |3.523333686939785   |758       
 [19, 0, 0, 0, 0]    |0.29756035591835495 |0.24545584691969297 |77        
 [16, 13, 1, 2, 13]  |0.7488945686366482  |0.320088721090604   |340       
 [15, 9, 19, 0, 0]   |0.5826211058402314  |0.21487083300155274 |399       
 [8, 10, 5, 7, 12]   |0.734124114672125   |0.3298632279790983  |320       
 [2, 15, 11, 14, 0]  |3.8037218558879333  |1.364761957279957   |410       
 [13, 5, 0, 0, 0]    |0.321854646126337   |0.2414349392444997  |115       
 [15, 11, 14, 12, 12]|1.8570613638847249  |0.2934627179396506  |738       
 [1, 17, 11, 11, 0]  |8.67749612358126    |3.364344087254988   |379       
 [2, 18, 0, 0, 0]    |2.9989011937870638  |2.461438543565198   |79        
 [1, 3, 0, 0, 0]     |1.9569946933136864  |1.89441479732838    |13        
 [12, 0, 0, 0, 0]    |0.33224758134101207 |0.29394139711558376 |49        
 [13, 3, 8, 5, 2]    |3.5396043666350665  |2.296795659598065   |173       
 [4, 16, 3, 16, 3]   |6.776530541419333   |3.520015001618984   |262       
 [9, 10, 2, 5, 16]   |0.6780986010784477  |0.3392687976748742  |277       
Gen 1 Train time: 8.520543611049652 minutes:
 Average MSE:        0.6739986022955555
 Average Error:      1.16891112911732
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.26899626432959944 |0.2218934900634812  |77        
 [13, 5, 0, 0, 0]    |0.3072431953647021  |0.2304743557346237  |115       
 [12, 0, 0, 0, 0]    |0.34552721868357567 |0.30568997068805775 |49        
 [3, 8, 0, 0, 0]     |0.7184585986745857  |0.6340374879655908  |50        
 [18, 3, 1, 3, 0]    |0.3292341291161182  |0.24087283444398871 |125       
 [12, 8, 2, 6, 6]    |0.49301707449845666 |0.28091266134830656 |225       
 [12, 3, 8, 7, 0]    |0.42707266679316785 |0.2736785325109235  |178       
