/tmp/tmp.pTTsR2ooUx ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k3.mat
  Evaluating with: datasets/N5dataset100k3.mat
Gen 0 Train time: 8.32482590675354 minutes:
 Average MSE:        0.668457292070444
 Average Error:      1.5644822940749368
 Structure           |Error               |MSE                 |weights&biases
 [4, 16, 0, 0, 0]    |1.6525550546537986  |1.2583767643680468  |109       
 [6, 15, 11, 13, 11] |1.4150491895115653  |0.29959140781564236 |621       
 [16, 12, 20, 0, 0]  |0.797397199271863   |0.21036685235609554 |533       
 [7, 0, 0, 0, 0]     |0.5761459080959893  |0.5358535741985605  |29        
 [11, 19, 0, 0, 0]   |0.951470527588942   |0.4713065405788129  |281       
 [12, 19, 2, 7, 13]  |1.022560065032065   |0.32216525542479657 |462       
 [3, 5, 18, 0, 0]    |1.7231057100787384  |1.1666405664958512  |156       
 [9, 11, 1, 0, 0]    |0.3768429872494458  |0.2583534532631916  |151       
 [2, 15, 15, 13, 11] |11.440080282808527  |2.169773976114779   |665       
 [10, 11, 16, 0, 0]  |0.8229741831523762  |0.3345963336195591  |360       
 [20, 0, 0, 0, 0]    |0.26454433392903937 |0.21604978156776725 |81        
 [17, 20, 13, 18, 0] |2.45836711573538    |0.22582325469647047 |955       
 [2, 0, 0, 0, 0]     |2.5188032594967216  |2.4627630032195276  |9         
 [10, 0, 0, 0, 0]    |0.46888564249679016 |0.4232059356504646  |41        
 [5, 0, 0, 0, 0]     |1.6742936315576973  |1.5886607470197307  |21        
 [19, 12, 20, 7, 17] |1.9713575431929058  |0.23078295789372505 |858       
 [6, 11, 3, 0, 0]    |1.3207170680398188  |0.9424002719283949  |135       
 [16, 20, 3, 0, 0]   |0.7491657878964773  |0.24019721250338416 |455       
 [6, 8, 18, 13, 0]   |3.388823909185802   |0.9782235383494088  |497       
 [6, 0, 0, 0, 0]     |0.8367716718215237  |0.7860742391014103  |25        
 [13, 0, 0, 0, 0]    |0.5089539507828837  |0.445794258815672   |53        
 [10, 5, 14, 15, 0]  |0.7391515397943292  |0.2652049598775719  |410       
 [16, 0, 0, 0, 0]    |0.32400643698852666 |0.27541068477684927 |65        
 [9, 8, 14, 5, 0]    |0.744023117911042   |0.339363602663206   |314       
 [13, 6, 0, 0, 0]    |0.36601123560117715 |0.2644531294621835  |130       
Gen 1 Train time: 7.989297533035279 minutes:
 Average MSE:        0.8381042499035183
 Average Error:      1.3180035636088652
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.29618335597291023 |0.24188894319362025 |81        
 [16, 0, 0, 0, 0]    |0.36362386317499595 |0.3090861344886652  |65        
 [13, 6, 0, 0, 0]    |1.2282863465961624  |0.8874704835208144  |130       
 [15, 6, 10, 0, 0]   |0.38106255060797267 |0.2187574400848002  |222       
 [13, 3, 7, 8, 0]    |0.3853784204566686  |0.24450255574983126 |182       
 [10, 5, 13, 1, 4]   |2.329266391881755   |1.448535961637459   |190       
 [17, 0, 0, 0, 0]    |0.2625178166843853  |0.22092404459151402 |69        
 [15, 11, 1, 0, 0]   |0.4941212423707648  |0.27459050549607056 |235       
 [11, 0, 0, 0, 0]    |0.43815893969355274 |0.3915376661220388  |45        
 [10, 9, 0, 0, 0]    |0.5690147315103914  |0.4019816030311058  |139       
 [13, 0, 0, 0, 0]    |0.3828269790324981  |0.335319274189579   |53        
 [12, 0, 0, 0, 0]    |0.7767900564729548  |0.6872307498630053  |49        
 [12, 3, 0, 0, 0]    |0.2865776962161706  |0.23521728180107787 |79        
 [3, 3, 18, 0, 0]    |2.4347821204824203  |1.8401687406477087  |112       
 [13, 6, 2, 16, 0]   |0.4708957495155318  |0.28418821027751856 |202       
 [6, 0, 0, 0, 0]     |1.1910761469192757  |1.1189124912215103  |25        
 [7, 1, 18, 4, 4]    |5.29391964265559    |3.4957883828608147  |166       
 [5, 12, 20, 1, 6]   |7.76350601146584    |2.950380183359278   |387       
 [7, 6, 1, 0, 0]     |0.38227231794396016 |0.31454691201970003 |78        
 [9, 10, 8, 3, 19]   |2.396507226927088   |1.0294373133317443  |338       
 [13, 6, 1, 0, 0]    |0.4025445125903965  |0.28939880386402284 |132       
 [10, 8, 0, 0, 0]    |0.3286919885736526  |0.23927681591906985 |127       
 [4, 0, 0, 0, 0]     |3.1180514053897173  |2.988310737929694   |17        
 [13, 0, 0, 0, 0]    |0.2762263332097978  |0.24194745573585963 |53        
 [17, 10, 7, 9, 0]   |0.6978072438771767  |0.2632075566514521  |390       
Gen 2 Train time: 8.111240593592326 minutes:
 Average MSE:        0.41280310993130004
 Average Error:      0.6239937131337125
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.30568754363124767 |0.25725388612938704 |69        
 [13, 0, 0, 0, 0]    |0.31996866042322947 |0.28026148848673804 |53        
 [12, 3, 0, 0, 0]    |0.290641468628753   |0.23855274549335634 |79        
 [13, 6, 2, 8, 0]    |0.41918436740321086 |0.2740500738069881  |170       
 [13, 5, 0, 0, 0]    |1.164681279805364   |0.8736700166156289  |115       
 [12, 3, 1, 0, 0]    |0.2910290962687926  |0.23767952896546723 |81        
 [15, 7, 7, 9, 0]    |0.5594230920511277  |0.26757664802080344 |295       
 [13, 11, 15, 0, 0]  |0.7737973444953299  |0.2926010305106766  |389       
 [15, 0, 0, 0, 0]    |0.4036010006317364  |0.34651522870207774 |61        
 [17, 1, 0, 0, 0]    |0.47514947423888354 |0.39787163858252955 |71        
 [14, 9, 1, 0, 0]    |1.425422209634982   |0.888667665715972   |189       
 [18, 20, 0, 0, 0]   |0.6040385129041013  |0.19366656805249557 |455       
 [16, 2, 0, 0, 0]    |0.28617179955814054 |0.23138716077300941 |85        
 [17, 18, 0, 0, 0]   |0.6893659599154177  |0.25743629114726274 |394       
 [14, 4, 4, 0, 0]    |0.32004409129510464 |0.23298143484152808 |127       
 [13, 4, 10, 0, 0]   |0.35995225006432396 |0.24370814539713295 |156       
 [14, 6, 1, 0, 0]    |0.2955514873196077  |0.2077515842870024  |141       
 [13, 3, 4, 4, 0]    |0.3679395414250861  |0.27121683634736754 |122       
 [17, 2, 4, 4, 0]    |0.3259431651138164  |0.23906202235483956 |124       
 [13, 10, 16, 0, 0]  |0.5016559915656192  |0.1979302328023597  |372       
 [12, 2, 0, 0, 0]    |0.323956247522766   |0.2753680229233929  |65        
 [14, 5, 0, 0, 0]    |0.3473840918731022  |0.25542557121294324 |123       
 [13, 3, 1, 0, 0]    |1.1442713829300422  |0.9205979150870061  |87        
 [18, 3, 5, 3, 2]    |3.3313550989507217  |2.2330741032897095  |160       
 [15, 2, 4, 4, 0]    |0.2736276706923065  |0.20577190873682444 |114       
Increasing Epochs
Gen 3 Train time: 9.64109537601471 minutes:
 Average MSE:        0.4053426134351452
 Average Error:      1.5528030676506495
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 4, 4, 0]    |0.34324786173605953 |0.2581272847901654  |114       
 [16, 2, 0, 0, 0]    |0.29651248396932534 |0.2397482278314973  |85        
 [12, 3, 0, 0, 0]    |0.3679985400157062  |0.30204589342488875 |79        
 [14, 2, 0, 0, 0]    |0.30654341367683413 |0.2541334159245155  |75        
 [15, 1, 2, 2, 9]    |0.3466324154167099  |0.26461207800157005 |108       
 [13, 2, 1, 0, 0]    |0.288948255495075   |0.24134987045428957 |72        
 [12, 8, 10, 18, 11] |1.7730723977023406  |0.3500125946981936  |649       
 [15, 1, 0, 0, 0]    |0.25599705932469174 |0.21869235213303853 |63        
 [12, 3, 1, 0, 0]    |0.4224768500401849  |0.3450311326384482  |81        
 [19, 14, 16, 12, 1] |25.98238046951856   |3.5516725523683093  |796       
 [10, 3, 1, 0, 0]    |0.35223181743145554 |0.2964236055426766  |69        
 [7, 10, 2, 2, 0]    |0.38947631508701613 |0.2800037665256669  |132       
 [16, 12, 0, 0, 0]   |0.4113270568844301  |0.2120641147234979  |265       
 [14, 3, 1, 0, 0]    |0.29483201440554174 |0.23366903911651776 |93        
 [16, 4, 1, 0, 0]    |0.3119849701736     |0.2293972035010597  |123       
 [9, 18, 18, 6, 15]  |2.673896356199321   |0.37664081844077246 |784       
 [15, 11, 0, 0, 0]   |0.4373455519214893  |0.24425765207365382 |233       
 [14, 5, 6, 0, 0]    |0.3284628074601435  |0.22017520421767872 |160       
 [5, 2, 1, 0, 0]     |0.6263230039276997  |0.5781690030436406  |32        
 [14, 4, 3, 6, 0]    |0.31744991452891896 |0.21927355422301828 |148       
 [16, 12, 9, 0, 0]   |0.6294730694784513  |0.24405242816888295 |379       
 [13, 4, 6, 0, 0]    |0.31232793792595287 |0.22453996718882094 |132       
 [19, 1, 4, 13, 11]  |0.49597696549282233 |0.22509656436885397 |316       
 [15, 12, 1, 4, 0]   |0.5076122928907192  |0.2630168117713629  |263       
 [15, 4, 0, 0, 0]    |0.3475468705631848  |0.2613602007076084  |114       
Gen 4 Train time: 9.749225453535717 minutes:
 Average MSE:        0.512172720342819
 Average Error:      0.8692000893971593
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 0, 0, 0]    |0.2593867279025758  |0.2215880674049421  |63        
 [13, 2, 1, 0, 0]    |0.31382810004571077 |0.2621312634719787  |72        
 [14, 3, 1, 0, 0]    |0.35509124009561954 |0.2814274733330199  |93        
 [14, 3, 3, 0, 0]    |0.2817520200300246  |0.2177891346599175  |103       
 [15, 3, 4, 1, 5]    |0.3525841161762392  |0.25475166839704705 |130       
 [15, 4, 1, 2, 18]   |0.4826726078628787  |0.2994174020302474  |191       
 [2, 13, 4, 1, 5]    |3.298388462533669   |2.4313192335572307  |122       
 [14, 4, 10, 0, 0]   |0.3199213466875492  |0.21284733549790516 |163       
 [16, 8, 5, 0, 0]    |0.3481976825299503  |0.19349861827376544 |235       
 [15, 2, 1, 1, 5]    |0.367917968525509   |0.28797106366564473 |98        
 [9, 15, 8, 11, 3]   |4.821120991045869   |1.5888436250268623  |444       
 [14, 2, 3, 2, 0]    |0.2980137669564435  |0.2367819518554921  |92        
 [12, 6, 1, 1, 0]    |1.2566045736852924  |0.919351545513992   |125       
 [16, 2, 2, 2, 0]    |0.3411329001623892  |0.26767461986381846 |97        
 [11, 6, 1, 1, 0]    |1.2097357192346259  |0.9052011651017227  |116       
 [11, 3, 1, 19, 0]   |0.41942065890933944 |0.30228623771809515 |131       
 [6, 3, 1, 0, 0]     |1.021967938540881   |0.9132278387100898  |45        
 [11, 3, 1, 0, 0]    |0.3331668656016667  |0.2762050327966777  |75        
 [14, 3, 2, 3, 0]    |0.2900614615917251  |0.22142697187649968 |108       
 [15, 3, 2, 2, 0]    |0.36589924765297593 |0.2779268684261895  |110       
 [18, 10, 8, 14, 4]  |3.0886589197678607  |0.8354681856853023  |523       
 [11, 7, 1, 1, 0]    |0.5773341619890711  |0.41818387818831865 |129       
 [16, 2, 0, 0, 0]    |0.31295731631089824 |0.2530448666714527  |85        
 [13, 3, 4, 0, 0]    |0.31626146904279717 |0.2450762300306712  |102       
 [14, 4, 5, 3, 0]    |0.6979259720474229  |0.4808777308135902  |149       
Increasing Epochs
Gen 5 Train time: 11.492100894451141 minutes:
 Average MSE:        0.7570021799571767
 Average Error:      1.6987058314613472
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 0, 0, 0]    |0.2938421110713012  |0.2510225023499801  |63        
 [14, 3, 3, 0, 0]    |0.23948649145896983 |0.18511865764806462 |103       
 [14, 3, 2, 3, 0]    |0.3712766239412741  |0.2834249614433838  |108       
 [15, 6, 3, 5, 0]    |0.3298459865104083  |0.2061544897529503  |188       
 [14, 3, 3, 2, 0]    |0.2929825210434485  |0.2225413555767762  |110       
 [15, 2, 2, 6, 3]    |2.1393642043808834  |1.5612841943666411  |126       
 [1, 6, 19, 12, 5]   |9.415809386017603   |2.988854268357498   |459       
