/tmp/tmp.fNEZibzpzJ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k1.mat
  Evaluating with: datasets/N7dataset100k1.mat
Gen 0 Train time: 8.051875452200571 minutes:
 Average MSE:        0.47403666798700633
 Average Error:      0.7401789343068184
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.44234356675132397 |0.3759991491463178  |65        
 [12, 6, 19, 0, 0]   |0.4153305628858888  |0.21306019687920275 |267       
 [14, 18, 19, 0, 0]  |0.9818286772863436  |0.17362830394346673 |693       
 [13, 1, 18, 0, 0]   |0.2770145710855692  |0.2114672431992421  |108       
 [2, 9, 19, 0, 0]    |2.043139289677656   |1.1129203345433432  |243       
 [13, 18, 10, 3, 7]  |0.8197875158245507  |0.2072747441468566  |550       
 [10, 19, 0, 0, 0]   |0.6452792347065458  |0.3377085161402703  |259       
 [20, 1, 5, 6, 0]    |0.2906932492916198  |0.20794395266387497 |134       
 [19, 0, 0, 0, 0]    |0.22991478580437485 |0.1896554004810273  |77        
 [19, 6, 9, 0, 0]    |0.297889823628202   |0.15944893253650144 |250       
 [13, 13, 10, 0, 0]  |0.50415428171109    |0.19891594244883998 |372       
 [11, 7, 16, 8, 0]   |0.5444793694176945  |0.20537345481724376 |390       
 [7, 0, 0, 0, 0]     |1.8413171852384993  |1.7125460427272472  |29        
 [20, 0, 0, 0, 0]    |0.2643126863025546  |0.2158605980824912  |81        
 [18, 0, 0, 0, 0]    |0.35537575860259046 |0.29609362489205965 |73        
 [19, 3, 7, 0, 0]    |0.25346221004923514 |0.17290023280057656 |153       
 [14, 16, 11, 0, 0]  |0.7738878092885951  |0.23250853030634627 |481       
 [16, 0, 0, 0, 0]    |0.2779788382304631  |0.23628648523805668 |65        
 [11, 18, 4, 0, 0]   |0.5473293821706922  |0.23985888767141855 |330       
 [9, 9, 1, 13, 0]    |0.3307554543548753  |0.21786580366588773 |167       
 [18, 12, 18, 0, 0]  |0.6700290995136591  |0.17588337679460536 |535       
 [1, 0, 0, 0, 0]     |2.4371342718427527  |2.406859703694723   |5         
 [10, 13, 0, 0, 0]   |0.3107224176195861  |0.19468832874604786 |187       
 [15, 1, 6, 5, 0]    |0.35093444749663977 |0.2639077068491701  |114       
 [4, 19, 0, 0, 0]    |2.5993788688894535  |1.89226120726034    |127       
Gen 1 Train time: 8.356706738471985 minutes:
 Average MSE:        0.3235839792398951
 Average Error:      0.6996090829501257
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.2837741250201291  |0.23408366338230352 |77        
 [19, 3, 7, 0, 0]    |0.2751875140445364  |0.1877202334536176  |153       
 [20, 0, 0, 0, 0]    |0.23890439308498201 |0.1951099884658104  |81        
 [17, 2, 7, 3, 14]   |0.3340025440891963  |0.20106909595987643 |203       
 [14, 8, 12, 7, 0]   |0.5093649139522779  |0.20248477184819152 |369       
 [15, 7, 0, 0, 0]    |0.43703123689237156 |0.28931170556413016 |165       
 [15, 8, 6, 0, 0]    |0.37713895300124156 |0.21010632143469765 |234       
 [14, 1, 12, 3, 0]   |0.3414714830853334  |0.2504512199063317  |124       
 [19, 9, 14, 0, 0]   |0.46005794816083717 |0.17266485405956403 |392       
 [7, 19, 7, 18, 3]   |8.016937448030998   |2.19582204549448    |518       
 [18, 2, 4, 0, 0]    |0.2916792598455513  |0.22210600621387772 |109       
 [15, 7, 17, 0, 0]   |0.5771851723356353  |0.2652474430345405  |311       
 [15, 11, 17, 0, 0]  |0.5544274228455798  |0.18317388824350916 |443       
 [14, 3, 10, 0, 0]   |1.191089146391533   |0.8435535762690716  |138       
 [20, 3, 5, 0, 0]    |0.41835078514914503 |0.2882477287045783  |149       
 [12, 7, 9, 0, 0]    |0.42499514000981287 |0.25203746159548923 |209       
 [19, 2, 4, 0, 0]    |0.26066740644960196 |0.19602560528656485 |114       
 [14, 9, 2, 0, 0]    |0.30480863319730744 |0.18487578137926897 |200       
 [18, 4, 0, 0, 0]    |0.2745408636308999  |0.19589917538145724 |135       
 [15, 7, 3, 3, 0]    |0.35916639241710996 |0.2194854119051101  |197       
 [19, 2, 4, 18, 0]   |0.3015548873067831  |0.17485412363081151 |218       
 [16, 2, 13, 0, 0]   |0.3088411409854755  |0.22037420602079538 |135       
 [16, 1, 9, 0, 0]    |0.29734982610908267 |0.2356645301510615  |93        
 [17, 1, 9, 9, 0]    |0.3170906690412599  |0.1986784632069551  |187       
 [16, 2, 0, 0, 0]    |0.3346097686764586  |0.2705521804052854  |85        
Increasing Epochs
Gen 2 Train time: 9.756238532066345 minutes:
 Average MSE:        0.2759053823307621
 Average Error:      0.4682556229283838
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.2740809012228884  |0.22383816716704102 |81        
 [19, 2, 4, 0, 0]    |0.3240361421502197  |0.24367979781162696 |114       
 [18, 4, 0, 0, 0]    |0.21405519907248724 |0.15273950999436678 |135       
 [15, 6, 6, 18, 0]   |0.431115512714691   |0.1898769185481335  |328       
 [15, 5, 13, 4, 0]   |0.3781155566215393  |0.19542953003191424 |264       
 [16, 5, 5, 3, 7]    |0.3101913131551552  |0.1803121014439763  |217       
 [16, 5, 8, 5, 0]    |0.3056087678243479  |0.1711098499129176  |232       
 [15, 4, 15, 2, 0]   |0.37280119351862945 |0.215625969564123   |219       
 [20, 1, 2, 0, 0]    |0.23246634588380172 |0.18655861246539832 |88        
 [17, 17, 0, 0, 0]   |0.5581958746910822  |0.21859264531680522 |375       
 [17, 4, 2, 2, 0]    |0.2518757786262241  |0.1766086069601897  |142       
 [17, 6, 5, 0, 0]    |0.38528009011551057 |0.23368418723190348 |200       
 [18, 2, 9, 0, 0]    |0.3675450384695058  |0.2662260779208182  |129       
 [15, 8, 3, 19, 0]   |0.3750026095880459  |0.17891896339115837 |296       
 [17, 3, 5, 0, 0]    |0.32234764850559217 |0.23232345816588157 |131       
 [18, 2, 6, 2, 7]    |0.2666957588554214  |0.18192754961014332 |153       
