/tmp/tmp.0Iw3MUEJN4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k4.mat
  Evaluating with: datasets/N7dataset100k4.mat
Gen 0 Train time: 8.00030876795451 minutes:
 Average MSE:        1.168406044800417
 Average Error:      1.8768887538106838
 Structure           |Error               |MSE                 |weights&biases
 [2, 11, 0, 0, 0]    |2.0523129760464958  |1.8066376000448656  |51        
 [3, 5, 0, 0, 0]     |1.3040069462118913  |1.1947557728831657  |35        
 [6, 0, 0, 0, 0]     |1.2475694616471082  |1.1719830490384693  |25        
 [13, 5, 0, 0, 0]    |0.29337300923633286 |0.22006982193181424 |115       
 [11, 8, 0, 0, 0]    |0.3541070549355677  |0.25078582361190943 |138       
 [2, 17, 15, 0, 0]   |4.257673878646006   |1.8061959946425503  |343       
 [13, 18, 13, 0, 0]  |0.6475540289473453  |0.1629107056305888  |552       
 [8, 3, 0, 0, 0]     |1.1012584955328162  |0.9597846070830409  |55        
 [15, 6, 15, 18, 7]  |1.1476348320718868  |0.21229109781904168 |675       
 [12, 0, 0, 0, 0]    |0.39508573638458827 |0.34953468393838977 |49        
 [13, 2, 3, 10, 0]   |0.30238281304008763 |0.2201246127319918  |127       
 [11, 15, 5, 18, 6]  |5.660890895974348   |1.5350781348779212  |522       
 [8, 1, 0, 0, 0]     |0.48278733521002143 |0.4423388675134598  |35        
 [6, 6, 0, 0, 0]     |0.6745401568341349  |0.570510292072661   |67        
 [5, 0, 0, 0, 0]     |1.9161110216017538  |1.8181102224694698  |21        
 [3, 15, 18, 0, 0]   |2.976482354544734   |1.1626968591386435  |376       
 [3, 20, 3, 18, 0]   |4.308770747502165   |2.3470345883942314  |243       
 [7, 3, 10, 0, 0]    |0.4194825272670679  |0.3299766431788858  |96        
 [1, 0, 0, 0, 0]     |2.991173543674766   |2.9540165891578143  |5         
 [5, 3, 6, 8, 1]     |4.805465479399973   |3.524554029106805   |124       
 [5, 0, 0, 0, 0]     |1.3223228407502285  |1.2546917412766365  |21        
 [11, 1, 0, 0, 0]    |1.0179898138948311  |0.9051359840791215  |47        
 [5, 2, 11, 12, 1]   |6.094564397171157   |3.525059415201002   |219       
 [8, 2, 9, 13, 0]    |0.5010904515194207  |0.2942078901310721  |213       
 [18, 19, 1, 17, 0]  |0.6475880472223717  |0.1916660940568741  |487       
Gen 1 Train time: 8.258949534098308 minutes:
 Average MSE:        0.5720184795834754
 Average Error:      0.825177370088862
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 0, 0, 0]    |1.1755922253505768  |0.88185471584714    |115       
 [13, 2, 3, 10, 0]   |0.37309432266763465 |0.271600235688098   |127       
 [11, 8, 0, 0, 0]    |0.523386057852261   |0.37067265889224665 |138       
 [11, 3, 2, 5, 0]    |0.3828379620833036  |0.29964901033387    |98        
 [10, 3, 7, 5, 0]    |0.29686499084707657 |0.21077210088787898 |137       
 [13, 4, 2, 5, 0]    |0.32235510473254014 |0.23525116899764437 |126       
 [16, 19, 7, 9, 0]   |0.798559424881211   |0.18132833355961991 |593       
