/tmp/tmp.ePpg9Ql3zI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.665068503220876 minutes:
 Average MSE:        0.4189093818335017
 Average Error:      1.373435467758037
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.4436974506892003  |0.3964868648546808  |45        
 [7, 20, 16, 9, 0]   |1.1414243997801128  |0.20851943179160842 |680       
 [16, 2, 17, 2, 13]  |0.32948933354528925 |0.18915068674845092 |222       
 [17, 14, 7, 0, 0]   |0.5708413397994732  |0.2017665442077467  |416       
 [12, 16, 18, 0, 0]  |0.7974664702729886  |0.19227752868037123 |569       
 [5, 13, 12, 5, 0]   |2.4622867893917557  |1.0736783972332202  |332       
 [6, 12, 2, 3, 0]    |0.444949860400604   |0.31276796900887527 |141       
 [13, 8, 0, 0, 0]    |0.2769539767353727  |0.1856478024350084  |160       
 [11, 14, 10, 19, 0] |0.8697226587311283  |0.20401109462026445 |580       
 [10, 0, 0, 0, 0]    |0.5821405086275511  |0.525427303173282   |41        
 [6, 18, 0, 0, 0]    |1.3140404862470463  |0.8742461831007933  |163       
 [8, 11, 9, 15, 11]  |6.538132249310337   |1.5764122479688532  |569       
 [7, 12, 19, 2, 0]   |1.020666262330545   |0.3689683586324776  |407       
 [12, 5, 7, 0, 0]    |0.255406698848113   |0.17509998823537629 |151       
 [19, 10, 3, 0, 0]   |0.3369919088868926  |0.16158945994163515 |294       
 [14, 18, 15, 9, 0]  |1.3857636780120075  |0.2119831220915675  |751       
 [13, 18, 15, 20, 17]|5.115604499609998   |0.2132682692218555  |1271      
 [13, 10, 3, 18, 5]  |2.3013631615249284  |0.878975395017006   |385       
 [13, 20, 0, 0, 0]   |0.4388873208794462  |0.18758699438684748 |340       
 [19, 10, 19, 20, 16]|4.7230892483384315  |0.22424032725538057 |1219      
 [9, 3, 0, 0, 0]     |0.23908479590384552 |0.20526837793299596 |61        
 [4, 12, 0, 0, 0]    |1.3782284906211602  |1.1143808643398831  |85        
 [5, 11, 10, 0, 0]   |0.6287352823311919  |0.3700767117922633  |212       
 [19, 0, 0, 0, 0]    |0.2296765007896155  |0.18945884052623924 |77        
 [12, 16, 4, 0, 0]   |0.5112433223438885  |0.23144578264086033 |317       
Gen 1 Train time: 8.710793821016948 minutes:
 Average MSE:        0.4119038150489046
 Average Error:      1.0421457424801948
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.23112731957484745 |0.19065561269892015 |77        
 [9, 3, 0, 0, 0]     |0.4172626942423113  |0.3582445972579441  |61        
 [12, 5, 7, 0, 0]    |0.37240220921684697 |0.2553089748498576  |151       
 [12, 6, 5, 0, 0]    |0.2559433932379948  |0.1737219964361414  |155       
 [13, 11, 3, 2, 0]   |1.676065066072501   |0.9198440111112918  |240       
 [17, 8, 12, 1, 7]   |0.4944776379281636  |0.21240650784270837 |338       
 [12, 2, 0, 0, 0]    |0.2642002322370149  |0.22457444844274957 |65        
 [19, 5, 10, 0, 0]   |0.28782042611610703 |0.16276977274599913 |228       
 [9, 14, 3, 2, 0]    |1.547479935991131   |0.8861471665750935  |223       
 [13, 7, 4, 0, 0]    |0.36571748681253924 |0.23671600734633375 |174       
 [10, 8, 13, 9, 12]  |1.7733100274730955  |0.5157402004446661  |494       
 [10, 13, 6, 8, 6]   |0.5669324785867984  |0.22256967780392722 |374       
 [7, 12, 11, 3, 0]   |2.248061736130523   |1.0619091726449557  |300       
 [5, 7, 5, 5, 13]    |2.821366849233589   |1.6318616274270774  |219       
 [18, 6, 16, 1, 7]   |0.4123793544437479  |0.1857578026524778  |319       
 [10, 2, 0, 0, 0]    |0.26486916969820207 |0.23084257964720942 |55        
 [14, 15, 18, 12, 18]|2.8439682285999526  |0.2133546105109648  |1036      
 [11, 6, 0, 0, 0]    |0.28246303725810873 |0.2134809711218814  |112       
 [13, 6, 1, 9, 0]    |0.32818779938115206 |0.221093569568094   |158       
 [16, 3, 4, 0, 0]    |0.24463990398831054 |0.1812336983803665  |120       
 [16, 10, 2, 0, 0]   |0.3530469173101205  |0.19230852018134542 |243       
 [13, 9, 4, 0, 0]    |0.4712614550770023  |0.27877724177011154 |210       
 [9, 8, 9, 20, 0]    |0.6427888934155399  |0.2312076802380202  |409       
 [14, 5, 20, 9, 8]   |0.8240996633075978  |0.22741839556096538 |515       
 [3, 11, 20, 11, 13] |6.063771646671671   |1.0696505329635122  |694       
Increasing Epochs
Gen 2 Train time: 9.991896669069925 minutes:
 Average MSE:        0.3841016616056357
 Average Error:      0.7715706955185042
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.2486786772018466  |0.20513362788219122 |77        
 [16, 3, 4, 0, 0]    |0.2661326602363827  |0.1971559238216092  |120       
 [12, 6, 5, 0, 0]    |0.2558586986823441  |0.1736645098680813  |155       
 [12, 14, 15, 20, 17]|3.411264889951145   |0.19831138303260756 |1138      
 [11, 10, 2, 6, 0]   |0.5040592153734084  |0.30572736843466575 |200       
 [16, 4, 2, 0, 0]    |0.294412387491781   |0.21325347102935793 |129       
 [16, 7, 10, 1, 4]   |0.43745503641495465 |0.2221769033775689  |271       
 [15, 9, 8, 4, 3]    |0.4685496420912907  |0.20843808771018274 |324       
 [15, 4, 12, 5, 4]   |3.5093133745210596  |1.8183334568531435  |263       
 [8, 8, 6, 0, 0]     |0.47055377572642604 |0.31779618427476986 |157       
 [17, 8, 9, 1, 4]    |0.4399234117234766  |0.20832526816200153 |299       
 [11, 4, 0, 0, 0]    |0.2131853786866825  |0.17194284235070573 |86        
 [14, 15, 7, 1, 0]   |0.5188327745788205  |0.19618961680914979 |389       
 [17, 6, 8, 1, 4]    |0.365311580348128   |0.20199655326768967 |237       
 [2, 6, 12, 5, 0]    |2.7649543413217343  |1.7674257717993327  |179       
 [13, 6, 3, 5, 0]    |0.29910877234646666 |0.19554827782740192 |170       
 [14, 6, 1, 0, 0]    |0.2773137837074202  |0.19493178137025574 |141       
 [13, 6, 6, 5, 4]    |1.4689391898064417  |0.8286482673846457  |229       
 [18, 4, 6, 1, 4]    |1.2953043388130718  |0.8259225113450421  |180       
 [14, 8, 1, 0, 0]    |0.33407312632282765 |0.2167749915101557  |173       
 [14, 5, 2, 0, 0]    |0.3033266305787814  |0.21806871370502418 |132       
 [16, 3, 3, 0, 0]    |0.23927764585596367 |0.17949091176743542 |115       
 [19, 3, 5, 10, 0]   |0.29251536460022953 |0.17390639485182965 |208       
 [15, 8, 2, 5, 0]    |0.2924705997667762  |0.17214964850753367 |212       
 [13, 8, 3, 5, 0]    |0.3184520918151423  |0.1912290731985107  |204       
Gen 3 Train time: 9.834747878710429 minutes:
 Average MSE:        0.4958388523107711
 Average Error:      1.0298359527827412
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 0, 0, 0]    |0.2518925695685504  |0.20316179582978616 |86        
 [16, 3, 3, 0, 0]    |0.2204448366870562  |0.1653637329548181  |115       
 [19, 0, 0, 0, 0]    |0.2484324091187518  |0.20493048273969144 |77        
 [17, 3, 1, 0, 0]    |0.28400592747299525 |0.21518435144869308 |111       
 [15, 10, 5, 1, 0]   |0.40953364415881666 |0.20956187860824804 |268       
 [18, 4, 4, 5, 0]    |0.26275074574690943 |0.1671189522849284  |181       
 [14, 5, 4, 0, 0]    |0.33078421204703556 |0.22962929216636324 |146       
 [17, 4, 4, 5, 0]    |0.2760451528943046  |0.1786742739866372  |174       
 [14, 6, 3, 3, 0]    |0.3342257830521472  |0.219053668569663   |169       
 [17, 5, 3, 5, 0]    |0.30354666802137614 |0.1911455853785281  |185       
 [16, 4, 19, 0, 0]   |0.3451787952573781  |0.19374881070358388 |231       
 [13, 5, 1, 0, 0]    |0.28164057309559326 |0.2102151845677315  |117       
 [16, 6, 5, 1, 2]    |1.544531863336602   |0.9415016892821517  |198       
 [17, 1, 1, 3, 0]    |1.0786077355682078  |0.880884357664313   |81        
 [4, 2, 15, 16, 11]  |10.443629572851062  |2.8320255063472177  |522       
 [16, 5, 3, 3, 0]    |0.26507004711887017 |0.17459938478095774 |167       
 [17, 6, 18, 8, 0]   |0.5461605324658746  |0.17909438332749505 |446       
 [14, 7, 5, 1, 2]    |1.5393961855084994  |0.9336909839555816  |200       
 [18, 2, 2, 0, 0]    |0.2674255829215944  |0.2077512255648156  |101       
 [14, 7, 1, 0, 0]    |0.2878643094661872  |0.1944138669294886  |157       
 [15, 7, 7, 3, 2]    |2.81717749023995    |1.5154849605915064  |248       
 [18, 3, 5, 5, 0]    |0.25803249604223877 |0.16996380976333464 |167       
 [16, 8, 6, 3, 2]    |1.7229658027982822  |0.8772591009819857  |270       
 [11, 3, 0, 0, 0]    |1.0662087143701309  |0.8883487280357605  |73        
 [11, 7, 4, 10, 0]   |0.3603471697601191  |0.2131653013059978  |210       
Increasing Epochs
Gen 4 Train time: 11.093955596288046 minutes:
 Average MSE:        0.5087950003365349
 Average Error:      0.8194357326962686
 Structure           |Error               |MSE                 |weights&biases
