/tmp/tmp.Jd3i2tp5bF ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k7.mat
  Evaluating with: datasets/N7dataset100k7.mat
Gen 0 Train time: 7.9755195617675785 minutes:
 Average MSE:        0.9998594790805229
 Average Error:      1.473627215831292
 Structure           |Error               |MSE                 |weights&biases
 [1, 2, 11, 5, 0]    |4.554984424454205   |3.494611152488615   |106       
 [3, 14, 6, 8, 0]    |3.0952040783693366  |1.7857774061040979  |220       
 [15, 10, 19, 0, 0]  |0.5605823610358657  |0.1894217809350938  |434       
 [18, 0, 0, 0, 0]    |0.337848370103673   |0.28149007394659564 |73        
 [7, 1, 4, 20, 3]    |5.816858081532514   |3.4929975605386736  |204       
 [5, 0, 0, 0, 0]     |2.4224734615831705  |2.2985744116661957  |21        
 [1, 0, 0, 0, 0]     |3.538219880751419   |3.49426740749621    |5         
 [18, 20, 11, 2, 19] |1.3437453071171273  |0.1979898960796925  |766       
 [19, 0, 0, 0, 0]    |0.2714063355719885  |0.22388154413779385 |77        
 [4, 19, 2, 19, 0]   |0.9545013986868217  |0.5452198503862838  |224       
 [17, 9, 0, 0, 0]    |0.31450033052829673 |0.18009511483978155 |223       
 [19, 4, 2, 0, 0]    |0.2948078539368899  |0.20261827731419935 |150       
 [16, 1, 16, 12, 0]  |0.40708015540216097 |0.18567727908488532 |314       
 [3, 12, 11, 20, 0]  |3.9280006875417346  |1.2406439576824766  |461       
 [18, 0, 0, 0, 0]    |0.2453745277212926  |0.20444228850854743 |73        
 [12, 14, 1, 0, 0]   |1.5484115506333265  |0.8604752719481864  |235       
 [14, 13, 3, 4, 6]   |0.40095899203227214 |0.17483788231987454 |332       
 [6, 0, 0, 0, 0]     |0.9033652049029179  |0.8486330739769734  |25        
 [7, 0, 0, 0, 0]     |1.260519059181112   |1.1723655999567926  |29        
 [16, 1, 0, 0, 0]    |0.4097815678870107  |0.34658366831479476 |67        
 [6, 0, 0, 0, 0]     |1.2864312864505547  |1.2084903549035955  |25        
 [13, 6, 2, 0, 0]    |0.3093058792695288  |0.21796416920121123 |140       
 [10, 20, 0, 0, 0]   |0.4071480600258534  |0.20678444105721186 |271       
 [11, 0, 0, 0, 0]    |1.7993915939678122  |1.6079315547790003  |45        
 [6, 3, 12, 0, 0]    |0.4297799470954143  |0.33471295934629564 |100       
Gen 1 Train time: 8.486005719502767 minutes:
 Average MSE:        0.2766432145279347
 Average Error:      0.5833482328700148
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.251344664412605   |0.20941651472190204 |73        
 [19, 0, 0, 0, 0]    |0.3099853168870643  |0.2557051266266829  |77        
 [19, 4, 2, 0, 0]    |0.326433639254232   |0.22435434049615352 |150       
