/tmp/tmp.BzsNob681U ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k1.mat
  Evaluating with: datasets/N8dataset100k1.mat
Gen 0 Train time: 8.426126786073048 minutes:
 Average MSE:        0.6969549623854226
 Average Error:      1.9112938329800822
 Structure           |Error               |MSE                 |weights&biases
 [5, 19, 6, 0, 0]    |1.7274828007867806  |0.9108885935195362  |256       
 [9, 0, 0, 0, 0]     |0.5101357223680341  |0.465064828781604   |37        
 [18, 17, 9, 0, 0]   |0.6531613794228398  |0.1655584383251069  |549       
 [14, 6, 20, 11, 0]  |0.6463317723933542  |0.17836160020721673 |515       
 [20, 3, 20, 17, 0]  |0.7415167778924817  |0.17480967108849824 |578       
 [11, 11, 3, 10, 0]  |0.3323738734602733  |0.1770195998738455  |252       
 [9, 19, 19, 9, 0]   |1.474739069422097   |0.2061772737761598  |787       
 [6, 15, 0, 0, 0]    |0.7515725937709168  |0.5309499724837298  |139       
 [16, 8, 10, 9, 0]   |0.40560260775365276 |0.15569109464897138 |383       
 [8, 3, 13, 0, 0]    |0.25837542393385066 |0.19285018785835628 |117       
 [2, 8, 0, 0, 0]     |1.8079983424635537  |1.6400395299776978  |39        
 [18, 0, 0, 0, 0]    |0.307909276773024   |0.25654528113036174 |73        
 [13, 3, 10, 0, 0]   |0.24893287992037821 |0.17896375540631967 |132       
 [14, 14, 5, 9, 14]  |0.6955684706761069  |0.18213159124758008 |536       
 [20, 19, 17, 0, 0]  |1.2030861930870256  |0.15604514585041046 |817       
 [5, 10, 6, 0, 0]    |2.399753263690249   |1.6575919642898913  |148       
 [6, 10, 0, 0, 0]    |0.7539048765826194  |0.5886113988623138  |99        
 [20, 1, 0, 0, 0]    |0.2722968019777343  |0.22127198697957393 |83        
 [14, 2, 7, 20, 0]   |0.40980762915921654 |0.20658002186438443 |274       
 [13, 8, 20, 19, 2]  |24.181726679954437  |3.501170188068425   |773       
 [3, 2, 6, 0, 0]     |1.8766170897695151  |1.689564385423966   |42        
 [8, 8, 0, 0, 0]     |0.5348383521091816  |0.4113582772826122  |105       
 [9, 0, 0, 0, 0]     |1.0336190205730353  |0.9422979645432674  |37        
 [14, 16, 18, 6, 0]  |1.029960438125731   |0.1749981969800588  |709       
 [1, 10, 10, 0, 0]   |3.525034488435958   |2.4593331111656758  |144       
Gen 1 Train time: 8.580521289507548 minutes:
 Average MSE:        0.2898165857709256
 Average Error:      0.6144813233830237
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 10, 0, 0]   |0.31315114280843437 |0.22513178871631392 |132       
 [8, 3, 13, 0, 0]    |1.1993387152821282  |0.8951807142740236  |117       
 [20, 1, 0, 0, 0]    |0.2407579212512202  |0.19564307487050622 |83        
