/tmp/tmp.CQJcxWzuog ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k2.mat
  Evaluating with: datasets/N8dataset100k2.mat
Gen 0 Train time: 8.170023926099141 minutes:
 Average MSE:        0.7105328145863349
 Average Error:      1.2892457641979758
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 6, 0, 0]    |0.23645731896342922 |0.15850208093302973 |160       
 [18, 0, 0, 0, 0]    |0.22218220319022605 |0.18511879985226046 |73        
 [13, 7, 0, 0, 0]    |0.2441988039067914  |0.16994632699801818 |145       
 [3, 13, 20, 0, 0]   |5.789164082376185   |2.34195935105515    |362       
 [19, 11, 11, 2, 7]  |0.5911160319172432  |0.1862355610399661  |462       
 [13, 0, 0, 0, 0]    |0.5304190447715864  |0.46459559762124203 |53        
 [18, 0, 0, 0, 0]    |0.24754484681528924 |0.20625056505008987 |73        
 [10, 19, 0, 0, 0]   |0.4151188336375072  |0.21725348932599114 |259       
 [20, 8, 1, 15, 5]   |5.2719939753622596  |2.1812730067894424  |353       
 [7, 15, 0, 0, 0]    |0.41076465858412636 |0.27741662667872824 |157       
 [7, 10, 6, 13, 0]   |0.7414266630478377  |0.37561934609295095 |272       
 [8, 13, 2, 7, 1]    |4.733151959702171   |2.8708017806383017  |200       
 [10, 0, 0, 0, 0]    |1.0007755467556887  |0.903278141308722   |41        
 [5, 0, 0, 0, 0]     |1.9528446747648869  |1.8529651080014737  |21        
 [11, 2, 0, 0, 0]    |0.24298718610090247 |0.20914100924612672 |60        
 [15, 13, 14, 16, 11]|2.1437536397523     |0.23283117235375728 |888       
 [5, 5, 8, 10, 9]    |2.5853670489485774  |1.245911623571296   |292       
 [20, 5, 1, 15, 0]   |0.32471425898146705 |0.18875419111587335 |217       
 [13, 13, 2, 0, 0]   |0.3750359923674685  |0.19974109461739897 |252       
 [19, 0, 0, 0, 0]    |0.2281490742576443  |0.18819887505854277 |77        
 [8, 4, 8, 7, 0]     |0.6818134638034551  |0.4446360609307739  |171       
 [4, 3, 0, 0, 0]     |1.3388700703158487  |1.2390265452261118  |31        
 [15, 9, 7, 19, 0]   |0.5248323279642627  |0.17867684450160942 |431       
 [3, 3, 4, 0, 0]     |1.122508167384848   |1.0106216298999473  |42        
 [16, 0, 0, 0, 0]    |0.2759542312773986  |0.23456553675156963 |65        
Gen 1 Train time: 8.411278700828552 minutes:
 Average MSE:        0.43681697824557025
 Average Error:      1.2830366972820673
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.27805145109512036 |0.23166819927444346 |73        
 [19, 0, 0, 0, 0]    |0.23261256439259587 |0.19188078271022216 |77        
 [17, 4, 6, 0, 0]    |0.29537007624710376 |0.1979924831075089  |160       
 [18, 15, 3, 0, 0]   |0.46439909304421834 |0.17473041437415224 |391       
 [15, 1, 0, 0, 0]    |0.2397809498517758  |0.20483930580338963 |63        
