/tmp/tmp.iyRMMQM12D ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k3.mat
  Evaluating with: datasets/N8dataset100k3.mat
Gen 0 Train time: 8.700234997272492 minutes:
 Average MSE:        0.7170666304761597
 Average Error:      2.327128296470367
 Structure           |Error               |MSE                 |weights&biases
 [12, 17, 16, 0, 0]  |0.8068253964901642  |0.19796837260825678 |562       
 [13, 2, 10, 16, 0]  |0.4298971926791491  |0.20820977253944933 |290       
 [10, 5, 13, 0, 0]   |0.321764364941582   |0.20671054715208087 |177       
 [18, 20, 16, 0, 0]  |1.125621184681328   |0.15736852164175133 |787       
 [12, 14, 0, 0, 0]   |0.38359024313315837 |0.21423529228642307 |233       
 [4, 20, 0, 0, 0]    |2.4491229350540955  |1.7563362702996013  |133       
 [19, 8, 2, 20, 13]  |0.9426326136661395  |0.22001079505477034 |582       
 [10, 4, 11, 10, 19] |0.6300241169492138  |0.19071079143063985 |478       
 [13, 13, 15, 11, 6] |1.305153053628927   |0.23488019963114176 |686       
 [6, 11, 19, 1, 17]  |1.2291726795088562  |0.45787517521635895 |395       
 [10, 16, 20, 0, 0]  |0.7870034469212914  |0.1907059338420406  |567       
 [2, 17, 13, 12, 9]  |8.082632665638544   |1.867718522224814   |586       
 [17, 0, 0, 0, 0]    |0.23829713528534385 |0.2005409293994816  |69        
 [19, 5, 0, 0, 0]    |0.22982794311088484 |0.1529071624029263  |163       
 [3, 0, 0, 0, 0]     |1.7600648616951198  |1.7037822992801086  |13        
 [13, 2, 0, 0, 0]    |0.37765543991298506 |0.31702551046663885 |70        
 [2, 11, 7, 12, 16]  |8.64473949920457    |2.8489513681235086  |444       
 [10, 11, 14, 0, 0]  |0.6155139273025999  |0.2670557860231992  |334       
 [20, 18, 0, 0, 0]   |0.4294846381182908  |0.13701439234026286 |457       
 [2, 8, 4, 14, 0]    |2.8181947496246536  |1.9320787971882196  |151       
 [14, 8, 17, 20, 2]  |20.89444814291705   |3.4538290480277816  |720       
 [20, 18, 17, 15, 0] |2.0571454364624384  |0.15014096062867757 |1047      
 [9, 0, 0, 0, 0]     |0.5565045055342978  |0.5073368933685105  |37        
 [20, 14, 0, 0, 0]   |0.43504838346582564 |0.17294216828851977 |369       
 [20, 8, 8, 6, 18]   |0.6278428558326593  |0.18033025243883255 |499       
Gen 1 Train time: 8.396805755297343 minutes:
 Average MSE:        0.21522621142801338
 Average Error:      0.5529551649663397
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.23509399922071847 |0.15641072983650317 |163       
 [17, 0, 0, 0, 0]    |0.3086403995228163  |0.2597388864806033  |69        
 [10, 5, 13, 0, 0]   |0.28439022379867396 |0.18270033966253416 |177       
 [19, 11, 11, 7, 18] |0.7616571782767461  |0.14774629165328457 |656       
 [11, 13, 7, 0, 0]   |0.3707213211227954  |0.17731904504009202 |295       
 [15, 1, 5, 8, 0]    |0.25826357410382794 |0.18753784564670445 |128       
 [13, 10, 13, 2, 17] |0.6532016017113188  |0.22915206287202122 |419       
 [20, 14, 0, 0, 0]   |0.3567088808363817  |0.1418003367996907  |369       
 [14, 2, 6, 5, 10]   |0.3188156890544695  |0.19531490599485965 |196       
 [14, 13, 15, 0, 0]  |0.5823019473654405  |0.1830005435585598  |463       
 [16, 15, 0, 0, 0]   |0.4259067662847948  |0.19185127525747153 |319       
 [18, 13, 0, 0, 0]   |0.3905584128386197  |0.1776965895550529  |315       
 [18, 3, 0, 0, 0]    |0.23089861649516782 |0.17320549544985478 |115       
 [12, 4, 12, 8, 0]   |0.5685042891273655  |0.2960442267329932  |261       
 [19, 10, 0, 0, 0]   |0.3295643567278774  |0.16864090827035888 |268       
 [14, 3, 7, 0, 0]    |0.23743576273240874 |0.17458244848028473 |123       
 [20, 10, 0, 0, 0]   |0.42611239903488984 |0.21107281293912633 |281       
 [15, 5, 7, 0, 0]    |0.27173294332675924 |0.17544397444083598 |175       
 [19, 9, 0, 0, 0]    |0.3490390432413463  |0.18823360809514736 |247       
 [15, 14, 0, 0, 0]   |0.2906401902666159  |0.1428915630935326  |284       
 [7, 16, 1, 20, 20]  |4.586860145580651   |0.9100058288611546  |647       
 [18, 16, 0, 0, 0]   |0.5476968406439005  |0.21448116450925755 |375       
 [20, 16, 0, 0, 0]   |0.43002692112965557 |0.15313927692380733 |413       
 [13, 2, 5, 8, 0]    |0.2754242912312234  |0.19457404522542038 |139       
 [20, 12, 0, 0, 0]   |0.3336833304840276  |0.14807108032118324 |325       
Increasing Epochs
Gen 2 Train time: 9.994409851233165 minutes:
 Average MSE:        0.22081380343388218
 Average Error:      0.4088153710805624
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 0, 0, 0]    |0.22913912764378586 |0.17188563852360728 |115       
 [19, 5, 0, 0, 0]    |0.24054726266670295 |0.16003884845460692 |163       
 [14, 3, 7, 0, 0]    |0.2319375557404184  |0.1705397110768427  |123       
 [17, 7, 9, 4, 9]    |0.35753556319172036 |0.15129549342285747 |344       
 [12, 12, 10, 2, 9]  |0.6515224437108477  |0.2513413172945141  |381       
 [16, 2, 4, 0, 0]    |0.19943965234302427 |0.15571255260527048 |99        
 [14, 3, 6, 4, 0]    |0.23228617251358613 |0.1620605634363805  |144       
 [20, 14, 8, 1, 0]   |0.6022898417105894  |0.1791527500320958  |485       
 [16, 8, 3, 4, 0]    |0.352004738556747   |0.19708687814120404 |232       
 [14, 3, 1, 3, 5]    |0.527236282039926   |0.3876678053335578  |123       
 [14, 2, 5, 8, 0]    |0.29536563253530246 |0.20606960935487603 |144       
 [17, 7, 3, 4, 0]    |0.2672065015947695  |0.15339584057689842 |222       
 [12, 4, 10, 3, 5]   |0.4317171352012268  |0.26382093438211507 |197       
 [17, 12, 8, 0, 0]   |0.5110531819209444  |0.19764523061578543 |380       
 [18, 15, 3, 4, 0]   |0.5163471440196888  |0.18619216750631956 |408       
 [18, 10, 4, 7, 0]   |0.424353816957148   |0.18550235570917256 |331       
 [19, 7, 12, 0, 0]   |0.36724134313283385 |0.17088985781628824 |306       
