/tmp/tmp.5Cyj8W4Myf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 8.471232028802236 minutes:
 Average MSE:        0.9342127984375904
 Average Error:      2.503413277606524
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |1.419226299123073   |1.2938365357755628  |37        
 [17, 9, 9, 0, 0]    |0.36690670798575487 |0.16777228509058273 |313       
 [8, 10, 0, 0, 0]    |1.4825474498124724  |1.084654884937792   |125       
 [9, 15, 6, 18, 0]   |0.7490161825574341  |0.2634228639872383  |418       
 [11, 5, 17, 10, 2]  |8.478830239258148   |3.1191873302058144  |400       
 [10, 0, 0, 0, 0]    |1.2964799785477161  |1.1701745002293102  |41        
 [13, 0, 0, 0, 0]    |0.4716946092890837  |0.4131586922783875  |53        
 [6, 0, 0, 0, 0]     |1.832015639010844   |1.721019422565364   |25        
 [16, 3, 0, 0, 0]    |0.2622298709645738  |0.2026988721261711  |103       
 [4, 19, 10, 0, 0]   |2.618117100933451   |1.1822925536114848  |318       
 [12, 16, 3, 6, 0]   |0.4256756951441356  |0.18842080337267572 |326       
 [17, 1, 17, 0, 0]   |0.28370445048081483 |0.20964864888414225 |121       
 [11, 9, 3, 5, 7]    |0.4210089016913093  |0.23047766913123485 |241       
 [10, 16, 20, 3, 0]  |3.8683466415253154  |0.8355435493082016  |613       
 [6, 10, 15, 18, 18] |10.567303858481369  |1.108230603377079   |902       
 [2, 20, 13, 6, 13]  |11.040438977170034  |2.9492910000018613  |528       
 [5, 2, 3, 10, 20]   |2.995057688730414   |1.3558973594895376  |317       
 [10, 19, 20, 18, 0] |2.574254692412091   |0.19312069021459613 |1036      
 [19, 5, 1, 12, 14]  |0.45858814828738437 |0.17559013957173922 |384       
 [18, 0, 0, 0, 0]    |0.3948921181711114  |0.32901804886850167 |73        
 [14, 17, 0, 0, 0]   |0.29049127650347506 |0.1321679611379686  |315       
 [2, 10, 19, 3, 12]  |7.380049250304504   |2.9558324261160367  |366       
 [4, 0, 0, 0, 0]     |1.6953806786482122  |1.624836677844879   |17        
 [11, 19, 10, 9, 0]  |0.7535394314395158  |0.18123261062240587 |570       
 [11, 14, 0, 0, 0]   |0.4595360536908685  |0.26779383219119346 |216       
Gen 1 Train time: 8.584451790650686 minutes:
 Average MSE:        0.3600390376395685
 Average Error:      0.776892460822945
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |0.25428177967160287 |0.19655514359244242 |103       
 [17, 1, 17, 0, 0]   |0.261384680387213   |0.19315504211978612 |121       
 [14, 17, 0, 0, 0]   |0.3475039029351309  |0.15810761304521778 |315       
 [16, 9, 9, 0, 0]    |0.3270466040638263  |0.15410014462122673 |301       
 [14, 9, 6, 3, 4]    |0.44501519532527145 |0.22154116714066746 |279       
 [13, 13, 2, 3, 4]   |1.2077921003826544  |0.6012731124528781  |279       
