/tmp/tmp.H7xedysbxo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k6.mat
  Evaluating with: datasets/N8dataset100k6.mat
Gen 0 Train time: 8.450214334328969 minutes:
 Average MSE:        0.8288829790191216
 Average Error:      1.5958968619103278
 Structure           |Error               |MSE                 |weights&biases
 [19, 17, 8, 18, 12] |2.0324245195595623  |0.19190197676645143 |944       
 [8, 16, 7, 10, 12]  |0.8769419798373773  |0.24382258072806376 |512       
 [11, 16, 18, 13, 0] |1.5021239579393353  |0.20739710921910365 |792       
 [11, 7, 15, 18, 0]  |0.7437882400126059  |0.1909012675705533  |544       
 [2, 13, 6, 0, 0]    |2.416547703870713   |1.7200269391553007  |136       
 [3, 2, 5, 2, 17]    |2.2164801437236297  |1.6709969373227573  |113       
 [19, 8, 10, 7, 0]   |0.4178944306108109  |0.1568404179564234  |392       
 [10, 17, 11, 8, 7]  |3.7078059795867886  |0.8654032649104213  |582       
 [10, 17, 19, 16, 0] |2.079732735631426   |0.22140523654389357 |896       
 [7, 14, 10, 1, 0]   |1.9102222090629808  |0.9113935976812788  |296       
 [7, 16, 16, 1, 2]   |7.005181673094559   |2.302856051772633   |445       
 [1, 0, 0, 0, 0]     |3.540287636143193   |3.496309476817977   |5         
 [11, 0, 0, 0, 0]    |0.45387535075292734 |0.4055818093507629  |45        
 [3, 8, 0, 0, 0]     |1.8398670674801894  |1.62367698821867    |50        
 [11, 18, 16, 0, 0]  |0.8648087692817119  |0.20799382806904226 |570       
 [12, 0, 0, 0, 0]    |0.267204844762847   |0.2363977039911976  |49        
 [17, 0, 0, 0, 0]    |0.29979214560569667 |0.25229256505514003 |69        
 [14, 4, 0, 0, 0]    |0.3434105810788084  |0.26280879713317795 |107       
 [20, 17, 11, 0, 0]  |0.6726888772479706  |0.14029999204436547 |627       
 [12, 11, 17, 0, 0]  |0.4432994572840437  |0.16267356392865479 |401       
 [3, 13, 0, 0, 0]    |2.07843674875913    |1.72308458501752    |75        
 [1, 0, 0, 0, 0]     |2.966784128422636   |2.929930144087784   |5         
 [14, 5, 12, 14, 0]  |0.5235816861964209  |0.19947582613203002 |386       
 [12, 9, 0, 0, 0]    |0.2565092870266978  |0.17065856604880575 |163       
 [18, 1, 7, 7, 13]   |0.43773139478612444 |0.22794524995603052 |261       
Gen 1 Train time: 8.222243777910869 minutes:
 Average MSE:        0.40307124727008614
 Average Error:      0.7404172944673444
 Structure           |Error               |MSE                 |weights&biases
 [12, 9, 0, 0, 0]    |0.4344863791258263  |0.28906876350887756 |163       
 [12, 0, 0, 0, 0]    |0.5963463000496965  |0.5275910930451649  |49        
 [17, 0, 0, 0, 0]    |0.25522143869670816 |0.2147837172176806  |69        
 [16, 4, 5, 4, 0]    |0.2577794210979441  |0.16852839674209932 |170       
 [14, 9, 13, 12, 7]  |0.7832335419510291  |0.1864999399501819  |574       
 [13, 2, 11, 0, 0]   |0.25465452567365016 |0.19246375019226444 |112       
 [14, 3, 8, 18, 15]  |1.1018818732341256  |0.2571796301889272  |582       
 [11, 0, 0, 0, 0]    |0.33193200946001444 |0.2966135630738676  |45        
 [20, 9, 4, 0, 0]    |0.3248619383467599  |0.15577307285043687 |294       
 [17, 20, 1, 14, 13] |1.1054623096110712  |0.20758043563964335 |669       
 [13, 2, 0, 0, 0]    |0.3097081676638297  |0.25998669573496863 |70        
 [15, 4, 5, 4, 0]    |0.2762392265465344  |0.18378512074674355 |163       
 [3, 4, 5, 4, 0]     |2.152313739881621   |1.766576374095021   |79        
 [10, 8, 19, 5, 6]   |0.5908683299946479  |0.20065624111147978 |432       
 [12, 1, 0, 0, 0]    |0.25017807175788576 |0.22023010935456813 |51        
 [15, 5, 0, 0, 0]    |0.25352490721591475 |0.1827213055489802  |131       
 [9, 2, 0, 0, 0]     |0.2437437107753005  |0.21510306978367816 |50        
 [9, 18, 10, 11, 14] |2.666913377451079   |0.4622829013483673  |701       
 [13, 7, 0, 0, 0]    |0.2772992561551902  |0.19298206751596023 |145       
 [6, 15, 2, 12, 3]   |3.936403218991053   |2.1929933077562263  |234       
 [16, 2, 0, 0, 0]    |0.21443278771355684 |0.17338184266336437 |85        
 [4, 2, 0, 0, 0]     |0.953884136342473   |0.8960912180906698  |25        
 [12, 8, 0, 0, 0]    |0.3449715867422497  |0.23768875277864673 |149       
 [11, 5, 0, 0, 0]    |0.24747836675703494 |0.1932187894914823  |99        
 [15, 8, 4, 0, 0]    |0.3466137404484126  |0.20300102332285358 |214       
Gen 2 Train time: 8.123722112178802 minutes:
 Average MSE:        0.23418676504142602
 Average Error:      0.39595720821313746
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 0, 0, 0]    |0.2134430347176329  |0.1725815676679     |85        
 [9, 2, 0, 0, 0]     |0.2629566572150842  |0.23205843550631103 |50        
 [11, 5, 0, 0, 0]    |0.220835127363175   |0.1724170744516078  |99        
 [17, 0, 0, 0, 0]    |0.2831753504637281  |0.23830856336992917 |69        
 [10, 4, 0, 0, 0]    |0.22361382747978423 |0.18353778876516108 |79        
 [13, 2, 7, 0, 0]    |0.31445189758880393 |0.24735662360859972 |96        
 [15, 5, 1, 2, 0]    |0.2874048879042941  |0.2035459912999526  |138       
 [13, 2, 0, 0, 0]    |0.3389604571153693  |0.2845427354886366  |70        
 [10, 4, 20, 10, 0]  |0.7217316703604345  |0.26884995130018946 |395       
 [14, 2, 0, 0, 0]    |0.2350370460277913  |0.194852555008146   |75        
 [16, 5, 2, 0, 0]    |0.253936239590873   |0.1754024784783686  |148       
 [16, 2, 14, 0, 0]   |0.2417499195571553  |0.1707847175384623  |139       
