/tmp/tmp.TywfyfyUHj ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k0.mat
  Evaluating with: datasets/N9dataset100k0.mat
Gen 0 Train time: 8.336985651652018 minutes:
 Average MSE:        1.0044739081600342
 Average Error:      1.6439967359882217
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |3.6510866993036513  |3.5698545373442796  |9         
 [3, 0, 0, 0, 0]     |3.2783512042238896  |3.173517564120222   |13        
 [13, 15, 15, 0, 0]  |0.7112532748276784  |0.20124611057108938 |505       
 [19, 3, 0, 0, 0]    |0.24915545362438152 |0.1841180289062807  |121       
 [18, 8, 12, 16, 0]  |0.4873072181897894  |0.12664586949313694 |539       
 [5, 20, 6, 0, 0]    |0.894030942408435   |0.4574833020369825  |268       
 [16, 7, 13, 11, 11] |0.7721932266463521  |0.18618388461204685 |569       
 [2, 0, 0, 0, 0]     |3.6506987849970707  |3.5694752536510954  |9         
 [15, 12, 13, 20, 0] |0.8126221942478282  |0.13876284096175723 |707       
 [18, 10, 2, 11, 10] |0.5711629285310454  |0.1949366254187877  |430       
 [3, 9, 4, 0, 0]     |2.9707112367817428  |2.3721611038209494  |90        
 [6, 16, 14, 8, 0]   |3.084944366909324   |0.8905051649420648  |497       
 [14, 0, 0, 0, 0]    |0.2973569773997981  |0.2578642699830683  |57        
 [9, 0, 0, 0, 0]     |2.1827488382443945  |1.9899012561190976  |37        
 [5, 4, 9, 14, 0]    |1.7510568330188234  |0.9634058719665537  |239       
 [16, 6, 12, 13, 14] |0.8139753286627692  |0.17537561703215487 |614       
 [8, 1, 0, 0, 0]     |1.8251806059081797  |1.6722649153042575  |35        
 [13, 17, 8, 0, 0]   |0.5709180320421634  |0.19485304279685117 |430       
 [18, 0, 0, 0, 0]    |0.23707368484609653 |0.19752615369327217 |73        
 [9, 9, 0, 0, 0]     |0.29806493278439117 |0.21698133977427153 |127       
 [13, 0, 0, 0, 0]    |0.47390160282035243 |0.4150918043879792  |53        
 [7, 19, 14, 18, 0]  |1.3512012648035612  |0.21139941402463788 |742       
 [9, 16, 14, 12, 12] |2.9740829976846532  |0.42952976236113394 |774       
 [1, 1, 16, 8, 0]    |4.717518011340355   |2.993019716054055   |182       
 [13, 12, 15, 13, 13]|2.4733217594588286  |0.3297442546248306  |806       
Gen 1 Train time: 8.282588287194569 minutes:
 Average MSE:        0.4706220480387519
 Average Error:      0.7498502831350813
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.2529356272201212  |0.21074208050218562 |73        
 [19, 3, 0, 0, 0]    |0.22322011373452083 |0.16495262999538846 |121       
 [14, 0, 0, 0, 0]    |0.6345890253091221  |0.5503077048385234  |57        
 [17, 1, 6, 8, 14]   |0.4249161120124014  |0.21206477404257945 |278       
 [14, 5, 0, 0, 0]    |0.1994611126944494  |0.1466603389062498  |123       
 [14, 13, 0, 0, 0]   |0.29593256901490966 |0.1580057810039091  |251       
 [19, 6, 6, 8, 0]    |0.32871463539864143 |0.1616106431142388  |284       
 [12, 12, 3, 0, 0]   |0.31350698154941087 |0.17422048104462015 |235       
 [17, 3, 6, 7, 7]    |0.33271610762085374 |0.18168775770285356 |242       
 [16, 9, 4, 0, 0]    |0.2538753275369665  |0.13725538437653156 |246       
 [17, 2, 0, 0, 0]    |1.0956382353239336  |0.8748849007990639  |90        
 [7, 15, 3, 10, 7]   |0.5799323398042643  |0.264518565887369   |314       
 [17, 8, 7, 10, 0]   |0.404167104225639   |0.1689036470885167  |349       
 [14, 5, 15, 0, 0]   |0.276286517712846   |0.15821240013514531 |223       
 [14, 6, 0, 0, 0]    |0.26425246682234477 |0.1866816873725006  |139       
 [10, 5, 1, 6, 5]    |3.8831332267064624  |2.709170123252913   |144       
 [20, 2, 5, 13, 1]   |4.892511955213563   |2.886965249921309   |211       
 [12, 5, 0, 0, 0]    |0.20469191505225073 |0.1566487433461563  |107       
 [12, 5, 5, 3, 0]    |0.37421189175620906 |0.25527009801115697 |153       
 [16, 9, 11, 0, 0]   |0.3531288761491198  |0.15748545086617155 |323       
 [9, 9, 0, 0, 0]     |1.3035774876692627  |0.9489609768307092  |127       
 [19, 2, 4, 0, 0]    |0.16705731404614316 |0.12562948145100927 |114       
 [16, 0, 0, 0, 0]    |0.34724295750237355 |0.29516210109447166 |65        
 [13, 17, 8, 20, 0]  |0.9064008332624202  |0.19142223240195236 |622       
 [9, 10, 3, 0, 0]    |0.4341563450387999  |0.2881279669832697  |164       
Gen 2 Train time: 8.635807049274444 minutes:
 Average MSE:        0.6611579492981496
 Average Error:      1.4515882029935911
 Structure           |Error               |MSE                 |weights&biases
 [19, 2, 4, 0, 0]    |0.19891539483179096 |0.14958721231707486 |114       
 [14, 5, 0, 0, 0]    |0.24059553652090998 |0.1769057760122963  |123       
 [12, 5, 0, 0, 0]    |0.5515245481188782  |0.4220764037765008  |107       
 [1, 3, 5, 4, 4]     |4.3029513722413455  |3.540617521009883   |78        
 [13, 7, 4, 5, 15]   |0.513479268808555   |0.24255043211107394 |300       
 [16, 2, 3, 4, 0]    |0.19831622363366172 |0.14988417748921923 |112       
 [14, 10, 0, 0, 0]   |0.26713781878717907 |0.16081661852817247 |203       
