/tmp/tmp.m4hkzw1WfH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k1.mat
  Evaluating with: datasets/N9dataset100k1.mat
Gen 0 Train time: 8.554386297861734 minutes:
 Average MSE:        0.750223220292864
 Average Error:      2.253707050538759
 Structure           |Error               |MSE                 |weights&biases
 [13, 8, 14, 19, 0]  |0.755097503730405   |0.17624003215152748 |582       
 [15, 3, 11, 0, 0]   |0.23480049809110723 |0.16177980937537068 |149       
 [17, 13, 9, 0, 0]   |0.38831569042661446 |0.1355470271468988  |421       
 [3, 0, 0, 0, 0]     |2.4201158798618687  |2.342726502899533   |13        
 [14, 8, 11, 16, 0]  |0.5098226918201089  |0.15744292350968578 |470       
 [15, 0, 0, 0, 0]    |0.46642099208370785 |0.40044989108143253 |61        
 [1, 18, 10, 0, 0]   |4.282425217668456   |2.3502447901589427  |240       
 [19, 14, 5, 0, 0]   |0.4462370039552912  |0.156937903794854   |418       
 [18, 14, 8, 19, 2]  |17.881625923401646  |3.4860653764520846  |654       
 [4, 17, 17, 15, 16] |11.405822488471273  |1.0715690429189422  |946       
 [9, 2, 20, 0, 0]    |0.45718662264031495 |0.3319856257932376  |128       
 [18, 0, 0, 0, 0]    |0.2138984558557846  |0.1782169087790216  |73        
 [5, 0, 0, 0, 0]     |1.9232264025041736  |1.8248616823846888  |21        
 [5, 7, 15, 17, 10]  |5.231719216693921   |1.0562658929762285  |640       
 [16, 13, 12, 0, 0]  |0.4172318289681296  |0.13545534273494025 |450       
 [12, 12, 9, 0, 0]   |0.7205365080573979  |0.32456833016816133 |319       
 [8, 11, 2, 0, 0]    |0.3621835992830777  |0.24892490474118495 |150       
 [5, 7, 9, 0, 0]     |0.30566367416860923 |0.21593671820152385 |139       
 [17, 7, 5, 13, 0]   |0.3346624383256718  |0.1545661835367532  |309       
 [9, 17, 0, 0, 0]    |0.31977972385300574 |0.18681753574072885 |215       
 [18, 20, 0, 0, 0]   |0.511347849966194   |0.16394812759182065 |455       
 [7, 13, 3, 5, 0]    |1.418713832402977   |0.875684606903094   |193       
 [13, 15, 3, 1, 13]  |0.44650569866485273 |0.19036669069086454 |341       
 [13, 11, 17, 13, 0] |0.9331640540272859  |0.18606219887380743 |645       
 [15, 7, 1, 11, 3]   |3.95617246854711    |2.2429164587162718  |227       
Gen 1 Train time: 8.826960778236389 minutes:
 Average MSE:        0.4980394120295625
 Average Error:      1.139321561169115
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.2711130422324652  |0.22588722355678295 |73        
 [15, 3, 11, 0, 0]   |0.19643678480936924 |0.13534684065465394 |149       
 [5, 7, 9, 0, 0]     |1.0348002930758038  |0.731036751058304   |139       
