/tmp/tmp.MnVmCvoirf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 9.085978007316589 minutes:
 Average MSE:        0.605653715119385
 Average Error:      2.296866913731852
 Structure           |Error               |MSE                 |weights&biases
 [13, 16, 4, 13, 8]  |0.9578540263779111  |0.26301087813703067 |517       
 [18, 12, 4, 6, 8]   |0.432233633925225   |0.14788963133239244 |429       
 [6, 15, 15, 20, 0]  |2.628590403486334   |0.45223547801438374 |704       
 [18, 7, 4, 0, 0]    |0.30759777194452803 |0.1757026353544151  |224       
 [9, 19, 11, 18, 3]  |16.835982481643523  |2.8250283794703988  |714       
 [14, 18, 0, 0, 0]   |0.558331397306792   |0.24406941879177851 |331       
 [5, 8, 18, 10, 4]   |8.82153786886594    |2.765430216022061   |464       
 [10, 0, 0, 0, 0]    |0.5008655712863231  |0.4520703206065516  |41        
 [3, 12, 3, 0, 0]    |2.3011183187980566  |1.7921127486198813  |100       
 [9, 12, 19, 19, 0]  |7.008388161647272   |0.9628166696170941  |794       
 [17, 2, 7, 19, 13]  |0.751869828838411   |0.19786069233755285 |534       
 [18, 5, 0, 0, 0]    |0.22051566911973305 |0.14967537079306298 |155       
 [4, 14, 16, 0, 0]   |2.7469707110406265  |1.1770352123837766  |339       
 [18, 14, 0, 0, 0]   |0.3290414479569188  |0.1424062266451161  |335       
 [18, 0, 0, 0, 0]    |0.2770372838886133  |0.2308232107316061  |73        
 [12, 15, 4, 0, 0]   |0.3315286211002281  |0.15660303188409677 |300       
 [11, 17, 14, 9, 10] |0.9989387828612795  |0.15904600473941582 |735       
 [3, 13, 16, 15, 0]  |5.9485300594553525  |1.4816319366694772  |556       
 [20, 0, 0, 0, 0]    |0.21493216365393153 |0.17553219273173087 |81        
 [7, 6, 0, 0, 0]     |0.3773754367797911  |0.3120740643709141  |76        
 [12, 12, 11, 8, 0]  |0.5000211393501798  |0.16644257852744276 |440       
 [20, 3, 0, 0, 0]    |0.26352947856102116 |0.19184067979425168 |127       
 [15, 20, 18, 17, 0] |3.314793393832549   |0.22055576734565108 |1084      
 [17, 20, 0, 0, 0]   |0.42370795882675316 |0.14388932699771545 |432       
 [18, 13, 3, 0, 0]   |0.37038123274900997 |0.1555602060668228  |347       
Gen 1 Train time: 8.579098836580913 minutes:
 Average MSE:        0.16595691945252253
 Average Error:      0.2986828325532602
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.2831275411294989  |0.23122643569170243 |81        
 [18, 5, 0, 0, 0]    |0.23730746707058747 |0.16107283109422496 |155       
 [20, 3, 0, 0, 0]    |0.17587721329184042 |0.1280327511838967  |127       
 [19, 7, 0, 0, 0]    |0.26799913636188527 |0.1605304682641345  |205       
 [18, 13, 0, 0, 0]   |0.32079994514771326 |0.1459578242544513  |315       
 [16, 5, 2, 8, 0]    |0.3131524070063237  |0.2006756645076054  |178       
 [15, 15, 9, 8, 9]   |0.7591240857225585  |0.16938347881980487 |600       
 [18, 5, 5, 0, 0]    |0.21425989095165943 |0.13492104046488973 |185       
 [19, 4, 13, 0, 0]   |0.2391498830853926  |0.13936417642345647 |216       
 [14, 3, 0, 0, 0]    |0.20236711147565445 |0.16118994166404116 |91        
 [20, 20, 0, 0, 0]   |0.6658781883178406  |0.19030094752248186 |501       
 [13, 3, 0, 0, 0]    |0.20108140833539045 |0.16258644713002646 |85        
 [19, 1, 4, 10, 7]   |0.32124758496352496 |0.185343733229895   |220       
 [19, 4, 0, 0, 0]    |0.253825269774916   |0.1779755383814226  |142       
 [18, 10, 4, 0, 0]   |0.2772171948086541  |0.13325989187178786 |293       
 [18, 6, 2, 0, 0]    |0.21490455657029275 |0.1353269911803112  |185       
 [13, 7, 2, 0, 0]    |0.2371079468821727  |0.1605355654347207  |156       
 [14, 9, 0, 0, 0]    |0.26870990844780046 |0.16836468830921003 |187       
 [16, 9, 2, 0, 0]    |0.4214914980129688  |0.2407597640002225  |224       
 [18, 4, 2, 0, 0]    |0.21214100206093015 |0.14837623221787083 |143       
 [19, 4, 2, 0, 0]    |0.25076209630265067 |0.17234610031596112 |150       
 [11, 13, 2, 0, 0]   |0.27665836790201587 |0.15961799290124298 |220       
 [18, 10, 4, 5, 15]  |0.46531722864198044 |0.16323965304715526 |419       
 [18, 1, 2, 0, 0]    |0.18891914330114976 |0.1546739124657975  |80        
 [19, 0, 0, 0, 0]    |0.19864473826610216 |0.1638609159367496  |77        
Gen 2 Train time: 8.677644181251527 minutes:
 Average MSE:        0.330358302040071
 Average Error:      0.8137366877789444
 Structure           |Error               |MSE                 |weights&biases
 [20, 3, 0, 0, 0]    |0.20429608050599826 |0.1487207396211531  |127       
 [18, 1, 2, 0, 0]    |0.1808303140460725  |0.1480513391982689  |80        
 [19, 0, 0, 0, 0]    |0.24923255643112613 |0.2055905197113949  |77        
 [18, 5, 6, 0, 0]    |0.24353141553205784 |0.15069319531427744 |192       
 [16, 10, 2, 0, 0]   |0.2991931444211564  |0.1629737806250115  |243       
 [16, 3, 1, 0, 0]    |0.25631010521171876 |0.19713485937241507 |105       
 [20, 4, 19, 0, 0]   |0.26413304053949876 |0.1382346934266024  |259       
 [14, 8, 1, 0, 0]    |0.24834342326893355 |0.16114628573476933 |173       
 [10, 8, 1, 0, 0]    |1.202085220327127   |0.8707135181769713  |129       
 [16, 2, 1, 0, 0]    |0.17041618974934916 |0.1371045289786068  |87        
 [19, 3, 8, 1, 0]    |1.3102018840365721  |0.8782545872233763  |160       
 [15, 10, 2, 0, 0]   |0.29339908829998135 |0.1650970954899214  |230       
 [17, 3, 19, 0, 0]   |0.2818711909419219  |0.1705366444135583  |201       
 [18, 5, 1, 0, 0]    |0.2472920720869234  |0.16701274320730541 |157       
 [16, 8, 1, 5, 0]    |0.29956807620227244 |0.17765468447314842 |209       
 [5, 19, 8, 16, 16]  |7.141642750177744   |1.1746178104036624  |722       
 [17, 11, 1, 0, 0]   |1.6362970894918416  |0.8478392852506376  |263       
 [19, 3, 2, 0, 0]    |0.2005177600934821  |0.1456057784080554  |128       
 [10, 4, 8, 0, 0]    |0.3118117205451379  |0.22926981601744245 |123       
 [19, 5, 9, 0, 0]    |0.2827404108158402  |0.16271971818849512 |221       
 [19, 1, 12, 19, 7]  |3.91599347592176    |1.1332267094840431  |496       
 [19, 4, 1, 0, 0]    |0.21380996534728666 |0.14917015110086942 |144       
 [16, 9, 3, 0, 0]    |0.27404888676835737 |0.1522930323483113  |235       
 [15, 9, 1, 17, 0]   |0.34040913235554754 |0.18175292769479345 |251       
 [16, 4, 0, 0, 0]    |0.2754422013558989  |0.20354310713868434 |121       
Gen 3 Train time: 8.92620343764623 minutes:
 Average MSE:        0.35574991256487437
 Average Error:      0.9148814660486296
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 1, 0, 0]    |0.22040370586496294 |0.17732086559499285 |87        
 [18, 1, 2, 0, 0]    |0.21228167096193432 |0.17380153233131684 |80        
 [19, 3, 2, 0, 0]    |0.2066989453879576  |0.15009424015761283 |128       
 [17, 5, 1, 15, 0]   |0.2625848079909771  |0.16207741766698283 |193       
 [12, 12, 12, 13, 19]|1.3596280246357413  |0.182630763726993   |803       
 [19, 5, 5, 0, 0]    |0.22733187307072153 |0.14031795374074701 |193       
 [17, 2, 2, 0, 0]    |0.22779885153196056 |0.1791929233340035  |96        
 [15, 7, 1, 0, 0]    |0.24298538593623983 |0.16005240635961254 |167       
 [18, 4, 14, 0, 0]   |0.24523839337560138 |0.14326997274068945 |215       
 [19, 4, 4, 0, 0]    |0.18288206105164742 |0.1219780938434526  |162       
 [16, 2, 1, 13, 0]   |0.26240624970205506 |0.19198051341529856 |125       
 [10, 4, 5, 0, 0]    |0.2729869680614787  |0.20996147426512418 |105       
