/tmp/tmp.sZqQbtVDkD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k2.mat
  Evaluating with: datasets/N10dataset100k2.mat
Gen 0 Train time: 8.21427779197693 minutes:
 Average MSE:        0.9555389747106449
 Average Error:      1.5759251598016568
 Structure           |Error               |MSE                 |weights&biases
 [13, 19, 20, 7, 6]  |1.513613816069044   |0.1567661690784014  |907       
 [16, 0, 0, 0, 0]    |0.24168232805703338 |0.20543386757161156 |65        
 [8, 13, 0, 0, 0]    |0.6954499396594556  |0.472037783083903   |155       
 [7, 0, 0, 0, 0]     |1.6896066737216828  |1.5714452925571465  |29        
 [15, 9, 4, 15, 6]   |0.5871698335516656  |0.2122604593879498  |407       
 [11, 10, 10, 13, 14]|1.6765475860249177  |0.35852269004400983 |617       
 [15, 7, 0, 0, 0]    |0.21590025130675725 |0.14292449752891462 |165       
 [6, 0, 0, 0, 0]     |1.8378986962844341  |1.7265460434174547  |25        
 [3, 4, 18, 14, 16]  |8.43955571030379    |1.7124578303929852  |638       
 [19, 3, 17, 0, 0]   |0.2805696456068834  |0.1689025607568231  |203       
 [5, 4, 7, 6, 0]     |0.5501633027589278  |0.3985030485498583  |129       
 [3, 0, 0, 0, 0]     |2.4403137147507934  |2.362278460509998   |13        
 [19, 6, 6, 7, 0]    |0.31497292058934984 |0.15798287937146094 |276       
 [11, 16, 10, 15, 0] |0.7186311616586241  |0.17026367045090735 |576       
 [2, 0, 0, 0, 0]     |2.3832557987893193  |2.3302313058144497  |9         
 [9, 3, 17, 0, 0]    |0.8586933353646259  |0.6005896101848607  |143       
 [10, 9, 4, 3, 0]    |0.3093337291673569  |0.19333428238594472 |188       
 [5, 1, 10, 0, 0]    |1.0094752863788798  |0.8864156365965196  |52        
 [2, 5, 9, 0, 0]     |2.0738327461714796  |1.676818861242198   |85        
 [19, 1, 6, 10, 0]   |0.21474997716922678 |0.140397046430565   |170       
 [2, 9, 4, 0, 0]     |2.7455560835756763  |2.259138701202613   |78        
 [15, 3, 16, 4, 0]   |0.3008251942405242  |0.1692758014589411  |230       
 [6, 0, 0, 0, 0]     |1.1992211160211046  |1.1265639815919806  |25        
 [4, 10, 12, 1, 0]   |4.751226367011284   |2.8176487688292937  |209       
 [4, 13, 0, 0, 0]    |2.349883780808578   |1.8717351193273302  |91        
Gen 1 Train time: 8.723637266953785 minutes:
 Average MSE:        0.6335548511157867
 Average Error:      1.485457823571619
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 6, 10, 0]   |0.21972499612796656 |0.14364956350623723 |170       
 [15, 7, 0, 0, 0]    |0.27238025686548223 |0.18031387695785103 |165       
 [16, 0, 0, 0, 0]    |0.5348970028164927  |0.4546710590073588  |65        
 [11, 10, 12, 7, 16] |1.0325302088189594  |0.2806946945325299  |521       
 [16, 7, 0, 0, 0]    |0.38005015070979314 |0.24537881977447623 |175       
 [18, 2, 9, 0, 0]    |0.21633447894914898 |0.15669883639159543 |129       
 [13, 8, 8, 16, 7]   |2.5687331755275804  |0.7470769026909806  |494       
 [15, 8, 18, 5, 0]   |2.493787252045852   |0.8384524059334059  |436       
 [5, 3, 5, 11, 5]    |4.317495337419252   |2.718758795869741   |185       
 [15, 9, 8, 13, 0]   |0.40016739131220247 |0.14721335629096693 |400       
 [13, 5, 2, 2, 0]    |0.19807450887196792 |0.14311425071921613 |130       
 [13, 13, 2, 15, 0]  |0.30534233346256806 |0.14067236752525214 |310       
 [11, 18, 3, 11, 14] |0.6553430263750791  |0.17289056168987188 |533       
 [13, 4, 0, 0, 0]    |0.2288731696625591  |0.17824660375723556 |100       
 [12, 5, 7, 7, 0]    |0.2714037424627357  |0.16175899409948352 |207       
 [14, 11, 18, 6, 3]  |11.447474461240281  |2.8088331123745762  |562       
 [19, 2, 12, 5, 0]   |0.250684038348281   |0.15053465670694727 |204       
 [12, 8, 8, 2, 0]    |1.4672492610446721  |0.8194592535238853  |233       
 [11, 1, 20, 8, 1]   |6.716798098931595   |3.471586060944103   |264       
 [10, 2, 13, 2, 0]   |0.4762081423930646  |0.3510241528335445  |122       
 [10, 6, 4, 3, 0]    |0.3611859535197898  |0.25262165443101453 |143       
 [18, 1, 3, 5, 0]    |0.21896284098407592 |0.16841009381789573 |105       
 [16, 2, 11, 7, 0]   |0.29322935135580996 |0.1747672470738771  |207       
 [19, 1, 6, 10, 10]  |1.6092068778728494  |0.7991084863117145  |280       
 [17, 4, 3, 5, 0]    |0.2003095321724098  |0.13293547113090887 |164       
Gen 2 Train time: 8.739828884601593 minutes:
 Average MSE:        0.3117153910091389
 Average Error:      0.6695141868557569
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 2, 2, 0]    |0.299369454866968   |0.21630261998630015 |130       
 [17, 4, 3, 5, 0]    |0.19767034347508888 |0.13118397289177489 |164       
 [18, 2, 9, 0, 0]    |0.2240067266604824  |0.16225612108663762 |129       
 [8, 5, 2, 2, 13]    |1.2068633537779254  |0.850462231325286   |140       
 [13, 5, 1, 1, 0]    |0.3039742770956037  |0.22575336160326187 |119       
 [16, 4, 10, 6, 0]   |0.3218596972985428  |0.17708250039618237 |239       
 [18, 1, 3, 5, 0]    |0.23911708144366609 |0.18391125150919027 |105       
 [14, 6, 0, 0, 0]    |0.2673051635262038  |0.18883827110685797 |139       
 [13, 5, 8, 5, 0]    |0.37090496346393687 |0.22051062212344466 |208       
 [16, 7, 3, 10, 0]   |0.2594522713702635  |0.14168025032888693 |242       
 [8, 2, 6, 3, 0]     |0.4527461712512495  |0.36607258744023674 |85        
 [12, 5, 2, 2, 0]    |0.3151505240443715  |0.23230481772487693 |122       
 [16, 3, 4, 6, 0]    |0.2174035751423764  |0.14867391526466983 |152       
 [14, 6, 4, 4, 0]    |1.1737469029942573  |0.7391171193592949  |185       
 [16, 3, 6, 3, 0]    |0.2092318341613818  |0.14452361091748805 |148       
 [16, 4, 6, 1, 13]   |1.2700981299589624  |0.78395329365165    |193       
 [15, 4, 2, 3, 0]    |0.24247938685166578 |0.17432418607568387 |132       
 [15, 2, 2, 3, 0]    |0.18374332554298445 |0.14453761915713326 |96        
 [16, 13, 15, 1, 14] |0.6468703592750483  |0.16853541442879855 |538       
 [19, 2, 8, 5, 0]    |0.2400535903746247  |0.15615704375967895 |172       
 [5, 19, 14, 6, 12]  |6.83498668324582    |1.540419099379811   |596       
 [19, 2, 8, 5, 14]   |0.29607763096799233 |0.1526460261968594  |265       
 [11, 5, 10, 9, 5]   |0.39463871360871794 |0.18272288166236847 |308       
 [15, 6, 1, 1, 0]    |0.2707384431518686  |0.18514757326179618 |152       
 [18, 2, 12, 6, 0]   |0.29936606784391867 |0.1757683845903042  |213       
Gen 3 Train time: 8.867116363843282 minutes:
 Average MSE:        0.4495328618175399
 Average Error:      0.7086472537120326
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 2, 3, 0]    |0.279095907370126   |0.21954461664699113 |96        
 [17, 4, 3, 5, 0]    |0.22554524327979356 |0.149683157119692   |164       
 [16, 3, 6, 3, 0]    |0.23600135271363493 |0.16301423639616286 |148       
 [18, 3, 11, 3, 7]   |0.2516756225742646  |0.14268523443235742 |227       
 [18, 2, 11, 3, 0]   |0.24071254906796952 |0.15935006984110436 |165       
 [14, 2, 7, 4, 7]    |0.26034623658676    |0.17105966680014903 |168       
 [16, 5, 2, 3, 0]    |0.21096850011953844 |0.1421252674408054  |158       
 [18, 3, 3, 5, 0]    |0.1922550747965497  |0.13246560209580505 |149       
 [17, 4, 4, 6, 0]    |0.6050660616144078  |0.3858071544762608  |180       
 [15, 3, 2, 3, 0]    |0.22476613626533243 |0.16902733835982273 |114       
 [15, 5, 2, 3, 0]    |0.2749300515642065  |0.1889564768575283  |150       
 [9, 9, 11, 2, 0]    |1.9678724967847858  |1.0428454725303582  |254       
 [2, 3, 3, 4, 4]     |4.06738112769106    |3.43150635312107    |68        
 [18, 5, 6, 8, 7]    |0.34401863126536847 |0.15770020857304004 |312       
 [16, 3, 4, 3, 0]    |0.21833817723327398 |0.15618561387975627 |134       
 [3, 14, 3, 10, 8]   |2.0391238537411964  |1.0996811038047194  |247       
 [14, 4, 2, 2, 0]    |0.2230088271735505  |0.16479649588483877 |121       
 [16, 17, 13, 8, 0]  |0.8282441122567873  |0.14683476875246979 |692       
 [16, 6, 3, 7, 0]    |0.25847635719765594 |0.15405415989992233 |207       
 [19, 2, 6, 5, 7]    |0.3445864344837227  |0.20900223743543647 |200       
 [15, 5, 1, 2, 0]    |0.22760603534541957 |0.16119522680373763 |138       
 [4, 8, 12, 1, 7]    |3.408378132235377   |2.0932890918173737  |195       
 [16, 4, 5, 4, 7]    |0.22003897995123306 |0.13081769493540968 |208       
 [16, 8, 9, 2, 7]    |0.32491393011160036 |0.14819964490850318 |314       
 [16, 4, 10, 10, 0]  |0.2428315113771992  |0.11849465262518177 |287       
Increasing Epochs
Gen 4 Train time: 10.297146093845367 minutes:
 Average MSE:        0.19528636029684898
 Average Error:      0.3359383702959499
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 3, 5, 0]    |0.20333407150727092 |0.14009913775906999 |149       
 [16, 5, 2, 3, 0]    |0.24719285099096241 |0.16652888955763104 |158       
 [16, 3, 4, 3, 0]    |0.2413235572304455  |0.17262793162101936 |134       
 [16, 5, 3, 3, 4]    |0.38915709798498577 |0.2456685114908578  |184       
 [16, 6, 6, 3, 4]    |0.45694522176228086 |0.2545668615708304  |234       
 [13, 3, 9, 3, 0]    |0.23929650968669317 |0.16405527427385308 |151       
 [15, 5, 2, 3, 20]   |0.3077068565478791  |0.165943532579458   |247       
 [16, 6, 14, 3, 4]   |0.3518682139494142  |0.1604940248144523  |314       
 [16, 4, 3, 4, 0]    |0.22701613357708644 |0.15524757302196676 |152       
 [16, 5, 3, 3, 4]    |0.2692720776911686  |0.1699870588381051  |184       
 [15, 3, 9, 7, 4]    |1.4504418200099163  |0.8040194757514735  |236       
 [17, 4, 7, 3, 0]    |0.2013024008941265  |0.1264451047605594  |186       
 [15, 3, 7, 4, 4]    |0.26376975877656866 |0.169030064707214   |178       
 [17, 4, 4, 4, 4]    |0.34630431533234374 |0.2164409825988025  |188       
 [17, 5, 3, 6, 0]    |0.2555476701035708  |0.15892127725186347 |190       
 [17, 3, 4, 4, 0]    |0.21428960220035514 |0.1487591241654609  |146       
 [16, 7, 5, 3, 4]    |0.27783283772364703 |0.1502077941332406  |246       
 [17, 3, 3, 13, 0]   |0.22371689988422247 |0.14158233387879723 |183       
 [16, 3, 7, 3, 0]    |0.2403346058249207  |0.16312750647083443 |155       
