/tmp/tmp.lJ2rDQt9sP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 59.53465018669764 minutes:
 Average MSE:        1.425914926923644
 Average Error:      2.5956320156242962
 Structure           |Error               |MSE                 |weights&biases
 [11, 6, 0, 0, 0]    |0.7023494515048384  |0.5308242962677034  |112       
 [14, 12, 5, 7, 0]   |1.0240482402538542  |0.44098855120027036 |337       
 [14, 12, 0, 0, 0]   |0.5755835019510723  |0.3198602917729866  |235       
 [8, 0, 0, 0, 0]     |1.1079012605932552  |1.0201681527702418  |33        
 [1, 3, 12, 9, 12]   |15.852837855132616  |7.358444231336101   |307       
 [9, 2, 1, 0, 0]     |0.9794423557505176  |0.8600438574346005  |52        
 [1, 2, 13, 19, 0]   |11.920194242569142  |5.197792192286352   |332       
 [19, 13, 8, 18, 5]  |1.830959364597335   |0.3246005506314609  |692       
 [10, 10, 17, 0, 0]  |1.666222625940136   |0.7033217319547639  |345       
 [6, 10, 0, 0, 0]    |1.0022462147968103  |0.7825039535095242  |99        
 [14, 16, 9, 7, 4]   |1.4478827845857976  |0.373477446967282   |542       
 [14, 6, 12, 0, 0]   |0.8100334878650209  |0.45695073758045607 |229       
 [4, 12, 0, 0, 0]    |1.4347687593092109  |1.1600970818751934  |85        
 [12, 17, 9, 0, 0]   |1.357164123172448   |0.46435651018366897 |429       
 [13, 9, 14, 15, 0]  |1.4729505249962345  |0.3761631007705323  |546       
 [1, 8, 14, 2, 19]   |11.19959520671001   |5.9648125816898965  |252       
 [15, 10, 0, 0, 0]   |0.5413660854341981  |0.31548014018132686 |216       
 [15, 2, 12, 0, 0]   |0.6870597050020539  |0.5014085286690791  |126       
 [16, 4, 12, 0, 0]   |0.4420038927883493  |0.27556366456657133 |189       
 [1, 0, 0, 0, 0]     |5.180629846462526   |5.1162750289424155  |5         
 [16, 0, 0, 0, 0]    |0.46895639188550653 |0.3986204787167279  |65        
 [14, 0, 0, 0, 0]    |0.48306734030475623 |0.418909985397346   |57        
 [7, 2, 20, 0, 0]    |1.284173324433146   |0.9561076038215844  |118       
 [20, 0, 0, 0, 0]    |0.20607933691571623 |0.16830220880184732 |81        
 [4, 0, 0, 0, 0]     |1.2132844676528642  |1.1628002657631629  |17        
Gen 1 Train time: 59.17575088342031 minutes:
 Average MSE:        0.4898505823056683
 Average Error:      0.8384216611923391
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.27106102757445927 |0.22137187717921467 |81        
 [16, 4, 12, 0, 0]   |0.4634389841968327  |0.2889271946965413  |189       
 [9, 2, 0, 0, 0]     |1.050299638512303   |0.9268861777728274  |50        
 [20, 1, 0, 0, 0]    |0.6124208762909847  |0.49766131361233834 |83        
 [16, 19, 12, 6, 0]  |3.4122795668991746  |0.5989246765993357  |696       
 [15, 0, 0, 0, 0]    |0.850187199249578   |0.7299357814436026  |61        
 [20, 1, 0, 0, 0]    |0.6634739025800723  |0.539147678807441   |83        
 [20, 2, 0, 0, 0]    |0.5441727104868365  |0.4185375784053312  |105       
 [16, 0, 0, 0, 0]    |0.29522930812255044 |0.2509496622102797  |65        
 [20, 11, 0, 0, 0]   |0.595525130184177   |0.2792042486628653  |303       
 [6, 0, 0, 0, 0]     |1.0238793541551219  |0.9618456400383467  |25        
 [18, 0, 0, 0, 0]    |0.43109119148250963 |0.35917856087599453 |73        
 [14, 12, 0, 0, 0]   |0.6813220275450748  |0.37862075925250455 |235       
 [20, 15, 0, 0, 0]   |0.9389768591349944  |0.35329056008465465 |391       
 [12, 10, 0, 0, 0]   |0.9622959020290063  |0.618206159860914   |177       
 [14, 13, 7, 0, 0]   |1.3211926099813087  |0.5604780610999874  |343       
 [15, 20, 0, 0, 0]   |0.5343655387008174  |0.20358429276467205 |386       
 [16, 5, 0, 0, 0]    |0.39594646232387565 |0.27971717571698795 |139       
 [16, 10, 0, 0, 0]   |0.31140788131413116 |0.17566935588047075 |229       
 [14, 6, 12, 0, 0]   |0.6612712982308918  |0.3730319943485389  |229       
 [20, 3, 9, 0, 0]    |0.28314752410686705 |0.18557665819680053 |169       
 [16, 12, 0, 0, 0]   |0.8318050655317352  |0.42884610164137654 |265       
 [8, 0, 0, 0, 0]     |0.8191508936945969  |0.7542835122446082  |33        
 [4, 12, 0, 0, 0]    |1.3848761455239946  |1.119755894290915   |85        
 [16, 4, 12, 1, 0]   |1.1243730856048777  |0.6974849260561011  |191       
 [15, 2, 12, 18, 0]  |1.3357730075440462  |0.5349992982047272  |366       
Increasing Epochs
Gen 2 Train time: 70.03718983729681 minutes:
 Average MSE:        0.326452301692916
 Average Error:      0.6454827808711125
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.172807638963797   |0.14112966283142764 |81        
 [20, 3, 9, 0, 0]    |0.4549565615698839  |0.2981813758999362  |169       
 [20, 11, 12, 0, 0]  |0.5271641282801975  |0.1720030035078965  |448       
 [16, 4, 0, 0, 0]    |0.3809728580484057  |0.2815269369797197  |121       
 [20, 13, 9, 9, 0]   |1.4485282658947047  |0.358096796423766   |559       
 [16, 5, 0, 0, 0]    |0.5827603238501552  |0.4116922044221867  |139       
 [16, 12, 11, 0, 0]  |1.136345928393338   |0.4107862751146814  |407       
 [16, 20, 0, 0, 0]   |0.6398090413735806  |0.2301358436130701  |409       
 [16, 0, 0, 0, 0]    |0.3269539785503008  |0.27791614253096536 |65        
 [19, 5, 4, 0, 0]    |0.37909998974453013 |0.2381260119355722  |186       
 [20, 15, 4, 16, 0]  |0.9949876196631984  |0.2605331984998573  |536       
 [16, 10, 0, 0, 0]   |0.6823903955902194  |0.3849455599726138  |229       
 [20, 10, 0, 0, 0]   |0.7896635987751167  |0.39115622414791584 |281       
 [16, 9, 0, 0, 0]    |0.25657374330368987 |0.15139860418136672 |211       
 [14, 0, 0, 0, 0]    |0.3821112799883616  |0.33136214636059036 |57        
 [16, 10, 0, 0, 0]   |0.5247569674430966  |0.296022432301667   |229       
 [14, 12, 0, 0, 0]   |0.3711950440044938  |0.2062785932492845  |235       
 [20, 1, 0, 0, 0]    |1.4906034427839676  |1.21128409583882    |83        
 [16, 19, 0, 0, 0]   |0.8333561526122192  |0.31355071111932087 |391       
 [17, 19, 9, 0, 0]   |1.0986707671212859  |0.25578988213840154 |583       
 [18, 9, 0, 0, 0]    |0.5979565197820722  |0.3322933097226119  |235       
 [20, 3, 0, 0, 0]    |0.38024879793301014 |0.2768084552997153  |127       
 [14, 6, 0, 0, 0]    |0.3587483627575676  |0.2534385033640172  |139       
 [16, 12, 0, 0, 0]   |0.3626856034925148  |0.18698648712819232 |265       
 [20, 3, 9, 2, 0]    |0.461660683257228   |0.2928996823741389  |182       
 [20, 3, 9, 14, 0]   |1.147544609471988   |0.523417705058081   |314       
Gen 3 Train time: 69.42358052333196 minutes:
 Average MSE:        0.396734276699867
 Average Error:      0.6156757760859874
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.6912081645982636  |0.564500364688852   |81        
 [16, 9, 0, 0, 0]    |0.5497344083662281  |0.3243863577989098  |211       
 [16, 0, 0, 0, 0]    |0.5186816664724604  |0.4408877622065147  |65        
 [14, 12, 0, 0, 0]   |0.3536385138031093  |0.19652216893604302 |235       
 [20, 13, 0, 0, 0]   |0.776737333115833   |0.3262298651108325  |347       
 [19, 5, 4, 0, 0]    |0.44538998241856687 |0.27976508345689877 |186       
 [20, 15, 0, 0, 0]   |0.598979237211919   |0.22536626769334994 |391       
 [20, 3, 9, 0, 0]    |0.7491934698389466  |0.4910260858332728  |169       
 [14, 6, 9, 2, 0]    |0.7880303274009222  |0.4569329103660337  |218       
 [20, 3, 0, 0, 0]    |0.4203304468482561  |0.3059865602205082  |127       
 [19, 5, 4, 0, 0]    |0.29448771813710567 |0.18497807380910816 |186       
 [16, 5, 4, 5, 0]    |0.6376809223699107  |0.39855202292179903 |188       
 [16, 3, 0, 0, 0]    |0.49398819634116536 |0.38184379938745827 |103       
 [16, 9, 19, 0, 0]   |0.5068507343200515  |0.18140217916003862 |411       
 [20, 15, 0, 0, 0]   |0.2919501135608447  |0.1098463909235283  |391       
 [12, 0, 0, 0, 0]    |0.4762882558060487  |0.4213750323668437  |49        
 [2, 3, 9, 0, 0]     |2.621846731416331   |2.2510098298479937  |61        
 [20, 16, 0, 0, 0]   |0.29305262723562736 |0.10436059983778337 |413       
 [20, 5, 0, 0, 0]    |0.5696885646810342  |0.3715152205179992  |171       
 [16, 3, 2, 0, 0]    |0.8068914580220736  |0.612892257981917   |110       
 [16, 19, 4, 0, 0]   |0.9148297574497467  |0.2925799581560245  |456       
 [16, 4, 0, 0, 0]    |0.6078069250199063  |0.4491501645352777  |121       
 [16, 14, 0, 0, 0]   |0.5409055883395418  |0.2548677416423681  |301       
 [14, 0, 0, 0, 0]    |0.2867535805943558  |0.24866913624016643 |57        
 [18, 9, 0, 0, 0]    |0.45001755687794887 |0.2500814331161688  |235       
 [16, 9, 0, 0, 0]    |0.3226078979894767  |0.19036392744085243 |211       
Increasing Epochs
Gen 4 Train time: 80.93181569973628 minutes:
 Average MSE:        0.30458860204158467
 Average Error:      0.7224105880980821
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5348039847080948  |0.46377535952476523 |57        
 [20, 15, 0, 0, 0]   |0.28460435306784676 |0.10708254449475718 |391       
 [14, 15, 0, 0, 0]   |0.5326110739954482  |0.26251060087306405 |283       
 [14, 11, 0, 0, 0]   |0.6266684458811043  |0.36246126243048843 |219       
 [18, 9, 4, 0, 0]    |0.582401463339061   |0.296533444430315   |270       
 [19, 5, 13, 0, 0]   |0.4044661268201531  |0.21703703173275346 |249       
