/tmp/tmp.WDq2Vpi713 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 58.43990416526795 minutes:
 Average MSE:        0.734954988793877
 Average Error:      1.5870893594683375
 Structure           |Error               |MSE                 |weights&biases
 [20, 15, 3, 12, 0]  |0.8311197237136627  |0.24783764049193388 |484       
 [10, 16, 0, 0, 0]   |1.169092516507275   |0.6694678211149389  |223       
 [10, 5, 2, 12, 0]   |0.6644477651289872  |0.46125741323590075 |146       
 [6, 19, 11, 0, 0]   |2.5448706433819592  |0.9768519448198768  |383       
 [15, 0, 0, 0, 0]    |0.49177050964934005 |0.4222139448449099  |61        
 [4, 5, 13, 0, 0]    |1.4476118740564867  |1.0485572956894609  |129       
 [9, 16, 0, 0, 0]    |0.9125762246336347  |0.5479979882216869  |204       
 [8, 1, 19, 4, 0]    |1.5921134832016666  |1.0779513787829065  |156       
 [9, 14, 0, 0, 0]    |0.7565689963754514  |0.4800036623630355  |182       
 [19, 6, 0, 0, 0]    |0.37668042975860727 |0.23779219488912914 |184       
 [9, 12, 1, 0, 0]    |1.0547947491896006  |0.703523637924744   |162       
 [11, 4, 11, 0, 0]   |1.137412731288332   |0.7856500216048513  |148       
 [3, 13, 3, 12, 0]   |2.287137976032865   |1.517859689890486   |164       
 [9, 17, 17, 13, 0]  |5.117724399450934   |0.7828688350066575  |751       
 [7, 14, 0, 0, 0]    |1.3643721591095415  |0.9424186900627713  |148       
 [8, 0, 0, 0, 0]     |0.7234369526894604  |0.6661490206047271  |33        
 [15, 11, 0, 0, 0]   |0.6344681125205895  |0.3543506748816833  |233       
 [14, 19, 0, 0, 0]   |0.9330973281824855  |0.3919011003206863  |347       
 [20, 19, 9, 6, 7]   |1.7000863897423968  |0.2568351260764792  |756       
 [3, 11, 5, 16, 17]  |5.569940850777461   |1.5332419797571128  |516       
 [12, 20, 12, 6, 11] |2.764707052953763   |0.4627513922276217  |715       
 [4, 0, 0, 0, 0]     |1.2924196921033169  |1.2386427103633368  |17        
 [12, 0, 0, 0, 0]    |0.5344351605669921  |0.4728179423630367  |49        
 [5, 0, 0, 0, 0]     |1.4222982215926967  |1.3495538133882117  |21        
 [10, 18, 3, 11, 10] |2.354050044100936   |0.745378800920738   |460       
Gen 1 Train time: 59.299195965131126 minutes:
 Average MSE:        0.6080046330342804
 Average Error:      0.980167144132841
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 0, 0, 0]    |0.2847149021348522  |0.17973586134983713 |184       
 [15, 0, 0, 0, 0]    |0.306704254340609   |0.263323665378394   |61        
 [12, 17, 0, 0, 0]   |0.4049579643119204  |0.2036256522068629  |275       
 [15, 11, 1, 0, 0]   |1.4047274274610455  |0.7806278729083538  |235       
 [3, 15, 3, 0, 0]    |2.0750937197372594  |1.5334288690698719  |121       
 [4, 12, 0, 0, 0]    |2.316765951241896   |1.873245010378918   |85        
 [12, 0, 0, 0, 0]    |0.6633051610101647  |0.5868299927251808  |49        
 [19, 6, 9, 0, 0]    |0.41540922767969873 |0.22235253662780602 |250       
 [10, 16, 0, 0, 0]   |0.8319444497420732  |0.4764037321198836  |223       
 [12, 7, 0, 0, 0]    |0.5310024134019328  |0.3788978206568677  |135       
 [20, 15, 3, 12, 0]  |1.6596090695726622  |0.49489090946373454 |484       
 [19, 20, 0, 0, 0]   |0.6167401288063027  |0.18668967569247194 |478       
 [9, 1, 1, 0, 0]     |1.8050043939620726  |1.6291575261981883  |41        
 [8, 0, 0, 0, 0]     |0.8938700979411573  |0.8230858101423998  |33        
 [20, 19, 9, 6, 0]   |1.7175842336393363  |0.2940277254739179  |706       
 [19, 6, 19, 7, 0]   |1.0547010966333366  |0.33563111506851173 |458       
 [12, 2, 0, 0, 0]    |0.8026218669514297  |0.6822415012754639  |65        
 [8, 15, 0, 0, 0]    |1.1283314180376778  |0.7285055173783205  |175       
 [16, 0, 0, 0, 0]    |0.27814307810664174 |0.23642609177546517 |65        
 [10, 5, 2, 12, 0]   |0.6793132747482236  |0.47157700022716903 |146       
 [19, 6, 2, 17, 0]   |0.5318538243040056  |0.27765204283210154 |260       
 [3, 10, 0, 0, 0]    |1.419486478513006   |1.2217633344836607  |60        
 [9, 15, 2, 12, 0]   |1.6469936034507633  |0.8641158508197752  |258       
 [10, 5, 0, 0, 0]    |0.4265924234717211  |0.3397904301361788  |91        
 [15, 15, 3, 12, 0]  |1.2200842292195866  |0.4556273113573742  |394       
 [20, 3, 0, 0, 0]    |0.3687910590344918  |0.2684676031445822  |127       
Gen 2 Train time: 59.725066069761915 minutes:
 Average MSE:        0.45126373528874697
 Average Error:      0.8539820586758123
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5151278004726573  |0.4378669189241771  |65        
 [19, 6, 0, 0, 0]    |0.42764099644199294 |0.26996276720211565 |184       
 [20, 3, 1, 0, 0]    |0.5752143994975729  |0.41664845804883    |129       
 [16, 4, 0, 0, 0]    |0.34479671336321144 |0.2547939060306649  |121       
 [15, 0, 0, 0, 0]    |0.2173852637182094  |0.18663805158032504 |61        
 [19, 20, 0, 0, 0]   |0.4806708121004523  |0.14550095548274872 |478       
 [16, 19, 0, 0, 0]   |0.47112053901938955 |0.17725936212195353 |391       
 [15, 18, 0, 0, 0]   |0.46493697222855784 |0.19284791108937976 |352       
 [15, 9, 11, 0, 0]   |0.7733761945668592  |0.355407706131015   |311       
 [20, 3, 0, 0, 0]    |0.5133590468399222  |0.3737082813735225  |127       
 [15, 20, 3, 12, 0]  |1.6400110135673514  |0.482971785284146   |489       
 [10, 5, 2, 12, 16]  |1.6970546871843153  |0.6934294404925794  |358       
 [20, 3, 19, 0, 0]   |0.5344754780863997  |0.309137403995111   |219       
 [20, 3, 19, 0, 0]   |1.3240935872241433  |0.76584777222441    |219       
 [19, 15, 0, 0, 0]   |0.5005974103160242  |0.197019400941229   |373       
 [8, 6, 0, 0, 0]     |0.8603915892260047  |0.6956784955448955  |85        
 [12, 17, 0, 0, 0]   |1.424015478611722   |0.7160399501653769  |275       
 [12, 17, 0, 0, 0]   |1.101299078396513   |0.5537679534080616  |275       
 [12, 17, 14, 7, 0]  |1.9998107035482624  |0.42233878788116375 |622       
 [7, 6, 9, 0, 0]     |1.2791451516124053  |0.8969026103196216  |142       
 [20, 3, 2, 0, 0]    |0.5830404050834472  |0.4170710076386145  |134       
 [10, 16, 0, 0, 0]   |0.9463747142531539  |0.5419309498294862  |223       
 [10, 6, 2, 17, 0]   |0.9677003152063195  |0.6185774755529567  |179       
 [19, 6, 11, 0, 0]   |0.5037195308626212  |0.2590496201114499  |266       
 [15, 6, 2, 17, 0]   |1.2064482059393467  |0.6891341502966963  |224       
 [19, 2, 0, 0, 0]    |0.8517274382042714  |0.6633259958368882  |100       
Gen 3 Train time: 59.464291834831236 minutes:
 Average MSE:        0.4672203221842183
 Average Error:      0.8012360946023129
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.4145321498411912  |0.3559002640770196  |61        
 [16, 4, 0, 0, 0]    |0.31080516834959865 |0.2296752253983696  |121       
 [16, 2, 0, 0, 0]    |0.5145752856305228  |0.41606515572061725 |85        
 [19, 4, 20, 0, 0]   |0.48150557903138497 |0.2526279411331134  |258       
 [19, 6, 11, 0, 0]   |0.8556618832117442  |0.4400442552034038  |266       
 [19, 15, 0, 0, 0]   |0.5878129705372636  |0.23134470321695316 |373       
 [20, 3, 1, 0, 0]    |1.0816837055862332  |0.7835023748061618  |129       
 [16, 4, 5, 0, 0]    |0.29528665665599957 |0.2044751806302151  |147       
 [20, 3, 19, 13, 0]  |0.935838158675171   |0.2868451588966888  |473       
 [15, 6, 2, 17, 7]   |0.9960332909056269  |0.4257195012510948  |340       
 [16, 0, 0, 0, 0]    |0.3044745014325031  |0.2588082252809837  |65        
 [15, 19, 0, 0, 0]   |1.5219069475998015  |0.6049945188957302  |369       
